Idiom (Modern Standard Arabic),Syntactic Structure & Grammatical Form,Figurative Meaning (Arabic),Non-Idiomatic Equivalent (Arabic),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
بلغ السيل الزُّبَى,"Fixed clause, past tense verb with metaphorical noun phrase",وصل الأمر إلى حدٍّ لا يُحتمل أو لا يمكن تجاوزه,وصلت المشكلة إلى ذروتها,C1,"literature, daily speech, politics, news, formal discussions","Formal, serious","Classical Arabic, pre-Islamic poetry metaphor for overflowing tolerance",ˈba.laɣa asˤ.sˤaj.l az.zʊ.baː,بلغ السيل الزُّبَى ولم يعُد بالإمكان الصمتُ عن هذه الفوضى.,حين تجاوز المدير حدوده مع الموظفين، بلغ السيل الزُّبَى.,بلغ السيل الزُّبَى بعد شهور من التأخير في الرواتب.
يُغني عن التعريف,Passive verb phrase,شخص أو شيء معروف جدًا ولا يحتاج إلى تقديم,لا يحتاج إلى مقدمة,B2,"formal introductions, academia, public speaking, journalism","Formal, respectful","Modern formal Arabic, common in academic and media circles",juɣ.niː ʕan at.taʕ.riːf,العالِم أحمد زويل يُغني عن التعريف.,هذه الرواية الشهيرة تُغني عن التعريف.,ذلك الفنان يُغني عن التعريف بإنجازاته.
ضرب عصفورين بحجر واحد,Verbal clause with object prepositional structure,تحقيق هدفين في وقت واحد باستخدام وسيلة واحدة,أنجز مهمتين بجهد واحد,B1,"daily speech, humor, workplace, casual writing","Neutral, clever","Global metaphor, adopted and arabized from Western expressions",dˤa.rab ʕasˤ.fuː.rajn bi.ħa.ʤa.rin waː.ħid,سافر للعمل والسياحة، فضرب عصفورين بحجر واحد.,اشتريت كتابًا هدية واستفدت منه، ضربت عصفورين بحجر واحد.,بالدورة المكثفة، ضربنا عصفورين بحجر واحد.
لا ناقة له فيها ولا جمل,Negative possessive clause using double metaphorical objects,لا علاقة له بالأمر إطلاقًا,لا شأن له بالموضوع,C2,"sarcasm, literature, politics, legal discourse","Elevated, ironic",Pre-Islamic tribal idiom tied to the war of Basūs,laː naː.qa ta.lah fiː.ha wa.laː ʤa.mal,زُجَّ باسمه في الخلاف وهو لا ناقة له فيها ولا جمل.,اتهموه ظلمًا في قضية لا ناقة له فيها ولا جمل.,أُقحم في السجال دون سبب، لا ناقة له فيها ولا جمل.
في فَمِهِ ماء,Prepositional possessive clause,يتجنب الحديث عن أمرٍ ما لأنه لا يريد البوح به,يتحفظ على الكلام,B2,"daily life, sarcasm, interviews, media","Neutral, subtle",Metaphor implying inability to speak due to literal water in mouth,fiː fa.mi.hiː maːʔ,حين سألناه عن السبب، بقي في فمه ماء.,الصحفي كان في فمه ماء أمام هذا السؤال الحرج.,لم يشأ أن يجيب، وكأن في فمه ماء.
حبل الكذب قصير,Nominal sentence with metaphorical noun phrase,الكذب لا يدوم، وينكشف بسرعة,الحقيقة تظهر دائمًا,A2,"daily life, family, parenting, education","Informal, moralistic",Traditional folk wisdom across Arab-speaking regions,ħa.bal al.ka.ðib qa.siːr,لا تكذب، فحبل الكذب قصير.,انكشفت كذبته، كما قيل: حبل الكذب قصير.,علّمتُ طفلي أن حبل الكذب قصير دائماً.
أكل بعقله حلاوة,Past tense verb phrase with idiomatic object,خدعه بسهولة وأثر عليه,أقنعه بسهولة,B2,"humor, sarcasm, family, youth speech","Informal, humorous",Popular Egyptian-origin phrase spread colloquially,ʔa.kala bɪ.ʕa.qli.hi ħa.laː.wa,باعه شيئًا تافهًا، وأكل بعقله حلاوة.,ذاك الممثل أكل بعقل الجمهور حلاوة.,أكل بعقله حلاوة بوعود زائفة.
السكوت علامة الرضا,"Nominal clause, metaphorical predicate",عدم الاعتراض يُفسّر على أنه موافقة,الصمت يعني الموافقة,B1,"family, workplace, sarcasm, culture","Neutral, proverbial",Widespread Arab maxim grounded in oral tradition,as.sa.kuːt ʕa.laː.mat ar.rɪ.dˤaː,لم ينكر شيئًا، والسكوت علامة الرضا.,ظنوا أن سكوته يدل على موافقة، والسكوت علامة الرضا.,السكوت علامة الرضا في كثير من المجالس.
فتح عينيه على الدنيا,Verbal clause with object and prepositional modifier,بدأ يعي الأمور أو يدرك الواقع,أصبح واعيًا بما يجري,A2,"family, storytelling, nostalgia","Warm, narrative",Common expression reflecting cultural focus on awakening and awareness,fa.taħa ʕaj.naj.hi ʕa.la ad.dun.jaː,فتح عينيه على الدنيا في حيٍ شعبي بسيط.,فتح عينيه على الدنيا وسط الحروب.,حين فتح عينيه على الدنيا، وجد أباه قد رحل.
دخل في الحيط,Past tense intransitive verb with prepositional phrase,فشل بشكلٍ كبير أو ارتكب خطأً فادحًا,تعرض لفشل ذريع,B2,"humor, sarcasm, youth culture, online speech","Informal, ironic",Popular Levantine metaphor tied to crashing or extreme failure,da.xa.la fiː al.ħej.tˤ,خطته التجارية دخلت في الحيط من أول يوم.,دخلت في الحيط لما صدقته.,كل المشروع دخل في الحيط بسبب إدارة سيئة.
