Idiom (Chinook Jargon),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
hyas kloshe tumtum,Adjectival intensifier + evaluative adjective + noun (fixed nominal phrase),To be extremely happy or deeply pleased,Very happy,A2,"Daily speech, family, celebration","Colloquial, warm",Common across Lower Columbia communities; tumtum metaphorically represents heart/mind,ˈhajas ˈkɬuʃe ˈtʰəmtʰəm,Nika hyas kloshe tumtum pus mika chako.,Yaka hyas kloshe tumtum kopa ukuk wawa.,Nsaika hyas kloshe tumtum anqati.
halo tumtum,Negative particle + noun (fixed nominal phrase),To be indifferent or emotionally detached,Not care,B1,"Conflict, sarcasm, politics","Blunt, ironic",Widely used in trade-era speech indicating lack of obligation or concern,ˈhalo ˈtʰəmtʰəm,Yaka halo tumtum kopa ukuk wawa.,Nika halo tumtum pus klaska wawa hyas.,Klaska halo tumtum anqati.
tumtum sick,Noun + adjective predicate construction,To feel emotionally hurt or upset,Feel sad or offended,B1,"Family, disputes, personal reflection","Emotional, informal",Sick used metaphorically in Jargon contact contexts,ˈtʰəmtʰəm sɪk,Nika tumtum sick pus yaka halo wawa kloshe.,Yaka tumtum sick kopa ukuk mamuk.,Nsaika tumtum sick anqati.
mamuk kloshe tumtum,Transitive verb + evaluative phrase,To encourage or comfort someone,Cheer someone up,B2,"Community, leadership, storytelling","Supportive, relational",Mamuk as causative verb central to Chinook Jargon grammar,ˈmamuk ˈkɬuʃe ˈtʰəmtʰəm,Yaka mamuk kloshe tumtum kopa nika.,Nsaika mamuk kloshe tumtum pus klaska tumtum sick.,Mika mamuk kloshe tumtum alta.
hyas wawa,Adjectival intensifier + noun (fixed expression),To exaggerate or speak boastfully,Talk big / brag,B2,"Humor, teasing, politics","Playful, sarcastic",Common in trade negotiations and humorous exchanges,ˈhajas ˈwawa,Yaka hyas wawa kopa yaka mamuk.,"Halo hyas wawa, mamuk kloshe!",Klaska hyas wawa anqati.
chako kʰupa,Intransitive verb + directional particle,To intrude or insert oneself unexpectedly,Show up uninvited,C1,"Social gatherings, humor","Lightly critical, humorous",Directional particles reflect spatial orientation in Lower Columbia dialects,ˈtʃako ˈkʰupa,Yaka chako kʰupa kopa nsaika meeting.,Klaska chako kʰupa pus halo tiki.,Nika nanich yaka chako kʰupa alta.
halo kumtuks,Negative particle + cognitive verb,To be ignorant or unaware,Not know,A2,"Education, instruction, correction",Neutral to critical,Kumtuks from Nuu-chah-nulth influence meaning 'to know',ˈhalo kʰumˈtuks,Nika halo kumtuks ukuk wawa.,Klaska halo kumtuks pus mamuk kloshe.,Yaka halo kumtuks anqati.
mitlite saghalie,Locative verb + spatial noun (metaphorical elevation),To hold high status or moral authority,Be respected / honored,C1,"Leadership, ceremony, storytelling","Respectful, poetic",Saghalie (above) metaphorically linked to spiritual authority,ˈmitɬitə saˈɣali,Chief yaka mitlite saghalie kopa illahee.,Yaka mitlite saghalie pus yaka mamuk kloshe.,Klaska wawa pus yaka mitlite saghalie.
tumtum kloshe kopa,Noun + adjective + preposition (fixed relational phrase),To favor or feel warmly toward someone,Like / be fond of,B1,"Friendship, romance, diplomacy","Affectionate, relational",Reflects relational grammar in Jargon interpersonal speech,ˈtʰəmtʰəm ˈkɬuʃe ˈkʰopa,Nika tumtum kloshe kopa mika.,Yaka tumtum kloshe kopa ukuk illahee.,Klaska tumtum kloshe kopa nsaika.
hyas mamuk,Adverbial intensifier + transitive verb (fixed idiomatic use),To overdo something excessively,Overdo it,B2,"Workplace, humor, warning","Admonishing, practical",Hyas intensifier common in Lower Columbia speech communities,ˈhajas ˈmamuk,Halo hyas mamuk kopa ukuk business.,Yaka hyas mamuk pus yaka tumtum sick.,Nsaika wawa pus halo hyas mamuk.
