Idiom (Fijian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Fijian)",First Example Sentence,Second Example Sentence,Third Example Sentence
E dua na buka levu e sa kama tiko,Fixed clause; descriptive metaphor,A major issue or crisis is happening beneath the surface.,There is a serious problem going on.,C1,"Politics, workplace, gossip","Colloquial, metaphorical",Derived from the Fijian relationship to fire as a communal symbol of both warmth and destruction.,/e ndu.a na βu.ka le.vu e sa ka.ma ˈti.ko/,Era kaya na lewe ni koro ni e dua na buka levu e sa kama tiko ena nodra vale ni bose.,E vaka ga ni sa dua na buka levu e sa kama tiko ena matanitu qo.,E tukuna o Mere ni sa dua na buka levu e sa kama tiko ena nodra vuvale.
Sa taura na mata ni ika,Verb phrase; active voice,To take the lead or gain attention in a situation.,To be the center of attention.,B2,"Social gatherings, sports, workplace","Colloquial, light-hearted","Refers to fishing, where catching the eye of the fish symbolizes gaining prominence.",/sa tau.ra na ma.ta ni i.ka/,E sa taura na mata ni ika o Jone ena soqo ni matavuvale.,E dau taura na mata ni ika o koya ena gauna ni veitalanoa.,Na nona vosa vakalailai e sa taura na mata ni ika ena bose.
Sa la'ki gunu wai ni vatu,Verb phrase; metaphorical past event,Someone has died or passed away.,He/she has died.,B2,"Mourning, traditional speech, storytelling","Formal, poetic, respectful",Linked to ancient belief of drinking from the sacred stone waters of the spirit world.,/sa laʔ.ki ɡu.nu wai ni βa.tu/,Era tukuna ni sa la'ki gunu wai ni vatu o koya ena bogi sa oti.,E dua tale na turaga levu sa la'ki gunu wai ni vatu.,Na wati i Pita sa la'ki gunu wai ni vatu ni bera ni siga.
E dua na domo ga e rogo,Fixed clause; metaphorical statement,Something is rumored or talked about widely.,People are talking about something.,B1,"Community gossip, politics, media","Colloquial, neutral",Refers to how news spreads in villages by word of mouth.,/e ndu.a na ðo.mo ŋa e ro.ŋo/,E dua na domo ga e rogo me baleti koya ena koro.,E dua na domo ga e rogo ni sa qai laki vola tale ena vuli.,E dua na domo ga e rogo me baleta na kena veisau ena matanitu.
E sega ni tuki wale na davui,Negative declarative; figurative,Warnings or signals have real reasons.,There’s always a reason behind a warning.,C1,"Cautionary speech, teaching, military","Formal, didactic",Comes from the conch horn tradition used to signal danger or gatherings.,/e se.ŋa ni tu.ki wa.le na nda.βu.i/,E sega ni tuki wale na davui ni sa qai tukuni mai vei ira na turaga.,E tukuna na qase ni e sega ni tuki wale na davui ni yaco e dua na leqa.,Na veika e yaco oqo e sega ni tuki wale na davui.
E vauca na i ukuuku,Verb phrase; active voice,Bound by honor or pride.,Driven by pride or duty.,B2,"Ceremonial, leadership, tradition","Formal, noble",Reflects Fijian chiefly concept of 'i ukuuku' (honor).,/e βau.ða na i u.ku.u.ku/,E vauca na i ukuuku o koya me cakava vakavinaka na nona itavi.,Era dau cakacaka vakaukauwa na turaga ni koro ni e vauca na i ukuuku.,Na nona vakarau e vakaraitaka ni e vauca na i ukuuku.
Sa dromu na waqa ni vakanuinui,Metaphorical past tense clause,All hope is lost.,There is no more hope.,C2,"Tragedy, emotional expression, literature","Poetic, melancholic",Drawn from seafaring imagery; loss of hope when a canoe sinks.,/sa ndro.mu na wa.ŋa ni βa.ka.nui.nui/,"Ni sa sega ni rawa me bula tale, sa dromu na waqa ni vakanuinui.",Era tukuna na lewe ni koro ni sa dromu na waqa ni vakanuinui.,E dua na gauna dredre ni sa dromu na waqa ni vakanuinui.
E sa qai rogo na domo ni tagi,Fixed clause; descriptive,Trouble or grief has become public.,Everyone now knows about the sadness.,B2,"Community, tragedy, social life","Formal, solemn",Based on communal mourning traditions where grief is expressed openly.,/e sa qai ro.ŋo na ðo.mo ni ta.ŋi/,E sa qai rogo na domo ni tagi ena koro taucoko.,"Ni sa yali o Jone, e sa qai rogo na domo ni tagi.",E sa qai rogo na domo ni tagi ni mate na qase levu.
Sa tagi na manumanu,Simple clause; metaphorical,A sign of misfortune or bad omen.,Something bad is about to happen.,B2,"Superstition, folklore, daily life","Colloquial, mystical",Traditional belief that animal cries predict events.,/sa ta.ŋi na ma.nu.ma.nu/,Era kaya na qase ni sa tagi na manumanu ni bera ni yaco e dua na ka ca.,"Sa tagi na manumanu ena bogi, ka ra rere kina na gone.",E dau tukuna o tinaqu ni sa tagi na manumanu e dua na ka e yaco.
E vaka na ika ena wai,Simile; descriptive structure,Feeling completely at ease or in one's element.,Very comfortable in the situation.,B1,"Daily life, workplace, education","Colloquial, positive",Based on the Fijian love of the sea and familiarity with water.,/e βa.ka na i.ka e.na wai/,"Ni sa lesu tale ki nona vanua, e vaka na ika ena wai.",E vaka na ika ena wai o Mere ni sa vosa vakalevu ena bose.,E vaka na ika ena wai o koya ena nona cakacaka vou.
