Idiom (Aranese),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Aranese)",First Example Sentence,Second Example Sentence,Third Example Sentence
Èster coma un burro en un jardim,"Fixed simile, clause with prepositional complement",To be completely out of place or clueless in a situation,To not belong or understand what's going on,B2,"Daily speech, humor, workplace","Colloquial, ironic",Refers to rural-urban divide in Aran Valley; burros (donkeys) seen as rustic,ˈɛste ˈkumə un ˈburʊ en un ʒaɾˈdim,"Quan parlèrem de tecnologia, ère coma un burro en un jardim.",Eth hilh a arribat a classa naua e s’a trapat coma un burro en un jardim.,"En aqueth sopar sofisticat, me sentic coma un burro en un jardim."
Cantar coma un gal sus eth teulat,Simile with comparative clause,"To boast loudly and publicly, often without reason",To show off or brag loudly,C1,"Daily speech, sarcasm, politics","Ironic, colloquial",Symbolic of traditional village life; roosters crowing visibly from rooftops,kanˈtaɾ ˈkumə un ˈɡal sus et tewˈlat,"Despuish guanhar, comencèc a cantar coma un gal sus eth teulat.",Tot eth temps ei a cantar coma un gal sus eth teulat.,"Quan a hèt quicòm ben, non pòt pas evitar de cantar coma un gal sus eth teulat."
Aué non ei eth dia deth ton sèt,Negative declarative sentence with possessive,This is not your lucky day; things aren't going your way,Things aren’t going well for you today,B1,"Daily life, humor, frustration","Colloquial, light",Reference to Saint’s day and local beliefs around fate and luck,awˈe noˈne et ˈdiə det ˈtɔn sɛt,"Perdèc eth bus, oblidéc eth trabalh... aué non ei eth dia deth ton sèt!",Se ves que non i a escandilh: aué non ei eth dia deth ton sèt.,"Encara qu’estries, tot va mal: aué non ei eth dia deth ton sèt."
Anar-se’n tà pèdes de can,Reflexive verb phrase with directional preposition,To go completely wrong or downhill,To fall apart or get ruined,C1,"Sarcasm, workplace, politics","Colloquial, ironic",References traditional Aranese metaphor about decay or disorder,aˈnaɾsən ta ˈpɛðes de ˈkan,"Des d’eth cambiament de cap, tot s’ei anat tà pèdes de can.","Eth projècte, sense guida, se’n va tà pèdes de can.","Quan arriben es errors, tot se’n va tà pèdes de can."
Hèr es uelhs grossi coma plats,Fixed simile with comparative clause,To be very surprised or shocked,To be stunned or amazed,A2,"Daily speech, storytelling, family","Colloquial, expressive",Visual metaphor rooted in expressive face reactions in rural culture,eɾ es ˈweʎs ˈɡɾosi ˈkumə ˈplats,"Quan vedec eth prètz, hec es uelhs grossi coma plats.",M’a contat ua istòria e jo hec es uelhs grossi coma plats.,Eth mainatge hec es uelhs grossi coma plats quan arribèc eth mag.
Dobrir eth pèish abans de pescalo,Infinitive verb with temporal subordination,To assume success before achieving it,To count your chickens before they hatch,B2,"Cautionary, humor, daily life","Colloquial, ironic",Traditional fishing culture; warning against early assumptions,duˈβɾiɾ et ˈpɛʃ aˈβans de pəsˈkaɫu,Parlèc dera victòria abans d'arribar: dobric eth pèish abans de pescalo.,"Encara qu’an planificat tot, dobrissen eth pèish abans de pescalo.","Non dobres eth pèish abans de pescalo, jamès sap çò que pòt passar."
Es causes van a pas de formiga,Declarative clause with adverbial phrase,Things are progressing very slowly,Things are moving at a snail’s pace,B1,"Workplace, administration, daily life","Neutral, descriptive",Draws from observation of ants’ slow but steady pace,es ˈkawzəs βan a pas de fuɾˈmiɣə,"Eth projècte avança, mès a pas de formiga.",Tot sembla lent... es causes van a pas de formiga.,"A l’ajuntament, tot se hè a pas de formiga."
Non saber a on picar eth cap,Negative clause with infinitive complement,To be overwhelmed or not know what to do,To feel lost or confused,B2,"Work, stress, crisis","Colloquial, expressive",Head represents control; common image of stress in Pyrenean speech,non saˈβeɾ a un piˈkaɾ et ˈkap,Damnat! Non sabi a on picar eth cap.,Tant de problèmas qu’eth pair non sabie a on picar eth cap.,"Quan arriben es factures, toti non saben a on picar eth cap."
Pèrder era lengua enes uelhs,Transitive verb phrase with prepositional complement,To be struck speechless or stunned by beauty,To be mesmerized by sight,C1,"Romance, poetry, art","Poetic, literary","Traditional Aranese poetic image, love-struck imagery",ˈpɛɾðeɾ eɾa ˈleŋɡwa enes ˈweʎs,"Quan la vedec, perdic era lengua enes uelhs.",Era vista deth paisatge me hèc pèrder era lengua enes uelhs.,"Es sòns uelhs... e jo, sense paraules: perdic era lengua enes uelhs."
A hèr-la petar,Infinitive idiomatic expression with pronominal particle,"To chat casually, to hang out",To have a casual conversation,A2,"Daily life, friends, cafés","Colloquial, relaxed",Rooted in café culture and relaxed mountain socializing,a eɾˈla peˈtaɾ,S’anam tà cafè a hèr-la petar.,Trobam-se cada serada a hèr-la petar.,Non i a res de melhor qu’a hèr-la petar damb amics.
