Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning (PT-BR),Non-Idiomatic Equivalent (PT-BR),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
chutar o balde,Infinitive verb phrase with object (verb + definite article + noun),Perder o controle ou desistir de manter a calma ou seguir regras.,Desistir ou se revoltar.,B2,"daily speech, workplace, emotional expression","informal, expressive",Historically associated with rural tasks where 'chutar o balde' (kick the bucket) meant giving up a tedious chore.,[ʃuˈtaʁ u ˈbawdʒi],"Depois de tantas críticas injustas, ele chutou o balde e largou o emprego.","Quando soube da traição, ela chutou o balde e saiu gritando.","Não dá mais, vou chutar o balde e seguir minha vida."
fazer vista grossa,Infinitive verb phrase with noun object and adjective (verb + noun + adjective),Ignorar algo propositalmente.,Fingir que não viu.,B1,"daily speech, workplace, politics","neutral, strategic",Linked to the notion of purposely 'blurring' vision to avoid moral responsibility.,[faˈzeʁ ˈvistɐ ˈgʁɔsɐ],O gerente fez vista grossa para os erros da equipe.,Ela sempre faz vista grossa quando o filho mente.,Não dá mais para fazer vista grossa à corrupção.
segurar vela,Infinitive verb phrase (verb + noun),Estar de forma desconfortável com um casal apaixonado.,Acompanhar um casal como terceira pessoa.,A2,"daily speech, youth culture, humor","informal, humorous",Originated from a time when people would hold candles for couples in darkened areas.,[seɡuˈɾaʁ ˈvɛlɐ],Fiquei segurando vela no encontro dos dois ontem.,"Não quero sair com vocês, vou acabar segurando vela.","De novo segurando vela no cinema, que saco!"
ficar de molho,Infinitive verb phrase with prepositional phrase,"Ficar em repouso, geralmente por estar doente.",Ficar em casa repousando.,B1,"daily speech, health, family","informal, casual","Reference to food or clothes soaking, metaphorically extended to people resting.",[fiˈkaʁ dʒi ˈmoʎu],Peguei uma gripe forte e fiquei de molho a semana inteira.,O médico mandou ele ficar de molho depois da cirurgia.,Hoje vou ficar de molho vendo séries.
pagar o pato,Infinitive verb phrase (verb + definite article + noun),Levar a culpa por algo que não fez.,Ser responsabilizado injustamente.,B2,"daily speech, workplace, sarcasm","informal, ironic",Comes from an old French tale involving a duck being blamed for damages.,[paˈɡaʁ u ˈpatu],Fui eu quem pagou o pato pela bagunça da equipe.,"Ele não fez nada, mas pagou o pato.",Sempre sobra pra mim pagar o pato nessas reuniões.
encher o saco,Infinitive verb phrase (verb + definite article + noun),Irritar ou incomodar alguém.,Perturbar ou incomodar.,B2,"daily speech, family, emotional outburst","informal, aggressive",Visual metaphor of something being filled to the brim and causing frustration.,[ẽˈʃeʁ u ˈsaku],Você tá me enchendo o saco com essas perguntas!,Ela vive enchendo o saco por causa de coisa pequena.,Para de encher o saco e me deixa em paz!
cair a ficha,Infinitive verb phrase (verb + definite article + noun),Compreender ou perceber algo de repente.,Se dar conta de algo.,B1,"daily speech, realization, emotional events","neutral, reflective",From old payphones where a coin (ficha) had to fall for the call to be completed.,[kaˈiɾ a ˈfiʃɐ],"Demorou, mas a ficha caiu: ele não volta mais.",Caiu a ficha que eu tinha passado na prova!,Só quando vi as fotos que a ficha caiu mesmo.
dar com os burros n’água,Infinitive verb phrase with prepositional phrase,Fracassar em uma tentativa.,Não ter sucesso.,C1,"literature, politics, irony","formal, poetic","Rural metaphor — if the donkeys fall into water, the journey fails.",[daʁ kõwz ˈbuʁus ˈnaɡwɐ],"Tentou abrir um negócio novo, mas deu com os burros n’água.",Mais uma vez ele deu com os burros n’água tentando impressionar.,"Investiram muito, mas acabaram dando com os burros n’água."
botar a boca no trombone,Infinitive verb phrase with object noun phrase,Reclamar publicamente de algo.,Expressar descontentamento publicamente.,C1,"politics, workplace, journalism","informal, assertive",Refers to shouting into a loud instrument like a trombone for maximum volume.,[boˈtaʁ a ˈbokɐ nu tɾõˈboni],Ela botou a boca no trombone contra os abusos da empresa.,Os moradores botaram a boca no trombone sobre os buracos na rua.,Ele sempre bota a boca no trombone quando algo está errado.
fazer tempestade em copo d’água,Infinitive verb phrase with prepositional phrase,Exagerar um problema pequeno.,Aumentar demais uma situação irrelevante.,B2,"daily speech, family, humor","neutral, humorous",Common metaphor across Romance languages emphasizing exaggeration.,[faˈzeʁ tẽpeʃˈtadʒi ẽ ˈkɔpu ˈdaɡwɐ],Você tá fazendo tempestade em copo d’água por causa de um atraso!,Ele sempre faz tempestade em copo d’água quando perde no jogo.,"Vamos resolver isso sem tempestade em copo d’água, por favor."
