Idiom (Sena),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sena)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kudya mphfumbi,Fixed verbal phrase with infinitive construction,To endure humiliation or hardship silently,Kupirira nyatwa mwakukhala chete,B2,"Family conflict, politics, workplace disputes","Colloquial, ironic",Linked to dusty rural roads of the Zambezi valley where suffering travelers endured harsh journeys,/kuˈdja mp͡fumbu/,"Pambuyo pa kulephera pa msika, iye adangodya mphfumbi pamaso pa anthu.",Mwana uja anadya mphfumbi pakudzudzulidwa na aphunzitsi.,Anthu a mudzi adadya mphfumbi mpaka mtsogoleri atasintha malamulo.
Kugwira moto na manja,Active verb phrase with instrumental complement,To take a dangerous risk knowingly,Kuchita cinthu coopsya mwadala,C1,"Business, politics, survival decisions","Serious, metaphorical",Derived from cooking-fire practices along the Shire and Zambezi river settlements,/kuˈɡwiɾa ˈmoto na ˈmand͡ʒa/,Iye wagwira moto na manja polowa mubizinesi yopanda ndalama.,Atsogoleri aja adagwira moto na manja pakukangana na anthu a mudzi.,Kuthandiza zigawenga nkugwira moto na manja.
M'tima muli njoka,Locative existential clause,A person secretly holds jealousy or malice,Ali na nsanje kapena ciwembu mumtima,B1,"Friendship, family rivalry, gossip","Poetic, cautionary",Snakes symbolize hidden danger in many Sena oral narratives,/m̩ˈtima muli ⁿd͡ʒɔka/,Usamukhulupirire kwambiri; m'tima muli njoka.,"Ngakhale amalankhula bwino, m'tima muli njoka.",Anzake adadziwa kuti m'tima muli njoka pamene anayamba miseche.
Kuponya mthunzi,Infinitive verb phrase,To create suspicion or hidden tension,Kusiya anthu akukayikira,B2,"Politics, romance, social disputes","Ironic, conversational",Comes from imagery of shadows hiding truth in evening village gatherings,/kuˈpɔɲa m̩ˈtʰund͡zi/,Mawu ake aponya mthunzi pa msonkhano wonse.,Kusabwera kwake kunaponya mthunzi pakati pa abale.,Nkhani ya ndalama yaponya mthunzi pa kampani.
Kumanga mphepo,Verbal infinitive with object noun,To pursue an impossible plan,Kuchita cinthu cosatheka,C1,"Humor, entrepreneurship, storytelling","Humorous, sarcastic",Common in Sena folktales mocking unrealistic dreamers,/kuˈmaŋɡa m̩ˈpʰepo/,Kufuna kulemera usiku umodzi nkumanga mphepo.,Iwo akumanga mphepo poganiza kuti mvula idzagwa lero.,Kampaniyo idamanga mphepo polonjeza ntchito zambirizo.
Madzi apita na nkhono,Complete declarative metaphorical clause,An opportunity has been permanently lost,Mwayi watayika,B1,"Agriculture, family advice, education","Reflective, proverbial",Inspired by seasonal flooding patterns of the Zambezi basin,/ˈmad͡zi aˈpita na ⁿkʰɔno/,Usadikirire kwambiri; madzi apita na nkhono.,"Atalephera kulembetsa sukulu, anadziwa kuti madzi apita na nkhono.",Bambo ake adamuuza kuti madzi apita na nkhono pa ntchito ija.
Kuluma mwala,Infinitive verbal phrase,To persevere through severe hardship,Kupirira nyatwa zikulu,A2,"Daily life, encouragement, labor","Motivational, colloquial",Based on imagery of surviving despite impossible conditions,/kuˈluma ˈmwala/,Amayi akuluma mwala kuti ana awo aphunzire.,Tinaluma mwala pa nthawi ya njala.,Mlimi uja waluma mwala ngakhale mvula yasowa.
Kusenza dzuwa pa msana,Infinitive phrase with locative complement,To carry overwhelming responsibility alone,Kunyamula udindo wambiri wekha,C2,"Leadership, literature, activism","Poetic, literary",Associated with long-distance traders and farmers exposed to harsh heat,/kuˈsenza ˈd͡zuwa pa m̩ˈsana/,Mtsogoleri ameneyo akusenza dzuwa pa msana chifukwa cha mavuto a dziko.,"Atamwalira abambo ake, anayamba kusenza dzuwa pa msana.",Namwino uja amasenza dzuwa pa msana pa chipatala cha mudzi.
Kuthira mafuta pa moto,Causative verbal construction,To worsen an already tense situation,Kupangitsa vuto kukula,B1,"Arguments, media, politics","Colloquial, dramatic",Widely shared metaphor across Southern African speech communities,/kuˈtʰiɾa maˈfuta pa ˈmoto/,Kulankhula kwake kuthira mafuta pa moto.,Mtolankhani uja anathira mafuta pa moto na nkhani yake.,Usathire mafuta pa moto pamene anthu akukangana.
Kuyenda na mutu m'mwamba,Infinitive clause with body-part expression,To behave proudly or confidently after success,Kukhala wodzikuza kapena wodalira wekha,A2,"Youth culture, celebrations, competition","Conversational, mildly sarcastic",Connected to public celebrations and dance traditions in Sena communities,/kuˈjenda na muˈtu m̩m̩ˈwamba/,Atapambana mpikisano anayamba kuyenda na mutu m'mwamba.,Ana a sukulu akuyenda na mitu m'mwamba chifukwa cha zotsatira zabwino.,Iye amayenda na mutu m'mwamba kuyambira atalandira ntchito yatsopano.
