Idiom (Kamba),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kamba)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mũndũ nĩ kĩvĩndũ,Fixed clause (noun phrase),"A person's true value is shown by their actions, not their words.",Actions define who a person is.,B2,"Wisdom, family, teaching","Proverbial, neutral",Ancient Kamba proverb emphasizing the value of action over speech.,[mʊndʊ ni kiβiⁿdʊ],"Atumia asya nĩ nesa, mũndũ nĩ kĩvĩndũ.",Mũsyĩ mũnoũ nĩwĩaũka nĩ mũndũ nĩ kĩvĩndũ.,"Ŵoĩ mũndũ ũle, nĩ mũndũ nĩ kĩvĩndũ."
Kũnyua na mũkamba,Verb phrase (infinitive + prepositional phrase),To speak openly or tell the truth.,To speak honestly and clearly.,B1,"Everyday conversation, community gatherings","Colloquial, open",Traditional phrase reflecting communal honesty and trust in dialogue.,[kʊɲʊa na mʊkambɑ],Nĩtwenda kũnyua na mũkamba twĩnene.,"Ŵoĩ nĩkũnyua na mũkamba, nĩkũvĩa kĩvĩndũ kyaũ.",Mũnoũ mũndũ nĩmũnyũa na mũkamba kũsũmwa nesa.
Mbee syaũ si kũvĩa,Clause (noun phrase + negation),Promises alone are meaningless without action.,Don't make promises you can't keep.,B2,"Family, politics, moral advice","Cautionary, wise",Kamba saying warning against false promises and empty talk.,[mɓeː sjaʊ si kʊβiɑ],"Mũnoũ nĩwĩaũka, mbee syaũ si kũvĩa.","Ŵoĩ nĩkĩvĩndũ kyaũ, mbee syaũ si kũvĩa.","Mũsyĩ ũle nĩkwasya, mbee syaũ si kũvĩa."
Nthi nĩ yaũka,Clause (noun phrase + verb),Everything changes with time.,Things don't stay the same forever.,C1,"Reflection, life lessons, literature","Poetic, reflective",Derived from Kamba folk songs about the passage of time.,[n̩θi ni jɑʊkɑ],"Ŵoĩ nthi nĩ yaũka, tũkala na ũvĩo waũ.","Atumia asya kĩla kĩvĩndũ, nthi nĩ yaũka.",Nĩkwona nthi nĩ yaũka ta ũvĩo waũ.
Kĩla kĩvĩndũ nĩ na kĩvinda kyake,Complex clause (noun phrase + temporal phrase),Everything has its right time.,Be patient; all things come in time.,B2,"Teaching, encouragement, life advice","Proverbial, patient",Traditional Kamba proverb used to counsel patience and hope.,[kilɑ kiβiⁿdʊ ni nɑ kiβindɑ cɑkɛ],"Ŵoĩ, kĩla kĩvĩndũ nĩ na kĩvinda kyake.","Atumia asya nĩ nesa, kĩla kĩvĩndũ nĩ na kĩvinda kyake.","Mũnoũ ũsũ nĩwĩaũka, kĩla kĩvĩndũ nĩ na kĩvinda kyake."
Kĩtũmi kyaũ nĩ kyaũka na ivinda,Clause (noun phrase + verb phrase),Good fortune fades over time.,Luck doesn't last forever.,C1,"Reflection, humility, literature","Poetic, melancholic",Traditional proverb on humility and impermanence of luck.,[kitumi cɑʊ ni cɑʊkɑ nɑ iβindɑ],"Mũsyĩ waũ nĩwĩaũka, kĩtũmi kyaũ nĩ kyaũka na ivinda.","Ŵoĩ asya nĩthĩa, kĩtũmi kyaũ nĩ kyaũka na ivinda.","Nĩkwona ta ũsũ, kĩtũmi kyaũ nĩ kyaũka na ivinda."
Ŵoũ mũndũ nĩ mũtwe wa nesa,Clause (noun phrase + copula),A good person is known by their wisdom.,Wisdom defines a person.,B2,"Education, wisdom, community","Proverbial, respectful",Saying from Machakos and Kitui regions emphasizing intellect and morality.,[wɔʊ mʊndʊ ni mʊtʰwɛ wa nɛsɑ],"Ŵoĩ nĩwĩaũka nĩ nesa, mũndũ nĩ mũtwe wa nesa.","Mũnoũ nĩkwasya, mũndũ nĩ mũtwe wa nesa.","Atumia asya nĩwĩvĩa, mũndũ nĩ mũtwe wa nesa."
Kũkũna kĩw’ongo kyaũ,Verb phrase (infinitive + object),To cause unnecessary trouble or stir up conflict.,To create problems where none exist.,B2,"Daily speech, humor, sarcasm","Colloquial, sarcastic",From the act of stirring ashes to find heat where there is none.,[kʊkʊnɑ ciwɔŋɡɔ cɑʊ],Ŵoĩ nĩkũkũna kĩw’ongo kyaũ ta ũsũ.,Mũnoũ nĩmũkũkũna kĩw’ongo kyaũ.,"Tũsyĩa ta atumia, nĩkũkũna kĩw’ongo kyaũ."
Kũsya mũtwe waũ kĩtũmi,Verb phrase (infinitive + possessive noun),To act arrogantly or boast about success.,To show off or act proudly.,C1,"Social critique, humor, workplace","Sarcastic, colloquial",Common social idiom mocking arrogance in Kamba culture.,[kʊsʲɑ mʊtʰwɛ wɑʊ kitumi],Ŵoĩ nĩkũsya mũtwe waũ kĩtũmi.,Mũnoũ ũle nĩkũsya mũtwe waũ kĩtũmi.,"Atumia asya ta ũsũ, nĩkũsya mũtwe waũ kĩtũmi."
"Nĩũkũndũka, nĩũtũũka",Compound clause (conditional structure),You reap what you sow.,Your actions have consequences.,C2,"Moral teaching, family, philosophy","Proverbial, moralistic",Old proverb reflecting Kamba agricultural metaphors about effort and reward.,[niʊkʊndʊkɑ niʊtʊʊkɑ],"Ŵoĩ mũndũ nĩkwasya, nĩũkũndũka, nĩũtũũka.","Atumia asya nĩũkũndũka, nĩũtũũka.","Mũnoũ ũle nĩwĩvĩa, nĩũkũndũka, nĩũtũũka."
