Idiom (Sierra Puebla Nahuatl),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sierra Puebla Nahuatl)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kipia iyolo,Transitive possessive verb phrase: ki-pia ‘s/he has’ + possessed noun i-yolo ‘his/her heart’; flexible clause idiom.,"Someone is caring, generous, emotionally present, or morally brave when others need help.",Yeh kuali tlakatl wan kuali techpaleuia.,B1,family help; community work; praise; caregiving; village leadership,"warm, colloquial, appreciative","Built on the Nahuatl body–heart metaphor in which yolo marks feeling, courage, and moral intention; the form is especially useful in family and mutual-aid speech.",/kiˈpia iˈjolo/,"Non siwatl kipia iyolo, pampa nochipa kinpaleuia n kokoxkeh.","Ma tiknemilikan kuali, akin kipia iyolo amo kinkahua iselti n tokniwan.",Ich kalnechikolli okijtojkeh ke n telpokatl kipia iyolo wan kuali tekiti.
Paki iyolo,Intransitive emotional predicate: paki ‘rejoices’ + possessed subject-like noun i-yolo ‘his/her heart’; fixed metaphorical clause.,"The person feels deep happiness, relief, or grateful joy.",Yeh paki miak.,A2,celebrations; family news; gratitude; reunions; school achievement,"colloquial, affectionate, positive",Reflects the longstanding Nahuatl pattern of locating emotion in the heart; common for sincere joy after good news or safe return.,/ˈpaki iˈjolo/,Paki iyolo n lamatsin keman okalakiko ikonetsi de escuela.,Nopiltzin paki iyolo pampa otikchijkeh se kuali ilwitl.,"Keman okikakkeh ke ayakmo kokoxki, nochi kalijtik paki ininyolo."
Kokowa iyolo,Intransitive stative clause: kokowa ‘hurts/is sick’ + possessed noun i-yolo; body-part metaphor for emotional pain.,"The person is sad, worried, hurt, or grieving inside.",Yeh mokuesoa wan tlaokoa.,B1,condolences; family conflict; migration; illness; intimate conversation,"serious, empathetic, colloquial","Grounded in a regional heart-centered emotional vocabulary; appropriate when pain is moral or relational, not only physical.",/koˈkowa iˈjolo/,Kokowa iyolo n nana pampa ipiltzin oyah wejka tekiti.,Amo xiktlahtolkokoli; nikitta ke kokowa moyolo.,"Keman otikmatkeh tlen opanok, okokox toyolo wan otimokajkeh san titlakakih."
Yeh kahki itech ome ohtli,Locative existential clause: pronoun + kahki ‘is/stands’ + locative phrase itech ome ohtli ‘on two roads’; metaphorical spatial idiom.,Someone is undecided between two choices or pulled by conflicting obligations.,Yeh amo kimati tlen kichiwaz.,B2,advice; work choices; marriage decisions; migration; politics,"reflective, colloquial, mildly poetic","Uses the road as a life-choice metaphor, resonant in mountain communities where paths connect homes, markets, fields, and migration routes.",/jeh ˈkahki iˈtet͡ʃ ˈome ˈohtɬi/,Yeh kahki itech ome ohtli: kisas tekiti o mokawas kampa ichan.,"Amo xikchiwa san nima, pampa tikah itech ome ohtli wan moneki tiknemiliz.",N tekiuajketl kahki itech ome ohtli keman n altepetl kitlahtlania atl wan tomin.
Mokawa ika itlajtol,Reflexive/intransitive verb phrase: mo-kawa ‘s/he remains’ + instrumental ika + possessed noun i-tlajtol ‘his/her word’; idiom of commitment.,"Someone keeps a promise, stands by what they said, or remains trustworthy.",Yeh kichiwa tlen okijtoj.,B2,agreements; workplace; civic meetings; family obligations; conflict mediation,"respectful, serious, communal",Speech is socially binding in Nahua communal life; this idiom frames a person’s word as a place where moral reliability remains.,/moˈkawa ˈika itɬahˈtol/,"Notata mokawa ika itlajtol; tla kijtoa ke hualas, hualas.",Itech tekitl san akin mokawa ika itlajtol kuali motta.,Okimakakeh tekitl pampa nochi kimatih ke yeh mokawa ika itlajtol.
Kipowa ika ome ixtelolo,Transitive verb phrase: ki-powa ‘s/he counts/reads’ + instrumental phrase ika ome ixtelolo ‘with two eyes’; fixed idiom of careful attention.,"Someone examines something carefully, not superficially.",Yeh kitta kuali wan amo san panowa.,B2,crafts; contracts; schoolwork; farming; medical instructions,"practical, advisory, colloquial","Connects seeing with responsibility; useful in settings where careful reading, counting, seed selection, or medicine use prevents harm.",/kiˈpowa ˈika ˈome iʃteˈlolo/,Xikpowa ika ome ixtelolo n amatl antes de tiksignaroz.,N tlamachtijketl techilwia ma tikpowakan ika ome toixtelolo tlen otijkuilojkeh.,"Keman tikkowa sintli, xikpowa ika ome ixtelolo pampa amo nochi kuali."
Kisa poctli itech ichan,Intransitive motion/event clause: kisa ‘comes out’ + noun poctli ‘smoke’ + locative itech ichan ‘from/at his/her house’; metaphorical warning idiom.,"There is visible trouble, conflict, or a problem that can no longer be hidden.",Onka se kuesolli wan nochi ya kittah.,C1,gossip; family conflict; political criticism; warnings; narrative,"ironic, vivid, colloquial",Smoke is a household sign that something is burning or cooking; figuratively it marks hidden tension becoming visible in community life.,/ˈkisa ˈpoktɬi iˈtet͡ʃ iˈt͡ʃan/,Kisa poctli itech ichan pampa nochi vecinos yokikakkeh n kuesolli.,Amo xikijto ke amo tleno panowa; ya kisa poctli itech mochan.,Itech municipio kisa poctli pampa n gente kitlahtlania tlen kanin oyah n tomin.
San se yolo titekiti,Nominal-adverbial unity phrase: san se yolo ‘only one heart’ + intransitive plural verb ti-tekiti ‘we work’; collective idiom.,"People act with unity, shared purpose, and mutual trust.",Titekiti san sekan wan timopaleuiah.,B1,community work; family cooperation; festivals; school teams; assemblies,"communal, encouraging, positive",Echoes tequio/faena-style collective labor and Nahua values of reciprocity; the heart represents shared intention.,/san se ˈjolo titeˈkiti/,"San se yolo titekiti, yeka n ilwitl kisa kuali.","Tla san se yolo titekiti, welis tikyektlaliskeh n atlajkolli.",N siwameh wan n tlakameh san se yolo tekiti ipan kalnechikolli.
Amo kikaki iyolo,Negative transitive sensory-cognitive clause: amo + ki-kaki ‘s/he hears/listens to’ + i-yolo ‘his/her heart’; idiom of ignored conscience.,"Someone ignores their conscience, better judgment, or inner feeling.",Yeh amo kimokuitlahuia tlen kuali kimachilia.,C1,moral advice; family correction; political critique; storytelling; sarcasm,"critical, reflective, sometimes admonishing","Combines hearing with the heart as an inner moral voice; strong but not vulgar, often used in counsel or reproach.",/ˈamo kiˈkaki iˈjolo/,"Amo kikaki iyolo, yeka okichi tlen okinkokoh n tokniwan.",Xikaki moyolo antes de tikijtos se tlahtolli tlen tekokowa.,N tekiuajketl amo kikaki iyolo keman n altepetl okitlahtlani tlen melawak.
Kimama itonal ipan iajkol,Transitive-body metaphor clause: ki-mama ‘s/he carries’ + i-tonal ‘his/her day/spirit/fortune’ + locative ipan i-ajkol ‘on his/her shoulder’; poetic idiom.,"Someone carries heavy responsibility, fate, or emotional burden with patience.","Yeh kipia miak tekitl wan kuesolli, pero kiyolchikawa.",C2,literature; elder speech; migration stories; leadership; grief and resilience,"poetic, serious, elevated",Draws on the cultural weight of tonal as life force/day-sign and the shoulder as the body’s load-bearing place; suitable for high-register narrative.,/kiˈmama iˈtonal iˈpan iahˈkol/,"Kimama itonal ipan iajkol n nana, pero amo keman kinkahua ipilwah.",N tekitini kimama itonal ipan iajkol keman kisa sejsepa para wejka.,"Itech n kuento, n huehue tlakatl kimama itonal ipan iajkol wan ok techmachtia ma tiyolchikawakan."
