Idiom (Manchu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–A2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Manchu)",First Example Sentence,Second Example Sentence,Third Example Sentence
Booi jalin be tuwame sain be mutereme,Fixed clause; imperative structure,Appreciate what you have at home before seeking elsewhere.,Value your own family and possessions.,B1,"Family, moral advice, traditional speech","Colloquial, reflective",Common wisdom among early Qing Manchus emphasizing family unity.,[po.i ʤa.lin be tu.wa.me sa.in be mu.te.re.me],"Muse de ere sain be akū oci, booi jalin be tuwame sain be mutereme sembi.","Mini ama ere gisun be gisureme, booi jalin be tuwame sain be mutereme sembi.","Niyalma sain akū oci, booi sain be mutereme sembi."
"Sargan be jifi, urgun be suha",Parallel structure; imperative phrase,Act wisely and keep your intentions pure.,Be clever but honest.,B2,"Proverbs, ethical discourse, leadership","Formal, moral",Traditional Manchu moral teaching used in administrative training.,[sar.ɡan be ʤi.fi ur.ɡun be su.ha],"Ama be tuwame sembi, sargan be jifi, urgun be suha seme.","Ambasa de sargan be jifi, urgun be suha seme sain bi.","Muse de sain i ambasa sargan be jifi, urgun be suha sembi."
"Turgun be hūlafi, sain be tuwame",Compound clause; causative verb form,Learn from mistakes to achieve goodness.,Learn through experience.,B2,"Education, wisdom sayings, life lessons","Colloquial, didactic",Manchu proverb emphasizing learning from failure.,[tur.ɡun be xu.la.fi sa.in be tu.wa.me],"Muse de turgun be hūlafi, sain be tuwame sembi.",Niyalma akū be hūlafi sain be tuwame seme bihe.,Bi ilibuha de turgun be hūlafi sain be tuwame sembi.
Juse be alime giyan seme,Fixed phrase; participial clause,Educate the youth with sincerity.,Teach children honestly.,B1,"Education, parenting, moral instruction","Formal, moral",Rooted in Manchu clan teaching traditions.,[ʤu.se be a.li.me ɡi.jan se.me],"Ama be gisureme sembi, juse be alime giyan seme.",Muse de juse be alime giyan seme seme sain bi.,"Niyalma juse be alime giyan seme akū oci, urgun akū oho."
Ton be jakūfi sain be mutereme,Causative-reflexive structure; fixed expression,Work hard before seeking reward.,Earn before enjoying.,B1,"Work ethic, moral sayings, education","Proverbial, formal",Common idiom in Qing-era Manchu communities about diligence.,[ton be ʤa.ku.fi sa.in be mu.te.re.me],Muse de ton be jakūfi sain be mutereme sembi.,"Si sain akū oci, ton be jakūfi sain be mutereme seme bihe.","Mini eme be gisureme sembi, ton be jakūfi sain be mutereme."
Giyan be gisure seme,Nominal-verb clause; participial,Speak with honesty from the heart.,Speak sincerely.,A2,"Speech, communication, ethics","Colloquial, emotional",Derived from Manchu concept of moral clarity (giyan).,[ɡi.jan be ɡi.su.re se.me],"Si be tuwame sembi, giyan be gisure seme.",Mini ama giyan be gisure seme sain bi.,Muse de niyalma giyan be gisure seme tacimbi.
Urun de sain i giyan be hūlha,Subordinate clause; participial + object clause,Look for goodness in difficulty.,Stay positive in hard times.,B2,"Encouragement, moral speech, literature","Poetic, motivational",Traditional Manchu optimism seen in folk tales.,[u.run de sa.in i ɡi.jan be xu.lxa],Muse de urun de sain i giyan be hūlha seme sembi.,"Bi akū be tuwame, urun de sain i giyan be hūlha sembi.","Si sain akū oci, urun de sain i giyan be hūlha seme bihe."
Sain i gūnin be hūlha akū,Negated clause; participial phrase,Don’t lose good intentions.,Keep your good will.,B2,"Moral instruction, encouragement","Moral, calm",Moral reminder used in religious Manchu sayings.,[sa.in i ɡu.nin be xu.lxa a.ku],Bi sain i gūnin be hūlha akū seme sembi.,Si sain i gūnin be hūlha akū seme tacimbi.,Muse de sain i gūnin be hūlha akū seme bihe.
Hūlha be sufi sain be mutereme,Causative clause; participial,Forgive to preserve peace.,Be forgiving.,B1,"Conflict resolution, moral sayings","Formal, spiritual",Traditional Manchu Buddhist-influenced ethics.,[xu.lxa be su.fi sa.in be mu.te.re.me],Muse de hūlha be sufi sain be mutereme seme sembi.,Bi akū be sufi sain be mutereme seme oho.,Si be hūlha be sufi sain be mutereme seme tacimbi.
Tuwan i boo de sain be jakūfi,Nominalized possessive clause,Keep peace in one’s own home.,Maintain harmony at home.,A2,"Family, community, moral speech","Colloquial, communal",Traditional saying promoting domestic harmony.,[tu.wan i bo.de sa.in be ʤa.ku.fi],Muse de tuwan i boo de sain be jakūfi sembi.,Si tuwan i boo de sain be jakūfi seme tacimbi.,Bi sain i boo de sain be jakūfi seme bihe.
