Idiom (Gallurese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Gallurese)",First Example Sentence,Second Example Sentence,Third Example Sentence
A bòna fami no s’agatta malu ricattu,"Proverbial negative clause with impersonal/reflexive construction; prepositional phrase fronting, negation no, verb agattà in present indicative.","When someone truly needs something, they are less picky and accept what is available.",Ca ha bisognu s’adatta a lu chi trova.,B1,daily speech; family advice; food; scarcity; humorous pragmatism,colloquial; proverbial; practical,"Rural Gallurese food wisdom: hunger, household economy, and pastoral modesty make usefulness more important than refinement.",[a ˈβɔna ˈfami no zaˈɣatta ˈmalu riˈkattu],No ti lagnà di lu pani duru: a bòna fami no s’agatta malu ricattu.,"Dopu tuttu lu trabaddu in campagna, a bòna fami no s’agatta malu ricattu.","Quandu semu ghjunti tardi a casa, minn’aghju arricurdata: a bòna fami no s’agatta malu ricattu."
"A paràuli macchi, arìcci suldi",Elliptical proverbial sentence with paired noun phrases; plural abstract complement and adjectival agreement.,Do not waste attention on foolish or offensive words; ignore nonsense.,No ascultà li discorsi senza sensu.,B1,arguments; gossip; social media; family counsel; workplace restraint,colloquial; ironic; admonitory,A compact oral formula used in village conversation to preserve dignity and avoid escalating quarrels.,[a paˈɾauli ˈmakki aˈrittʃi ˈzuldi],"Lassa ch’eddu parli; a paràuli macchi, arìcci suldi.","In piazza anu dittu di tuttu, ma eu aghju fattu a paràuli macchi, arìcci suldi.","Mamma mi dicia sempri: a paràuli macchi, arìcci suldi, e la paci ferma in casa."
Appunzià lu farru cand’è caldu,Infinitival idiom with definite object; temporal subordinate clause with present indicative.,Act at the right moment while conditions are favorable.,"Fà la cosa subitu, mentri ci hè l’occasioni bona.",B2,business; negotiation; farming; craftwork; personal opportunity,neutral; proverbial; strategic,"Linked to blacksmithing and manual trades, where timing and heat determine whether iron can be shaped.",[appunˈdzja lu ˈfarru kanˈdɛ ˈkaldu],Lu clienti è prontu a firmà: appunziemu lu farru cand’è caldu.,"Pa cumprà dda casa, babbu dissi ch’era l’ora d’appunzià lu farru cand’è caldu.","No aspittà troppu, chì li cosi boni si pigliani appunziendi lu farru cand’è caldu."
Bisogna stirrì lu pedi cant’è mannu lu linzolu,Impersonal modal construction with infinitive; comparative clause expressing proportion between action and limit.,Live within your means; do not spend or promise more than you can afford.,Bisogna adattassi a li mezzi chi si hani.,B2,money; household planning; business budgeting; parental advice,proverbial; prudent; mildly corrective,"Domestic metaphor from modest rural households, where bedding and resources were measured carefully.",[biˈzoɲɲa stirˈri lu ˈpɛdi kanˈtɛ ˈmannu lu linˈdzolu],No ti cumprà una machina chi no poi mantinì: bisogna stirrì lu pedi cant’è mannu lu linzolu.,"Pa la festa femu lu chi pudemu, chì bisogna stirrì lu pedi cant’è mannu lu linzolu.","L’impresa crisciarà pianu pianu, senza scurdassi di stirrì lu pedi cant’è mannu lu linzolu."
"Bucca di méli, cori di féli",Nominal elliptical antithesis with two coordinated metaphorical noun phrases; no finite verb.,"Someone speaks sweetly but hides bitterness, malice, or bad intentions.","Pari gentili, ma no è sinceru.",C1,gossip; politics; workplace rivalry; literature; sarcasm,poetic; sharp; ironic,"Uses the traditional contrast between honey and bile, common in Mediterranean moral imagery, to expose false sweetness.",[ˈbukka di ˈmeli ˈkori di ˈfeli],"No ti fidà troppu di chiddu: bucca di méli, cori di féli.","In riunioni sorridia a tutti, ma la ghjenti sapi ch’edda hè bucca di méli, cori di féli.","Lu pueta l’ha discritta bè: bucca di méli, cori di féli, e manu sempri pronta a piglià."
Ca dròmmi no pidda pesciu,Relative proverbial clause with present indicative; negation no; transitive verb plus direct object.,Those who are lazy or inattentive miss opportunities.,Ca no s’impegna perdi l’occasioni.,A2,work; school; fishing; motivation; morning routines,colloquial; motivational; mildly teasing,"Rooted in coastal and rural labor rhythms: fishing, farming, and market work reward early action.",[ka ˈdrɔmmi no ˈpidda ˈpeʃʃu],"Alzeti prestu, figliolu, ca dròmmi no pidda pesciu.",Lu postu bonu a lu mircatu l’ani presu l’altri: ca dròmmi no pidda pesciu.,"Pa imparà lu gadduresu ci voli custanza, chì ca dròmmi no pidda pesciu."
Da lu saccu no vi pò iscì chi lu chi v’è,Negative existential/proverbial clause with locative source phrase; modal verb pò and infinitive iscì.,You cannot get from a person or situation what is not actually there.,No si pò ottena ciò chi manca.,B2,education; management; family expectations; realistic planning,neutral; philosophical; resigned,"Draws on storage sacks used for grain, flour, and provisions in agrarian Gallurese life.",[da lu ˈzakku no βi pɔ iʃˈʃi ki lu ki βɛ],No li dumandà una risposta ch’eddu no sapi: da lu saccu no vi pò iscì chi lu chi v’è.,"La scola faci assai, ma da lu saccu no vi pò iscì chi lu chi v’è.","In dda squadra mancani risorsi; da lu saccu no vi pò iscì chi lu chi v’è, puru cu la bona vulintai."
Dugna nodu veni a lu pèttini,"Proverbial declarative clause; universal quantifier dugna, subject noun, motion verb, directional prepositional phrase.",Hidden problems or unresolved matters eventually come to light.,Prima o poi li prublemi si scoprini.,B1,truth-telling; accounting; family secrets; politics; investigations,proverbial; serious; warning,The comb image comes from everyday grooming and wool or fiber work: knots cannot remain hidden forever.,[ˈduɲɲa ˈnodu ˈβeni a lu ˈpɛttini],"No falsificà li conti, chì dugna nodu veni a lu pèttini.","Ani piattu la storia pa anni, ma dugna nodu veni a lu pèttini.","Lu ziu suspirò e dissi: la viritai camina pianu, ma dugna nodu veni a lu pèttini."
Faci lu maccu pa no pacà l’ustéra,Present indicative idiom with predicative noun phrase; purposive clause introduced by pa plus infinitive.,"Someone pretends not to understand in order to avoid responsibility, payment, or blame.",Fingi d’ùn capì pa scappà da lu duveri.,C1,humor; tavern stories; negotiations; family disputes; satire,colloquial; humorous; accusatory,"Tavern-centered social humor: the ostaria/ustéra was a place of bills, excuses, jokes, and public reputation.",[ˈfatʃi lu ˈmakku pa no paˈka lusˈtera],"Quandu ghjunghji lu contu, iddu faci lu maccu pa no pacà l’ustéra.",No hè sminticatu nudda; faci lu maccu pa no pacà l’ustéra.,"In uffìciu dici di no sapè, ma tutti vidini ch’eddu faci lu maccu pa no pacà l’ustéra."
"A carrasciali, dugna burrula si ’ali",Temporal/prepositional proverbial frame with universal quantifier; impersonal reflexive/passive-like construction.,"During Carnival, jokes and playful reversals are tolerated more than usual.",A Carrasciali la ghjenti accetta più faciuli li scherzi.,B2,Carnival; humor; village festivals; teasing; social inversion,festive; colloquial; playful,Carnival proverb from Gallura: seasonal license allows joking before Lent restores seriousness and social order.,[a karraˈʃali ˈduɲɲa ˈburrula si ˈβali],"No ti ni piglià troppu, oghji hè Carrasciali: a carrasciali, dugna burrula si ’ali.","Li maschari ridiani in carrèra, e tutti diciani: a carrasciali, dugna burrula si ’ali.","Ancu lu più seriu di lu paesi s’hè missu a cantà, parchì a carrasciali, dugna burrula si ’ali."
