Idiom (Esperanto),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Esperanto)",First Example Sentence,Second Example Sentence,Third Example Sentence
Meti la piedon en la buŝon,Transitiva frazo kun artikolita substantivo kaj prepoziciaĵo,Diri ion malkonvenan aŭ embarasan senintence,Fari socian eraron per parolo,B2,"sociaj interagoj, embarasaj situacioj","kolokvia, humura",Adapto de angla idiomo uzata inter okcidentaj esperantistoj en neformalaj kunvenoj,ˈmeti la ˈpjedon en la ˈbuʃon,Mi vere metis la piedon en la buŝon hieraŭ kiam mi komentis pri ŝia frato – mi ne sciis ke li mortis.,Li ĉiam metas la piedon en la buŝon kiam li provas esti amuza ĉe festoj.,"Ŝi metis la piedon en la buŝon dum la intervjuo, parolante tro sincere pri la eksa estro."
Ne elteni eĉ muŝon,Negativa verbo kun figura subjekto,Esti tre sentema aŭ nekapabla toleri eĉ etan ĝenon,Esti ekstreme sentema aŭ facile ĝenata,C1,"personaj trajtoj, familia vivo","kolokvia, ironia",Tradicia diraĵo el parolata Esperanto en hejmaj medioj,ne elˈteni eʧ ˈmuʃon,"Kiam temas pri kritiko, li ne eltenas eĉ muŝon.",Ŝi ne eltenas eĉ muŝon – ĉio ŝajnas al ŝi tro laŭta aŭ tro brila.,"Mi provas esti pacienca, sed foje mi ankaŭ ne eltenas eĉ muŝon!"
Kudri la sakon,Infinitiva verbo kun rekta objekto,Finigi aferon aŭ fermita interkonsento,Konkludi aŭ fermi interkonsenton,B1,"negocadoj, laboro","neŭtrala, profesia",Industria metaforo uzata en Esperanto-laboristaj rondoj,ˈkudri la ˈsakon,Ni jam diskutis la detalojn – estas tempo kudri la sakon.,"Post horoj da intertraktado, ili finfine kudris la sakon.","Se ĉiuj konsentas, ni kudru la sakon kaj eklaboru."
Eliri el sia haŭto,Refleksiva verbo kun prepozicia frazo,Ege koleriĝi aŭ maltrankviliĝi,Perdi sin pro fortaj emocioj,B2,"emociaj reagoj, familia vivo","emocia, figura",Inspirita de zamenhofaj rakontoj en la familia medio,eˈliri el ˈsia ˈhɑwto,Li preskaŭ eliris el sia haŭto kiam li perdis la biletojn.,Ŝi eliras el sia haŭto ĉiufoje kiam la infanoj malfruas.,Mi eliris el mia haŭto pro la maljusteco en la decido.
Piki per la rigardo,Transitiva verbo kun instrumenta prepozicio,Rigardi iu tiel akre aŭ malamike ke senteblas la malestimo,Rigardi malamike aŭ kun intensa malŝato,C2,"interhomaj rilatoj, konfliktoj","poetika, ironia",Trovita en esperantlingva poezio de la 1960-aj jaroj,ˈpiki per la riˈgardo,Ŝi pikis min per la rigardo kvazaŭ mi estus la malamiko.,"Post la argumento, li nur pikis per la rigardo kaj eliris.",Infanoj povas piki per la rigardo sen diri eĉ unu vorton.
Fari el muso elefanton,Verba frazo kun figura rekta objekto,Troigi etan problemon,Reagi tro dramece al io eta,A2,"ĉiutaga parolado, familio, lernejo","kolokvia, amuza",Internacia ŝerco adaptita al Esperanto dum Universalaj Kongresoj,ˈfari el ˈmuso eleˈfɑnton,Ne faru el muso elefanton – temas nur pri malgranda makulo.,Li ĉiam faras el muso elefanton pri hejmtaskoj.,Ĉiu scias ke ŝi emas fari el muso elefanton kiam ŝi estas laca.
Havi ŝraŭbon malfiksan,Verba frazo kun adjektiva komplimento,"Akti strange, malkonforme aŭ kvazaŭ freneze",Akti neracie aŭ nekutime,B2,"familiara konversacio, amikoj","humura, kolokvia",Esperantigita versio de internacia diraĵo uzata inter gejunuloj,ˈhavi ˈʃraʊbon malˈfiksan,"Ŝi certe havas ŝraŭbon malfiksan, sed ni amas ŝin tiel.","Post tiu decido, multaj pensas ke li havas ŝraŭbon malfiksan.",Ili agis kvazaŭ kun ĉiuj ŝraŭboj malfiksaj dum la tuta semajnfino.
Esti en la supo ĝis la kolo,Esti-verbo kun prepozicia frazo indikanta ekstreman implikiĝon,Esti plene engaĝita en malfacila aŭ embarasa situacio,Esti tute kaptita en problemo,B1,"problemoj, humoraj situacioj","humura, figura",Origino en esperantista teatro,ˈesti en la ˈsupo ʒis la ˈkolo,Mi estas en la supo ĝis la kolo kun ĉiuj tiuj taskoj.,Ŝi estis en la supo ĝis la kolo post la bankroto.,Ni ĉiuj estis en la supo ĝis la kolo post la teknika fuŝo.
Kalkuli kokidojn antaŭ la eloviĝo,Infinitiva frazo kun temp-indikilo,Antaŭtempe esperi pri io sen garantio,Fidi je rezulto antaŭ ĝia certeco,B2,"konsilado, komerco, interrilatoj","konsila, malserioza",Tradicie uzata en junularaj Esperanto-kursetoj,kalˈkuli koˈkidojn anˈtaw la eloˈvidʒo,Li jam aĉetis novan aŭton – vere kalkulis kokidojn antaŭ la eloviĝo.,Ne kalkulu kokidojn antaŭ la eloviĝo pri tiu laboroferto.,Ŝi kalkulis kokidojn antaŭ la eloviĝo kaj nun pentas.
Fali de la ĉaro,Verba frazo kun prepoziciaĵa loka indikilo,"Reveni al malnova kutimo, ofte negativa",Ĉesi rezisti tenton aŭ refali al malbona kutimo,C1,"reklamo, sano, emocia subteno","kompata, populara","Importita el internacia AA-esprimo, adaptita en esperanta helpogrupo",ˈfali de la ˈʧaro,"Post tri jaroj sen fumo, li falis de la ĉaro pasintmonate.",Multaj falas de la ĉaro post la ferioj.,Ne kulpigu vin – ĉiuj foje falas de la ĉaro.
