Idiom (Iraqi Arabic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Iraqi Arabic)",First Example Sentence,Second Example Sentence,Third Example Sentence
ما يعجبه العجب ولا الصيام برجب,"Fixed clause, negative construction",Describes someone who's impossible to please no matter what,He's never satisfied with anything,B2,"daily speech, sarcasm","colloquial, ironic",References traditional religious observances; Rajab is a sacred month in Islam,maː jeʕʤibah elʕaʤab wala esˤsˤijaːm biradʒab,كلشي سويتله وضل يشتكي، ما يعجبه العجب ولا الصيام برجب!,هيچ ناس ما يفيد وياهم التعب، ما يعجبهم العجب ولا الصيام برجب.,راضي؟ لا، لأن هو ما يعجبه العجب ولا الصيام برجب.
حط إيده براسه,Verb phrase (reflexive structure),Realized a serious problem or came to a grim realization,He became worried or overwhelmed,B1,"daily speech, family, stress",colloquial,Cultural gesture of worry or stress in Iraqi society,ħatˤ ʔiːdah biraːsah,من سمع الخبر، حط إيده براسه وضل ساكت.,حطيت إيدي براسي من كد ما تعبت من الشغل.,هيه، حط إيده براسه من وره المصيبة.
الحيطان إلها آذان,Fixed clause,"Be careful what you say, someone might be listening","Watch your words, people are listening",B2,"politics, workplace, literature","colloquial, literary, ironic",Historical usage during authoritarian regimes in Iraq,elħiːtˤaːn ʔilha ʔaːðan,سكت، الحيطان إلها آذان، لا أحد يسمعنا.,بهالبيت لازم تحچي بحذر، الحيطان إلها آذان.,من صارت السالفة سياسية، قلتله الحيطان إلها آذان.
يلعب بحبلين,Verb phrase (imperfective),Tries to manipulate both sides or play it both ways,He’s two-faced or double-dealing,C1,"workplace, politics, sarcasm","colloquial, sarcastic",Common metaphor referencing manipulation,jilʕab biħableːn,لا تصدقه، يلعب بحبلين من زمان.,المدير يلعب بحبلين ويا الإدارتين.,هو چذاب ويلعب بحبلين ويا الكل.
كلمن إيده إله,"Fixed clause, impersonal subject",Everyone’s out for themselves,Every person only cares for themselves,B1,"daily speech, politics",colloquial,Refers to breakdown in social cooperation,kilman ʔiːdah ʔiluh,بالمستشفى، كلمن إيده إله، ماكو تعاون.,هالزمن، كلمن إيده إله وما حد يساعد الثاني.,الوضع صار صعب، كلمن إيده إله.
عنده حظ ابن السبع جدود,Fixed clause,Someone is incredibly lucky,He’s very fortunate,A2,"daily speech, humor","colloquial, humorous",Reference to generational blessing and folklore,ʕindah ħaðð ibn esˤsˤabaʕ ʤuduːd,فاز بالقرعة مرتين، عنده حظ ابن السبع جدود!,والله ما يصير إلا ويفوز، عنده حظ ابن السبع جدود.,كل مرة يربح، هذا عنده حظ ابن السبع جدود.
رَجِل بالجنة ورَجِل بالنار,Fixed clause,Someone is indecisive or caught between two choices,He can’t make up his mind,B2,"family, religion, humor","colloquial, ironic",Draws from Islamic metaphor of heaven and hell,raʒil biljanna w raʒil binnaːr,هو دايمًا رجل بالجنة ورجل بالنار، ما يعرف يقرر.,البنية كل مرة تحيرنا، رجل بالجنة ورجل بالنار.,قراراته غريبة، كأنه رجل بالجنة ورجل بالنار.
مثل الطير المكسور جناحه,"Simile, poetic structure",Describes someone who has lost hope or strength,He’s broken or demoralized,C1,"literature, family, emotion","literary, poetic",Evokes imagery of brokenness and loss,mitˤil etˤtˤeːr elmaksuːr ʤnaːħah,من مات أبوه، صار مثل الطير المكسور جناحه.,عيونه حزينة، مثل الطير المكسور جناحه.,أحچيله بلطف، مثل الطير المكسور جناحه.
السكوت من ذهب,Fixed clause,Silence is golden — keeping quiet is wise,It’s better to stay silent,A1,"daily speech, wisdom","colloquial, proverb","Universal proverb, adopted into Iraqi usage",essˤsˤakuːt min ðahab,لا تحچي، السكوت من ذهب.,سكت، لأن السكوت من ذهب مرات.,السكوت من ذهب، خصوصًا بهالمواقف.
شال النعل وحط التاج,"Verb phrase, ironic transformation",Refers to someone who suddenly acts like royalty after being ordinary,He started acting arrogant after getting a bit of power,C2,"politics, humor, satire","ironic, sarcastic","Sarcastic imagery of role reversal, often class-related",ʃaːl ennaʕal w ħatˤ ettæːʒ,من صار مدير، شال النعل وحط التاج!,شال النعل وحط التاج، بس صار عنده فلوس.,هو چان بسيط، هسه شال النعل وحط التاج.
