Idiom (Isoko),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Isoko)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ọkpọ r’efia vwo ọwọ,Fixed verbal clause with metaphorical noun phrase,Someone pretending innocence after causing trouble,Acting innocent after wrongdoing,B2,"Family disputes, village gossip, satire","Colloquial, ironic",Derived from communal hunting culture where hunters concealed responsibility for failed expeditions,/ɔk͡pɔ̀ rɛ̀fíà vwɔ̀ ɔ́fɔ̀/,"Ena kpọ r’efia vwo ọwọ gba, ama ọ r’eyẹ ruẹ kpẹ.","Ovwe mẹ rẹ, ‘ọkpọ r’efia vwo ọwọ’ kẹ oghene rhiẹ.",Oni ọmọ na kpọ r’efia vwo ọwọ nẹ oghọ ghọ.
Emu kpọ ọkpọ kpọ,Reduplicated verb phrase,To escalate conflict through reckless speech,Adding fuel to the fire,B1,"Politics, arguments, community meetings","Colloquial, sarcastic",Common in Isoko oral dispute traditions,/èmù kpɔ́ ɔ̀k͡pɔ̀ kpɔ́/,Ovwe emu kpọ ọkpọ kpọ ka ọrọ ghọ kpọsẹ.,Mi rọ emu kpọ ọkpọ kpọ vẹ emọte.,Ọ kpọ emu kpọ ọkpọ kpọ ne ogwa.
Ọkpọ kpẹ evu,Nominal idiomatic phrase,A deeply stubborn or shameless person,Extremely stubborn person,A2,"Parenting, humor, social commentary","Humorous, informal",Linked to goat symbolism in Isoko agrarian life,/ɔ̀k͡pɔ̀ kpɛ̀ èvù/,Omote na ọkpọ kpẹ evu; ọ da rhe ọrọ.,Ete rẹ kpọ ọkpọ kpẹ evu ne ugbo.,Mi kie ọkpọ kpẹ evu nẹ ode.
Avwọ kpọ sẹ udi,Metaphorical clause structure,Someone behaving beyond their social limits,Overstepping boundaries,B2,"Leadership criticism, family discipline","Formal, cautionary",References traditional respect systems among Isoko elders,/àvwɔ̀ kpɔ́ sɛ̀ ùdì/,Ọrẹ avwọ kpọ sẹ udi ne ẹka oghọ.,Elders kpọ avwọ kpọ sẹ udi ka omote ghọ.,Mi da avwọ kpọ sẹ udi vẹ oghọ.
Ọkpọ kpọ n’akpo,Fixed locative expression,Someone trapped by their own lies,Caught in one’s deception,C1,"Court disputes, storytelling, moral lessons","Literary, ironic",Used in moonlight folktales warning against dishonesty,/ɔ̀k͡pɔ̀ kpɔ́ nàkpò/,Ọ kpọ kpọ n’akpo mgbe ọrọ fo.,Mi rie ẹhẹ na ọkpọ kpọ n’akpo.,Ovwe kpọ ọkpọ kpọ n’akpo nẹ market.
Ẹkpọ vwo ọkpọ,Parallel noun-verb construction,Mutual destruction caused by rivalry,Both sides suffered losses,C2,"Politics, clan rivalry, literature","Poetic, dramatic",Rooted in inter-community rivalry narratives,/ɛ̀k͡pɔ̀ vwɔ̀ ɔ̀k͡pɔ̀/,Ẹkpọ vwo ọkpọ ne oghene politics.,Ọrọ ghọ jẹ ẹkpọ vwo ọkpọ kpẹ.,Village ghọ rhiẹ ẹkpọ vwo ọkpọ.
Obi rie evu kpọsẹ,Predicate clause with metaphorical object,Inner guilt eventually becoming visible,Guilt cannot stay hidden,B1,"Moral instruction, religion","Reflective, moralizing",Inspired by ritual purity beliefs in traditional Isoko spirituality,/òbí ríé èvù kpɔ́sɛ̀/,Obi rie evu kpọsẹ ne ọkpọ ghọ.,Mi kie obi rie evu kpọsẹ nẹ rẹ.,Oghene ma obi rie evu kpọsẹ.
Ọkpọ gbe ode,Verb phrase with spatial metaphor,To abandon responsibility suddenly,Walking away from duty,A2,"Workplace, farming, family chores","Informal, critical",Comes from communal labor expectations in farming settlements,/ɔ̀k͡pɔ̀ gbé òdé/,Omote kpọ gbe ode ne ugbo.,Mi da ọkpọ gbe ode vẹ project.,Ena rẹ kpọ gbe ode mgbe nsogbu bia.
Avwe kpọ nẹ ashẹ,Comparative metaphorical clause,Pretending strength while secretly weak,False confidence,B2,"Sports, social competition","Sarcastic, playful",Connected to masquerade performance traditions,/àvwé kpɔ́ nɛ̀ àʃɛ̀/,Ọrẹ avwe kpọ nẹ ashẹ ama ọ da ike.,Mi kie avwe kpọ nẹ ashẹ ne football.,Village ghọ ma avwe kpọ nẹ ashẹ.
Ẹkpọ da r’ukpe,Fixed existential idiom,A dangerous silence before conflict,Tense silence before trouble,C1,"Drama, politics, oral storytelling","Poetic, ominous",Traditional expression from village assemblies before judgments,/ɛ̀k͡pɔ̀ dà rùkpɛ̀/,Ẹkpọ da r’ukpe ne meeting ghọ.,Mi rhiẹ ẹkpọ da r’ukpe mgbe elders bia.,Omote ghọ ma ẹkpọ da r’ukpe kpẹ.
