Idiom (Palestinian Arabic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Palestinian Arabic)",First Example Sentence,Second Example Sentence,Third Example Sentence
يا جبل ما يهزّك ريح,nominal phrase; metaphorical structure,"A strong, unshakable person who stands firm in the face of pressure",You're strong and not easily affected,B2,"daily speech, resilience, encouragement","colloquial, metaphorical","Popular across Levant, refers to physical steadfastness of Palestinian mountains",jaː ʤabal maː jhazzak riːħ,حكيتله عن المشاكل كلها، بس رد علي: يا جبل ما يهزّك ريح.,الناس بتهاجمك، بس إنت زي الجبل ما يهزّك ريح.,في وجه المصايب، هو دايمًا بيضل واقف… يا جبل ما يهزّك ريح.
من تمك لباب السما,prepositional phrase,May your wish come true,I hope what you said will happen,A2,"daily speech, blessings, hopes","colloquial, affectionate",Reflects oral culture's poetic religious optimism,min timmak lbaːb isˤsamaː,قاللي إنو يمكن الوظيفة تنقبل، قلتله: من تمك لباب السما.,يارب تصدق الأمنية، من تمك لباب السما.,كل ما تتمنى يتحقق، من تمك لباب السما!
إله بالحيط,verbal clause; preposition + object,He hit a dead end or failed at something,He got stuck or didn’t succeed,B1,"daily speech, sarcasm, workplace","colloquial, sarcastic",Common phrase from street-level humor and frustration,ʔilloː bəlħeːtˤ,حاول يصلّح السيارة، بس إله بالحيط.,المشروع تبعه إله بالحيط من أول أسبوع.,كل خطة بيعملها، آخر شي إله بالحيط.
على راسي من فوق,prepositional phrase,You're highly respected / I respect that deeply,I really appreciate it,A2,"daily speech, respect, customer service","colloquial, polite","Rooted in Bedouin honor culture, expresses utmost respect",ʕala raːsi min foːʔ,أكيد بعمله، على راسي من فوق.,طلبك غالي، على راسي من فوق.,ما بقدر أرفضلك، على راسي من فوق.
بيلف وبدور,present tense verb phrase; coordination,He’s being evasive or not direct,He's avoiding the topic,B1,"daily speech, workplace, argument","colloquial, critical",Reflects cultural sensitivity to honesty and straightforwardness,bijiliff w biduːr,سألته سؤال مباشر، بس بيلف وبدور.,بدنا جواب صريح، مش حدا بيلف وبدور.,كل مرة نحكي معه، بيلف وبدور كأنو في إشي يخبيه.
الله لا يردّك,verbal curse; subjunctive mood,An angry dismissal; ‘get lost’,I don’t want to see you again,C1,"anger, argument, emotional outbursts","colloquial, vulgar, emotional",Common in heated arguments; reflects emotional expression in oral tradition,ʔallaː laː jirriddak,بعد كل اللي عملته، الله لا يردّك!,خانها، فصرخت بوجهه: الله لا يردّك.,وقت المشاكل الكبيرة، بسمع ناس بيحكوا: الله لا يردّك.
ماكل هوا,participle phrase,He’s in serious trouble or struggling badly,He’s in a bad situation,B1,"daily speech, youth slang, workplace, stress","colloquial, humorous, negative",Reflects urban youth slang and exaggeration as humor,maːkil hawaː,قدم الامتحان بدون دراسة، وهلّق ماكل هوا.,الشغل كتير، والمدير معصب… الكل ماكل هوا.,صارله مشكلة كبيرة مع الشرطة، عنجد ماكل هوا!
ضربناها بعلقة,past tense verb phrase with object,We gave him a beating / punished someone,We beat him up,C2,"daily speech, aggression, street language","colloquial, violent, aggressive",Stems from local expressions of justice or revenge,dˤarabnaːha bʕallaʔa,سرق من الحارة، فالشباب ضربناها بعلقة.,كل ما يتصرف غلط، أبوه بيضربه بعلقة.,ما فهم إلا بعد ما ضربناه بعلقة محترمة.
راحت عليه نومة,past verb phrase with prepositional object,He overslept and missed something important,He missed it because he overslept,A2,"daily speech, youth, casual excuses","colloquial, humorous",Widely used excuse; humorously accepted in many settings,raːħit ʕaleːh noːmeh,ما إجا على الامتحان… راحت عليه نومة.,دوامه خلص، وراح عليه نومة كالعادي.,كنت ناوي أروح، بس راحت عليّ نومة!
كأنك يا أبو زيد ما غزيت,conditional metaphorical structure,All effort was in vain; nothing changed,It was pointless,C2,"literature, reflection, workplace, politics","colloquial, literary, ironic",References folk tales of futile heroism; Abu Zayd al-Hilali,kaʔannak jaː ʔabuː zeːd maː ɣazajt,بعد كل التعب بالمشروع، طلع كأنك يا أبو زيد ما غزيت.,اشتغلنا شهر، وما تغير شي… كأنك يا أبو زيد ما غزيت.,رجعنا للمربع الأول، كأنك يا أبو زيد ما غزيت.
