Idiom (Palauan),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Palauan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mengurul a chelsel a reng,Verb phrase with object; reflexive element implied,To heal or soothe one's emotional pain,To feel emotionally better,B2,"Daily speech, comfort, family, friendship","Colloquial, empathetic",Rooted in Palauan belief in the heart (‘reng’) as the seat of emotions,/me.ŋu.ru.l a t͡ʃel.sel a reŋ/,A Droteo a mla mo mengurul a chelsel a reng er a urreor el diak el mle sebechel.,Ng diak el mo oureor er a kall el mo mengurul a chelsel a reng a kalluk.,"A blai a mle mo mekngit, e mengurul a chelsel a reng er a rengalek."
Molechui a bilas,Verb-object phrase,To abandon someone or something suddenly,To leave abruptly,B1,"Daily speech, workplace, politics","Colloquial, critical","Derived from seafaring culture, where abandoning a canoe could be disastrous",/mo.le.t͡ʃu.i a bi.las/,"Ng diak el oureor a Toki, a mla mo molechui a bilas er a klou el mo le ngmai.",A sers el mo mle oureor a rengalek el mo molechui a bilas a kalluk.,A Droteo a mle oureor e molechui a bilas el mo mle diak.
Omengereom a reng,Reflexive verb phrase,To encourage oneself or gain courage,To motivate oneself,B2,"Daily speech, self-help, education","Colloquial, motivational",The ‘reng’ (heart) symbolizes bravery and inner strength,/o.me.ŋe.re.om a reŋ/,Ng diak el mo mle oureor a rengalek el mo omengereom a reng.,A skuul a mle mo oureor e omengereom a reng el mo oureor a hong.,Ak mo mle oureor er a bank el mo omengereom a reng.
Melemalt el delal a blai,Verb phrase with object noun phrase,To betray trust,To be unfaithful or dishonest,C1,"Politics, personal relationships","Colloquial, accusatory",Blai (house) symbolizes safety and trust in Palauan culture,/me.le.malt el de.lal a blai/,A president a mle mo melemalt el delal a blai er a rengalek.,Ng mla mo mle melemalt el delal a blai el mo mle diak el mo leched.,A mad el mo mle melemalt el delal a blai el mo mle sebechel.
Melai er a tekoi,Verb-preposition phrase,To speak without thinking,To be careless with words,B1,"Daily speech, humor","Colloquial, humorous",Reflects importance of careful speech in Palauan interpersonal relations,/me.lai er a te.koi/,A Droteo a mle mo melai er a tekoi e mengai a rengalek.,Ng mla mo mle melai er a tekoi el mo mle chad el mo kirel.,Ak diak el mo melai er a tekoi el mo mle oureor.
Ongai a dilu,Verb-object phrase,To accept responsibility,To take the blame,B2,"Workplace, politics","Colloquial, formal",Dilu (paddle) symbolizes steering or guiding responsibility,/o.ŋai a di.lu/,Ng mla mo mle ongai a dilu er a rengalek.,A sers el mo mle oureor a rengalek el mo mle ongai a dilu.,Ak mo mle oureor el mo mle ongai a dilu.
Meruul a cheldecheduch,Verb-object phrase,To work together harmoniously,To collaborate,B1,"Workplace, education, community projects","Colloquial, formal",Cheldecheduch refers to communal work parties in Palauan tradition,/me.ru.ul a t͡ʃel.de.t͡ʃe.du.t͡ʃ/,A skuul a mle mo meruul a cheldecheduch er a project.,A beluu a mla mo meruul a cheldecheduch el mo mle ngau.,Ng mla mo mle meruul a cheldecheduch el mo mle sebechel.
Mengai a chad,Verb-object phrase,To invite someone,To ask someone to come,A2,"Daily speech, family, social events",Colloquial,Reflects Palauan hospitality customs,/me.ŋai a t͡ʃad/,Ak mo mengai a chad er a kalluk el mo mle sebechel.,A Droteo a mle mo mengai a chad er a suulech.,Ng mla mo mle mengai a chad er a klou.
Diak le ngmai,Negative verb phrase,To be unwilling or reluctant,To refuse,A2,"Daily speech, family, workplace",Colloquial,Common phrase in everyday Palauan speech,/di.ak le ŋmai/,Ng mla mo mle diak le ngmai el mo mle urreor.,A chad a diak le ngmai el mo mle oureor.,Ak diak le ngmai el mo mle kirel.
Ousebek a reng,Verb-object phrase,To hold a grudge,To remain angry at someone,B2,"Daily speech, family, politics","Colloquial, critical",Reng (heart) signifies emotions; keeping anger within is culturally noted,/ou.se.bek a reŋ/,A Droteo a mla mo ousebek a reng er a Toki.,Ng mla mo mle ousebek a reng el mo mle diak el mo leched.,Ak mla mo mle ousebek a reng er a rengalek.
