Idiom (Pech),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Pech)",First Example Sentence,Second Example Sentence,Third Example Sentence
taoʔk pok,Fixed nominal phrase with numeral taoʔk plus noun pok; used predicatively or as a discourse image.,"A small, concrete thing that represents a larger chance, task, or responsibility.",one important opportunity or matter,B1,daily speech; advice; family planning; work decisions,"colloquial, reflective",Built from common Pech imagery around counting and tangible objects; useful in speech about choosing carefully in household or village work.,/taoʔk pok/,taoʔk pok =i taaũh aye =ʔi tʃaberuri kaʔo as =yã.,"tas =ma taoʔk pok akari, ã =yã suwa taiʃkari.","ĩ =kan taoʔk pok =ma ũtakaki, nĩhã ũtatũheri."
kwi kwi kah aki,Reduplicated adverbial expression followed by verbal predicate; intensifies repeated movement or effort.,To keep trying again and again even when the path is difficult.,continue making repeated effort,B2,encouragement; learning; work; community tasks,"colloquial, encouraging",Echoic repetition resembles oral storytelling rhythm in Pech narratives and emphasizes persistence through repetition.,/kwi kwi kah aki/,"akãʃkwa ã taoʔk =mã kwi kwi kah aki, aryaha ũtakatʃaitVi =ras.","tasuwa =yo kwi kwi kah aki, takaki =ma ausiʔ =ri.","ĩ =ɲa kwi kwi kah aki, apuru piʃbarpi =ra."
sawa sukuhari,Fixed verbal clause with lexicalized predicate; may stand alone as an evaluative comment.,"Something has settled, finished, or come out clearly after confusion.",the matter became clear or ended,A2,daily conversation; clarification; family talk; storytelling,"neutral, conversational",Associated with ordinary narrative closure; useful when a speaker marks that an event or explanation has resolved.,/sawa sukuhari/,sawa sukuhari ke ta kwi =hãʔ.,ã =yã teʃka sawa sukuhari.,toʔ taarwã =yo sawa sukuhari.
artʃuiʃkari,Single lexicalized verbal form used as a compact idiomatic predicate.,"To speak up, recount, or bring a remembered matter into the open.",tell it openly,B1,storytelling; testimony; family memory; community meetings,"neutral, narrative",Frequently shaped by oral-history contexts where elders and speakers recount remembered events.,/artʃuiʃkari/,akina tis artʃuiʃkari.,ĩ =ɲa artʃuiʃkari ã =yo apuru piʃbarpi =ra.,kakorsa =ma artʃuiʃkari tas =ma.
ã =yã tʃaa aka,Pronominal/discourse particle sequence plus predicate; idiomatic clause used with stance marking.,To act as if the matter is already understood or obvious.,say or do it as something obvious,B2,informal explanation; teasing; argument; correction,"colloquial, mildly ironic",Draws on compact discourse particles common in Pech conversation; often carries speaker stance beyond literal content.,/ã jã tʃaa aka/,ã =yã tʃaa aka taiʃkari.,tas =ri ã =yã tʃaa aka taiʃbari.,"ã =yã tʃaa aka, nãtVi =ma arwã."
nĩhã ũtatũheri,Adverbial element plus inflected verbal form; idiomatic predicate of completion or realization.,"To finally understand, notice, or recognize what was hidden before.",finally understand it,B2,learning; advice; disagreement; storytelling,"reflective, explanatory",Useful in narratives where realization follows repeated attempts or elders’ advice.,/nĩhã ũtatũheri/,ĩ =kan ũtas =mã nĩhã ũtatũheri.,taoʔk pok =ma nĩhã ũtatũheri ã =yã.,"tasuwa =yo nĩhã ũtatũheri, ãri =ri takaki."
tasuwa wah ausiʔ,Possessive/topic phrase with evaluative lexical item; used as an idiomatic description.,"A person’s words carry weight, seriousness, or consequence.",serious or important speech,C1,leadership; counsel; ceremony; family authority,"formal, respectful","Reflects the cultural value of careful public speech, counsel, and accountability in community contexts.",/tasuwa wah ausiʔ/,tasuwa wah ausiʔ =ri aryaha akatʃaitVri.,takaki =mã tasuwa wah ausiʔ =ri.,ã =kan tasuwa wah ausiʔ =ma ũtasuwa =ma.
pẽh krahã,Nominal expression combining ethnonym/community term with locative or relational noun; idiomatic identity phrase.,"To speak from Pech belonging, memory, and responsibility.",act or speak as a Pech community member,C1,cultural identity; education; public speech; heritage work,"respectful, cultural, literary",Anchored in Pech self-reference and community continuity around Dulce Nombre de Culmí and surrounding Pech-speaking areas.,/pẽh krahã/,tekiʃka =ri ã kaʔo =ma pẽh krahã =yo.,pẽh krahã =yo tasuwa takaki =ri.,ã =yã pẽh krahã =ma artʃuiʃkari.
toʔ taarwã,Deictic/discourse element plus verbal or nominal predicate; idiomatic time-and-place anchor.,"Right there, at the decisive moment when a matter becomes visible.",at that exact moment,B1,narration; directions; eyewitness accounts; humor,"narrative, vivid","Common narrative anchoring device, useful for locating decisive moments in spoken accounts.",/toʔ taarwã/,toʔ taarwã =yo pahri wakʔã.,toʔ taarwã =ma ã =yã artʃuiʃkari.,toʔ taarwã =ras kwi pok akari.
yar nãi,Compact paired lexical phrase; idiomatic evaluative phrase used inside larger clauses.,"A matter feels uncertain, unstable, or hard to trust.",uncertain or doubtful situation,B2,warnings; planning; negotiation; politics; sarcasm,"colloquial, cautious",Uses brief paired words in an oral style that can compress doubt or social caution without a long explanation.,/jar nãi/,yar nãi =ma tasuwa takaki =ri.,ĩ =kan yar nãi =mã ũtasuwa =ma.,"yar nãi, ã =yã ke artʃuiʃkari."
