Idiom (Pichinglis),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Pichinglis)",First Example Sentence,Second Example Sentence,Third Example Sentence
Wata pas gari.,Fixed comparative clause: noun subject + intransitive/comparative verb “pas” + noun complement; no inflection on the verb.,A situation has become too much to handle; someone is overwhelmed or out of their depth.,Di tin don big pas wetin wi fit kontrol.,B1,daily speech; family advice; workplace stress; politics; humor,colloquial; vivid; mildly humorous,Shared West African coastal creole imagery: a canoe or vessel loses control when water rises over it; commonly adapted in Bioko urban speech for crises.,/ˈwata pas ˈɡari/,"Dis palava na wata pas gari, so mek wi kol ol man dɛm fɔ tɔk.","Wen di rent, skul moni, en siknes kam wan taim, wata pas gari fɔ di fambl.","Gobna prɔmis plenti tin, bɔt naw so wata pas gari fɔ dem office."
Mɔt no get bɔn.,Negative existential/possessive clause: noun subject + negator “no” + verb “get” + noun object.,"People can say anything freely, even careless, hurtful, or exaggerated things.","Pipul fit tɔk eni tin, so no biliv evri wɛd kwik.",A2,gossip; social media; family disputes; market talk; warnings,colloquial; cautionary; sometimes sarcastic,Common creole proverb built on the image that the mouth has no bone to restrain it; used across Krio-related and pidgin-speaking communities.,/mɔt no ɡɛt bɔn/,"No vex fɔ wetin i se, mɔt no get bɔn en i de tɔk tumɔs.","Na maket yu go hie nyus fasta, bɔt mɔt no get bɔn.","Mɔt no get bɔn, so beta yu chɛk di trut bifo yu shea di stori."
Hɛn we wan lay ɛg no de mek noys.,Relative-clause proverb: noun head + relative marker “we” + verb phrase; followed by negative habitual predicate.,A person with serious plans often works quietly instead of announcing everything.,Pipul we gɛt rɛal plan de wok kwaet bifo dem sho rɛzɔlt.,B2,business; study; ambition; family counsel; leadership,proverbial; wise; respectful,Farmyard imagery familiar in many West African communities: productive effort is contrasted with empty noise.,/hɛn we wan le ɛɡ no de mek nɔiz/,No luk Paskal kwaet so; hɛn we wan lay ɛg no de mek noys.,"Di gyal no de bost, bɔt hɛn we wan lay ɛg no de mek noys.","Fɔ dis prɔjekt, mek wi wok fɔst, bikɔs hɛn we wan lay ɛg no de mek noys."
"Smɔl smɔl, monki de go fɔ bush.",Reduplicated adverbial phrase + progressive aspect marker “de” + motion verb phrase.,Progress happens gradually; patience and consistent effort bring results.,Wi go rich di gol step bai step.,A2,learning; work training; savings; child-rearing; encouragement,colloquial; encouraging; warm,Animal imagery from forest and village life around the Gulf of Guinea; slow movement into the bush symbolizes gradual success.,/smɔl smɔl ˈmɔnki de ɡo fɔ buʃ/,"No frɛt di langwej; smɔl smɔl, monki de go fɔ bush.","A de sev twenti mil evri wik, bikɔs smɔl smɔl, monki de go fɔ bush.","Di pikin no sabi rid yete, bɔt smɔl smɔl, monki de go fɔ bush."
Yu de karay wud fɔ faya we go bɔn yu.,Progressive declarative clause with relative clause: subject + “de” + verb object + purposive “fɔ” + noun + relative “we” + future predicate.,Someone is helping create the very problem that will later hurt them.,Yu de help wan tin we go trɔbul yu leta.,C1,politics; betrayal; workplace rivalry; family warnings; moral commentary,proverbial; stern; ironic,Hearth and firewood imagery reflects household cooking practices; the idiom frames self-sabotage as preparing one’s own danger.,/ju de ˈkaraj wud fɔ ˈfaja we ɡo bɔn ju/,"If yu kip giv dem lay lay nyus, yu de karay wud fɔ faya we go bɔn yu.","Di man vote fɔ bad rul, naw i de karay wud fɔ faya we go bɔn am.",No join dat trik; yu de karay wud fɔ faya we go bɔn yu.
Bɛl ful no min se hat kɔrɛkt.,Equative negative clause: noun phrase subject + negative cognitive verb “min” + complement clause.,"Material comfort does not prove moral honesty, emotional peace, or good intentions.",Pipul fit gɛt plenti tin bɔt stil no du gud.,B2,social criticism; sermons; politics; family advice; literature,reflective; moral; slightly literary,"Food and belly imagery is central in many creole expressions, contrasting outward satisfaction with inner character.",/bɛl ful no min se hat kɔˈrɛkt/,"Di bɔs de gi chɔp, bɔt bɛl ful no min se hat kɔrɛkt.",No jɔj man bai im moni; bɛl ful no min se hat kɔrɛkt.,"Bɛl ful no min se hat kɔrɛkt, na di rizin mek wi luk wok, no onli prɔmis."
Fayn klos no de kova dɔti bɛl.,Negative habitual clause: adjective-noun subject + “no de” + verb + noun phrase object.,"A polished appearance cannot hide serious personal, moral, or social problems forever.",Gud luk no fit haid bad tin fɔ long taim.,B2,public image; relationships; politics; workplace; satire,colloquial; critical; ironic,"Rooted in dress-conscious urban life in Malabo, where appearance can signal status while gossip tests what lies beneath.",/fajn klɔs no de ˈkova ˈdɔti bɛl/,"I kam wit sute en tai, bɔt fayn klos no de kova dɔti bɛl.","Dat kampani logo fayn, bɔt fayn klos no de kova dɔti bɛl.","Fayn klos no de kova dɔti bɛl, so ask haw dem de pe di wokman."
Pikin we no hie mɔt go hie kɔboko.,Relative-clause proverb + future modal: noun head + relative marker “we” + negative verb + future consequence clause.,A person who ignores advice will learn through consequences.,"If yu no tek advays, di prɔblɛm go tij yu.",B1,parenting; school; apprenticeship; moral warning; discipline,proverbial; corrective; stern,Reflects older disciplinary language in West African creole settings; today often used metaphorically rather than literally.,/ˈpikin we no hie mɔt ɡo hie kɔˈboko/,"A don warn yu, bɔt pikin we no hie mɔt go hie kɔboko.",Di drayva no want fiks di brek; pikin we no hie mɔt go hie kɔboko.,"Mek di studɛn lɛn naw, bikɔs pikin we no hie mɔt go hie kɔboko."
Na wan hand no de klap.,Cleft-like existential focus construction: “na” + numeral-noun subject + negative habitual predicate.,Cooperation is necessary; one person alone cannot complete a shared task or conflict.,Wi nid tu or mɔ pipul fɔ mek di tin wok.,A2,teamwork; marriage; negotiation; community meetings; conflict resolution,proverbial; cooperative; neutral,A widespread African proverb adapted into creole speech; the clap image is transparent and easily learned by children.,/na wan han no de klap/,"No blem onli Elis, na wan hand no de klap.","Fɔ bild di skul, na wan hand no de klap; evribɔdi mas join.","Di mariɛj nid tɔk frɔm tu said, bikɔs na wan hand no de klap."
Krɔkrɔ no go laf fɔ wosh ples.,Negative future/habitual proverb: noun subject + “no go” + verb + prepositional phrase.,"A guilty or exposed person will avoid the place where truth, scrutiny, or punishment awaits.",Pipul we du bad tin de avɔyd ples we dem fit kach dem.,C1,sarcasm; crime talk; workplace accountability; politics; storytelling,colloquial; ironic; sharp,Built from everyday washing imagery and the skin condition “krɔkrɔ”; the humor lies in someone avoiding the very place that reveals dirt.,/krɔkrɔ no ɡo laf fɔ wɔʃ ples/,Ask am fɔ bring di risit; krɔkrɔ no go laf fɔ wosh ples.,"Wen dem menshɔn audit, di cheaman kwik go aus; krɔkrɔ no go laf fɔ wosh ples.","Di bɔy no want pas polis pos, bikɔs krɔkrɔ no go laf fɔ wosh ples."
