Idiom (Valencian),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Valencian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Fer la mà,Infinitive verb phrase,"Marxar, sovint de manera sobtada o emprenyada.",Marxar-se o anar-se’n,B2,"Familiar, col·loquial, humor","Col·loquial, irònic",Ús generalitzat al País Valencià; pot tenir orígens militars o referències a abandonar una situació.,[feɾ la ˈma],"Quan li ho vaig dir, va fer la mà sense dir res.","Sempre que discutim, acaba fent la mà.",Va fer la mà del treball sense acomiadar-se.
Estar com una cabra,Estar + simile nominal,Estar boig o actuar de manera molt estranya.,Ser molt extravagant o poc racional,B1,"Humor, familiar","Col·loquial, humorístic",Comparació popular amb el comportament erràtic de les cabres.,[esˈtaɾ kom uˈna ˈkaβɾa],"Eixe xic està com una cabra, s’ha tirat a la font!","Si et poses això, estaràs com una cabra.",Està com una cabra però el volem igualment.
Ploure a bots i barrals,Intransitive verb phrase,Ploure molt intensament.,Ploure molt fort,A2,"Meteorologia, vida quotidiana","Col·loquial, descriptiu",Referència a contenidors antics (bots i barrals) plens d’aigua.,[ˈplowe a ˈbots i βaˈraʎs],"No ixques ara, que està plovent a bots i barrals.",Va començar a ploure a bots i barrals en mig del partit.,"Quan plou a bots i barrals, s’inunda tot el carrer."
Tindre la mà trencada,Tindre + objecte + adjectiu,Tindre molta experiència en alguna cosa.,Ser molt experimentat,C1,"Treball, habilitats, mentoria","Col·loquial, professional",Imatge de la mà acostumada a una tasca repetitiva,[ˈtindɾe la ˈma tɾeŋˈkada],Ja té la mà trencada en això de cuinar.,"No et preocupes, té la mà trencada en negocis.","Quan escriu, es nota que té la mà trencada."
Anar de bòlit,Intransitive pronominal verb,Estar molt ocupat o desbordat,Tindre massa feina o presses,B2,"Feina, família, vida quotidiana",Col·loquial,"‘Bòlit’ com a objecte que roda sense control, o de llatí *bulla*",[aˈnaɾ de ˈbɔlit],Estic anant de bòlit amb tanta faena.,"Entre els xiquets i el treball, va de bòlit.",Cada matí vaig de bòlit abans d’eixir de casa.
Quedar com Caganet,Quedar + com + nom propi amb article,Fer el ridícul o quedar en mala posició davant dels altres.,Fer el ridícul o avergonyir-se,C1,"Humor, crítica, vida quotidiana","Col·loquial, sarcàstic","Referència al caganer del pessebre tradicional català i valencià, que representa una figura ridícula.",[keˈðaɾ kom kaɣaˈnɛt],Va quedar com Caganet en oblidar-se el discurs.,Sempre obri la boca i queda com Caganet.,Vas quedar com Caganet amb aquella resposta!
Anar a pams,Intransitive verb phrase amb expressió adverbial,"Fer les coses pas a pas, amb calma i ordre.",Fer les coses ordenadament,B1,"Treball, explicacions, conversa formal","Col·loquial, normatiu",‘Pam’ és una unitat de mesura manual; expressa acció mesurada.,[aˈnaɾ a ˈpams],Anem a pams que açò és llarg.,Hem d’anar a pams per no fer errors.,A classe sempre expliquem a pams.
Estar al peu del canó,Estar + locució preposicional,"Estar disponible, compromés i preparat per actuar.",Estar atent o disposat a ajudar,B2,"Treball, família, suport moral","Col·loquial, noble",Referència militar a la posició resistent i valenta.,[esˈtaɾ al ˈpɛw ðel kaˈno],"Encara malalt, està al peu del canó.",Els pares sempre estan al peu del canó.,Va estar al peu del canó durant la crisi.
Fer-ne cinc cèntims,Fer + en + quantitatiu,Donar una explicació breu d’alguna cosa.,Resumir o explicar per damunt,B2,"Acadèmic, presentacions, converses","Formal, col·loquial",Expressió econòmica que suggereix una contribució petita però valuosa.,[feɾ nə ˈsiŋ ˈsɛn.tims],Fes-me’n cinc cèntims del projecte.,Pots fer-ne cinc cèntims per a la reunió?,Va fer-ne cinc cèntims a la ràdio.
Estar més perdut que un pop en un garatge,Comparació amb estructura subordinada,No entendre res o estar completament desorientat.,Estar totalment desorientat,B1,"Familiar, humor, aprenentatge","Col·loquial, humorístic",Expressió moderna i graciosa que destaca l’absurditat de la situació.,[esˈtaɾ mes peɾˈdut ke un ˈpop en un ɡaˈɾatʃe],Vaig entrar a la reunió més perdut que un pop en un garatge.,"Quan parlen de criptomonedes, estic més perdut que un pop en un garatge.",Va començar el curs i estava més perdut que un pop en un garatge.
