Idiom (Grenadian Creole French),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Grenadian Creole French)",First Example Sentence,Second Example Sentence,Third Example Sentence
Chyen ka wouklé koté i jwenn zo,Fixed clause with progressive aspect marker 'ka',People tend to return to where they find benefit or comfort,People return to what benefits them,B2,"Daily speech, workplace, advice",Colloquial,Derived from observation of dogs returning to familiar places for bones; common rural metaphor,ʃjɛ̃ ka wukle kote i ʒwɛn zo,"I pa bizwen mandé, chyen ka wouklé koté i jwenn zo.","Tout moun sav, chyen toujou ka wouklé koté i jwenn zo.","Li ja pati, mé i kay tounen paski chyen ka wouklé koté i jwenn zo."
Dlo pa ka monté montay,Fixed negation clause with modal auxiliary 'ka',Things or people rarely go beyond their natural limit or class,People stay within their limits,C1,"Philosophical talk, humor, family conversation","Proverbial, ironic",Old rural proverb symbolizing acceptance of one’s place; reflects class and humility,dlo pa ka mɔ̃te mɔ̃taj,"Ou sav, dlo pa ka monté montay; sé kon sa lavi yé.","Yo ka kwè yo pli bon, mé dlo pa ka monté montay.","I té eséyé monté trop vit, mé dlo pa ka monté montay."
"Kòk ki chanté bonè, ka manjé dan sò",Fixed relative clause with aspectual emphasis,Those who speak too early often face the consequences,Speaking too soon brings trouble,B2,"Daily life, humor, gossip","Colloquial, ironic",Agricultural proverb rooted in early-morning rooster behavior,kɔk ki ʃɑ̃te bɔnɛ ka mɑ̃ʒe dɑ̃ sɔ,"Kòk ki chanté bonè, ka manjé dan sò, gadé byen.","Pa palé two vit, paske kòk ki chanté bonè ka manjé dan sò.","I di bagay-la two bonè, e sa viré kont li."
"Manmay ki pa kouté, ka santi",Conditional clause with reflexive verb omission,Children who don’t listen suffer the consequences,Disobedience leads to suffering,A2,"Parenting, education, moral advice",Colloquial,Common Caribbean parenting proverb passed down generations,mɑ̃maj ki pa kute ka sɑ̃ti,"Manmay ki pa kouté, ka santi, mwen di’w sa.","I pa vlé kouté, épi gade sa ki rivé li.","Tout manmay ka aprann, menm si yo ka santi."
Tout bèt ni jou’y,Fixed simple clause with possessive pronoun suffix,Everyone will face their time or destiny eventually,Everyone has their day,B1,"Spiritual talk, wisdom, daily speech","Proverbial, reflective",Linked to biblical fatalism and rural observation,tut bɛt ni ʒui,"Pa kriyé li mové, tout bèt ni jou’y.","Nou tout ni jou nou, sé kon sa lavi yé.","I pé kontan jòdi, mé tout bèt ni jou’y."
Pa vann koko avan ou koupé pyé,Negative imperative with future-dependent clause,Don’t count your blessings before they’re certain,Don’t celebrate too soon,B2,"Workplace, finance, moral teaching","Colloquial, humorous",Agricultural metaphor — derived from cocoa trade culture,pa vɑ̃n kɔko avɑ̃ u kupe pje,"Pa vann koko avan ou koupé pyé, bagay-la pé chanjé.",I té tro prése; pa vann koko avan ou koupé pyé.,Ou pa pé jwé gagnan avan jwèt fini.
"Lapòt ou ouvè pou lòt, sé menm-an yo ka ouvè pou ou",Compound relative clause with reciprocal pronoun,Kindness or harm you show others will return to you,What goes around comes around,C1,"Ethics, advice, literature","Proverbial, moral",Reflects Caribbean moral reciprocity rooted in African proverbs,lapɔt u uvɛ pu lɔt se mɛmɑ̃ jo ka uvɛ pu u,"Toujou sonjé, lapòt ou ouvè pou lòt, sé menm-an yo ka ouvè pou ou.","I fè mal, mé li oubliyé lapòt li ouvè pou lòt.","Bon zèv toujou tounen, kon lapòt ou ouvè pou lòt."
Tan bouwo sé pa tan lanmò,Fixed clause with antithetical structure,Justice or revenge takes time; not immediate punishment,Things take time; patience brings justice,C2,"Law, wisdom, reflection, politics","Literary, reflective",Historical saying used during colonial and political justice struggles,tɑ̃ buwo se pa tɑ̃ lɑ̃mo,"Tan bouwo sé pa tan lanmò; pa pè, jistis ka vini.","Yo ka di, tan bouwo sé pa tan lanmò — sa vlé di, tout bagay ni tan’y.","I fè sa mwen, mé tan bouwo sé pa tan lanmò."
Kannòt ki an dlo pa bizwen pè lapli,Conditional clause with negation and modal verb,Someone already in trouble fears nothing worse,"If you’re already in hardship, worse doesn’t scare you",B2,"Humor, resilience, adversity","Humorous, ironic",Drawn from Caribbean seafaring imagery,kanɔt ki ɑ̃ dlo pa bizwɛn pɛ lapli,"Kannòt ki an dlo pa bizwen pè lapli, frè mwen.","Ou ja pédi travay ou, sa pé pa fè plis mal.","I di, kannòt ki an dlo pa bizwen pè lapli, li ja abityé."
Zòdi pa ka kité manman’y kriyé,Fixed habitual clause,Lazy people avoid responsibility or calls to work,Lazy people ignore their duties,A2,"Family, humor, social observation","Colloquial, humorous",Rural proverb mocking laziness and avoidance,zɔdi pa ka kite mɑ̃mɑ̃i kɥije,"Zòdi pa ka kité manman’y kriyé, i toujou ka dòmi.","I pa menm ouvè zye’y, zòdi pa ka kité manman’y kriyé.","Tout moun sav, zòdi pa ka kité manman’y kriyé."
