Idiom (Old French),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Old French)",First Example Sentence,Second Example Sentence,Third Example Sentence
Metre le fer en l’ueil,Fixed clause with object preposition,To provoke someone intentionally; to stir trouble,Chercher querelle à quelqu’un,C1,"Conflict, politics, drama, literature","Literary, confrontational",Originates from feudal and chivalric references to duels or direct confrontation,[ˈmɛ.tʁə lə ˈfɛʁ ɑ̃ l‿ˈœj],"Il pensa que l’autre vouloit metre le fer en l’ueil, tant il estoit courroucié.","Ne le pousse mie, tu sçais qu’il est prompt à metre le fer en l’ueil.","Les barons, indignés, metoient le fer en l’ueil contre leur seignor."
Avoir cuer de lyon,Verb phrase with possessive structure,To be very brave or courageous,Être très courageux,B2,"Heroism, war, tales, chivalry","Poetic, valorizing",Common in chansons de geste and courtly romances; symbolic of knightly virtue,[aˈvoʁ ˈkɥɛʁ də ˈli.jɔ̃],"Ce chevalier avoit cuer de lyon, nul ne le pooit effroier.",On dit que Rollant avoit cuer de lyon au champ de bataille.,"Elle marcha, sans doubte, avoec cuer de lyon."
Jeter poudre aux oelz,Infinitive verb phrase with object,To deceive or distract someone,Tromper ou éblouir quelqu’un,C2,"Politics, deception, satire","Ironic, sarcastic",Literally refers to the act of throwing dust in eyes; medieval use in political commentary,[ʒəˈteʁ ˈpu.dʁə uz ˈœlz],Il jetoit poudre aux oelz de la gent pour couvrir ses forfaitz.,"Ne me jette mie poudre aux oelz, je sçay la vérité.",Les clercs souloient jeter poudre aux oelz de ceulz qui ne savoient lire.
Estre nez avec la cuevre d’or,"Passive construction, past participle with complement",To be born wealthy or privileged,Être né riche,B2,"Wealth, nobility, inheritance","Colloquial, slightly ironic",The ‘cover of gold’ refers to ornate noble cradles of the upper class,[ɛstʁə ˈne aˈvɛk la ˈkɥɛ.vʁə ˈdɔʁ],"Il est nez avec la cuevre d’or, et n’a jamais souffert faim.",Ne l’en blâme mie; il fu nez avec la cuevre d’or.,"Tant de biens l’entourent, car il est nez avec la cuevre d’or."
Faire l’anguille,"Reflexive verb structure, informal verb phrase",To avoid responsibility; to be slippery or evasive,Esquiver ses devoirs,B1,"Family, workplace, sarcasm","Colloquial, humorous",The eel (anguille) is a traditional symbol of slipperiness and avoidance,[ˈfɛʁ l‿ɑ̃ˈɡijə],Toujours fait-il l’anguille quand vient le labeur.,"Ne fais mie l’anguille, aide à porter la char!",Il fait l’anguille devant son seignor pour ne pas devoir respondre.
Avoir la langue de miel,Verb phrase with nominal metaphor,"To speak sweetly or flatteringly, often to manipulate",Parler de manière flatteuse,B2,"Romance, persuasion, flattery, deceit","Poetic, sometimes ironic",Miel symbolized sweetness and seduction in medieval texts,[aˈvoʁ la ˈlɑ̃ɡ də ˈmjɛl],"Elle avoit la langue de miel, mais le cuer plein de trahison.","Il dit beles choses, car il a la langue de miel.",Ne te fie pas à cellui qui a la langue de miel.
Sauter du coq à l’asne,"Infinitive phrase, prepositional jump",To change subjects abruptly or illogically,Passer d’un sujet à un autre sans transition,C1,"Conversation, criticism, humor","Colloquial, humorous",Common idiom in French from Old French courtly and peasant speech,[soˈteʁ dy ˈkɔk a ˈlɑznə],Il sautoit du coq à l’asne sans que nul le puisse suivre.,"Lors du disner, il sautoit du coq à l’asne maintes fois.","Elle parle moult, et souvent saute du coq à l’asne."
Tenir paille pour or,"Infinitive phrase, comparative construction",To overvalue something worthless,Prendre une chose vaine pour précieuse,C1,"Criticism, judgment, societal commentary","Ironic, evaluative",Reflects medieval concerns over false riches and spiritual blindness,[təˈniʁ ˈpa.jə puʁ ˈɔʁ],"Il tient paille pour or, tant il est abusé par l’apparence.",Ne t’en vante mie; tu tiens paille pour or.,Le fol souvent tient paille pour or en ce siècle.
Cuer en la bouche,"Nominal phrase, metaphorical locative",To be excessively anxious or frightened,Avoir très peur,B1,"Fear, suspense, battle, storytelling","Colloquial, expressive",Image of the heart (courage) rising to the mouth; a medieval symbol of fear,[ˈkɥɛʁ ɑ̃ la ˈbuʃə],"Quant il vit la beste, il avoit le cuer en la bouche.",J’avoie le cuer en la bouche lors que j’ouy tel bruit.,"Avec ce cri, elle eut le cuer en la bouche et fuyt."
Estre sus les charbons ardans,Copula + prepositional idiom,"To be restless, anxious, impatient",Être impatient ou troublé,B2,"Waiting, tension, romance, conflict","Poetic, emotional",Evokes imagery of walking over burning coals; used in romance and penitence literature,[ɛstʁə sy lɛ ʃaʁˈbɔ̃ aʁˈdɑ̃s],Elle estoit sus les charbons ardans en attendant la lettre.,"Ne me laisse point sus les charbons ardans, parle!",Il fut sus les charbons ardans jusques à ce qu’on l’appella.
