Idiom (Meitei),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Meitei)",First Example Sentence,Second Example Sentence,Third Example Sentence
ꯑꯣꯏꯅ ꯃꯤꯡ ꯄꯨꯡꯂꯤ,Fixed idiomatic clause with verb phrase,Someone revealing their true character unintentionally,A person's real nature becomes visible,B2,"Daily speech, humor, mild criticism","Colloquial, ironic",Traditional Meitei storytelling often uses metaphor of names or identity revealing inner traits,/oi.nə miŋ puŋ.li/,ꯑꯗꯨꯒ ꯑꯁꯤ ꯍꯧꯖꯤꯛ ꯑꯣꯏꯅ ꯃꯤꯡ ꯄꯨꯡꯂꯤ ꯍꯥꯏꯔꯤ,ꯃꯤꯇꯥꯡ ꯑꯁꯤ ꯑꯣꯏꯅ ꯃꯤꯡ ꯄꯨꯡꯂꯤ ꯑꯃ ꯑꯣꯏ,ꯑꯁꯤ ꯑꯣꯏꯅ ꯃꯤꯡ ꯄꯨꯡꯂꯤ ꯍꯥꯏꯔꯛꯄ ꯑꯃ ꯂꯩ
ꯃꯤ ꯑꯃ ꯅꯤꯡꯊꯧ ꯑꯣꯏ,Nominal metaphor construction,A person acting arrogantly as if superior,Someone behaving arrogantly,B1,"Family conversations, social commentary","Colloquial, sarcastic",Derived from hierarchical imagery of kingship in traditional Meitei society,/mi əmə niŋ.tʰou oi/,ꯑꯁꯤ ꯃꯤ ꯑꯃ ꯅꯤꯡꯊꯧ ꯑꯣꯏ ꯍꯥꯏꯔꯤ,ꯅꯪ ꯃꯤ ꯑꯃ ꯅꯤꯡꯊꯧ ꯑꯣꯏ ꯍꯥꯏꯔꯣꯏ,ꯑꯃꯨꯛ ꯑꯗꯨ ꯃꯤ ꯑꯃ ꯅꯤꯡꯊꯧ ꯑꯣꯏ
ꯑꯃ ꯂꯩꯕ ꯑꯃ ꯍꯥꯏ,Parallel clause metaphor,Mutual cooperation between people,People helping each other,A2,"Community discussions, moral advice","Neutral, communal",Reflects collective culture of village cooperation in Manipur,/əmə lei.bə əmə hai/,ꯃꯤꯇꯥꯡ ꯑꯁꯤ ꯑꯃ ꯂꯩꯕ ꯑꯃ ꯍꯥꯏ,ꯑꯃ ꯂꯩꯕ ꯑꯃ ꯍꯥꯏ ꯍꯧꯁꯤꯅ ꯑꯣꯏ,ꯑꯁꯤ ꯑꯃ ꯂꯩꯕ ꯑꯃ ꯍꯥꯏ ꯍꯥꯏꯔꯤ
ꯃꯄꯥꯟ ꯄꯨꯁꯤꯜꯂꯤ,Verb phrase metaphor,To expose someone publicly,Reveal someone's wrongdoing,B2,"Politics, arguments, gossip","Informal, accusatory",Derived from imagery of bringing something hidden into the open,/mə.pan pu.sil.li/,ꯑꯁꯤ ꯃꯄꯥꯟ ꯄꯨꯁꯤꯜꯂꯤ ꯍꯥꯏꯔꯤ,ꯅꯪ ꯃꯄꯥꯟ ꯄꯨꯁꯤꯜꯂꯤ ꯍꯥꯏꯔꯣꯏ,ꯑꯁꯤ ꯃꯄꯥꯟ ꯄꯨꯁꯤꯜꯂꯤ ꯍꯧꯁꯤꯅ ꯑꯣꯏ
ꯑꯍꯣꯡꯕ ꯍꯥꯏꯔꯕ,Adjectival metaphor phrase,Someone who speaks harshly or critically,A person speaking bluntly,B1,"Family speech, social commentary",Colloquial,Traditional Meitei rhetoric valued poetic indirectness; blunt speech stands out,/a.hoŋ.bə hai.rə.bə/,ꯑꯁꯤ ꯑꯍꯣꯡꯕ ꯍꯥꯏꯔꯕ ꯑꯣꯏ,ꯅꯪ ꯑꯍꯣꯡꯕ ꯍꯥꯏꯔꯕ ꯍꯥꯏꯔꯣꯏ,ꯑꯃꯨꯛ ꯑꯁꯤ ꯑꯍꯣꯡꯕ ꯍꯥꯏꯔꯕ
ꯑꯃꯁꯨ ꯃꯁꯨ ꯑꯣꯏ,Reduplicated nominal structure,Everyone acting for themselves,People behaving selfishly,B2,"Social criticism, politics",Ironic,Reflects communal expectations contrasted with selfish behavior,/ə.mə.su mə.su oi/,ꯑꯁꯤ ꯑꯃꯁꯨ ꯃꯁꯨ ꯑꯣꯏ ꯍꯥꯏꯔꯤ,ꯃꯤꯇꯥꯡ ꯑꯁꯤ ꯑꯃꯁꯨ ꯃꯁꯨ ꯑꯣꯏ,ꯍꯧꯖꯤꯛ ꯑꯁꯤ ꯑꯃꯁꯨ ꯃꯁꯨ ꯑꯣꯏ
ꯃꯤ ꯑꯃ ꯃꯤ ꯑꯃ ꯍꯥꯏ,Parallel noun phrase,People blaming each other,Mutual accusations,B1,"Arguments, politics",Neutral,Reflects communal disputes in traditional village settings,/mi əmə mi əmə hai/,ꯑꯁꯤ ꯃꯤ ꯑꯃ ꯃꯤ ꯑꯃ ꯍꯥꯏ,ꯃꯤꯇꯥꯡ ꯑꯁꯤ ꯃꯤ ꯑꯃ ꯃꯤ ꯑꯃ ꯍꯥꯏ,ꯑꯃꯨꯛ ꯃꯤ ꯑꯃ ꯃꯤ ꯑꯃ ꯍꯥꯏ
ꯑꯃ ꯍꯦꯟꯅ ꯑꯣꯏ,Adjectival metaphor,A situation becoming exaggerated,Something being overstated,B1,"Humor, storytelling",Informal,Used in oral storytelling traditions in Manipur,/ə.mə hen.nə oi/,ꯑꯁꯤ ꯑꯃ ꯍꯦꯟꯅ ꯑꯣꯏ,ꯅꯪ ꯑꯃ ꯍꯦꯟꯅ ꯑꯣꯏ ꯍꯥꯏꯔꯣꯏ,ꯑꯃꯨꯛ ꯑꯁꯤ ꯑꯃ ꯍꯦꯟꯅ ꯑꯣꯏ
ꯑꯃ ꯃꯐꯝ ꯑꯣꯏ,Nominal metaphor,A situation becoming complicated,A complicated situation,B2,"Politics, disputes",Neutral,Reflects complexity in social negotiations within Meitei society,/ə.mə mə.pʰəm oi/,ꯑꯁꯤ ꯑꯃ ꯃꯐꯝ ꯑꯣꯏ,ꯃꯤꯇꯥꯡ ꯑꯁꯤ ꯑꯃ ꯃꯐꯝ ꯑꯣꯏ,ꯍꯧꯖꯤꯛ ꯑꯁꯤ ꯑꯃ ꯃꯐꯝ ꯑꯣꯏ
ꯑꯃ ꯍꯦꯟꯅ ꯍꯦꯟꯅꯕ,Adjective intensifier phrase,Something growing increasingly excessive,Becoming more excessive,C1,"Literature, commentary","Poetic, expressive",Appears in poetic Meitei narratives describing escalation,/ə.mə hen.nə hen.nə.bə/,ꯑꯁꯤ ꯑꯃ ꯍꯦꯟꯅ ꯍꯦꯟꯅꯕ,ꯅꯪ ꯑꯃ ꯍꯦꯟꯅ ꯍꯦꯟꯅꯕ ꯍꯥꯏꯔꯣꯏ,ꯑꯃꯨꯛ ꯑꯁꯤ ꯑꯃ ꯍꯦꯟꯅ ꯍꯦꯟꯅꯕ
