Idiom (Azerbaijani),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Azerbaijani)",First Example Sentence,Second Example Sentence,Third Example Sentence
Gözünü yummaq,Reflexive verb phrase,Bir şeyi bilərəkdən görməməzlikdən gəlmək,"Nəzərə almamaq, görməmək",B1,"gündəlik danışıq, ailə",kolloquial,Şərq ədəbiyyatında və nağıllarda tez-tez işlədilən davranış metaforası,[ɟœˈzyny jumˈmaɣ],"O, oğlunun səhvini gördü, amma gözünü yumdu.",Bəzən sülh üçün bəzi şeylərə gözünü yummaq lazımdır.,Müəllim onun köçürməsinə gözünü yumdu.
Başını itirmək,Verb phrase with possessive construction,Panika vəziyyətində düzgün düşünə bilməmək,"Təlaşlanmaq, nə edəcəyini bilməmək",B2,"iş yeri, stress vəziyyəti","kolloquial, dramatik",Qədim döyüş və fövqəladə hallar ifadələrindən,[bɑʃɯˈnɯ itirˈmæk],Yanğın başlayanda başını itirib qışqırmağa başladı.,İmtahan zamanı başını itirməməlisən.,"O, bu xəbərdən sonra başını itirdi və susdu."
Suyu bulandırmaq,Causative verb phrase,"Məsələni qəsdən qarışdırmaq, çaşdırmaq",Mövzunu qeyri-müəyyən etmək,C1,"siyasət, iş yeri","formal, tənqidi",Ədəbi və siyasi diskurslarda yaranmış metafor,[suˈju bulɑnˈdɯrmaɣ],Onlar məsələni açıq danışmaq əvəzinə suyu bulandırdılar.,Sual verəndə cavab əvəzinə suyu bulandırmağa başladı.,Həmişə suyu bulandırıb mövzunu dəyişir.
Dilində pəpə olmaq,Verb phrase with dative construction,"Danışmaqda çətinlik çəkmək, fikrini aydın ifadə edə bilməmək",Ağzı söz tutmamaq,A2,"uşaq danışığı, məktəb","kolloquial, yumoristik",Uşaq inkişafı və danışıq mədəniyyəti ilə bağlı ifadə,[diˈlinˈdæ pæˈpæ olˈmaɣ],Bala həyəcanlandı və dilində pəpə oldu.,Müsahibədə dilində pəpə olan tələbə fikrini çatdıra bilmədi.,Onunla söhbət zamanı dilində pəpə oluram.
Göydə axtarıb yerdə tapmaq,Relative clause with past tense construction,Çox axtardığın bir şeyi gözlənilməz yerdə tapmaq,Gözlənilməz halda tapmaq,B2,"ailə, gündəlik həyat","ironic, gündəlik",Nağıl və xalq hekayələrindən qaynaqlanan obraz,[ɟœjˈdæ ɑxtɑˈrɯb jerˈdæ tɑpˈmaɣ],Açarı göydə axtarıb yerdə tapdım — divanın altında idi.,Göydə axtarıb yerdə tapdığımız insanla evləndik.,"O qədər axtardım ki, göydə axtarıb yerdə tapdım."
Qanına susamaq,Transitive verb with dative possession,Kimsəyə şiddətli nifrət və zərər vermə istəyi,Biri ilə düşmən olmaq,C2,"ədəbiyyat, siyasət, konflikt","dramatik, ədəbiyyat",Qədim dastanlarda və qəhrəmanlıq hekayələrində işlənmişdir,[qɑnɯˈnɑ susɑˈmaɣ],Onun sözlərinə görə sən onun qanına susamısan.,Qədim döyüşlərdə düşmənlərin bir-birinin qanına susaması adi hal idi.,"O qədər kinli idi ki, sanki hamının qanına susamışdı."
Əlində gül tək qalmaq,Simile in perfective aspect with metaphorical object,Tənhalıq hissi ilə tək qalmaq,Tək və yalnız qalmaq,B2,"ailə, sevgi, ədəbiyyat",poetik,Məcnun və Leyli tipli klassik sevgi hekayələrindən gəlmə,[æˈlinˈdæ ɟyl tæc ɡɑlˈmaɣ],"Hər kəs getdi, o isə əlində gül tək qaldı.","Toyda tək oturan gəlin, əlində gül tək qalmışdı.",Köhnə məktəbdə əlində gül tək qalan müəllim xatirələrə dalmışdı.
Üzünə nur yağmaq,Subject + dative + metaphorical passive verb,Birinin üzündə xoşbəxtlik və arınma əlamətinin görünməsi,Simada parıltı və aydınlıq yaranmaq,C1,"ailə, dini mərasimlər, sevinc halları","poetik, dini",Dini və sufizm mətnlərindən alınmış işıq metaforası,[yzyˈnæ nur jɑɣˈmaɣ],Namazdan sonra üzünə nur yağmışdı.,Toy günü gəlinin üzünə nur yağmışdı.,Balasını qucaqlayanda üzünə nur yağırdı.
Könlünü almaq,Object + possessive + transitive verb,"Küsəni barışdırmaq, könlünü xoş etmək","Razı salmaq, incikliyi aradan qaldırmaq",B1,"ailə, dostluq, gündəlik","nəzakətli, gündəlik",Azərbaycan xalq münasibətləri və ailə dəyərləri ilə bağlı,[kœnˈlynʊ ɑlˈmaɣ],Anasının könlünü almaq üçün gül aldı.,Uşaqdan üzr istədi və könlünü aldı.,"Dostum incimişdi, onu könlünü aldım."
Qulağının dibində qışqırmaq,Locative expression with present continuous verb,Aydın danışmağa baxmayaraq dinlənilməmək,Qulaq asmamaq,A2,"məktəb, ailə, uşaqlarla bağlı","kolloquial, ironik",Məktəb və evdə nəsihət janrından irəli gəlir,[quˈlɑɣɯnɯn diˈbisˈdæ ɡɯʃˈqɯrmaɣ],"Qulağının dibində qışqırdım, yenə də dinləmədi.",Ana uşağa qulağının dibində qışqırırdı.,"Müəllim qulağının dibində qışqırdı, amma cavab yox idi."
