Idiom (Toba Batak),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Toba Batak)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Ingkon songon poting, lam marisi lam so marsoara",Fixed comparative proverb; modal obligation + simile clause + parallel comparative clauses.,"A knowledgeable or mature person should become more measured, humble, and careful in speech.",Sai unang gumodang hata molo nunga godang parbinotoan.,B2,Family advice; education; leadership; church or community counsel.,"Didactic, respectful, slightly poetic.",Umpama ni halak Batak Toba; uses the image of a filled poting/container that makes less noise to praise humility after gaining wisdom.,/iŋ.kon so.ŋon po.tiŋ | lam ma.ri.si lam so mar.so.a.ra/,"Dung gabe panurat si Binsar, dipaingot amangna, “Ingkon songon poting, lam marisi lam so marsoara,” asa unang balga rohana.","Di punguan marga, angka na pistar didok ingkon songon poting, lam marisi lam so marsoara.","Molo marsiajar ho sahat tu ginjang, ingot ma: ingkon songon poting, lam marisi lam so marsoara."
Jempek do pat ni gabus,Fixed declarative clause; adjective predicate + genitive noun phrase with emphatic particle do.,"A lie or hidden wrongdoing will eventually be exposed, however carefully it is covered.",Hasalaan dohot hata na so sintong pasti tarida di ujungna.,B1,Warnings; family discipline; community disputes; moral teaching.,"Colloquial, cautionary, direct.",Umpama ni pargaulan ari-ari; the short legs of the gabus fish symbolize something that cannot be hidden for long.,/dʒem.pek do pat ni ɡa.bus/,"Unang sai tatutup ho hata na so sintong, ai jempek do pat ni gabus.","Dung ditungkun angka natoras, sandiri ibana mangaku, ala jempek do pat ni gabus.",Sai tarida do pangalaho na sala i; jempek do pat ni gabus.
Jolo dinilat bibir asa nidok hata,Fixed imperative-like advisory clause; temporal adverb + passive verb phrase + purpose clause.,"Think carefully before speaking so that words do not wound, shame, or create conflict.",Pikkiri jolo hata asa denggan nidok.,A2,Daily conversation; mediation; adat speech; parent-to-child advice.,"Colloquial, polite, admonitory.",Common Batak Toba speech ethic; the mouth/body image frames careful speaking as social self-control.,/dʒo.lo di.ni.lat bi.bir a.sa ni.dok ha.ta/,"Di jolo ni hula-hula, jolo dinilat bibir asa nidok hata.","Molo muruk roham, jolo dinilat bibir asa nidok hata, asa unang gabe parbadaan.","Dipaingot inangna dakdanak i, “Jolo dinilat bibir asa nidok hata.”"
"Molo litok aek di toruan, tingkiron ma tu julu",Conditional proverb; if-clause + passive/imperative main clause with upstream/downstream spatial contrast.,"When a problem appears at the surface, investigate its root cause instead of blaming the visible result.",Alusi jolo mula ni parsoalan asa boi dipature.,B2,Conflict resolution; governance; workplace analysis; family counseling.,"Reflective, diagnostic, practical.",Rooted in Lake Toba and river imagery; downstream muddy water points speakers back to the upstream source.,/mo.lo li.tok a.ek di to.ru.an | tiŋ.ki.ron ma tu dʒu.lu/,"Di punguan i disukkun jolo mula ni parbada, ala molo litok aek di toruan, tingkiron ma tu julu.","Unang holan pasalaon na menek; molo litok aek di toruan, tingkiron ma tu julu.","Dung sai marsahit angka naposo, didok ompung, molo litok aek di toruan, tingkiron ma tu julu."
"Songon parlange ni si bagur, tio tu jolo, litok di pudi",Fixed simile; comparative marker songon + nominal phrase + antithetical locative predicates.,"Someone appears clean in front but leaves disorder, trouble, or unresolved harm behind.",Unang manadingkon parsoalan di pudi dung lao sian sada inganan.,C1,Politics; workplace exits; neighborhood talk; sarcasm; moral critique.,"Ironic, colloquial, mildly sarcastic.",Animal-water imagery in Batak Toba umpama; the swimming frog leaves clear water ahead and muddy water behind.,/so.ŋon par.la.ŋe ni si ba.ɡur | ti.o tu dʒo.lo | li.tok di pu.di/,"Unang songon parlange ni si bagur, tio tu jolo, litok di pudi, lao ho sian ulaon on.","Ibana manadingkon barita na rumit di huta i, songon parlange ni si bagur, tio tu jolo, litok di pudi.","Molo holan denggan di adopan alai marbahen susa di pudi, i do songon parlange ni si bagur, tio tu jolo, litok di pudi."
"Tongka do mulak tata naung masak, mulak marimbulu naung tinutungan",Fixed negative-prohibitive proverb; modal prohibition + parallel perfective clauses.,What has already happened cannot be undone; regret is less useful than repairing the consequences.,Ulaon naung masa ndang taruba be; sipatureon ma akibatna.,B2,Regret; reconciliation; legal or family decisions; post-conflict advice.,"Serious, philosophical, consoling.",Domestic and hearth imagery; cooked food and burned feathers evoke irreversible acts in traditional household life.,/toŋ.ka do mu.lak ta.ta na.uŋ ma.sak | mu.lak ma.rim.bu.lu na.uŋ ti.nu.tu.ŋan/,"Dung masa hata na jorbut i, marsomba ma hita, ai tongka do mulak tata naung masak, mulak marimbulu naung tinutungan.","Unang sai tangis di angka naung salpu; tongka do mulak tata naung masak, mulak marimbulu naung tinutungan.","Ia mamodai pahoppuna asa manat, alana tongka do mulak tata naung masak, mulak marimbulu naung tinutungan."
Ndang dao tubis sian bonana,Fixed negative declarative; negator + adjective predicate + source prepositional phrase.,"Children, descendants, or outcomes often resemble their parents, origins, or roots.",Pangalaho ni anak jotjot songon pangalaho ni natorasna.,A2,Family talk; genealogy; humor; character judgment; parenting.,"Colloquial, familiar, sometimes teasing.","Agrarian plant metaphor; tubis/rebung does not grow far from its base, aligning behavior with lineage and origin.",/ndaŋ da.o tu.bis si.an bo.na.na/,"Marnida panortoran ni dakdanak i, didok tulangna, ndang dao tubis sian bonana.",Lambok hata ni boru i songon inangna; tutu do ndang dao tubis sian bonana.,"Molo pintar anak i marsiajar, ndang halongangan be, ndang dao tubis sian bonana."
"Aek godang, aek laut; dos ni roha sibahen nasaut",Paratactic proverb; nominal parallelism + equative clause linking consensus to completion.,"Collective agreement, not individual stubbornness, is what makes a decision valid and workable.",Na sada roha do na patut dilaksanahon.,B1,Adat deliberation; meetings; family decisions; cooperative work.,"Formal-colloquial, conciliatory, communal.",Water convergence metaphor in Batak Toba consensus culture; streams and sea frame agreement as social completion.,/a.ek ɡo.daŋ a.ek la.ut | dos ni ro.ha si.ba.hen na.sa.ut/,"Dung ditimbang sude hata, aek godang, aek laut; dos ni roha sibahen nasaut.","Di ulaon adat, ndang holan sada roha na mangatur, aek godang, aek laut; dos ni roha sibahen nasaut.","Rap hita mamutuskon tangkas, ai aek godang, aek laut; dos ni roha sibahen nasaut."
"Piltik ni hasapi do tabo tu pinggol, anggo piltik ni hata sogo do begeon",Balanced comparative proverb; genitive noun phrase + evaluative predicate + contrastive subordinate clause.,"Pleasant art is worth hearing, but gossip, slander, or destructive talk should be avoided.",Unang bege manang pasahathon hata na mangarusa goar ni dongan.,C1,Music gatherings; social correction; church/community advice; anti-gossip speech.,"Poetic, moralizing, gentle but firm.","References hasapi, a Batak lute; contrasts beautiful sound with damaging speech in oral community life.",/pil.tik ni ha.sa.pi do ta.bo tu piŋ.ɡol | aŋ.ɡo pil.tik ni ha.ta so.ɡo do be.ɡe.on/,"Di lapo i, didok amangboru, piltik ni hasapi do tabo tu pinggol, anggo piltik ni hata sogo do begeon.","Unang pasahathon hata na mangarusa dongan; piltik ni hasapi do tabo tu pinggol, anggo piltik ni hata sogo do begeon.","Asa dame punguan, dipasahat uluan hata i: piltik ni hasapi do tabo tu pinggol, anggo piltik ni hata sogo do begeon."
"Naso matanggak di hata, naso matahut di bohi",Elliptical parallel relative construction; repeated negative relative phrase with locative complements.,A person should speak truth plainly and courageously without boasting or fearing faces of authority.,"Hatahon na sintong jala patuduhon na sala, unang gumodang hata manang mabiar.",C2,Leadership; ethics; court-like deliberation; political speech; character education.,"Formal, moral, courageous, philosophical.",Batak Toba moral philosophy about truth-telling; used in leadership and character education discourse.,/na.so ma.taŋ.ɡak di ha.ta | na.so ma.ta.hut di bo.hi/,"Di jolo ni raja adat, ingkon naso matanggak di hata, naso matahut di bohi.","Ia marsihohot tu na sintong, naso matanggak di hata, naso matahut di bohi do ibana.","Guru i mamodai hami asa naso matanggak di hata, naso matahut di bohi molo mangkatahon hasintongan."
