Dìciu,Istrutura sintàtica e forma gramaticale,Sinnificadu figuradu,Ecuivalente non idiomàticu,Livellu CEFR,Contextos d'usu,Registru e tonu,Orìgine culturale o riferimentu istòricu,Trascritzione fonètica (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Saccu bùdiu no abarrat in pe,Clàusula proverbiale fixa cun sugetu nominale e predicadu verbale in forma negativa.,"Sena papare o sena su netzessàriu, una persona non podet resistire, traballare bene o pensare cun clareza.",Chie est famidu o mancat de risorsas de base non podet sighire a operare bene.,B1,"Domo, traballu, educatzione, vida fitiana, cussìgios pràticos.","Colloquiale, popolare, sententziosu.","Matrighe agro-pastorale e domestica; su saccu bùdiu chi non abarrat in pe est un'immàgine concreta e antiga, diffusa cun variantes in totu s'isula.",/ˈsakːu ˈβuðju nɔ aβaˈrat im ˈpe/,"Prima de torrare a su campu, faghimus una pausa, ca saccu bùdiu no abarrat in pe.",In s'ufìtziu nos ant nadu de mandigare prima de sa riunione: saccu bùdiu no abarrat in pe.,Mia mama lu repetit semper a sos pitzinnos cando torrant famidos dae s'iscola: saccu bùdiu no abarrat in pe.
Gente cun gente e fae cun lardu,Parataxi binària cun coordinatzione nominale e simetria ritmica.,"Sas personas chi s'assimbìgiant in indole, gustu o conduta s'acumpàngiant a manera naturale.",Sas personas cun caràtere o interesses parìgiles si chircant e si tenent assùmbrio.,B2,"Amistade, relatziones sociales, politiga, comentu ironicu, osservatzione de grupu.","Colloquiale, umorìsticu, ironicu.","Nàschit dae s'immàgine culinària traditzionale de sas faes cun lardu; est unu dìciu de matrighe domestica e paesana, testimoniadu in prus arregortas de manèras de nàrrere sardas.",/ˈdʒɛnte kun ˈdʒɛnte e ˈfae kun ˈlardu/,Cussos duos sunt semper inseme; gente cun gente e fae cun lardu.,"In su partidu novu s'ant agatados lestru, ca gente cun gente e fae cun lardu.",Bidu comente si cumprendent a bolu? Gente cun gente e fae cun lardu.
"Pira cotta, pira crua, onniunu a domo sua",Formula proverbiale paratàtica cun enumeratzione rimada e serrada distributiva.,Sa cunbìvida est acabada e est ora chi cadaunu si torret a domo sua.,Sa serada est finida; tocat a torrare cadaunu a sa domo sua.,A2,"Festas, chenàgios, bìsitas, cunclusione de una atòbiu in tonu ligeru.","Colloquiale, amistosu, facetu.",Ligadu a sa sociabilidade de domo e de bidda; sa rima lu rendet fàtzile de memorizare e de impreare a fine de una serada.,/ˈpiɾa ˈkɔtːa | ˈpiɾa ˈkɾua | onˈniunu a ˈdɔmo ˈsua/,"A mesanote su mere de domo at risu e at nadu: pira cotta, pira crua, onniunu a domo sua.","Cun su cafè finidu e sos prattos bùdios, est arribadu su momentu de pira cotta, pira crua, onniunu a domo sua.","Mia tzia no cuncedit mai una serrada sena serràghelu cun su dìciu pira cotta, pira crua, onniunu a domo sua."
Segat prus sa limba chi su lipeddu,Clàusula comparativa cun verbu in presente e comparativu de superioridade.,Sas paraulas podent ferire prus a fundu de una arma o de unu coltellu.,Unu discùrsu malu o offensivu podet fàghere dannu mannu.,B2,"Conflitu verbale, educatzione, mediatzione, literatura, cussìgios morales.","Sententziosu, morale, vividu.",Derivat dae sa forte valèntzia de s'onore e de sa parola in sa cultura orale sarda; est unu dìciu largamente connòschidu in formas afines.,/seˈɣat pɾus sa ˈlimba ki su liˈpɛdːu/,No t'ammentes cantu l'as mortificada: segat prus sa limba chi su lipeddu.,Su litìgiu est degeneradu poita unu de issos s'est iscabesciadu a nàrrere paraulas duras; segat prus sa limba chi su lipeddu.,Su nonnu mio nos imparaiat de pitzinnos chi segat prus sa limba chi su lipeddu.
In pedde anzena corria larga,Costrutu ellìticu proverbiale cun sintagma prepositivu e predicadu nominale implicitu.,"Est fàtzile èssere generosos, severos o ispendiosos cando a pagare o a patire est un'àtera persona.","Cando su pesu b'est po s'àteru, medas personas si mustrant larghe o indiferentes.",C1,"Polìtica, traballu, discussiones econòmicas, umore sarcasmàticu, crítica sociale.","Ironicu, criticu, proverbiale.","Probàbile matrighe paesana e pastorale: sa corria de pedde remandat a bardas, giaccos e istrumentos de traballu; su dìciu est connòschidu cun variantes campidanesas e logudoresas.",/im ˈpɛdːe anˈdzena ˈkɔrja ˈlaɾɣa/,"Est fàtzile pro su diretore a promìtere de totu, ma in pedde anzena corria larga.","Cando sa gherra de sos taglios tocat semper a sos àteros, in pedde anzena corria larga.",A su bar totus fiant generosos cun ispendere sos dinaris de s'assòtziu: in pedde anzena corria larga.
A fueddare cun surdos est a nde pèrdere sos fueddos,Costrutu infinitivu cun complementu prepositivu e predicadu nominale verbalizadu.,Faeddare cun chie non cheret ascurtare o non est dispostu a cumprendere est totalmentre inùtile.,Faeddare cun una persona serrada a cussìgios o argumentos non portat a nudda.,B2,"Famìlia, politiga, educatzione, retes sociales, cuntrastos de traballu.","Colloquiale, resignadu, cussigliosu.",Ligadu a sa primatzia de sa parola in sa cultura orale; su paralelismu tra surditade fìsica e serradura mentale est unu mecanismu figurativu antigu e meda produtivu.,/a fweˈðaɾe kun ˈsuɾðos ɛst a nde ˈpɛɾdeɾe sos fweˈðos/,"A pustis de tres horas de discussione, apo cumprèndidu chi a fueddare cun surdos est a nde pèrdere sos fueddos.",Cun issu non b'est manera de arresonare: a fueddare cun surdos est a nde pèrdere sos fueddos.,Su professore hat acabbadu su dibàttitu nàrrende chi a fueddare cun surdos est a nde pèrdere sos fueddos.
"Chentu concas, chentu berritas",Parataxi nominale ellìtica cun paralelismu numerale.,Cada persona tenet sa manera sua de bìdere e de giudicare sas cosas.,Onniunu tenet su pàrrere suo.,A2,"Discussiones quotidianas, comentu sociale, scola, atòbios, mediatzione.","Popolare, neutrali, sintetìcu.",Sa berrita est un'iscinnu forte de identidade locale e sociale in Sardigna; su dìciu leghit sa diversidade de sas concas a sa diversidade de sas opiniones.,/ˈkentu ˈkɔŋkas | ˈkentu berˈritas/,"No amus a pensare totus a sa matessi manera: chentu concas, chentu berritas.","In su cunsìgiu comunale su sindigu hat zarradu sa discussione cun unu chentu concas, chentu berritas.","Cando si faeddat de arte o de limba, chentu concas, chentu berritas."
Su sambene no est abba,Clàusula nominale cun còpula negativa.,Sa parentela e sos ligàmenes de sambene tenent una fortza chi non si podet negare o istudiare a lestru.,Is vincolos de famìlia restat fortes fintzas cando b'at lontanàntzia o cuntrastos.,B1,"Famìlia, genealogia, reconciliazione, literatura, comentu identitariu.","Sententziosu, affetivu, morale.","Est radicadu in una sotziedade de forti retzìngulos familiares, de domo, connottu e parentela; sa metafora cuntrastat sambene e abba po marcare sa solididade de su ligàmine.",/su samˈbɛne nɔ ɛst ˈabːa/,"Siat puru chi non si bident dae annos, su sambene no est abba.","A pustis de sa litigada sunt torraos a faeddare, ca su sambene no est abba.",In is dies de festa su sambene no est abba e sa famìlia si torrat a acollire.
Andas a mare e no agatas abba,Clàusula verbale in segonda persona singulare cun coordinatzione negativa implicada.,"Si narat de chie est meda disatentzu, maladestu o disfortunadu a su puntu de non agatare mancu su prus evidenti.",Ses gasi distratu o disfortunadu chi non bi nde agatas mancu cando sa cosa est evidenta.,B2,"Umore, sarcasmu, descritzione de maladestrezza, cunversa fitiana.","Colloquiale, ironicu, pungente.",Est basadu in una paràdossu marinu fortemente sardu: andai a mare e non agatare abba; sa forza figurativa benit dae sa geografia insulare e dae sa vida costera.,/anˈdas a ˈmaɾe e nɔ aˈɣatas ˈabːa/,Ti ses iscumentigadu sos ocros in capsa puru oe? Andas a mare e no agatas abba.,Li fiant lassadu sos documentos in mesu de sa mesa e issu non ddos hat bidu: andas a mare e no agatas abba.,"Cando sa sorte li girat de malu, in bidda nàrani chi andat a mare e non agatat abba."
Po unu arriali de pìbiri nche at pèrdidu sa cassola,Clàusula causale proverbiale cun sintagma prepositivu iniziale e perfetu cumpostu.,Po una minudenza o po unu vantàgiu piticu si finit po istruire o pèrdere una cosa prus manna e prus importante.,Po una cosa de pagu valore si est pèrdidu su risultadu o su bene printzipale.,C1,"Economia domestica, negòtzios, politiga, giudìtziu morale, literatura.","Popolare, criticu, imaginosu.","Est unu dìciu de ispiru culinàriu e domestico, ligadu a sa parsimonia de sas domos e a sa sabidoria de non sacrifigare su totu po su minimu.",/po unu araˈɾjali de ˈpiβiɾi ŋke at ˈpɛɾdidu sa kaˈsːɔla/,"Po non chèrrere cedere in una minudenza, nche ant pèrdidu su cuntratu: po unu arriali de pìbiri nche ant pèrdidu sa cassola.",Sa discussione est nàschida po unu pagu e hat arruinadu totu su traballu; po unu arriali de pìbiri nche ant pèrdidu sa cassola.,Mia nonna mi naraiat semper de non èssere meschina: po unu arriali de pìbiri nche at pèrdidu sa cassola.
