Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
ऊंट रा मुँह में जीरू,Postpositional noun phrase; comparative metaphor structure (X रा मुँह में Y),A very small amount compared to what is actually needed.,जरूरत के मुकाबले बहुत कम मात्रा।,B1,"Daily speech, economics, household discussion","Colloquial, humorous",Desert ecology reference where camels symbolize large scale needs in Rajasthan.,/uːɳʈ raː mũːʰ meː d͡ʒiːruː/,इतरो पैसा तो ऊंट रा मुँह में जीरू जेसो है।,सरकार री मदद ऊंट रा मुँह में जीरू साबित हुई।,इतरी तैयारी परीक्षा खातर ऊंट रा मुँह में जीरू है।
दूध रो जळ्यो छाछ फूँक-फूँक पीवै,Relative participle clause with habitual verb construction.,"Once bitten, twice shy; cautious after a bad experience.",पहले अनुभव के कारण सावधान रहना।,B2,"Family advice, business risk, politics","Proverbial, advisory",Rural dairy culture metaphor rooted in agrarian life.,/duːdʱ ro d͡ʒəɭjo t͡ʃʰaːt͡ʃʰ pʰũːk pʰũːk piːʋeː/,धोखा खाया पाछै वो दूध रो जळ्यो छाछ फूँक-फूँक पीवै।,"एक बार घाटो उठायो, अब दूध रो जळ्यो छाछ फूँक-फूँक पीवै है।",निवेश में नुकसान बाद वो दूध रो जळ्यो छाछ फूँक-फूँक पीवै जेसो हो गयो।
घर रो भेदी लंका ढावै,Declarative clause with agentive noun phrase.,Internal betrayal causes downfall.,अपनों के कारण नुकसान होना।,B2,"Politics, workplace conflict, family disputes","Serious, literary",Derived from Ramayana narrative symbolism.,/ɡʱər ro bʰeːdiː ləŋkaː ɖʱaːʋeː/,"कंपनी में जानकारी लीक हुई, घर रो भेदी लंका ढावै।","पार्टी रो सदस्य ही विरोध में बोल्यो, घर रो भेदी लंका ढावै।",परिवार में फूट पड़ी तो घर रो भेदी लंका ढावै साबित होयो।
थाली रो बैंगन बननो,Infinitive verb phrase with metaphorical object.,To frequently change sides or opinions.,बार-बार पक्ष बदलना।,B1,"Politics, humor, daily speech","Colloquial, ironic",Common vegetable imagery symbolizing instability.,/tʰaːliː ro bɛːŋɡən bənnoː/,वो नेता थाली रो बैंगन बन रयो है।,दोस्त थाली रो बैंगन जेसो व्यवहार करै है।,"बार-बार राय बदलै, थाली रो बैंगन मत बन।"
आँख में धूल झोंकनो,Transitive infinitive verb construction.,To deceive someone deliberately.,जानबूझकर धोखा देना।,B2,"Fraud cases, politics, sarcasm","Colloquial, critical",Desert wind imagery symbolizing obscured vision.,/ãːkʰ meː dʱuːl d͡ʒʱoːŋknoː/,ग्राहकां री आँख में धूल झोंक दी।,वोटरां ने आँख में धूल झोंकनो ठीक नै।,वो सच्चाई छुपा के आँख में धूल झोंक रयो थो।
सांप भी मर जावै लाठी भी नै टूटै,Compound clause with subjunctive nuance.,Achieving a goal without suffering loss.,दोनों पक्षों का नुकसान टालना।,C1,"Negotiation, diplomacy, strategy","Proverbial, strategic",Rural survival metaphor linked to agrarian life.,/saː̃p bʰiː mər d͡ʒaːʋeː laːʈʰiː bʰiː nɛː ʈuːʈeː/,समझौतो एसा करजो कि सांप भी मर जावै लाठी भी नै टूटै।,व्यापार में नीति सांप भी मर जावै लाठी भी नै टूटै जेसा हो।,राजनीति में सांप भी मर जावै लाठी भी नै टूटै री सोच जरूरी है।
नौ दिन चले अढ़ाई कोस,Narrative clause with numeric metaphor.,Slow progress despite long effort.,बहुत धीमी प्रगति होना।,B2,"Workplace, education, governance critique","Critical, ironic",Traditional distance measurement metaphor.,/nɔː d̪ɪn t͡ʃəleː əɽʱaːi koːs/,यो प्रोजेक्ट नौ दिन चले अढ़ाई कोस जेसो चल रयो है।,काम री रफ्तार नौ दिन चले अढ़ाई कोस है।,सरकारी प्रक्रिया नौ दिन चले अढ़ाई कोस साबित हुई।
आग में घी डालनो,Infinitive verb phrase with locative metaphor.,To intensify a conflict or situation.,स्थिति को और बिगाड़ना।,B1,"Arguments, media, family disputes","Colloquial, dramatic",Fire ritual symbolism from Vedic traditions.,/aːɡ meː ɡʱiː ɖaːlnoː/,थारी बात आग में घी डाल दी।,सोशल मीडिया आग में घी डाल रयो है।,"झगड़ा शांत हो रयो थो, पर वो आग में घी डाल गयो।"
एक तीर सूं दोन शिकार करनो,Infinitive construction with instrumental postposition.,To achieve two goals with one action.,एक प्रयास से दो परिणाम प्राप्त करना।,B1,"Planning, business, academics","Strategic, practical",Hunting imagery rooted in warrior traditions.,/eːk tiːr suː doːn ʃikaːr kərnoː/,यो योजना एक तीर सूं दोन शिकार करनो जेसो है।,"नौकरी साथे पढ़ाई, एक तीर सूं दोन शिकार करनो।",एसा निवेश एक तीर सूं दोन शिकार करसी।
थारे माथे रो पसीनो सूखणो,Possessive noun phrase with infinitive verb.,To struggle intensely before succeeding.,बहुत मेहनत करनी पड़ना।,C1,"Labor, exams, athletics","Colloquial, emphatic",Agrarian labor imagery tied to Rajasthan heat.,/tʰaːre maːtʰe ro pəsinoː suːkʰəɳoː/,इम्तहान पास करबा खातर थारे माथे रो पसीनो सूख गयो।,खेती में फसल लेबा खातर माथे रो पसीनो सूखणो पड़ै।,"यो मुकाम आसान नै, माथे रो पसीनो सूखणो जरूरी है।"
