Idiom (Dakota),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dakota)",First Example Sentence,Second Example Sentence,Third Example Sentence
Čhaŋtémaza héčha,Fixed clause (nominal predicate),Someone is emotionally strong or resilient,He/she is strong-hearted,B2,"Daily speech, family, storytelling",Colloquial,Traditional Dakota expression describing courage and strength,[tʃʰãːnˈteː.ma.za heː.tʃʰa],Wičháša kiŋ čhaŋtémaza héčha.,"Tókša čhaŋtémaza waŋ héčha, šni waŋyáŋkA.",Wíŋyaŋ kiŋ čhaŋtémaza héčha na owášte waŋ héčha.
Ištá šni iyúha,Negative verb phrase,To ignore something deliberately,He/she pays no attention,C1,"Sarcasm, workplace, politics",Ironic,Used in political commentary to mean selective blindness,[iʃ.ta ʃni i.juː.ha],Ógleška kiŋ ištá šni iyúha héčha.,Tókša ištá šni iyúha na owášte šni yeló.,Oyáte kiŋ ištá šni iyúha na yuhá šni héčha.
WíyakA wíyawapi,"Verb phrase, reflexive",To exaggerate or speak boastfully,He/she is bragging,B1,"Daily life, humor, informal settings","Colloquial, humorous",Rooted in playful teasing culture,[wi.ja.kʰa wi.ja.wa.pi],Tȟaŋyáŋ wíyakA wíyawapi yeló.,WíyakA wíyawapi na owášte šni héčha.,Koda kiŋ wíyakA wíyawapi héčha.
Čhaŋté šni waŋží,Nominal clause with negation,Someone without compassion or kindness,He/she has no heart,B2,"Family, moral stories, literature",Literary,Traditional idiom for moral weakness,[tʃʰãːnˈteː ʃni waːŋʒi],Wíŋyaŋ kiŋ čhaŋté šni waŋží héčha.,"Héčhetu waŋná, čhaŋté šni waŋží héčha.","Tókša čhaŋté šni waŋží, oyáte kiŋ wówašte šni yeló."
Pȟéta waŋ íčhupi,Verb phrase (past perfective),To provoke or start trouble,They stirred up conflict,C1,"Community, social issues, politics",Ironic,"Refers to starting unnecessary arguments, 'lighting a fire'",[pʰe.ta waːŋ i.tʃʰu.pi],Oyáte kiŋ pȟéta waŋ íčhupi héčha.,"Tókša pȟéta waŋ íčhupi, wówašte šni yeló.",Héčha wíyawapi kiŋ pȟéta waŋ íčhupi héčha.
Mní kiŋ tȟaŋníla,Fixed phrase (copular clause),Something is clear or obvious,It’s crystal clear,A2,"Education, conversation, workplace",Formal,Metaphor comparing clarity to pure water,[mni kiŋ tʰãːnˈni.la],"Mní kiŋ tȟaŋníla héčha, tókȟa šni yeló.",Wówapi kiŋ tȟaŋníla héčha.,"Owášte waŋ héčha, mní kiŋ tȟaŋníla yeló."
Wičhóȟ’aŋ šni,Negative noun phrase,Someone with no manners or respect,He/she is rude,B1,"Social interaction, education, family",Colloquial,Traditional expression about cultural etiquette,[wi.tʃʰoːʔãː ʃni],Tókša wičhóȟ’aŋ šni yeló.,Wíŋyaŋ kiŋ wičhóȟ’aŋ šni héčha.,"Owášte waŋ šni, wičhóȟ’aŋ šni héčha."
Tȟaŋníla iyáya,Verb phrase (intransitive),To vanish suddenly or disappear without trace,He/she disappeared suddenly,C1,"Storytelling, mystery, humor",Poetic,Used in storytelling and mythological contexts,[tʰãːnˈni.la i.ja.ja],Wíyawapi kiŋ tȟaŋníla iyáya héčha.,"Tókša tȟaŋníla iyáya, čhaŋtéwašte šni yeló.",Héčha oyáte kiŋ tȟaŋníla iyáya héčha.
Iháŋke waŋží yuhá šni,Negative clause (nominal predicate),Someone without patience or control,He/she has no limits,B2,"Family, daily speech, humor",Colloquial,Refers to impatience; ‘no stopping point’ idiom,[i.hãːn.ke waːŋʒi ju.ha ʃni],Wičháša kiŋ iháŋke waŋží yuhá šni héčha.,Wíŋyaŋ kiŋ iháŋke waŋží yuhá šni yeló.,Tókša iháŋke waŋží yuhá šni héčha.
Waŋblí waŋží yuhá,"Verb phrase (transitive, possession)",To have keen vision or foresight,He/she is perceptive,C2,"Literature, leadership, education","Poetic, formal","Linked to the eagle, a sacred symbol of insight",[waːŋ.bli waːŋʒi ju.ha],Wičháša kiŋ waŋblí waŋží yuhá héčha.,Owášte waŋ waŋblí waŋží yuhá héčha.,Oyáte kiŋ waŋblí waŋží yuhá yeló.
