"Idiom (Attié)","Syntactic Structure & Grammatical Form","Figurative Meaning (Contextualized Definition)","Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)","CEFR Level (A1–C2)","Usage Contexts","Register and Tone","Cultural Origin or Historical Reference","Phonetic Transcription (IPA, Attié)","First Example Sentence","Second Example Sentence","Third Example Sentence"
"Koklo tshɔ gbɛgblɛ ’mi, yɛ li sɔ fɛ.","Fixed proverbial clause with concessive animal-subject imagery; SVO main clause with negated evaluative predicate.","An enemy’s friendly gesture may hide fear, pressure, or calculation rather than goodwill.","Sran nɛ yɛ kpa nɔ, yɛ la yɛ yí kpa ɔn.","B2","politics, conflict mediation, village warnings, sarcasm, workplace alliances","proverbial, cautious, ironic","Motif aligned with an Attié proverb reported in Ivorian proverb scholarship: the rooster’s dance before the hawk is not pleasure; tied to forest-village observations of predator and prey.","[kòkló t͡ʃɔ ɡ͡bɛ̀ɡ͡blɛ́ ʔmí | jɛ̀ lì sɔ̀ fɛ́]","Achi nɔ sɔ Seka, mɛ n bɔ yɛ: Koklo tshɔ gbɛgblɛ ’mi, yɛ li sɔ fɛ.","Nɛ yɔ bɔ kɛ nɔ, na wɔn li koklo tshɔ gbɛgblɛ ’mi nɔ.","ˮVin nɔ bɔ dzhë fɛ, mɛ wɔn yí nɔ ka: Koklo tshɔ gbɛgblɛ ’mi, yɛ li sɔ fɛ."
"Kpakpa lɔɔ nɔ, a ma yɔ tsɛ nɛ.","Negative imperative proverb; fixed clause with addressee subject and impossible-object complement.","Do not demand from someone what they are visibly unable to provide.","A ma yɔ sran nɛ yɛ ma nɔ ˗ka ɔn.","B1","family requests, resource negotiation, leadership, market credit, practical advice","plain-spoken, corrective, mildly humorous","Motif aligned with a published Attié proverb about not asking a crouched toad for a stool; reflects everyday reasoning about visible limits.","[k͡pák͡pá lɔ̀ɔ̀ nɔ̀ | à mà jɔ̀ t͡sɛ̀ nɛ́]","Yapi nɔ ma wɔli ɔn, mɛ n ka yɛ: Kpakpa lɔɔ nɔ, a ma yɔ tsɛ nɛ.","Ɛ yɛ ma gbɛ nɛ, ɛn n bɔ: Kpakpa lɔɔ nɔ, a ma yɔ tsɛ nɛ.","Nɔ nɔ li ˗ka fɛ, a ma yɔ tsɛ nɛ kpakpa lɔɔ nɔ."
"Bɔnɔ wɛ yɛ jɛ, mɛ bɔ a nɔ fɛ.","Coordinated proverbial clause; topicalized body-part noun phrase followed by contrastive clause.","Family ties may be distant or complicated, but harm to one member is felt by the whole kin network.","Mɔɔn nɔ yɛ dzhë fɛ, abusua nɔ yɛ wɔn nɔ.","C1","family council, inheritance disputes, kinship, reconciliation, elder speech","proverbial, serious, relational","Motif aligned with a published Attié proverb about the monkey’s long tail feeling the pinch; used to frame the complexity of kinship bonds.","[bɔ̀nɔ́ wɛ́ jɛ́ | mɛ̀ bɔ̀ à nɔ̀ fɛ́]","Abe nɔ sɔ abusua nɔ, mɛ wɔn bɔ: Bɔnɔ wɛ yɛ jɛ, mɛ bɔ a nɔ fɛ.","Nɛ ba nɔ yɛ dzhë ɔn, bɔnɔ wɛ yɛ jɛ mɛ bɔ a nɔ fɛ.","Nana nɔ ka nɛ, bɔnɔ wɛ yɛ jɛ, mɛ bɔ a nɔ fɛ, ɛn yɔ kpa."
"A si mɛn ɛmɔ nɔ, a li yɛ dzhë ɔn.","Conditional clause with second-person subject; epistemic conclusion in the main clause.","You must know a person closely before judging their flaws or hidden burden.","A si sran nɔ kpa, ɛn a yɔ bɔ yɛ nɔ.","B2","friendship, marriage advice, conflict resolution, character assessment, teaching","reflective, advisory, respectful","Motif aligned with a published Attié proverb about approaching the fromager tree before seeing its cracks; rooted in forest ecology and social caution.","[à sì mɛ́n ɛ̀mɔ́ nɔ̀ | à lì jɛ̀ d͡ʒɛ̀ ɔ̃]","Nɛ yɛ sran nɔ bɔ fɛɛ, a si mɛn ɛmɔ nɔ, a li yɛ dzhë ɔn.","N’cho nɔ bɔ yɛ kɛ, mɛ n ka: A si mɛn ɛmɔ nɔ, a li yɛ dzhë ɔn.","Seka yɔ bɔ wɔn nɔ ɔn, ɛn n yɛ dzhë: a si mɛn ɛmɔ nɔ, a li yɛ dzhë ɔn."
"’Wan yɛ gbɔɔn, be˗ yɛ yɛn nɔ.","Fixed biclausal metaphor; instrument noun as subject followed by understood companion instrument in a response clause.","Insiders understand a warning or tension before outsiders notice it.","Sran nɛ wɔli nɔ li ˗ka nɔ sɔɔn.","C1","family signals, workplace subtext, coded speech, ceremonial settings, gossip control","indirect, discreet, proverbial","Source-informed synthetic candidate using mortar-and-pestle imagery central to food preparation; requires native-speaker validation for idiomatic status.","[ʔwán jɛ̀ ɡ͡bɔ̀ɔ̀n | bè jɛ̀ jɛ́n nɔ̀]","Mɛ nɛ yí nɔ fɔ, ’wan yɛ gbɔɔn, be˗ yɛ yɛn nɔ.","Adzopé nɔ, nana nɔ bɔ fɛɛ; ’wan yɛ gbɔɔn, be˗ yɛ yɛn nɔ.","A ma sɔ ˗ka nɔ kpɛ, ’wan yɛ gbɔɔn ɔn, be˗ yɛ yɛn nɔ."
"Mɔɔn tsɛ nɛ, bɔsɔɓo yɛ shë.","Temporal proverbial clause with inanimate subject; personified road as second-clause subject.","When trouble, opportunity, or news begins, the path of action quickly becomes active.","˗Ka nɔ ba nɔ, sran nɔ bɛ yɔ dzhë fɛ.","B2","travel, market news, emergency planning, community mobilization, youth advice","energetic, practical, slightly poetic","Source-informed synthetic candidate using river-and-road imagery from the Akyé forest zone between major waterways; requires native-speaker validation for idiomatic status.","[mɔ̃̀ːn t͡sɛ̀ nɛ́ | bɔ̀sɔ̀ɓò jɛ̀ ʃɛ̀]","Mɔɔn tsɛ nɛ, bɔsɔɓo yɛ shë; ɛn yɛ kɔ Alépé fɛ.","Nɛ sɛn nɔ ba, mɔɔn tsɛ nɛ bɔsɔɓo yɛ shë.","A bɔ wɔn nɔ kpa ɔn, mɔɔn tsɛ nɛ, bɔsɔɓo yɛ shë."
"Gbɛ nɔ sɛn ɔn, sɛn yɛ ma kɔ.","Agricultural proverb with delayed-result structure; topical noun plus dependent return clause.","Results come after patience, preparation, and the right season, not from impatience.","A dyi nɔ kpa, ɛn fɛ nɔ ba.","B1","farming, schooling, apprenticeships, parenting, business patience","encouraging, patient, didactic","Source-informed synthetic candidate grounded in Akyé agricultural life and seasonal rain cycles; requires native-speaker validation for idiomatic status.","[ɡ͡bɛ̀ nɔ̀ sɛ́n ɔ̃ | sɛ́n jɛ̀ mà kɔ̀]","Yɛ kpa nɔ ba fɛɛ, gbɛ nɔ sɛn ɔn, sɛn yɛ ma kɔ.","ˮVin nɔ dyi lɔ nɔ, n bɔ yɛ: Gbɛ nɔ sɛn ɔn, sɛn yɛ ma kɔ.","Nɛ ɛn yɔ kpa nɛ, gbɛ nɔ sɛn ɔn, sɛn yɛ ma kɔ."
"’Mi nɔ li ˗ka, yí yɛ kɔ gbɛ.","Metaphoric contrast clause; body-part subject contrasted with inner-state subject and directional verb.","Someone may speak calmly while carrying resentment, worry, or unresolved intent inside.","Sran nɔ bɔ kpa, mɛ yɛ yí nɔ li ɔn.","C1","conflict mediation, marriage, apology, leadership, psychological nuance","reflective, indirect, serious","Source-informed synthetic candidate drawing on mouth/heart contrast found widely in Akan-area moral speech; requires native-speaker validation for idiomatic status.","[ʔmí nɔ̀ lì kà | jí jɛ̀ kɔ̀ ɡ͡bɛ̀]","A bɔ kpa fɛɛ, mɛ ’mi nɔ li ˗ka, yí yɛ kɔ gbɛ.","Nana nɔ yɛn ɛn: ’Mi nɔ li ˗ka, yí yɛ kɔ gbɛ.","Nɛ yɛ yɔ bɔ lɔ nɔ, ’mi nɔ li ˗ka, yí yɛ kɔ gbɛ."
"Melu kɔ dzhë, mɔn yɛ si ɔn.","Biclausal proverb with motion verb followed by locative-memory predicate.","A person may leave home or hide a deed, but origins and traces remain known.","Sran nɔ kɔ, mɛ yɛ bɔsɔ nɔ yɛn yɛ.","B2","migration, accountability, ancestry, village memory, public reputation","poetic, cautionary, communal","Source-informed synthetic candidate using boat-and-water imagery consistent with Akyé riverine geography and migration narratives; requires native-speaker validation for idiomatic status.","[mèlú kɔ̀ d͡ʒɛ̀ | mɔ̃̀n jɛ̀ sì ɔ̃]","Melu kɔ dzhë, mɔn yɛ si ɔn; a ma mɛn abusua nɔ.","Yapi kɔ Abidjan, mɛ melu kɔ dzhë, mɔn yɛ si ɔn.","Nɛ yɛ la ˗ka nɔ, melu kɔ dzhë, mɔn yɛ si ɔn."
"Sran nɛ gbɔɔn ɔn, dzhigbo nɔ ma nɔ.","Relative-clause proverb with social-group object; nominalized actor plus obligation predicate.","A loud speaker or public boaster becomes accountable to the community they address.","Sran nɛ bɔ lɔ nɔ, ɛn yɛ yɔ ˗ka nɔ kpa.","C2","politics, youth associations, age-grade leadership, public promises, satire","formal-proverbial, admonishing, civic","Source-informed synthetic candidate referencing Akyé age-class organization and public responsibility; requires native-speaker validation for idiomatic status.","[sɾán nɛ̀ ɡ͡bɔ̀ɔ̀n ɔ̃ | d͡ʒìɡ͡bó nɔ̀ mà nɔ̀]","Atsé nɔ bɔ gbɔɔn, sran nɛ gbɔɔn ɔn, dzhigbo nɔ ma nɔ.","Nɛ chef nɔ ka fɛɛ, sran nɛ gbɔɔn ɔn, dzhigbo nɔ ma nɔ.","Yɛ ma yɛ fɛ ɔn, mɛ sran nɛ gbɔɔn ɔn, dzhigbo nɔ ma nɔ."
