Idiom (Sanskrit),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sanskrit)",First Example Sentence,Second Example Sentence,Third Example Sentence
"गुणिनः न किंचिदपि वदन्ति, कर्मैव कथयति।","फिक्स्ड उपवाक्यः, तृतीयपुरुषः, वर्तमानकालः","सज्जनाः आत्मप्रशंसा न कुर्वन्ति, तेषां कार्याणि एव तेषां गुणं प्रकाशयन्ति।","सज्जनः स्वकथां न करोति, किन्तु तस्य कार्यं तं वदति।",B2,"दैनन्दिनवाक्ये, कार्यस्थले, शिक्षायाम्","औपचारिकः, साहित्यिकः","प्राचीनभारतीयसाहित्ये प्रायः दृश्यते, विशेषतः नीति-सूत्रेषु","ɡuɳiɳaɦa nə kiɳtʃidəpi vədɐnti, kɐrmɛːvɐ kɐtʰɐjɐti","गुणिनः न किंचिदपि वदन्ति, कर्मैव कथयति इत्युक्तिं मम गुरुः उपदिशत्।","त्वं स्वकर्मणा यत् कीर्तिं प्राप्स्यसि, तदा ज्ञास्यसि यत् गुणिनः न किंचिदपि वदन्ति।","नायकः यथावत् कृत्यं कृतवान्, यः सत्यमेव दर्शयति यत् कर्मैव कथयति।"
स्वस्य कुक्कुटस्य स्तुतिः स्वयमेव।,"नियतवाक्यम्, कर्मणि प्रयोगः, उपमा",कोऽपि स्वयमेव आत्मप्रशंसां करोति यद्यपि सा उचितं न भवति।,कश्चन आत्मानं अत्यधिकं स्तौति।,C1,"हास्ये, व्यंग्ये, कार्यालये","व्यंग्यात्मकः, colloquial","लोकपरम्परायामिदं बहुश्रुतम्, ग्राम्यजीवनेन प्रेरितम्।",swɐsjɐ kukːuʈɐsjɐ stutiɦi swɐjɐmeːʋɐ,"सः स्वस्य कुक्कुटस्य स्तुतिं करोति, अन्यैः तु न स्वीकृता।","अध्यक्षः अपि स्वस्य कुक्कुटस्य स्तुतिः करोतु, कार्यं तु अल्पम्।",सज्जनाः न कुर्वन्ति स्वस्य कुक्कुटस्य स्तुतिम्।
काकस्य पक्षा न स्फुरन्ति।,"उपमेयोपमा, नकारवाक्यः, असंभावना",असंभवकार्यं यत् न कदापि सिध्यति।,एतत् असंभवमेव।,B1,"दैनन्दिनवाक्ये, शिक्षा, हास्ये","सामान्यः, हास्यात्मकः",भारतीयलोककथासु दृष्टम्।,kɑːkɐsjɐ pɐkʂɑː nə spʰurɐnti,मम परीक्षा उत्तीर्णा भविष्यति — काकस्य पक्षा न स्फुरन्ति।,तेन विना योजनं सिद्धिं न गच्छति — काकस्य पक्षा न स्फुरन्ति।,सः वदति यत् एकस्मिन् दिने संपदं लप्स्यते — काकस्य पक्षा न स्फुरन्ति।
अग्नौ खेले बालः दग्धः।,"क्रियाविशेषणयुक्तवाक्यम्, भूतकालः",जोखिंपूर्णक्रियायां बालकः हानिं प्राप्नोति।,बालः मूर्खतया संकटे पतितः।,B2,"नीतिवचनम्, साहित्ये","नीतिपरः, औपचारिकः","हितोपदेशे, पंचतन्त्रे च दृष्टम्।",ɐɡnɐu̯ kʰele bɑːlɐɦə dəɡdʰɐɦə,"सः अग्नौ खेले बालः दग्धः, अतः शिक्षां प्राप।",अविवेकी जनः पुनः अग्नौ खेले बालः दग्धः।,स्मृतिः एव यः अग्नौ खेले बालः दग्धः।
वृक्षः फलाय नात्माय।,"न्यस्तवाक्यः, तृतीयविभक्तिः, अपि च हेतोः प्रयोगः","उत्तमः पुरुषः स्वार्थाय न, परहिताय कर्म करोति।",सज्जनः परोपकाराय जीवनं यापयति।,C1,"साहित्ये, शिक्षायाम्, संस्कारेषु","साहित्यिकः, आदर्शः",सुभाषितेषु बहुधा उपयुज्यते।,ʋrɪkʂɐɦə pʰɐlɑːjə nə ɑːtmɑːjə,वृक्षः फलाय नात्माय इति सुभाषितं सर्वत्र प्रियं।,सेवकः अपि वृक्षस्य सदृशः — फलाय नात्माय।,गुरवः अपि वृक्षः फलाय नात्माय इव कार्यं कुर्वन्ति।
हस्ते पुष्पं नासिकाय सुरभिः।,"संबन्धवाक्यं, तृतीयविभक्तिः","यत् किञ्चित् समीपे अपि अस्ति, तदपि अनुभवः न स्यात् यदि चेतना नास्ति।","अवधारणा नास्ति चेत्, लाभः व्यर्थः।",C2,"साहित्ये, व्यंग्ये","व्यंग्यात्मकः, दार्शनिकः",उपदेशश्लोकानाम् मध्ये दृष्टम्।,ɦɐsteː pʊʂpɐm nɑːsikɑːjɐ sʊrɐbʰiɦi,हस्ते पुष्पं नासिकाय सुरभिः — एषः अस्य मूर्खस्य अवस्था।,"धनं सन्ति, परं उपयोगं न जानाति — हस्ते पुष्पं नासिकाय सुरभिः।","विद्यया समृद्धः, परं प्रशंसां न प्राप्नोति — हस्ते पुष्पं नासिकाय सुरभिः।"
नदीस्रोतः इव समयः गच्छति।,"उपमा, वर्तमानकालः","समयः निरन्तरं गतिमान् अस्ति, स्थैर्यं नास्ति।",समयः शीघ्रं यति।,B1,"दैनन्दिनवाक्ये, शिक्षायाम्","सामान्यः, उपदेशात्मकः",कालचक्रविचारे उपयुज्यते।,nəd̪iːsroːt̪ɐ ɪʋɐ sɐmɐjɐɦɐ ɡɐtʃːʰɐt̪i,नदीस्रोतः इव समयः गच्छति — अतः क्षणं न नष्टव्यम्।,विद्यार्थिनः जानन्तु यत् नदीस्रोतः इव समयः गच्छति।,"कार्ये विलम्बं न कर्तव्यम्, यतः समयः नदीस्रोतः इव गच्छति।"
नेत्रयोः मध्ये वल्कलम्।,"स्थाननिर्देशः, लोके उपमेयः",स्पष्टदृष्टे अपि भ्रान्तिः जायते।,स्पष्टस्य अपि विषयस्य अपज्ञानम्।,C2,"राजनीतिः, विवादः, दर्शनम्","दार्शनिकः, आलोचनात्मकः",दार्शनिकव्याख्यानासु दृष्टम्।,n̪eːt̪rɐjoːɦə mɐd̪ʱjeː ʋɐlkɐlɐm,"सत्यं सम्मुखे, परं नेत्रयोः मध्ये वल्कलम्।",राजा अपि नेत्रयोः मध्ये वल्कलम् निवारयितुं न शक्नोति।,भ्रान्तिनिवारणं आवश्यकं — नेत्रयोः मध्ये वल्कलम् न भवेत्।
अन्धः दीपं धरति।,"उपमेयवाक्यम्, विरोधाभासः","यः वस्तुं उपयुज्य न शक्नोति, तस्य कृते तद् निरर्थकं।",उपयोगं न जानाति चेत् साधनं व्यर्थं।,B2,"हास्ये, समाजविमर्शे",व्यंग्यात्मकः,न्यायशास्त्रेषु दृष्टम्।,ɐnd̪ʰɐɦə diːpɐm d̪ʰɐrɐt̪i,विज्ञानं यदि न उपयुज्यते — अन्धः दीपं धरति।,अधिकारं असंस्कृतस्य हस्ते — अन्धः दीपं धरति।,विद्यया रहितः नेता — अन्धः दीपं धरति।
उलूकस्य दिवसा निशा।,"उपमा, प्रहसनात्मकः प्रयोगः",यः मूर्खः वा अयोग्यः अपि स्वपरिसरे सर्वश्रेष्ठं मन्यते।,मूर्खः अपि स्वपुरुषे ज्ञानी इव वर्तते।,B2,"हास्ये, राजनीतौ","हास्यात्मकः, व्यंग्यः",हितोपदेशे उल्लिखितम्।,ʊluːkɐsjɐ d̪ɪʋɐsɑː niʃɑː,ग्रामे सः बुबुधे इव वर्तते — उलूकस्य दिवसा निशा।,अज्ञानिनः मध्ये ज्ञानी — उलूकस्य दिवसा निशा।,सः स्वनगरस्य नेता — उलूकस्य दिवसा निशा।
