Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Сабыр түбү — сары алтын,"Номиналдык теңдеме, метафоралык аталыштык сүйлөм",Сабыр кылган адам акыры жакшы натыйжага жетет,"Сабыр кылсаң, ийгиликке жетесиң",B1,"Күнүмдүк сүйлөшүү, тарбия, үй-бүлө","Нейтралдуу, накыл сөз",Түрк элдеринин байыркы тарбиялык накылдарына таянат,ˈsɑ.bɯr tʏˈbʏ sɑˈrɯ ɑlˈtɯn,Атам ар дайым «Сабыр түбү — сары алтын» деп айтып келет.,Кыйынчылыкта ал ушул сөздү эстеди: «Сабыр түбү — сары алтын».,"Жаштарга насаат кылып, чоң апам бул макалды көп колдонот."
Таш менен урганды аш менен ур,Императивдүү кош мүчөлүү сүйлөм,Жамандыкка жакшылык менен жооп бер,Жамандыкка жакшы мамиле кыл,B2,"Адамдар ортосундагы мамиле, адеп-ахлак","Накыл, моралдык",Көчмөн маданияттагы сабырдуулук идеясынан чыккан,tɑʃ meˈnen urˈʁɑndɯ ɑʃ meˈnen ur,"Ал мени сындаганда, мен «Таш менен урганды аш менен ур» деп жооп бердим.",Чоңдор бул макалды жаштарга үлгү катары айтышат.,"Ал душманына да жакшы мамиле кылып, накылды иш жүзүндө көрсөттү."
Дос кыйын күндө билинет,"Жай сүйлөм, баяндоочу конструкция",Чыныгы дос оор учурда көрүнөт,Кыйын учурда досуң билинет,B1,"Достук, социалдык мамиле","Нейтралдуу, турмуштук",Алтай коомундагы жамааттык баалуулуктарга байланыштуу,dos qɯˈjɯn kʏnˈdø bi.liˈnet,"Оор учурда жанымда болгондорду эстеп, «Дос кыйын күндө билинет» дедим.",Бул окуядан кийин достуктун баасын түшүндүм.,Жигит башына иш түшкөндө чыныгы досторун көрдү.
Суу ичкен кудугуңа түкүрбө,Тыюу формасындагы императив,Жакшылык көргөн жериңе жамандык кылба,Сага жардам берген адамды жамандаба,B2,"Күнүмдүк жашоо, тарбия","Насааттык, олуттуу",Көчмөн элдердин табиятка урматынан келип чыккан,suː itʃˈken ku.duˈɣuŋɑ tʏˈkʏr.bø,"Ал иштеген жерин жамандаганда, атасы бул сөздү эске салды.",Чоң апам «Суу ичкен кудугуңа түкүрбө» деп көп айтчу.,Бул макал жаштарга ыраазычылыкты үйрөтөт.
Ишеним тоону да жылдырат,Метафоралык баяндоо,Ишеним чоң тоскоолдуктарды жеңет,"Ишенсең, кыйынчылыкты жеңесиң",B1,"Мотивация, саясат, спорт","Поэтикалык, шыктандыруучу",Тоолуу Алтай аймагындагы символикалык образ,i.ʃeˈnim toˈonu dɑ ʒɯl.dɯˈrɑt,Команда машыгууда «Ишеним тоону да жылдырат» деп ураан кылды.,Ал бул сөздү өзүнө дем берүү үчүн кайталады.,Ишеним менен ал чоң максатка жетти.
Жалкоонун жообу даяр,Баяндоочу сүйлөм,Жалкоо адам ар дайым шылтоо табат,Жалкоо адам дайыма себеп айтат,B2,"Күнүмдүк сүйлөшүү, юмор",Ирониялык,Эл арасында тарбиялык тамаша катары колдонулат,ʒɑl.qoˈonun ʒoˈobu dɑˈjɑr,"Ал ишке кечиккенде, баары «Жалкоонун жообу даяр» деп күлүштү.",Бул сөз менен устат студенттерди тамашалап койду.,Жалкоолукка каршы айтылган эски накыл.
"Көп уккан эмес, көп көргөн билет",Каршылаш конструкция,Тажрыйба билимден маанилүүрөөк,Көргөн адам жакшы билет,C1,"Адабият, философия, турмуштук тажрыйба",Поэтикалык,Алтай эл акылмандыгына негизделген,køp uˈqɑn eˈmes køp kørˈɡøn biˈlet,Агай сабакта бул макалды мисал кылды.,Тажрыйбалуу усталар ушул сөздү көп айтышат.,Көп көргөн киши маселени тез түшүндү.
Жакшы сөз жан эргитет,Жай баяндоо,Жакшы сөз адамды шыктандырат,Жакшы сөз кубат берет,A2,"Күнүмдүк сүйлөшүү, үй-бүлө","Жумшак, поэтикалык",Оозеки эл чыгармачылыгында кеңири таралган,ʒɑqˈʃɯ søz ʒɑn er.ɡeˈtet,"Ал мага дем берип, «Жакшы сөз жан эргитет» деди.",Балдарга жакшы сөз айтуу маанилүү.,Жумшак сүйлөгөн адам урматка ээ болот.
Адам сөзү менен бааланат,Пассивдик маанидеги баяндоо,Адамдын кадыр-баркы сөзүнө жараша,Адам сөзүнө жараша бааланат,B1,Расмий жана коомдук контекст,"Нейтралдуу, тарбиялык",Алтай коомундагы абийир түшүнүгү менен байланыштуу,ɑˈdɑm søˈzʏ meˈnen bɑ.ɡɑˈlɑ.nɑt,Саясатчы эл алдында бул накылды айтты.,Чоңдор балдарга жоопкерчиликти ушинтип түшүндүрүшөт.,Бул сөз коомдук ишмерлерге эскертүү болот.
Эрте турган эркек иштен кур калбайт,Шарттуу маани камтыган баяндоо,Эрте аракет кылган адам ийгиликке жетет,"Эрте турсаң, иштен артта калбайсың",B2,"Эмгек, тарбия, айыл турмушу","Накыл, салттуу",Көчмөн малчылык турмуштан чыккан,erˈte turˈʁɑn erˈkek iʃˈten kur qɑlˈbɑjt,Чабан уулуна бул сөздү көп айтчу.,Айылда эрте турган адам көп иш бүтүрөт.,Бул макал эмгекти даңазалайт.
