Idiom (North Frisian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, North Frisian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Hee hee en drak in de hööv,Fixed clause with subject-verb-object structure; present tense,Someone is angry or making a big scene over something minor,To overreact or get worked up over nothing,B2,"Daily speech, sarcasm, family, humor","Colloquial, sarcastic",Used across Föhr and Amrum; 'drak' (dragon) reflects exaggerated emotional outbursts,[heː heː ɛn drɑk ɪn də høːv],"Aalst hee hee en drak in de hööv, wan de tee ween't wärm jenooch.","Wat bist dü för en Minsken, jümmers hee hee en drak in de hööv?","Ik hee keen Tied för hee hee en drak in de hööv, lat üs mol rooch bliw."
Dat bäädt as en Stian,Simile using comparative 'as'; stative clause,Something is very uncomfortable or unpleasant,It's extremely unpleasant or uncomfortable,B1,"Daily speech, complaints, humor",Colloquial,Common in Sölring and mainland dialects; 'Stian' = stone,[dat bɛːt as ɛn ʃtiːən],"Dis Bett bäädt as en Stian, ik kon kaum släip.",De Nääwel bäädt as en Stian hüt moarn.,"Dat Büx bäädt as en Stian, koft önj’t Fäärgduch."
Jüst as en Aal in'n Bäärg,Simile with prepositional phrase; nominal comparison,Someone is completely out of place or uncomfortable,To feel out of place or not belong,C1,"Workplace, humor, sarcasm","Colloquial, ironic",Föhr-based simile; eels and mountains are ecologically incompatible,[jyst as ɛn ʔaːl ɪn ən bɛːrk],Ik fühl mi jüst as en Aal in’n Bäärg in dissen Meetung.,Hii wiar jüst as en Aal in’n Bäärg in’t Balett.,"As dü önj de Stadt gungst, wiarst dü jüst as en Aal in’n Bäärg."
Slape as en Snak efter somer,Simile with temporal marker; stative structure,Someone is sleeping very deeply,To sleep very soundly,A2,"Family, humor, daily life","Colloquial, poetic","Metaphor from hibernating snakes, common in Föhr tales",[slaːp as ɛn ʃnak ɛftər zoːmər],De Buu slapt as en Snak efter somer.,Ik hee slapt as en Snak efter somer na’t Fest.,"Et wiar stil, all slapt as en Snak efter somer."
Hat de Puck nich an,Negative clause with verb omission,Someone isn’t fully understanding or grasping a situation,To not get it or to be slow on the uptake,B2,"Humor, education, sarcasm","Colloquial, humorous",‘Puck’ may refer to an old lamp or spark metaphor,[hat də pʊk nɪç an],"Lat em Tied, hii hat de Puck nich an.","Wiarst dü seker? Du hatst de Puck nich an, man!","Ik denk, de Jongen hat de Puck nich an."
Et käämt di as en Koog över,Impersonal clause with simile and prepositional phrase,"Something arrives suddenly and powerfully, often emotionally",It hits you hard or overwhelms you,C1,"Emotional expression, literature, spoken narrative","Poetic, literary",Refers to sudden flooding in the Koog (polder) regions,[ɛt kɛːmt di as ɛn koːk øːvər],"Et käämt mi as en Koog över, wan ik hörte det Nais.",Dat Trüüd käämt em as en Koog över.,"Et käämt di as en Koog över, wan’t harmlos üüb’t Maal kümmt."
Gung ütj as en Licht in de Wind,Simile with prepositional clause; past tense,Something disappeared or ended suddenly and quietly,To fade or vanish silently,B2,"Literature, reflection, loss","Poetic, reflective",Lighthouses and storm imagery common in coastal Frisian tales,[gʊŋ ʏtʃ as ɛn lɪçt ɪn də vɪnt],De aalt Leew gung ütj as en Licht in de Wind.,Al’s Hoffnungen gung ütj as en Licht in de Wind.,Dat Droom wiar fääl – gung ütj as en Licht in de Wind.
Hee en Muus op de Tung,Fixed clause with object prepositional phrase,To stay quiet when one has something to say,To hold back from speaking,A2,"Daily speech, family, education","Colloquial, ironic",Mouse-on-tongue motif found in children's tales from Amrum,[heː ɛn muːs ɔp də tʊŋ],Wat as los? Hast en Muus op de Tung?,"Hii hee en Muus op de Tung, wan’t Spel begann.",Lat jü spreeken – du heest en Muus op de Tung!
Wiar as en Sniep in’n Wint,Comparative clause with prepositional movement phrase,To behave awkwardly or move erratically,To act awkwardly or unpredictably,B1,"Humor, youth speech, daily speech","Humorous, informal",Snipe birds common in tidal areas; erratic flyers,[viːɐ̯ as ɛn sniːp ɪn ən vɪnt],Du wiarst as en Sniep in’n Wint bi’t Danzen.,Et Jongen träält herüm as en Sniep in’n Wint.,Ik fühl mi wiar as en Sniep in’n Wint önj’t Büro.
Lat’t stian as’t steet,Imperative clause with verb inversion,Let things be as they are,Leave it alone or don’t interfere,A1,"Family, workplace, general conversation","Colloquial, gentle","Common across all dialects, used in domestic speech",[lat stiaːn ast ʃteːt],"Lat’t stian as’t steet, et is good so.",Mam sei: Lat’t stian as’t steet!,"Ik will’t repareren, man hii sei: Lat’t stian as’t steet."
