Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Estar hasta las patas,Verbo copulativo + preposición + artículo + sustantivo plural,Estar en una situación muy complicada o desastrosa; estar muy enamorado (según el contexto).,Estar en serios problemas / Estar muy enamorado,B2,"Habla cotidiana, relaciones amorosas, quejas informales","Coloquial, irónico","Muy usado en Lima, especialmente entre jóvenes y en contextos informales. 'Las patas' hace referencia al cuerpo, aludiendo a estar hasta el fondo.",[esˈtaɾ ˈasta las ˈpatas],¡Estoy hasta las patas con este proyecto que no avanza nada!,Mi prima está hasta las patas por ese chico de su clase.,"Cuando vi las cuentas, me di cuenta de que estábamos hasta las patas."
Tirar dedo,Verbo transitivo + sustantivo singular,Acusar o delatar a alguien,Delatar a alguien,B1,"Lenguaje juvenil, crimen, situaciones escolares o laborales","Coloquial, sarcástico","Expresión común en barrios limeños desde fines del siglo XX, relacionada con contextos de calle o escolares.",[tiˈɾaɾ ˈðeðo],"No le hables, tiró dedo cuando nos atraparon en la bodega.","Al final, alguien tiró dedo y nos suspendieron a todos.","¡Oye, no tires dedo! Solo fue una broma."
Más perdido que cuy en tómbola,Comparación + adjetivo + cláusula subordinada,Estar totalmente desorientado o confundido,Estar completamente confundido,C1,"Humor, habla cotidiana, críticas amistosas","Coloquial, humorístico",Basado en las ferias populares peruanas donde se coloca un cuy en una tómbola giratoria para decidir premios.,[mas peɾˈðiðo ke ˈkwi en ˈtomβola],Ese pata está más perdido que cuy en tómbola con la nueva jefa.,Me dejaron solo en el centro comercial y quedé más perdido que cuy en tómbola.,En el examen estaba más perdido que cuy en tómbola.
Hacerse bolas,Verbo pronominal reflexivo + sustantivo plural,Confundirse o enredarse mentalmente con algo,Confundirse mucho,B1,"Educación, trabajo, discusiones",Coloquial,Usado en Lima y otras regiones urbanas; referencia a la idea de tener pensamientos enredados como bolas.,[aˈseɾse ˈβolas],Me hice bolas con tanto número en el examen de mate.,Siempre se hace bolas cuando habla de política.,"No te hagas bolas, es más simple de lo que parece."
Estar en nada,Verbo copulativo + preposición + pronombre indefinido,"No tener éxito, no estar haciendo nada útil o productivo",No estar haciendo nada importante,A2,"Juventud, estudios, ocio","Coloquial, crítico",Popularizado entre jóvenes limeños en las décadas recientes.,[esˈtaɾ en ˈnaða],"Ese chico está en nada, ni estudia ni trabaja.","Cuando terminé la serie, me sentí en nada.","No quiero estar en nada este verano, voy a hacer voluntariado."
Hablar hasta por los codos,Verbo transitivo + locución adverbial,Hablar excesivamente,Hablar demasiado,B2,"Familia, relaciones sociales, trabajo","Coloquial, humorístico","Conocido en toda Hispanoamérica, pero muy usado en Perú con matices humorísticos.",[aˈβlaɾ ˈasta poɾ los ˈkoðos],Tu tía habla hasta por los codos cuando hay visita.,"Después de dos cafés, hablábamos hasta por los codos.","Ese profesor habla hasta por los codos, pero es divertido."
Poner el parche,Verbo transitivo + artículo + sustantivo singular,Prevenir un conflicto anticipadamente o advertir de antemano,Advertir antes de que ocurra algo,C1,"Relaciones personales, familia, política","Coloquial, estratégico",Muy usado en contextos limeños para hablar de relaciones amorosas o situaciones tensas.,[poˈneɾ el ˈpaɾtʃe],Le puse el parche para que no se queje después.,Mi papá ya puso el parche por si no llegamos a tiempo.,"Antes de salir, mi flaca me puso el parche sobre la fiesta."
Estar misio,Verbo copulativo + adjetivo coloquial,No tener dinero,Estar sin plata,A2,"Vida diaria, juventud, economía",Coloquial,"De uso común en el habla limeña. 'Misio' proviene del inglés 'missionary', aludiendo a pobreza económica.",[esˈtaɾ ˈmisjo],"No puedo salir hoy, estoy misio.",Después del concierto quedé misio.,"Estamos misios hasta fin de mes, ni modo."
Hacerla larga,Verbo transitivo + pronombre + adjetivo,Alargar innecesariamente una situación,Demorarse más de lo necesario,B1,"Trabajo, reuniones, relaciones sociales","Coloquial, impaciente","Común en el español peruano, especialmente en el mundo laboral o estudiantil.",[aˈseɾla ˈlaɾɣa],"No la hagas larga, solo dime lo que pasó.",Ese trámite siempre la hacen larga en la municipalidad.,Mi jefe la hizo larga para no darnos la noticia de frente.
Más chancho que regalo de feria,Comparación + adjetivo + cláusula,Ser de mala calidad o de apariencia poco atractiva,Ser de baja calidad,C2,"Sarcasmo, crítica social, humor","Coloquial, sarcástico",Hace referencia a los premios de feria de mala calidad que a menudo eran muñecos inflados o defectuosos.,[mas ˈtʃantʃo ke reˈɣalo ðe ˈfeɾja],Ese polo está más chancho que regalo de feria.,Me dieron una taza más chancha que regalo de feria.,Tu floro estuvo más chancho que regalo de feria.
