Idiom (Akan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Akan)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Nsuo nni nan, nanso ɛkɔ baabiara.",Fixed declarative clause,Someone or something that finds its way everywhere; describes pervasive influence or widespread presence.,Obi anaa ade bi bɛda hɔ baabiara.,C1,"Politics, commentary, metaphorical speech, journalism","Literary, philosophical",Drawn from Akan traditional wisdom; reflects the belief that truth and presence cannot be hidden.,nsuo ǹ̩.ní.nán | nán.sʊ́ ɛ́.kɔ́ bá.bí.á.rá,"Wɔka sɛ nsuo nni nan, nanso ɛkɔ baabiara, efisɛ nokware no betumi akɔ baabiara.","Ɔman no din te sɛ nsuo, ɛkɔ baabiara wɔ abɔnten.","Sɛ wopɛ sɛ wuhu nea ɛrekɔ so a, kae sɛ nsuo nni nan."
Abofra bo a ɔnkyerɛ no yɛ ne tirim nanso ɔde to ɔhene ho.,Complex conditional proverb structure,A stubborn child learns lessons the hard way.,Obiara bɛsua adeɛ wɔ ne bere mu.,B2,"Parenting, social advice, traditional teaching","Proverbial, advisory",Akan traditional proverb emphasizing experiential learning and discipline.,à.bó.frá bó á ɔ̀ɲ́.t͡ɕé.rɛ́ nó yɛ́ nɛ́ tí.rím ná.n.sɔ ɔ́.dé tó ɔ́.hé.né hó,"Ɔbarima no yɛɛ basabasa, na wopɛ sɛ ɔte ase a, abofra bo a ɔnkyerɛ no yɛ ne tirim.","Ɛyɛ sɛ ɔte nkae no, efisɛ ɔde to ɔhene ho.","Sɛ ɔyɛɛ no yiye a, ɔrenkae sɛnea ɔsuaeɛ no."
"Anoma antu a, ɔbɛda.",Conditional clause with subject ellipsis,"If you don’t make an effort, you will not progress.","Sɛ woannye wo ho adwuma a, wo renkɔ anim.",B1,"Motivational speech, education, workplace","Neutral, motivational",Common Akan saying linked to diligence and effort.,à.nó.má àn.tʊ́ á ɔ̀.bɛ́.dá,"Ɔka kyerɛɛ no sɛ anoma antu a, ɔbɛda, enti ɔsɔreɛ kɔɔ sukuu.","Sɛ wopɛ nkɔsoɔ a, kae sɛ anoma antu a, ɔbɛda.","Ɔnni nsa ho adwuma, enti ɔda daa."
"Wɔse, sika yɛ aboa a ɔte fie a ɔkyere ne ho.",Declarative with relative clause,Money is useless when not spent; wealth should be circulated.,Sika nni mfaso sɛ wode nsɛe.,C1,"Economics, advice, satire, humor","Colloquial, ironic",Traditional Akan proverb commenting on the futility of hoarding wealth.,sí.ká yɛ́ à.bó.á á ɔ́.té fí.ɛ́ á ɔ́.ɕé.rɛ́ né hó,"Ɔda sika no so daa, na wɔka sɛ sika yɛ aboa a ɔte fie a ɔkyere ne ho.","Ɛnfa mfaso sɛ sika da fam, ɛsɛ sɛ yɛde di dwuma.",Obi a ɔkyere ne ho sika mu rentumi nyɛ ade.
Ɔkɔtɔ nwo anomaa.,Simple declarative clause,One’s offspring will resemble them or follow their path.,Abɔfra bɛyɛ sɛ ne mpanimfoɔ.,A2,"Family, social commentary","Neutral, reflective",An old Akan proverb linking inheritance and character resemblance.,ɔ̀.kɔ̀.tɔ́ ɲ̀.wɔ́ à.nɔ́.má,"Ɔbɔ ne ho bo sɛnea ne papa no yɛ, kae sɛ ɔkɔtɔ nwo anomaa.","Ɔbaa no yɛ sɛ ne maame pɛpɛɛpɛ; ampa, ɔkɔtɔ nwo anomaa.","Sɛnea ɔyɛ no, ɛkyerɛ sɛ ne busuani nni nsakraeɛ."
Sei no ho yɛ den sɛ aboa kɔtɔ mu.,Comparative construction with simile marker 'sɛ',The matter is very difficult or complicated.,Asɛm no yɛ den paa.,B2,"Conversation, frustration, politics","Colloquial, emphatic","Metaphor from rural Akan hunting culture, comparing difficulty to a crab’s hard shell.",sèí nó hó yɛ́ dén sɛ à.bó.á kɔ́.tɔ́ mú,Asɛm a wɔde brɛ me no yɛ den sɛ aboa kɔtɔ mu.,Ɛyɛ den paa sɛ yɛbɛtumi ayi nea ɛkɔ so no.,"Ɔkae sɛ, 'sei no ho yɛ den sɛ aboa kɔtɔ mu' na obiara tee aseɛ."
Abofra na ɔmmɔ ɔhene da.,Declarative clause with negation marker,Children should not challenge authority or elders.,Abofra nni tumi sɛ ɔbɛka asɛm tia mpanyin.,B1,"Family, discipline, ethics","Formal, advisory",Derived from Akan chieftaincy systems emphasizing respect for hierarchy.,à.bó.frá ná ɔ́m.mɔ́ ɔ́.hé.né dá,"Ɛnyɛ ne dea sɛ ɔka, abofra na ɔmmɔ ɔhene da.","Ɔsuae sɛ, sɛ ɔyɛ abofra a, ɔmmɔ ɔhene da.",Wɔkae no wɔ abusuakuo no mu sɛnea yɛde yɛ nkɔmmɔ.
"Sɛ wokɔ ɔhene fie a, fa wo ho yɛ dɛ.",Conditional clause with imperative,Behave appropriately in places of authority or respect.,"Sɛ wopɛ sɛ wokɔ baabi a, yɛ sɛnea ɛfata.",B2,"Social etiquette, moral education","Polite, proverbial",Proverb from Akan royal customs emphasizing decorum and self-control.,sɛ̀ wɔ́.kɔ́ ɔ́.hé.né fí.ɛ́ á fá wɔ́.hó yɛ́ dé,"Ɔka kyerɛɛ no sɛ, sɛ wokɔ ɔhene fie a, fa wo ho yɛ dɛ.","Ɔkyerɛɛ ne ba sɛ nkɔɔ yɛ nkɔyɛ, fa wo ho yɛ dɛ.","Ɔsɔreɛ pɛpɛɛpɛ, efisɛ ɔbɛhyia ɔhene."
"Abɔfra a ɔmpɛ sɛ ne nan ho yɛ fi no, ɔyɛ aboa.",Complex comparative structure with conditional nuance,A person unwilling to improve or change is foolish.,"Sɛ obi mpɛ nkɔsoɔ a, ɔyɛ gyimii.",C2,"Social critique, education, humor","Ironic, satirical",Used in Akan oral traditions to criticize laziness and stagnation.,à.bó.frá á ɔ́m.pɛ́ sɛ́ né nán hó yɛ́ fí nó ɔ́.yɛ́ à.bó.á,"Wɔkaa no wɔ asafo no mu sɛ abɔfra a ɔmpɛ sɛ ne nan ho yɛ fi no, ɔyɛ aboa.","Ɔkyerɛɛ no sɛ ɔnsakra ne tirim, na ɔmmɛyɛ yie.",Ɛyɛ kasakoa a Akanfoɔ de kyere wɔn a wɔmfa wɔn ho nsi.
"Sɛ aboa bi wu a, n’akofoɔ yɛ no da.",Conditional proverb structure,"When one fails, those connected to them suffer as well.","Sɛ obi yɛ basaa a, ɛka ne nnamfoɔ.",B2,"Family, community, politics","Proverbial, reflective",Rooted in communal Akan philosophy emphasizing interdependence.,sɛ̀ à.bó.á bí wʊ́ á nà à.kó.fó ɔ́ yɛ́ nó dá,"Wɔka sɛ sɛ aboa bi wu a, n’akofoɔ yɛ no da, enti yɛn nyinaa bɛhia.","Ɔman no te sɛ aboa no akofoɔ, sɛ ɔhene di nkogu a, ɛka wɔn nyinaa.","Sɛ wo nua yɛ asɛm bɔne a, ɛka wo nso."
