Idiom (Votic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Votic)",First Example Sentence,Second Example Sentence,Third Example Sentence
Õuna õunassa kaukallõ eb lankõ.,Fixed negative declarative proverb; noun + elative source phrase + allative adverbial + negative auxiliary + present verb.,"Children or close followers often resemble their parents, family, or social model in behavior and character.",Lahsi on sagõssi vanõpijõ moodin.,B1,"family, village gossip, upbringing, humor, moral comparison",colloquial proverb; gently ironic or affectionate,Finnic family-resemblance proverb known in Votic proverb tradition; especially natural in kinship-centered Ingria village contexts.,/ˈɤunɑ ˈɤunɑsːɑ ˈkɑukɑlːɤ eb ˈlɑŋkɤ/,"Kui Martti pajatõb niku izä, ämme nagrõb: õuna õunassa kaukallõ eb lankõ.","Tüttö tehäb tüüte vaiksõssi niku emä, i kõik juttõvad, etti õuna õunassa kaukallõ eb lankõ.","Kuz meill noorõd õppõvad vanoilta, siiz nätäb: õuna õunassa kaukallõ eb lankõ."
Iga ühs on oma õnnõ päällä seppä.,Equative nominal clause; universal pronoun subject + copula + possessive genitive phrase + adessive + predicate noun.,A person is responsible for shaping their own future through choices and effort.,Inimin teeb ize õma eloo teed.,B2,"advice, work ethic, education, migration decisions, personal responsibility","proverbial; encouraging, serious, reflective",Craft metaphor built around the smith as maker; suits rural and artisan imagery in Finnic proverb culture.,/ˈiɡɑ yhs on ˈomɑ ˈɤnːɤ ˈpæːlːæ ˈsepːæ/,Älä ootõ võõrassa apua ain: iga ühs on oma õnnõ päällä seppä.,"Kui siä tahod õppia vad'd'a tšeeltä, muista, etti iga ühs on oma õnnõ päällä seppä.","Vana dääde juttõli pojallõ: tee tüüte süämeeka, iga ühs on oma õnnõ päällä seppä."
"Kõlmõd kõrtaa mittaa, siz leikkaa.",Elliptical imperative proverb; numeral object phrase + imperative verb + temporal connector + imperative verb.,Think carefully and check facts before taking an irreversible action.,Enne tüüte piäb kõik üvässi kattsoa.,B1,"craft, planning, teaching, workplace, warnings against haste","practical proverb; instructional, calm, mildly admonishing","Carpentry and household-work wisdom; tied to measurement, repair, and careful manual labor.",/ˈkɤlmɤd ˈkɤrtɑː ˈmitːɑː siz ˈleikːɑː/,"Älä kirjuta nime lepingussõ enne kui loõd: kõlmõd kõrtaa mittaa, siz leikkaa.","Kui võrkkoa paikkaammõ, vana kalastaja juttõb: kõlmõd kõrtaa mittaa, siz leikkaa.","Škouluz õpõttõjõ ütlõb lahzillõ, etti kõlmõd kõrtaa mittaa, siz leikkaa."
"Millen emä, mokom i tütär.",Elliptical comparative nominal proverb; demonstrative-correlative pattern with coordinated kinship nouns.,"A daughter often resembles her mother in habits, voice, skills, or temperament.",Tütär on sagõssi emä moodin.,A2,"family, domestic life, humor, praise, mild teasing","colloquial proverb; affectionate, sometimes teasing",Kinship-based proverb reflecting close observation of family roles and inherited habits in small communities.,/ˈmilːen ˈemæ ˈmokom i ˈtytær/,"Kun tütär laulõb pulmõz niku emä, kõik sanõvad: millen emä, mokom i tütär.","Ämmä näki, kui tütär praavitti rooppaa, i nagrõzi: millen emä, mokom i tütär.","Liivčüläz jutõlti pehmiässi: millen emä, mokom i tütär."
"Millin isä, mokomain pokatsi.",Elliptical comparative nominal proverb; correlative adjective with father/son kinship pairing.,"A son often copies or inherits the father’s behavior, skills, faults, or public reputation.",Poika on sagõssi izä moodin.,A2,"family, work habits, village reputation, humor, gentle criticism","colloquial proverb; playful, approving, or mildly critical",Companion kinship proverb to mother-daughter comparison; reflects intergenerational apprenticeship and household continuity.,/ˈmilːin ˈisæ ˈmokomɑin ˈpokɑt͡si/,"Pokatsi parantõb venee niku izä, no millin isä, mokomain pokatsi.","Kui poika ain hiljõssi tuõb tüüss, naapuri ütli: millin isä, mokomain pokatsi.","Dääde kuuntõli poikaa i sanõzi rõõmukkaassi: millin isä, mokomain pokatsi."
"Čen eb tee, se eb süü.",Relative-correlative negative clause; animate relative pronoun + negated verb + resumptive pronoun + negated verb.,Benefits should come with effort; a person who refuses to contribute should not expect reward.,Ilma tüüttä inimin eb saa palkaa ni süümissä.,B1,"workplace, household chores, farming, moral lessons, community duties","direct proverb; stern, moralizing, practical",Work-and-food proverb common in agrarian communities; ties survival to shared labor.,/t͡ʃen eb teː se eb syː/,"Kui noorõd istuvad va, emä muistutab: čen eb tee, se eb süü.","Talguuz kõik auttavad, sillä čen eb tee, se eb süü.","Dääde eb vihastu, a ütli kõvassi: čen eb tee, se eb süü."
"Ühess kõrvõss kuulõn, tõizõss lazzõn vällää.",Fixed first-person idiomatic clause; elative source phrase + present verb + second elative phrase + causative/release verb + directional adverb.,To ignore advice immediately after hearing it; to let information pass through without attention.,"Miä kuulõn, a en piä meelez.",B2,"family scolding, classroom, joking self-criticism, warnings, informal conversation","colloquial idiom; humorous, self-deprecating, reproachful",Body-part idiom shared broadly across European proverb traditions and attested in Votic wording.,/ˈyhesː ˈkɤrvɤsː ˈkuːlɤn ˈtɤizɤsː ˈlɑzːɤn ˈvælːæː/,"Õpõttõjõ pajatti pitkää, a poika ühess kõrvõss kuulõn, tõizõss lazzõn vällää.","Älä tee niku enne: ühess kõrvõss kuulõn, tõizõss lazzõn vällää.","Miä nagran, a tõttõ se on: ühess kõrvõss kuulõn, tõizõss lazzõn vällää."
Uusi mätla ain parepassi pühib.,Nominal subject proverb; adjective + noun subject + frequency adverb + comparative adverb + present verb.,"A new person, tool, or system often performs energetically at first, sometimes better than old routines.",Uusi tüütečijä algõz teeb tüüte kõvassi üvässi.,B2,"workplace, politics, household change, tools, ironic evaluation of newcomers","proverbial; ironic, pragmatic, sometimes skeptical","Household-cleaning metaphor from broom use; applied to new workers, officials, habits, or tools.",/ˈuːsi ˈmætla ɑin ˈpɑrepɑsːi ˈpyhib/,Uusi starosta lupazi kõikka parantaa; rahvaz ütli: uusi mätla ain parepassi pühib.,"Kui ostoimma uuvvõ masina, dääde nagrõzi: uusi mätla ain parepassi pühib.","Tüüpaikkõz uus inženerõ tuli varhain, i kõik muistõtti: uusi mätla ain parepassi pühib."
Kõik jääb mürri-marri.,Resultative clause; universal pronoun subject + inchoative verb + reduplicative expressive predicate.,"Everything becomes messy, confused, disordered, or emotionally chaotic.",Kõik mennöö segazõssi.,B1,"home, meetings, bureaucracy, children’s play, emotional stress, comic complaint","colloquial expressive idiom; humorous, frustrated, vivid",Reduplicative sound-symbolic expression; such echo-forms are common in Finnic expressive vocabulary.,/kɤik jæːb ˈmyrːi ˈmɑrːi/,"Kui lahzõd johsõvad rihez, kõik jääb mürri-marri.",Ilma nimekirjatta koosõolõkuz kõik jääb mürri-marri.,Älä pane kaikkia laukkuu ühez: kõik jääb mürri-marri.
Õnni on enez.,Concise existential/location clause; abstract noun subject + copula + reflexive locative complement.,Happiness or luck is found within oneself rather than only in outside places or possessions.,Inimin võib õlla õnnõkõz õmass süämess.,C1,"reflection, advice, migration, family consolation, literature, spiritual speech","poetic proverb; reflective, consoling, philosophical","Introspective village saying linked to local ideas of home, restraint, and inner steadiness; supported by Votic sentence tradition.",/ˈɤnːi on ˈenez/,"Čülä kujallõ meed ettsimä õnnõa, a õnni on enez.","Kui süämez on rauha, siiz tääd, etti õnni on enez.","Vana naizikko juttõli lapsõlõ: ära itke, õnni on enez."
