Idiom (Latgalian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Latgalian)",First Example Sentence,Second Example Sentence,Third Example Sentence
nūlaist rūkys,Fixed verbal phrase: perfective prefix nū- + infinitive verb + plural accusative noun; also inflects by tense/person when used in a sentence.,"To give up, lose motivation, or stop trying after difficulty.",pārstōt ceņstīs; atsaceitīs nu dorba,B1,daily speech; school; family advice; workplace encouragement; sports,"colloquial, supportive, mildly admonishing",A rural-work metaphor: lowered hands signal that a person has stopped working or helping; common in Latgalian everyday moral speech.,/nuːˈlaist ˈruːkɨs/,"Nūlaist rūkys nav laika, jo sēkla jau ībārta i drīz juosōk ravēt.","Skolūtuoja sacieja, lai mēs nanūlaižam rūkys pēc pyrmuos kļūdys.","Jis beja pīguojis, bet rūkys nanūlaida i pabeidza remontu leidz vakaram."
turēt mēli aiz zūbim,"Fixed verbal phrase: infinitive verb + singular accusative noun + prepositional phrase; the verb inflects, while the object phrase stays stable.","To remain silent, keep a secret, or avoid saying something harmful.","klusēt; nasaceit tuo, kū zini",A2,family; gossip; workplace discretion; humor; conflict avoidance,"colloquial, cautionary, sometimes humorous",Built on the bodily image of the tongue physically held back by the teeth; widely transparent in Latgalian oral interaction.,/ˈturɛːt ˈmɛːli aiz ˈzuːbim/,"Ka sābru pogolmā sōka klačuot, vacōmāte maņ pamōja turēt mēli aiz zūbim.","Sapulcē jis turieja mēli aiz zūbim, leidz direktors pats pajautōja vīduokli.","Par puorsteigumu dzimšonys dīnā turit mēli aiz zūbim, lai Agnese nazkū nūjauš."
pūst miglu acīs,Fixed verbal phrase: infinitive verb + singular accusative noun + plural locative noun; transitive metaphorical construction.,"To mislead someone, obscure the truth, or speak in a way that hides the real situation.",maldynuot; slēpt patīseibu; runōt naskaidri,B2,politics; advertising; negotiations; family disputes; sarcasm,"colloquial, critical, ironic",The image comes from fog blocking sight; it fits Latgale’s landscape imagery and is productive in public and household speech.,/puːst ˈmiglu ˈatsiːs/,"Kandidats pūta miglu acīs, solīdams ceļus bez naudas i bez projekta.","Napūt maņ miglu acīs, es poša redzieju, kas nūtyka pi šķyuna.","Reklama tik skaisti pūta miglu acīs, ka pat vaca mašyna izavēre kai jauna."
kai ar mūru runōt,Comparative idiomatic clause: kai + prepositional phrase + infinitive; often used as a predicate complement.,To talk to someone who refuses to listen or respond meaningfully.,"runōt ar cylvāku, kas naklausōs voi nareaģej",B1,family arguments; teaching; bureaucracy; workplace frustration; humor,"colloquial, frustrated, humorous",Stone walls and old masonry are familiar rural and town images; the idiom turns unresponsiveness into a physical barrier.,/kai ar ˈmuːru ruˈnɔːt/,"Es jam skaidroju treis reizis, bet tyka kai ar mūru runōt.","Ar tuo īstuodi kai ar mūru runōt: viestulis aizīt, atbiļdis nav.","Māte pasmējēs, ka ar pusaudzi rītā ir kai ar mūru runōt."
akmins nu sirds nūkrita,Idiomatic finite clause: nominative noun subject + prepositional phrase + finite perfective verb; tense and person can vary by context.,"A person feels great relief after worry, fear, or uncertainty ends.",palika vīgļōk; sajuta atvīgluotību,B2,health news; exams; travel; family worries; emotional storytelling,"neutral-colloquial, heartfelt, expressive",The heart as a seat of feeling is prominent in Latgalian folklore and religiously colored speech; the stone image intensifies emotional weight.,/ˈakmʲins nu sʲirds nuːˈkrita/,"Kad daktere pateica, ka analīzis lobys, akmins nu sirds nūkrita vysai saimei.","Maņ akmins nu sirds nūkrita, ka dāls pazvaneja nu ceļa i sacieja, ka vysur ir drūši.",Pēc eksamena rezultatu sajemšonys studentim akmins nu sirds nūkrita.
sirds nūkrita papēžūs,Idiomatic finite clause: singular noun subject + perfective finite verb + plural locative noun; vivid body-location metaphor.,"To become suddenly frightened, shocked, or deeply alarmed.",stipri nūbijuotīs; sajust pēkšņu izbaili,B2,accidents; ghost stories; unexpected news; humor; oral narratives,"colloquial, dramatic, expressive",A bodily fear metaphor used in storytelling: emotion is imagined as dropping from the chest to the feet.,/sʲirds nuːˈkrita paˈpɛːʒuːs/,"Kad naktī pi lodža kasīji zari, maņ sirds nūkrita papēžūs.","Viņai sirds nūkrita papēžūs, ieraugūt, ka pase palikuse sātys.","Bērnim sirds nūkrita papēžūs, kad pērkūns iesita tyvu kūtei."
bōzt dūgu ugunī,Fixed verbal phrase: infinitive verb + singular accusative noun + singular locative noun; object can be possessively modified in use.,To put oneself at risk for another person or cause.,riskēt; uzjemtīs bīstameibu cyta lobā,C1,politics; friendship; family loyalty; workplace responsibility; heroic narrative,"colloquial-literary, serious, admiring or warning",Rooted in hearth and fire imagery familiar in village households; the hand represents personal agency and danger.,/bɔːzt ˈduːgu ˈuguniː/,"Prīkšnieks bōza dūgu ugunī par sovim ļaudim, lai tikai nūsturātu dorbnīceibu.","Tu navar vysu laiku bōzt dūgu ugunī par cylvāku, kas pats nanāk paleigā.","Viņa bōza dūgu ugunī, aizstōvādama kaimiņini pret nataisneibu."
turēt akmini azūte,Fixed verbal phrase: infinitive verb + singular accusative noun + singular locative noun; metaphorical object-complement pattern.,To secretly hold a grudge or keep resentment hidden while acting outwardly calm.,slāpt aizvainuojumu; paturēt dusmys pret kūdu,C1,family history; village relations; workplace tension; literature; irony,"colloquial, slightly archaic, ironic or suspicious","The hidden stone evokes a concealed weapon or burden; it suits Latgalian narratives about long memory, honor, and neighborly tension.",/ˈturɛːt ˈakmʲini aˈzuːtɛ/,"Jis smaida pi golda, bet es jytu, ka akmini azūte tur vāl nu pērnuos strīda.","Naturi akmini azūte, labōk izrunōjim vysu tagad.","Ciema ļaudis zynōja, ka starp bruoļim akmins azūte turāts jau godim."
meklēt adotu siena kaudzē,Fixed verbal phrase: infinitive verb + singular accusative noun + singular locative noun phrase; transparent search metaphor.,To look for something extremely difficult to find because the search area is too large or disordered.,meklēt kū ļūti gryuti atrodamu,B1,daily speech; archives; technology troubleshooting; household search; humor,"neutral-colloquial, humorous",Haymaking is central in rural Latgalian life; the tiny needle against a haystack gives a concrete agrarian scale to difficulty.,/ˈmɛklɛːt ˈadotu ˈsʲɪɛna ˈkaudzɛː/,Bez dokumenta numura arhīvā meklēt tuo lītu ir kai adotu siena kaudzē.,"Es pogolmā pazaudieju mazu skrūveiti, i tagad meklēju adotu siena kaudzē.",Internetā atrast patīsu atsauci reizēm ir adotu siena kaudzē meklēt.
vōrds nav zvirbulis,Proverbial nominal clause: noun subject + negated copula + noun predicate; often followed by explanatory consequence.,"Once words are spoken, they cannot easily be taken back, so speech should be careful.","runō apduomōti, jo pateiktū gryuti atsaukt",C2,moral advice; family; public speech; literature; conflict resolution; teaching,"proverbial, didactic, traditional","A bird-flight proverb type known across Eastern European oral traditions; in Latgalian it fits parish, family, and storytelling contexts where spoken reputation matters.",/vɔːrds nav ˈzvirbulʲis/,"Vacōtāvs pīminieja, ka vōrds nav zvirbulis, todēļ dusmōs lobōk paklusēt.","Pirms raksti tīklā, atguodoj: vōrds nav zvirbulis, izlaidīsi i vairs nanuķersi.","Sātā bērnim mōceja, ka vōrds nav zvirbulis i cylvāku var ievainuot dziļuok par pātagu."
