Idiom (Tuvalu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tuvalu)",First Example Sentence,Second Example Sentence,Third Example Sentence
E lavea ne te la te mea lilo,Fixed clause (active declarative sentence),The truth will eventually be revealed; secrets cannot be hidden forever.,Truth always comes out in the end.,B2,"Daily speech, moral teaching, literature","Proverbial, formal",Originates from seafaring communities where sunlight was used metaphorically to represent clarity and revelation.,e laˈβea ne te la te ˈmea ˈlilo,"Aua te fakasao ne koe au mea, e lavea ne te la te mea lilo.",E se mafai o fakalilifu te mea sese; e lavea ne te la te mea lilo.,"I te taimi tonu, e lavea ne te la te mea lilo."
"Ko te nofo fakamā, e se maua te ika",Complex clause (conditional cause-effect),"If you are too shy or hesitant, you will miss opportunities.",You must be bold to achieve success.,B1,"Daily speech, motivation, education","Colloquial, instructive","Draws from fishing life in Tuvalu, where patience and initiative determine one’s catch.",ko te ˈnofo fakaˈma e se ˈmaua te ˈika,"E se maua ne koe te galuega ke nofo fakamā, e se maua te ika.","Ko taku matua e fai mai, ‘Ke galue malosi, ke se nofo fakamā.’","I te fono, ne fai atu te pule, ‘Ko te nofo fakamā, e se maua te ika.’"
"Ko te vai e mālū, e loloto",Compound clause (parallel comparison),Quiet people often possess deep wisdom.,Wise people don’t always speak much.,C1,"Philosophical, moral teaching, literature","Poetic, reflective",Metaphor derived from the ocean’s calm surface concealing its depth.,ko te ˈvai e ˈmaːlu e loˈloto,"E iloa ne au a ia e fai mai se tino poto – ko te vai e mālū, e loloto.","Ko te tagata e se faipati malosi, e masani o poto – ko te vai e mālū, e loloto.","Ne fakaaoga ne te tusi te faaupuga ‘ko te vai e mālū, e loloto’ mō te tagata poto."
E se mālie te fale kae seai se loto fāmili,Conditional complex sentence (negative statement),A house without love and unity is not a happy home.,A home is happy only when there is family love.,B2,"Family, moral teaching, religion","Proverbial, sentimental",Reflects communal Tuvalu values emphasizing kinship and unity.,e se ˈmaːlie te ˈfale kae seˈai se ˈloto ˈfaːmili,E se mālie te fale kae seai se loto fāmili i loto.,"Ko te tamā e fai atu, ‘E se mālie te fale kae seai se loto fāmili.’","Ne lagona ne au te fakatau fakamālie, e se mālie te fale kae seai se loto fāmili."
"E tasi te matagi, e tokouke te tino e aafia",Coordinated clause (cause-effect parallelism),One event can affect many people.,One problem can impact everyone.,C1,"Politics, community life, social commentary","Formal, moralistic",Stems from island experiences where storms affect entire communities.,e ˈtasi te ˈmatagi e tokoˈuke te ˈtino e aˈafia,"E tasi te matagi, e tokouke te tino e aafia, e pei o te fakalavelave i Nanumea.","Ko te fakalavelave e tasi, e tokouke e aafia – e tasi te matagi.","Ne fai atu te faipule, ‘E tasi te matagi, e tokouke te tino e aafia.’"
"Ko te tagata galue malosi, e maua te manuia",Declarative compound sentence,Hard work leads to success.,"If you work hard, you will succeed.",A2,"Education, work, family advice","Proverbial, instructive",Widely used in Tuvalu as moral instruction to youth.,ko te taˈgata ɡaˈlue maˈlosi e ˈmaua te maˈnuia,"Ko taku matua e fai mai, ‘Ko te tagata galue malosi, e maua te manuia.’",E fakamaoni ne te lalolagi te mea tenei – e maua te manuia.,"E fiafia te faiako o fai atu, ‘Ko te tagata galue malosi, e maua te manuia.’"
E se gata te poto i te tusi fua,Negative declarative sentence,Wisdom is not limited to book learning.,Knowledge also comes from experience.,B2,"Education, life philosophy, religion","Reflective, moral",Reflects oral wisdom traditions emphasizing practical experience.,e se ˈŋata te ˈpoto i te ˈtusi ˈfua,"Ko te faiako ne fai atu, ‘E se gata te poto i te tusi fua.’","E iloa ne tatou, e se gata te poto i te tusi fua.",Ko te tagata poto e iloa ne ia me e se gata te poto i te tusi fua.
E maua te filemu i loto i te loto mālie,Complex clause with locative complement,Inner peace comes from a kind heart.,Peace comes from kindness and calmness.,B1,"Religion, philosophy, literature","Poetic, moralistic","Used in religious and community contexts, tied to Christian teaching.",e ˈmaua te fiˈlemu i ˈloto i te ˈloto ˈmaːlie,"E maua te filemu i loto i te loto mālie, e pei o te fakafetai.","Ko taku matua e fai mai, ‘E maua te filemu i loto i te loto mālie.’",E se maua te filemu māfana ki se loto masaua; e maua i loto mālie.
Ko te manuia e se maua i te nofo noa,Negative declarative sentence,Success does not come to those who are idle.,You must act to achieve something.,A2,"Work, education, daily motivation","Proverbial, instructive",Traditional Tuvalu work ethic idiom passed through generations.,ko te maˈnuia e se ˈmaua i te ˈnofo ˈnoa,"Ko te faiako e fai atu, ‘Ko te manuia e se maua i te nofo noa.’",E iloa ne tatou katoa – e se maua i te nofo noa.,"Ko taku matua e toe fai, ‘Ko te manuia e se maua i te nofo noa.’"
E lavea ne te taimi te loto tonu,Declarative sentence with temporal clause,Time reveals one’s true intentions.,People’s true nature shows over time.,C1,"Moral teaching, reflection, politics","Formal, reflective",Rooted in Tuvaluan oratory traditions emphasizing patience and truth.,e laˈβea ne te ˈtaimi te ˈloto ˈtonu,E lavea ne te taimi te loto tonu o tagata.,E se mafai o fakalilifu te mea pepelo; e lavea ne te taimi.,"Ko taku matua e fai mai, ‘E lavea ne te taimi te loto tonu.’"
