Idiom (Tswana),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tswana)",First Example Sentence,Second Example Sentence,Third Example Sentence
Pula e na le ditlhare,Fixed clause with subject and verb phrase,Abundance comes with responsibilities or challenges,Blessings often come with difficulties,B2,"Daily speech, wisdom, family advice","Proverbial, reflective",Linked to the agricultural importance of rain and trees in Tswana society,ˈpùːlà ʔí nà lɪ dìt͡ɬʰárè,"Rraetsho o ne a re, ‘Pula e na le ditlhare’ fa a re gakolola ka botshelo.",Basha ba tshwanetse go itse gore ‘Pula e na le ditlhare’ mo maitekanelong a bone.,Mosadi o ne a tlhalosa gore lerato la gagwe le monna wa gagwe le supa gore ‘Pula e na le ditlhare.’
Kgomo ya moshate ga e tseye molapo,Fixed clause with negative verb phrase,People of status or power do not follow ordinary rules,Leaders are not bound by the same rules as others,C1,"Politics, traditional authority, public debates","Formal, proverbial",Refers to the special privileges of royal cattle in Tswana tradition,kxʰòmò jà mòʃátʰì xà ʔì t͡sèjè mòláːpò,Mo kgotleng go buiwa gore ‘Kgomo ya moshate ga e tseye molapo’ fa kgosi a tsaya tshwetso.,Batho ba ne ba dumela gore ‘Kgomo ya moshate ga e tseye molapo’ mo pusong.,Makgosi a supa ka mekgwa ya bone gore ‘Kgomo ya moshate ga e tseye molapo.’
Mabogo dinku a thebana,Fixed clause with plural noun subject,People should support each other through cooperation,We must help one another,A2,"Daily speech, community, family support","Colloquial, proverbial",Based on mutual aid practices in Tswana culture,máːbòxò dìŋkù ʔà tʰèbánà,Mo motseng re itse gore ‘Mabogo dinku a thebana’ fa re aga ntlo.,"Bana ba ruta go re, ‘Mabogo dinku a thebana’ fa ba dira tiro mmogo.","Ka lebaka la kgetsi, re tlhaloganya gore ‘Mabogo dinku a thebana.’"
Motho ke motho ka batho,Fixed clause with repetition,Human identity and dignity come from community,A person’s worth is shaped by others,B1,"Philosophy, community, social gatherings","Philosophical, proverbial",Parallel to the African philosophy of Ubuntu,mʊ́tʰʊ kʰɪ mʊ́tʰʊ kà bàtʰʊ,Go botlhokwa go tlhaloganya gore ‘Motho ke motho ka batho’ mo botshelong.,Kgosi o tlhalositse gore ‘Motho ke motho ka batho’ ke motheo wa kagisano.,Banana ba ne ba bua gore ‘Motho ke motho ka batho’ fa ba itumelela tsholofelo.
Ngwana yo o sa leleng o swela tharing,Complex clause with relative construction,Those who do not speak up will not receive help,Closed mouths don’t get fed,B2,"Family, advice, workplace, humor","Colloquial, advisory",Originates from child-rearing practices where crying signals need,ŋwánà jʊ́ ʔʊ sà lèlèŋ ʔʊ swélà tʰárìŋ,"Mma o ne a re, ‘Ngwana yo o sa leleng o swela tharing’ fa a gakolola morwawe.",Go botlhokwa go itse gore ‘Ngwana yo o sa leleng o swela tharing’ mo tirong.,O tlhalositse ka tshiamo gore ‘Ngwana yo o sa leleng o swela tharing.’
Pelo e ja serati,Fixed clause with subject and verb phrase,Love is consuming or overwhelming,Love devours one’s strength,C1,"Romantic, poetic, literature","Poetic, dramatic",Used in oral literature and love songs,pʰèlò ʔí jà sèrátʰì,O ne a bua ka lorato lwa gagwe ka gore ‘Pelo e ja serati.’,"Mo dipineng, re utlwa setlhogo se se reng ‘Pelo e ja serati.’","Bakwadi ba ngola dipoko ka mafoko a a reng, ‘Pelo e ja serati.’"
Lerato ga le na matlho,Fixed clause with negation,Love is blind,Love ignores flaws,A2,"Romance, humor, family","Colloquial, humorous",Commonly used in Tswana everyday life,lɪrátʰʊ xà lɪ nà màt͡ɬʰʊ,"Batho ba re, ‘Lerato ga le na matlho’ fa ba bua ka baratani.",O ne a itsise bana gore ‘Lerato ga le na matlho’ mo botshelong.,"Mo manyalong a gagwe, go ne ga buiwa gore ‘Lerato ga le na matlho.’"
Pitse ya naga ga e tshwanela go rweswa sethuthupi,Complex clause with modal construction,One should not burden the wild with domestic responsibility,Don’t force someone into a role they aren’t meant for,C2,"Sarcasm, workplace, politics, family","Sarcastic, advisory",Refers to livestock practices contrasting wild and domestic animals,pʰít͡sè jà náxà xà ʔì t͡sʰwánèlà xʊ rwésʊà sètʰʊ̀tʰʊpʰí,O ne a raya gore ‘Pitse ya naga ga e tshwanela go rweswa sethuthupi’ mo puong ya gagwe.,"Mo kgotleng, go ne ga buiwa gore ‘Pitse ya naga ga e tshwanela go rweswa sethuthupi.’",Banna ba ne ba segana ka gore ‘Pitse ya naga ga e tshwanela go rweswa sethuthupi.’
Letsatsi le tsoga le dinaledi,Clause with subject-verb phrase,Every new day comes with its challenges and hopes,Each day has its own trials,B1,"Wisdom, daily life, family advice","Proverbial, poetic",Drawn from natural observation of dawn and stars,lɪt͡sát͡sì lɪ tsʰóxà lɪ dìnáledì,Rraagwe o ne a bua gore ‘Letsatsi le tsoga le dinaledi.’,Bakwadi ba dirisa polelo ya gore ‘Letsatsi le tsoga le dinaledi.’,"Mo botshelong, re tshwanetse go gopola gore ‘Letsatsi le tsoga le dinaledi.’"
Kgomo e sule ga e nyale,Fixed clause with negation,"Once an opportunity is lost, it cannot return",Lost chances don’t come back,B2,"Family, humor, advice, workplace","Proverbial, advisory",Linked to livestock economy of Tswana communities,kxʰòmò ʔì sʊ̀lè xà ʔì ɲàlè,O ne a gakolola mosimane gore ‘Kgomo e sule ga e nyale.’,Mo tirong re itse gore ‘Kgomo e sule ga e nyale.’,Bomme ba ne ba segana ka gore ‘Kgomo e sule ga e nyale.’
