Idiom (Nheengatu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Nheengatu)",First Example Sentence,Second Example Sentence,Third Example Sentence
Iakwá upitá itá suíri,Fixed intransitive clause with possessed noun phrase; metaphorical body-part/landscape image.,"To remain firm and calm despite pressure, like a canoe held steady near stones.",Upitá mbareté asuí ti ukíri.,B1,daily speech; advice; family; leadership; river travel,"colloquial, encouraging, poetic",Upper Rio Negro river imagery; stones and current are common reference points for patience and steadiness.,/jaˈkwa upiˈta iˈta suˈiɾi/,"Yande ramuĩ umunhã puçanga nheenga, ma ta iakwá upitá itá suíri.","Kuximawara mira ukuntai siya, asuí Maria iakwá upitá itá suíri.","Tiwá yane rembiapo uikú pukú, yasu yapitá itá suíri."
Nheenga usasá iwaka rupí,Fixed clause with subject noun and motion verb; hyperbolic metaphor.,News or gossip spreads very quickly and far.,Marandua usasá puku asuí piasú.,B2,community news; humor; politics; social media,"colloquial, ironic",Echoes oral circulation of news along rivers and villages; modern use can fit radio or phone messages.,/ɲeˈẽɡa usaˈsa iwaˈka ɾuˈpi/,"Aintá ukupirũ yepé nheenga suiwara, asuí nheenga usasá iwaka rupí.","Reunião resé marandua usasá iwaka rupí, ma ape nemaã resé.",Akangaisima nheenga usasá iwaka rupí mairamé uikú rori reté.
Uyuká pira senundé pupé,Verbal phrase with reflexive/active predicate and object; metaphorical premature action.,"To act too early, before the right time or evidence appears.",Umunhã maã senundé resewara.,B2,planning; work; fishing; warnings; teaching,"colloquial, cautionary",Draws on fishing knowledge: taking the fish before it is properly within reach ruins the catch.,/ujuˈka piˈɾa senuˈde puˈpɛ/,Ti uyuká pira senundé pupé; yarikuté yamaã mamé aé uwiké.,"Paulo uyuká pira senundé pupé, upurungitá yepé marandua ti supí.","Mairamé yanepytasú resé, ti yasasá yepé renda uyuká pira senundé pupé."
Aé uriku kurasí ipó pupé,Possessive existential clause; figurative predicate with celestial noun.,"A person is lucky, cheerful, favored, or brings good energy.",Aé uikú rori asuí puranga reté.,A2,praise; children; friendship; celebrations; encouragement,"warm, affectionate, colloquial","Kurasí ‘sun’ is a central Amazonian image of warmth, clarity, and life.",/aˈɛ uɾiˈku kuɾaˈsi iˈpɔ puˈpɛ/,"Kunhãtaĩ uyurí ramé, yande ruka upitá rori: aé uriku kurasí ipó pupé.",Se irũ unheengari puranga; aé uriku kurasí ipó pupé.,"Tupana ara upé, amunhã se rembiapo, ma aikué kurasí se pó pupé."
Uputari yasí mokõi pó pupé,Transitive desiderative clause with object; impossible-desire metaphor.,To want too much or demand something impossible.,Uputari maã ti ikatu waá.,B1,negotiation; parenting; humor; criticism; politics,"ironic, mildly critical",Moon imagery marks desire beyond human reach; used for exaggeration and teasing.,/upuˈtaɾi jaˈsi moˈkõj pɔ puˈpɛ/,"Taina uputari yasí mokõi pó pupé: yepé ara pupé, aé uputari upá maã.",Yandé ti yapuderi umunhã kwa rembiapo se suí; ne reputari yasí mokõi pó pupé.,"Mairamé karai uputari pirá, maniaka, asuí arama mirá yepé rese, aé uputari yasí mokõi pó pupé."
Akanga upitá kaá piterupé,Nominal subject with locative predicate; metaphor of a head lost in forest-thought.,"To be confused, distracted, or mentally lost.",Ti ukunhã maã umunhã arama.,B1,school; work; travel; teasing; self-correction,"colloquial, humorous",References forest paths and the risk of losing direction without attention or guidance.,/aˈkãŋɡa upiˈta kaˈa piteɾuˈpɛ/,"Se akanga upitá kaá piterupé, ma professora umuyekwa yande raperã.",Ne remundú se suí maã resé? Se akanga upitá kaá piterupé kuri.,"Aé usú mercado upé, ma iakanga upitá kaá piterupé asuí ti umbeú maã uputari."
Nheenga urikú mira rupí pirá-ĩa suí,Complex existential clause with comparative/source phrase; metaphor of a word carrying fish-bone.,A comment sounds small but has a sharp hidden criticism.,Nheenga upurungitá aywa ma uyemim.,C1,sarcasm; politics; family tension; literature; public speech,"ironic, sharp, semi-literary","Fish bones evoke something tiny yet painful, common in riverine eating practices and joking warnings.",/ɲeˈẽɡa uɾiˈku miˈɾa ɾuˈpi piˈɾa ˈĩa suˈi/,"Karai nheenga urikú mira rupí pirá-ĩa suí, asuí upá mira ukunumã.","Kunhã umbeú puranga, ma inheenga urikú pirá-ĩa suí.",Ti remuari; se nheenga urikú mira rupí pirá-ĩa suí resewara.
Uyumunhã tawatá waá akutiara upé,Reflexive/transitive construction with relative clause; self-fashioning metaphor.,To pretend to be important or grander than one really is.,Uyumunhã turusú mira renundé.,B2,humor; workplace; school; politics; gossip,"satirical, colloquial",Contrasts the small quick agouti with the large confident tapir; Amazonian animal imagery marks social irony.,/ujumuˈɲã tawaˈta waˈa akutiaˈɾa uˈpɛ/,"Aé uriku yepé papel mirĩ, ma uyumunhã tawatá waá akutiara upé.",Ti resarái: mirĩ rembiapo yuiri uikú puranga; ti reyumunhã tawatá waá akutiara upé.,"Reunião upé, Pedro uyumunhã tawatá waá akutiara upé asuí upurungitá siya."
"Mairamé igarapé unheenga, kaá uyapysaka",Biclausal temporal construction with personified natural subjects; proverbial structure.,"When warning signs appear, attentive people should listen carefully.",Yamaã kuaá sinale asuí yayapysaka.,C1,environment; elders’ advice; leadership; safety; storytelling,"proverbial, poetic, serious",Reflects attentive listening to forest and water as practical knowledge in river communities.,/majɾaˈmɛ iɡaɾaˈpɛ uɲeˈẽɡa kaˈa ujapɨsaˈka/,"Mairamé igarapé unheenga, kaá uyapysaka; yande yuiri yayapysaka arã.","Aintá usemu senundé, ma waimĩ umbeú: mairamé igarapé unheenga, kaá uyapysaka.","Yane ruka resé marandua ti puranga, asuí paya umbeú kwa nheenga."
Upitá yepé iwí mokõi sapó pupé,Locative existential clause with numeral noun phrase; root metaphor for divided belonging.,"To belong to two worlds, communities, or responsibilities at once.",Uikú mokõi renda irũmu.,C2,identity; migration; multilingualism; literature; education,"reflective, literary, respectful","Evokes roots in soil and the multilingual reality of Rio Negro peoples moving among Nheengatu, Portuguese, and Indigenous languages.",/upiˈta jeˈpɛ iˈwi moˈkõj saˈpɔ puˈpɛ/,Se membira upurungitá nheengatu asuí português; aé upitá yepé iwí mokõi sapó pupé.,"Mairamé asú cidade upé, se pyá upitá yepé iwí mokõi sapó pupé.","Professor umbeú: yande nheenga umuyekwa yande sapó, ma yande rape usú apekatú."
