Idiom (Lojban),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Lojban)",First Example Sentence,Second Example Sentence,Third Example Sentence
lo menli cu bajra ca'o lo djedi,fixed clause with subject 'lo menli' and intransitive verb 'bajra',To be mentally active or restless; to overthink or daydream continuously.,mi pu mutce pensi,C1,"daily speech, reflection, literature, humor","colloquial, poetic",Derived from early Lojbanist online forums describing ‘mental running’ during logical debates.,[lo ˈmen.li ʃu ˈbadʒ.ra ˈʃa.o lo ˈdʒe.di],mi pu cusku lo du'u lo menli cu bajra ca'o lo nicte,do viska lo nu mi menli cu bajra gi'e na sipna,lo cmalu tavla cu djuno lo du'u lo menli cu bajra
lo janco cu darxi lo jamfu,active transitive clause,To harm oneself through one’s own actions; to act against one’s interests.,mi zukte lo nu mi te katna mi,B2,"humor, reflection, moral advice","ironic, proverbial",Popularized in 21st-century Lojban IRC channels; modeled after English ‘shoot oneself in the foot’.,[lo ˈʒan.tʃo ʃu ˈdar.ʃi lo ˈʒam.fu],mi pu viska lo nu do janco cu darxi lo jamfu,ko na janco darxi lo jamfu ca lo nu do tavla,lo smuni cu du lo nu do darxi lo do jamfu
lo plise cu na rinju lo nunji'a,negative clause with metaphorical agent,Sweetness cannot endure hardship; used for those who are kind but fragile.,lo melbi cu na kakne lo nu renvi,C2,"literature, social commentary","poetic, reflective",Appears in early Lojban poetry collections describing fragility of kindness.,[lo ˈpli.se ʃu na ˈrin.dʒu lo ˈnun.dʒi.a],lo plise cu na rinju lo nunji'a ca lo nu to'e zasti,mi pu tavla lo du'u lo plise cu na rinju lo nunji'a,xu do djuno lo du'u lo plise cu na rinju lo nunji'a
lo se jundi cu se catlu,passive clause with reflexive nuance,Attention attracts observation; being too careful draws scrutiny.,lo jundi cu troci lo nu catlu,C1,"social commentary, humor, workplace","ironic, philosophical",Rooted in discussions about self-consciousness in Lojban community debates.,[lo se ˈʒun.di ʃu se ˈtʃat.lu],lo se jundi cu se catlu lo nu do tavla,xu do pu facki lo du'u lo se jundi cu se catlu,mi pu tavla lo nu lo se jundi cu se catlu
lo nu tavla cu cfari lo nu morji,relative clause with event nesting,Talking helps remembering; discussion reinforces memory.,lo tavla cu sidju lo nu morji,B1,"education, daily speech, philosophy","didactic, formal",Common phrase in Lojban teaching circles encouraging conversational learning.,[lo nu ˈtav.la ʃu ˈʃa.ri lo nu ˈmor.dʒi],lo nu tavla cu cfari lo nu morji lo datni,mi pu morji lo du'u lo tavla cu cfari lo nu morji,xu do djuno lo du'u lo nu tavla cu cfari lo nu morji
lo sance cu renro lo xamsi,active transitive poetic clause,Sound carries over great distance; words have lasting effects.,lo se cusku cu to'e se kluza,C2,"poetry, reflection, public speech","literary, solemn",An idiom from Lojban poetic metaphors equating sound with emotional reach.,[lo ˈsan.tʃe ʃu ˈren.ro lo ˈxam.si],lo sance cu renro lo xamsi ca lo nu mi tavla,mi pu pensi lo du'u lo sance cu renro lo xamsi,xu do morji lo du'u lo sance cu renro lo xamsi
lo nu bajra cu na basti lo nu pensi,negative clause with comparative abstraction,Action is not better than thought; promotes deliberation over haste.,lo bajra cu na zmadu lo pensi,B2,"moral teaching, literature, reflection","didactic, reflective",Originates from early Lojban aphorisms discussing rational behavior.,[lo nu ˈbadʒ.ra ʃu na ˈbas.ti lo nu ˈpen.si],mi pu tavla lo du'u lo nu bajra cu na basti lo nu pensi,xu do djuno lo du'u lo nu bajra cu na basti lo nu pensi,lo nu bajra cu na basti lo nu pensi ca lo nu snura
lo tavla cu na smuni su'o danfu,negative active clause,Speech doesn’t always have meaning; critique of empty words.,su'o se cusku cu na se smuni,C1,"politics, sarcasm, debate","sarcastic, ironic",Used in Lojban debate culture criticizing verbosity without clarity.,[lo ˈtav.la ʃu na ˈsmun.i su.o ˈdan.fu],mi pu pensi lo du'u lo tavla cu na smuni su'o danfu,xu do djuno lo du'u lo tavla cu na smuni su'o danfu,lo tavla cu na smuni su'o danfu ca lo nu do tavla
lo dunda cu zmadu lo ponse,comparative transitive clause,Giving is greater than having; expresses generosity.,lo nu dunda cu se jitfa lo nu ponse,B1,"ethics, religion, family, education","moral, formal","Adapted from universal proverbs, popular in Lojban translations of moral texts.",[lo ˈdun.da ʃu ˈzmad.u lo ˈpon.se],mi pu tavla lo du'u lo dunda cu zmadu lo ponse,xu do djuno lo du'u lo dunda cu zmadu lo ponse,lo dunda cu zmadu lo ponse ca lo nu do dunda
lo catlu cu mo'u fanmo lo nu viska,perfective clause with aspect marker ‘mo’u’,Seeing completes the act; direct experience ends curiosity.,lo viska cu mulno lo nu djuno,B2,"philosophy, travel, daily speech","reflective, poetic",Emerging idiom from Lojban storytelling emphasizing experiential wisdom.,[lo ˈtʃat.lu ʃu ˈmo.u ˈfan.mo lo nu ˈvis.ka],mi pu viska lo nu lo catlu cu mo'u fanmo lo nu viska,xu do djuno lo du'u lo catlu cu mo'u fanmo lo nu viska,lo catlu cu mo'u fanmo lo nu viska ca lo nu do klama
