Idiom (Erromintxela),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Sua azpian darama,Fixed verbal clause; transitive verb phrase with implicit object,"To secretly hold anger, resentment, or hidden intentions",Haserrea edo asmo ezkutuak gordetzen ditu,C1,"Family conflicts, politics, interpersonal tension","Ironic, metaphorical, semi-colloquial",Traditional rural metaphor referencing hidden embers under ashes,/ˈs̺u.a as̺ˈpi.an daˈɾa.ma/,Ez fidatu gehiegi; sua azpian darama oraindik.,"Badirudi lasai dagoela, baina sua azpian darama.","Urteak igaro arren, sua azpian darama auzi zaharrarekin."
Haizea bezala joan,Intransitive verb phrase with comparative structure,To leave very quickly or disappear suddenly,Oso azkar alde egin,B1,"Daily speech, storytelling, humor","Colloquial, expressive",Maritime and pastoral mobility imagery common in Basque regions,/ˈhai̯.θe.a beˈθa.la xo.an/,Albistea entzun bezain pronto haizea bezala joan zen.,Dirua hartu eta haizea bezala joan da.,"Aukera ikusita, haizea bezala joan ziren handik."
Bihotza eskuan eduki,Fixed object + auxiliary verb construction,To act with sincerity and emotional openness,Zintzotasunez eta irekitasunez jokatu,B2,"Relationships, literature, emotional discourse","Poetic, sincere",Symbolic heart imagery in Iberian oral traditions,/biˈo.t̪s̺a es̺ˈku.an eˈðu.ki/,Hitz egin zuen bihotza eskuan zuela.,Bere testua bihotza eskuan idatzi zuen.,Ez da erraza bihotza eskuan edukitzea mundu gogor honetan.
Horma jo,Verb-object idiomatic construction,To fail abruptly or encounter a harsh setback,Porrot egin edo oztopo gogorra aurkitu,B1,"Workplace, personal failure, politics","Colloquial, blunt",Urban imagery linked to physical collision,/ˈor.ma xo/,Proiektuak horma jo du finantzaketarik gabe.,Aurreikuspenik gabe abiatu eta horma jo genuen.,Bere plan ausartak horma jo zuen azkenean.
Ezpainetan ezti,Elliptical nominal phrase; metaphorical structure,Sweet words masking insincerity,Hitzez gozo baina ez zintzo,C2,"Politics, satire, sarcasm","Ironic, sarcastic",Symbolic honey imagery in Iberian rhetoric traditions,/es̺ˈpai.ne.tan es̺ˈti/,"Haren diskurtsoa ezpainetan ezti zen, baina barrua hutsik.","Ezpainetan ezti dabil beti, baina ez naiz fio.",Kanpainak ezpainetan ezti izan zuen hasiera.
Itzal luzea utzi,Transitive verb phrase with adjectival complement,To leave a lasting influence or legacy,Eragin sakona utzi,B2,"History, literature, cultural commentary","Formal, reflective",Linked to oral memory and generational storytelling,/iˈt̪s̺al luˈθe.a uˈt̪si/,Bere lanak itzal luzea utzi du herrian.,Artista hark itzal luzea utzi zuen garaian.,Gertakari horrek itzal luzea utzi zuen komunitatean.
Burua galdu,Reflexive verb phrase,To lose control emotionally or mentally,Kontrola galdu edo zoratu,A2,"Daily speech, family, emotional reactions","Colloquial, dramatic",Common Iberian metaphor of losing one’s head,/ˈbu.ɾu.a galˈdu/,Haserrearekin burua galdu zuen une batez.,Ez burua galdu horrelako gauzengatik.,"Presio handiarekin, burua galtzen ari da."
Hitzak jan,Verb-object construction with metaphorical consumption,To retract one's words,Esandakoa atzera hartu,B2,"Debate, politics, arguments","Colloquial, ironic",Metaphor of eating one’s words widespread in oral culture,/ˈhi.t̪s̺ak xan/,"Azkenik, hitzak jan behar izan zituen.","Harrotasunez mintzatu zen, baina gero hitzak jan zituen.",Eztabaidan galdu eta hitzak jan zituen publiko aurrean.
Lurra jo,Intransitive verb phrase,To collapse physically or metaphorically,Erori edo hondoratu,A2,"Sports, drama, storytelling","Neutral, vivid",Agrarian imagery tied to land-based culture,/ˈlu.ra xo/,Nekearen ondorioz lurra jo zuen.,Albiste txarra entzutean lurra jo nuen ia.,Kolpe gogorra izan zen eta lurra jo zuen merkatuak.
Zaku berean sartu,Transitive verb phrase with locative complement,To unfairly group different things together,Gauza desberdinak batera nahasi,C1,"Politics, social commentary, academia","Semi-formal, critical",Market and rural sack imagery reflecting trade culture,/ˈs̺a.ku beˈɾe.an ˈs̺aɾ.t̪u/,Ezin dituzu guztiak zaku berean sartu.,Kritikak zaku berean sartu zituen errealitate ezberdinak.,Analisi sakonik gabe zaku berean sartzea arriskutsua da.
