Idiom (Syriac),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Syriac)",First Example Sentence,Second Example Sentence,Third Example Sentence
ܐܝܕܐ ܒܠܚܘܕܗ ܠܐ ܟܐ ܛܪܦܐ,"Fixed proverbial negative clause; feminine singular subject ܐܝܕܐ, reflexive/isolating adverbial ܒܠܚܘܕܗ, habitual negation ܠܐ ܟܐ + imperfect verb ܛܪܦܐ.",Cooperation is necessary; one person alone cannot complete a shared task well.,ܣܢܝܩܝܢ ܚܢܢ ܥܠ ܫܘܬܦܘܬܐ ܕܢܫܠܡ ܦܘܠܚܢܐ.,B1,community work; family advice; classroom collaboration; workplace planning; reconciliation,colloquial-proverbial; warm; advisory; community-minded,"Northern Mesopotamian Syriac/Assyrian communal speech; the image of clapping encodes village cooperation, church service, and household mutual aid.",Eastern/Assyrian: [ʔiːðaː bəlxoːðaːh laː keː tˤaːrpaː],ܠܐ ܡܨܝܢ ܒܠܚܘܕܢ ܕܡܪܡܚ ܠܗ ܡܕܪܫܐ، ܐܝܕܐ ܒܠܚܘܕܗ ܠܐ ܟܐ ܛܪܦܐ.,ܐܢ ܟܠ ܚܕ ܢܦܠܚ ܚܕ ܩܠܝܠ، ܡܛܝܢ ܠܢܝܫܐ، ܡܛܠ ܕܐܝܕܐ ܒܠܚܘܕܗ ܠܐ ܟܐ ܛܪܦܐ.,ܒܓܘ ܥܡܐ ܒܠܚܘܕܐ ܠܐ ܡܬܒܢܐ ܡܢܕܝ، ܐܝܕܐ ܒܠܚܘܕܗ ܠܐ ܟܐ ܛܪܦܐ.
ܒܝܢ ܡܪܙܦܬܐ ܘܣܕܢܐ,"Fixed prepositional phrase; ܒܝܢ plus two coordinated emphatic-state nouns; used as predicate complement after verbs of being, standing, or remaining.","To be trapped between two harsh choices, pressures, or authorities with no easy escape.",ܗܘܐ ܒܕܘܟܬܐ ܩܫܝܬܐ ܕܐܝܬ ܒܗ ܬܪܝܢ ܓܒܝ̈ܐ ܠܐ ܒܣܝܡ̈ܐ.,B2,politics; family mediation; business negotiations; legal conflict; crisis decisions,colloquial-literary; serious; dramatic; empathetic,Craft and metalwork imagery common in Middle Eastern vernaculars; the hammer-and-anvil scene evokes being squeezed by opposing forces.,Eastern/Assyrian: [beːn mar.zap.tɑː wəsad.dɑːnɑː],ܡܕܒܪܢܐ ܩܐܡ ܗܘܐ ܒܝܢ ܡܪܙܦܬܐ ܘܣܕܢܐ، ܦܠܚ̈ܐ ܒܥܝܢ ܐܓܪܐ ܘܡܪܐ ܒܥܐ ܚܘܣܪܢܐ.,ܟܕ ܚܒܪܗ ܘܐܚܘܗܝ ܐܬܟܬܫܘ، ܝܘܣܦ ܐܫܬܪܝ ܒܝܢ ܡܪܙܦܬܐ ܘܣܕܢܐ.,ܒܕܝܢܐ ܕܐܪܥܐ ܗܝ ܗܘܬ ܒܝܢ ܡܪܙܦܬܐ ܘܣܕܢܐ، ܕܠܐ ܒܥܬ ܠܡܚܣܪ ܠܐ ܒܝܬܐ ܘܠܐ ܐܚ̈ܐ.
ܠܫܢܗ ܐܪܝܟܐ,Possessive nominal clause; noun ܠܫܢܗ plus adjectival predicate ܐܪܝܟܐ; can be inflected for gender/person.,"A person talks back, argues excessively, or answers with disrespectful sharpness.",ܗܘ ܡܡܠܠ ܣܓܝ ܘܡܬܚܪܐ ܥܡ ܐܢܫ̈ܐ ܕܠܐ ܐܝܩܪܐ.,B1,family discipline; school behavior; workplace tension; humorous teasing; social criticism,colloquial; mildly critical; ironic; sometimes affectionate,"Body-part metaphor from family and village discourse; the tongue represents speech discipline, respect for elders, and social restraint.",Eastern/Assyrian: [lɪʃʃaːneːh ʔarriːxaː],ܠܐ ܒܣܡܐ ܠܢ ܕܡܗܦܟ ܦܬܓܡܐ ܥܠ ܐܡܗ، ܠܫܢܗ ܐܪܝܟܐ.,ܒܟܢܘܫܝܐ ܟܠ ܐܢܫ ܫܬܩ، ܐܠܐ ܗܘ ܡܬܚܪܐ ܗܘܐ؛ ܠܫܢܗ ܐܪܝܟܐ.,ܡܠܦܢܐ ܐܡܪ ܠܬܠܡܝܕܐ، ܠܫܢܗ ܐܪܝܟܐ ܠܐ ܡܘܬܪ ܒܟܬܐ.
ܡܡܠܘܠܐ ܥܠ ܕܐܒܐ ܘܕܐܒܐ ܠܬܪܥܐ,Fixed participial clause; verbal noun/participle ܡܡܠܘܠܐ followed by prepositional object ܥܠ ܕܐܒܐ and coordinated existential-location clause ܘܕܐܒܐ ܠܬܪܥܐ.,The person being discussed suddenly appears; equivalent to noticing someone arrive while they are being mentioned.,ܗܘ ܐܢܫܐ ܕܡܡܠܠܝܢ ܗܘܘ ܥܠܘܗܝ ܐܬܐ ܒܗ̇ ܫܥܬܐ.,B2,daily conversation; humor; family gatherings; workplace gossip; narrative dialogue,colloquial-proverbial; humorous; vivid; lightly ironic,Wolf-at-the-door imagery from pastoral and village life; shared with neighboring Near Eastern proverb traditions while retaining Syriac wording.,Eastern/Assyrian: [mːa.loː.leː ʕal deːvaː w deːvaː ltarʕaː],ܡܡܠܘܠܐ ܥܠ ܕܐܒܐ ܘܕܐܒܐ ܠܬܪܥܐ؛ ܗܐ ܐܝܠܝܐ ܥܐܠ ܠܩܗܘܐ.,ܐܡܪܢ ܕܡܪܝܡ ܒܛܠܐ ܡܢ ܟܠ ܟܢܘܫܝܐ، ܘܒܪ ܫܥܬܗ ܥܠܬ؛ ܡܡܠܘܠܐ ܥܠ ܕܐܒܐ ܘܕܐܒܐ ܠܬܪܥܐ.,ܟܕ ܕܝܪܝܢ ܗܘܘ ܠܫܡܗ ܕܪܒܝ، ܦܬܚ ܠܗ ܬܪܥܐ؛ ܡܡܠܘܠܐ ܥܠ ܕܐܒܐ ܘܕܐܒܐ ܠܬܪܥܐ.
ܟܪܣܐ ܣܒܝܥܬܐ ܘܥܝܢܐ ܟܦܝܢܬܐ,Balanced nominal proverb; two coordinated feminine singular noun-adjective phrases contrasting bodily states.,"Someone already has enough but still desires more; appetite, greed, or desire exceeds real need.",ܐܢܫܐ ܗܘ ܕܐܝܬ ܠܗ ܣܦܩܐ ܘܬܘܒ ܒܥܐ ܝܬܝܪ.,B1,food; shopping; wealth; children; humorous criticism; consumer desire,colloquial-proverbial; humorous; critical; teasing,"Table and hospitality culture; contrasts physical fullness with the eye’s desire, a recurring Near Eastern metaphor for excess.",Eastern/Assyrian: [kar.saː sˈviːʕ.taː w ʕaj.naː kˈpiːn.taː],ܐܟܠ ܬܪܝ ܩܛ̈ܥܐ ܕܠܚܡܐ ܘܬܘܒ ܚܙܐ ܠܥܘܓܐ، ܟܪܣܐ ܣܒܝܥܬܐ ܘܥܝܢܐ ܟܦܝܢܬܐ.,ܒܝܬܗ ܡܠܐ ܡܐܢ̈ܐ، ܘܟܠ ܝܘܡܐ ܙܒܢ ܚܕܬ̈ܐ؛ ܟܪܣܐ ܣܒܝܥܬܐ ܘܥܝܢܐ ܟܦܝܢܬܐ.,ܠܐ ܬܪܥܐ ܥܠ ܫܒܩ̈ܐ ܕܐܚܪ̈ܢܐ، ܐܚܝ؛ ܟܪܣܐ ܣܒܝܥܬܐ ܘܥܝܢܐ ܟܦܝܢܬܐ ܡܚܪܒܐ ܚܕܘܬܐ.
ܫܡܐ ܪܒܐ ܘܡܬܐ ܚܪܝܒܬܐ,Fixed antithetical nominal clause; two coordinated noun-adjective phrases juxtaposing reputation and ruined reality.,"A person, project, or institution has a grand reputation but little substance, quality, or real strength.",ܫܡܗ ܪܒܐ ܐܠܐ ܦܘܠܚܢܗ ܘܫܪܪܗ ܠܐ ܚܝܠܬܢ̈ܐ.,C1,politics; business reputation; social media boasting; satire; literary criticism,proverbial; sarcastic; evaluative; socially sharp,Village imagery from Mesopotamian settlement life; the ruined town contrasts public name with concrete condition.,Eastern/Assyrian: [ʃim.maː rab.baː w maːθaː ħriːv.taː],ܫܡܗ ܗܘܐ ܓܘ ܟܠ ܡܕܝܢܬܐ، ܐܠܐ ܡܣܩܢܘܬܗ ܣܦܝܩܬܐ؛ ܫܡܐ ܪܒܐ ܘܡܬܐ ܚܪܝܒܬܐ.,ܣܝܡܘܢ ܠܫܘܬܦܘܬܐ ܫܡܐ ܪܒܐ، ܐܠܐ ܒܓܘܗ̇ ܠܝܬ ܢܘܗܪܐ ܘܠܐ ܬܟܢܐ؛ ܫܡܐ ܪܒܐ ܘܡܬܐ ܚܪܝܒܬܐ.,ܡܠܠ ܣܓܝ ܥܠ ܚܟܡܬܗ، ܘܟܕ ܫܐܠܘܗܝ ܫܘܐܠܐ ܦܫܝܛܐ ܫܬܩ؛ ܫܡܐ ܪܒܐ ܘܡܬܐ ܚܪܝܒܬܐ.
ܠܐ ܬܪܝܬ ܡܢ ܩܕܡ ܕܐܬܐ ܡܛܪܐ,"Negative imperative proverb; ܠܐ + second-person imperative/subjunctive-style verb, temporal prepositional phrase ܡܢ ܩܕܡ, and subordinate clause ܕܐܬܐ ܡܛܪܐ.","Do not panic, prepare excessively, or react before the problem has actually arrived.",ܠܐ ܬܬܒܗܠ ܘܠܐ ܬܣܥܘܪ ܡܢ ܩܕܡ ܕܗܘܐ ܡܢܕܝ ܒܫܪܪܐ.,B2,financial planning; exams; weather; parenting; project management; calming advice,colloquial-proverbial; calming; practical; admonitory,"Agrarian and weather-aware village life; rain is a practical trigger for action, not imagined anxiety.",Eastern/Assyrian: [laː taː.reːt min qaːm d aːθeː mitˤ.raː],ܠܐ ܬܙܒܢ ܡܐܢ̈ܐ ܚܕܬ̈ܐ ܡܢ ܩܕܡ ܕܡܩܒܠܬ ܐܓܪܐ؛ ܠܐ ܬܪܝܬ ܡܢ ܩܕܡ ܕܐܬܐ ܡܛܪܐ.,ܥܕܟܝܠ ܠܐ ܐܬܐ ܦܘܩܕܢܐ ܡܢ ܡܫܬܐܠܢܐ، ܠܐ ܬܪܝܬ ܡܢ ܩܕܡ ܕܐܬܐ ܡܛܪܐ.,ܐܡܐ ܐܡܪܐ ܠܒܪܬܗ̇، ܠܐ ܬܕܚܠܝ ܡܢ ܡܨܥܝܬܐ ܗܫܐ؛ ܠܐ ܬܪܝܬ ܡܢ ܩܕܡ ܕܐܬܐ ܡܛܪܐ.
ܥܝܢ̈ܗ ܦܠܝܛ̈ܐ ܡܢ ܪܝܫܗ,Possessive body-part clause; plural possessed noun ܥܝܢ̈ܗ with participial/adjectival predicate ܦܠܝܛ̈ܐ and source phrase ܡܢ ܪܝܫܗ; inflectable by person and number.,"Someone is insolent, impudent, or shamelessly disrespectful toward elders, authority, or social norms.",ܗܘ ܠܐ ܡܚܘܐ ܐܝܩܪܐ ܘܡܡܠܠ ܒܚܘܨܦܐ.,C1,family discipline; moral criticism; school reports; conflict mediation; sarcasm,colloquial; sharp; critical; socially corrective,Embodied moral metaphor from household and elder-respect culture; protruding eyes symbolize shameless boldness.,Eastern/Assyrian: [ʕaj.neːh pliːtˤeː min reːʃeːh],ܠܐ ܫܡܥ ܠܐܒܘܗܝ ܘܠܡܠܦܢܗ، ܥܝܢ̈ܗ ܦܠܝܛ̈ܐ ܡܢ ܪܝܫܗ.,ܟܕ ܣܒܐ ܡܠܠ ܥܡܗ ܒܫܝܢܐ، ܗܘ ܓܚܟ؛ ܥܝܢ̈ܗ ܦܠܝܛ̈ܐ ܡܢ ܪܝܫܗ.,ܒܟܢܘܫܝܐ ܗܘܐ ܙܥܘܪܐ ܘܡܦܩ ܩܠܐ ܥܠ ܟܠܢ؛ ܥܝܢ̈ܗ ܦܠܝܛ̈ܐ ܡܢ ܪܝܫܗ.
ܟܪܣܝ ܡܠܐ ܠܗ ܕܡܐ,First-person possessive body-part clause; feminine possessed noun ܟܪܣܝ with perfect verb ܡܠܐ and complement ܕܡܐ; inflectable for possessor/person.,"I am filled with intense grief, regret, or inner pain because of a distressing event.",ܐܢܐ ܟܪܝܐ ܠܝ ܣܓܝ ܘܡܬܬܘܝܢܐ ܒܓܘ ܠܒܝ.,B2,mourning; regret; family hardship; lost opportunity; confession; emotional storytelling,colloquial; emotional; lamenting; intimate,Body-centered lament idiom; the belly/inside as a seat of grief is deeply rooted in Semitic emotional expression.,Eastern/Assyrian: [kar.siː mleː laːh dɪm.maː],ܟܕ ܫܡܥܬ ܕܐܚܝ ܐܒܕ ܦܘܠܚܢܗ، ܟܪܣܝ ܡܠܐ ܠܗ ܕܡܐ.,ܠܐ ܐܙܠܬ ܠܡܚܙܝܗ ܩܕܡ ܡܘܬܗ، ܘܗܫܐ ܟܪܣܝ ܡܠܐ ܠܗ ܕܡܐ.,ܟܕ ܚܙܝܬ ܕܒܝܬܐ ܕܣܒܝ ܢܦܠ، ܟܪܣܝ ܡܠܐ ܠܗ ܕܡܐ ܡܢ ܕܘܟܪܢ̈ܐ.
ܚܛܝܬܐ ܠܐ ܟܐ ܥܒܪܐ ܥܠ ܩܒܪܐ,Fixed proverbial negative clause; abstract feminine subject ܚܛܝܬܐ with habitual negation ܠܐ ܟܐ + imperfect verb ܥܒܪܐ and prepositional phrase ܥܠ ܩܒܪܐ.,Hidden wrongdoing or truth will eventually be revealed; secrets do not remain buried forever.,ܫܪܪܐ ܘܣܘܪܚܢܐ ܟܣܝܐ ܒܚܪܬܐ ܡܬܓܠܐ.,C1,moral warning; family secrets; legal testimony; politics; religious teaching; storytelling,proverbial; moralizing; grave; cautionary,"Religious-moral register shaped by Syriac Christian discourse on sin, confession, burial, and divine justice.",Eastern/Assyrian: [ħtˤiː.θaː laː keː ʕaːv.raː ʕal qaːv.raː],ܐܦ ܐܢ ܟܣܝܬ ܫܪܪܐ ܐܕܝܘܡ، ܚܛܝܬܐ ܠܐ ܟܐ ܥܒܪܐ ܥܠ ܩܒܪܐ.,ܒܝܬ ܕܝܢܐ ܠܐ ܚܙܐ ܟܠ ܡܢܕܝ ܒܫܥܬܐ، ܐܠܐ ܚܛܝܬܐ ܠܐ ܟܐ ܥܒܪܐ ܥܠ ܩܒܪܐ.,ܣܒܬܐ ܐܡܪܐ ܗܘܬ ܠܢ، ܠܐ ܬܕܓܠܘܢ ܥܠ ܚܕܕ̈ܐ، ܚܛܝܬܐ ܠܐ ܟܐ ܥܒܪܐ ܥܠ ܩܒܪܐ.
