Idiom (Akuntsu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Akuntsu)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tũra oma kaʔi iʔe,Fixed clause with verb-object sequence,To act foolishly or without thinking,To behave recklessly,B1,"Daily speech, humor, family","Colloquial, humorous",Derived from Akuntsu folklore about mischievous spirits in the forest,/ˈtũɾa ˈoma kaʔi ˈiʔe/,"Oma ame tũra kaʔi iʔe, peitẽ ma!",Koro oma tũra kaʔi iʔe tapiri ma.,"Tũra oma kaʔi iʔe, arara epai ma."
Ame oma ybira tẽ,Nominal phrase with postpositional complement,To be calm or patient,To stay calm,A2,"Family, workplace, conflict resolution","Neutral, calming",Refers to the stillness of trees after rainfall,/ˈame ˈoma ˈybira tẽ/,Ame oma ybira tẽ tapiri ma.,Koro tũra oma ybira tẽ peitẽ ma.,"Oma ame ybira tẽ, koro epaitã."
Koro oma suʔa pyã,Verb phrase with object modifier,To tell a secret,To share something privately,B2,"Family, friendship, storytelling","Colloquial, confidential",Rooted in oral tradition of trust among kin groups,/ˈkoɾo ˈoma ˈsuʔa ˈpjã/,Koro oma suʔa pyã tũra ma.,Ame oma suʔa pyã peitẽ ta.,Tũra koro oma suʔa pyã arara ma.
Tũra epaʔã piranga,Verb-object structure with adjectival complement,To be angry or lose temper,To get angry,A2,"Daily speech, family, social conflict","Colloquial, emotional",Piranga (red) symbolizes heat and fury in Akuntsu culture,/ˈtũɾa eˈpaʔa piˈɾaŋga/,Oma tũra epaʔã piranga koro ma.,Koro oma epaʔã piranga tapiri ta.,Ame oma epaʔã piranga arara ma.
Ame oma arara tũra,Fixed clause with post-verbal noun,To speak loudly or boastfully,To talk too much,B1,"Humor, social gatherings","Ironic, humorous",Arara (macaw) represents talkativeness and colorfulness,/ˈame ˈoma aˈɾaɾa ˈtũɾa/,Ame oma arara tũra peitẽ ma.,Koro oma arara tũra tapiri ma.,Tũra oma arara tũra ame ma.
Oma tũra epai ybira,Verb phrase with object noun complement,To remain steadfast or unyielding,To be strong,B2,"Motivational, community discourse","Poetic, formal",Refers to the strength of the ybira (tree) in storms,/ˈoma ˈtũɾa eˈpai ˈybira/,"Oma tũra epai ybira, koro ma.",Ame oma epai ybira tapiri ta.,Koro oma epai ybira ame ma.
Koro oma epaitẽ tapuru,Verb-object structure,To deceive or play tricks,To lie or cheat,C1,"Politics, humor, sarcasm","Ironic, colloquial",Tapuru (worm) is symbolic of sly deceit,/ˈkoɾo ˈoma eˈpaitẽ taˈpuɾu/,Koro oma epaitẽ tapuru ame ma.,Oma tũra epaitẽ tapuru koro ma.,Ame oma epaitẽ tapuru peitã ma.
Ame oma epaʔẽ kurumi,Verb phrase with complement noun,To show bravery or face danger,To be brave,B2,"Warrior tradition, oral history, self-discipline","Heroic, formal",Kurumi (young man) stands for courage and vitality,/ˈame ˈoma eˈpaʔẽ kuɾuˈmi/,Ame oma epaʔẽ kurumi tapiri ma.,Koro oma epaʔẽ kurumi ame ma.,Tũra oma epaʔẽ kurumi peitã ma.
Tũra oma epai tapiri,Verb-object phrase,To return home safely,To arrive back safely,A1,"Travel, safety, family","Neutral, respectful",Tapiri (house) symbolizes safety and return,/ˈtũɾa ˈoma eˈpai taˈpiɾi/,Tũra oma epai tapiri peitẽ ma.,Ame oma epai tapiri tũra ma.,Koro oma epai tapiri ame ta.
Oma epaʔã jandira,Verb phrase with object,To seek wisdom or clarity,To reflect deeply,C2,"Literature, philosophy, teaching","Poetic, reflective",Jandira (moonlight) is a metaphor for insight and vision,/ˈoma eˈpaʔa ˈʒandira/,Oma epaʔã jandira tũra ma.,Koro oma epaʔã jandira ame ta.,Ame oma epaʔã jandira peitẽ ma.
