Idiom (Chinese Pidgin English),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Chinese Pidgin English)",First Example Sentence,Second Example Sentence,Third Example Sentence
"When breeze blow, fowl yansh go open.",Complex clause; conditional result structure.,Hidden truth or secret eventually becomes known.,Secrets will eventually come out.,C1,"Politics, gossip, humor","Colloquial, ironic","West African & Canton trade pidgin, 19th century expression.","/wen briz blo, faʊl jæ̃ʃ go ɔpən/","When breeze blow, fowl yansh go open — all di bad thing go show one day.","You go see truth soon — when breeze blow, fowl yansh go open sure sure.","Dem think say dem secret safe, but when breeze blow, fowl yansh go open."
"No chop finish today, tomorrow still dey.",Negative imperative clause; temporal coordination.,Don’t waste all your resources now; plan for the future.,Save some for tomorrow.,B1,"Family, finance, daily speech","Proverbial, advisory",Maritime pidgin proverb from Pearl River Delta.,"/no tʃɔp finɪʃ təde, tumɔro stil de/","No chop finish today, tomorrow still dey; save money for next week wahala.",Mama always talk say no chop finish today; future still dey wait.,No chop finish today; tomorrow fit bring hunger.
Fish no fit climb tree.,Declarative clause; metaphorical subject restriction.,Everyone has limits; don’t try what’s impossible.,You can’t do what’s beyond your ability.,B2,"Workplace, moral talk, education","Didactic, reflective",Common in Chinese merchant pidgin moral sayings.,/fɪʃ no fit klaɪm tri/,"Fish no fit climb tree, so no force am for wetin e no sabi.","Fish no fit climb tree, so stop try be lawyer if you no like talk.",Fish no fit climb tree — everybody get him own gift.
"Monkey see, monkey do.",Coordinated declarative; reduplication structure.,"People imitate others, often blindly.",People copy what they see others doing.,A2,"Social media, casual talk, humor","Humorous, sarcastic",Derived from global trade creole cross-contact idiom.,"/mɔŋki si, mɔŋki du/","Monkey see, monkey do — dat boy just copy everytin me do.","Monkey see, monkey do — na so rumor spread fast for town.","Monkey see, monkey do — no originality again for dis office."
Rain no fall for one man roof alone.,Relative clause; distributive subject emphasis.,Everyone faces hardship; no one is exempt.,Everyone faces challenges.,B2,"Community, family, hardship talk","Proverbial, moral",Reflects shared experience under colonial hardship.,/ren no fɔl fɔ wan man ruf əlon/,"Rain no fall for one man roof alone, everybody get problem today.",Rain no fall for one man roof alone; we all dey suffer same wahala.,Rain no fall for one man roof alone; make we help each other.
Every pot get him own black bottom.,Simple declarative; possessive and comparative idiom.,Nobody is perfect; everyone has flaws.,Everyone has faults.,B1,"Moral education, workplace","Colloquial, philosophical","Canton–Niger coastal proverb fusion, 1800s origin.",/ɛvri pɔt gɛt im ɔn blæk bɔtəm/,Every pot get him own black bottom; no mock another person fault.,"Even di big boss, every pot get him black bottom.","Remember, every pot get him own black bottom — no perfect person."
"Hand wey give, na hand go receive.",Causal coordination; reciprocal structure.,Generosity brings generosity in return.,"If you help others, they’ll help you too.",B1,"Religion, generosity, community speech","Formal, moralistic",Common in trade ethics discourse of Chinese Pidgin English.,"/han we giv, na han go risiv/","Hand wey give, na hand go receive; dat why we share rice for neighbor.","Hand wey give, na hand go receive — kindness no de waste.","Hand wey give, na hand go receive; kindness always come back."
"If goat wear cloth, him still go smell goat.",Conditional contrast; metaphorical identity clause.,Appearance can’t hide true nature.,You can’t change your true nature.,C1,"Humor, sarcasm, personal character","Humorous, ironic",Humorous folk saying of southern ports (Guangzhou).,"/if got wer klɔt, im stil go smɛl got/","If goat wear cloth, him still go smell goat; money no fit change bad man.","Even with perfume, if goat wear cloth, e still smell goat.","If goat wear cloth, him still go smell goat — no pretend to be holy."
Coconut head no de take advice.,Declarative clause; nominal subject emphasis.,A stubborn person refuses advice.,Stubborn people don’t listen to advice.,B2,"Education, family advice","Advisory, colloquial",Educational proverb from pidgin-speaking schoolmasters.,/kɔkɔnɔt hed no de tek advais/,Coconut head no de take advice; dat pikin too stubborn.,Dat boy get coconut head — teacher don tire for am.,Coconut head no de take advice — he go learn by mistake.
"Man wey no sleep, he go dream awake.",Conditional result clause; reflexive expression.,"Rest is necessary; without it, dreams can’t happen.","Without rest, one cannot function well.",C2,"Philosophical, poetic reflection","Poetic, philosophical",Philosophical idiom from port workers and sailors.,"/man we no slip, i go drim əwek/","Man wey no sleep, he go dream awake; you need rest before you continue work.","Man wey no sleep, he go dream awake; body no be machine.","Man wey no sleep, he go dream awake; peace come from rest."
