Idiom (Mahasu Pahari),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mahasu Pahari)",First Example Sentence,Second Example Sentence,Third Example Sentence
ऊंट पहाड़ के नीचे आया,"Fixed clause, perfect aspect",A proud person faces humility or defeat,The arrogant person has been humbled,C1,"Humor, social commentary, daily life","Colloquial, ironic",Derived from old Himachali fables involving animals and pride,/ũːʈ pəɦaːɽ keː nɪˈceː aːjaː/,"जब उह नौकरी ते निकाले गयो, तां ऊंट पहाड़ के नीचे आया।","गांव वाले बोलदे सैं, अब तो ऊंट पहाड़ के नीचे आ गयो।",इतरो घमंडी आदमी अब चुप सै — ऊंट पहाड़ के नीचे आ गयो।
थोथा चना बाजे घना,"Nominal clause, metaphorical comparison",Empty talkers make the most noise,People who lack substance often talk the most,B2,"Humor, moral teaching, everyday conversation","Colloquial, didactic","Common across North Indian hills, rooted in agrarian metaphor",/tʰoːtʰaː tʃənaː baːd͡ʒe ɡʰənaː/,ओ बहुत बोलदा सै पर कम्म कच्छु नां — थोथा चना बाजे घना।,"मां बोली, बेटा, थोथा चना बाजे घना याद रख।","राजू बड़ा शोर मचावे सै, पर काम में निपुण नां — थोथा चना बाजे घना।"
घर की मुर्गी दाल बराबर,"Fixed clause, nominal comparison",Things at home are undervalued,Familiar things are not appreciated,B1,"Family, humor, sarcasm","Colloquial, ironic",Traditional Indian proverb known across Himachal,/ɡʰər kiː murɡiː daːl bəraːbər/,"मां बोली, मेरे पक्वान कौन खावे — घर की मुर्गी दाल बराबर।",बेटी की कला कोई न सराहे — घर की मुर्गी दाल बराबर।,ओ बडे कलाकार सै पर घर वाले न मानदे — घर की मुर्गी दाल बराबर।
नाच न आवे आंगन टेढ़ो,Negative clause with causative complement,Blaming others for one’s own shortcomings,Someone is making excuses for their own faults,B2,"Sarcasm, daily talk, education","Colloquial, sarcastic",Old rural idiom from Himachali villages,/naːt͡ʃ naː aːve aːŋɡən ʈeːɽʰoː/,"ओ परीक्षा में फेल हो गयो, अब बोलदा सै पेपर टेढ़ो — नाच न आवे आंगन टेढ़ो।","कम्म खराब कीतो, बहाना बनावै — नाच न आवे आंगन टेढ़ो।","राजू बोला, ‘कम्प्यूटर खराब सै’ — नाच न आवे आंगन टेढ़ो।"
भूखे भजन न होए गोपाला,Subordinate clause with negation,Spiritual work is hard without basic needs met,It’s hard to think of spirituality when hungry,C1,"Philosophical, religious discourse, folk sayings","Literary, moralistic",Religious idiom tied to Krishna devotion in Himachal villages,/bʰuːkʰeː bʰəd͡ʒən nə hoːe ɡoːpaːlaː/,"बाबा बोला, पहले पेट भरो, फिर भजन करो — भूखे भजन न होए गोपाला।","गांव में बोला जावे सै, भूखे भजन न होए गोपाला।","किसान बोला, काम पहले जरूरी सै — भूखे भजन न होए गोपाला।"
ऊंची दुकान फीका पकवान,"Nominal phrase, comparative expression",Appearance doesn’t match quality,Looks good but lacks substance,B1,"Commerce, criticism, humor","Colloquial, humorous",Folk idiom from Pahari trade culture,/ũːt͡ʃiː d̪uːkaːn pʰiːkaː pəkʋaːn/,"रेस्टोरेंट दिखन में बड़ा अच्छा, पर ऊंची दुकान फीका पकवान।","ओ बोलदा बहुत, पर काम कच्छु नां — ऊंची दुकान फीका पकवान।","नई किताब दिखन में भारी, पर बात फीकी — ऊंची दुकान फीका पकवान।"
समय बड़ा बलवान सै,Declarative clause,Time has the ultimate power to change everything,Everything changes with time,B2,"Philosophical, family, moral discourse","Formal, reflective",Ancient moral saying with roots in Himachali folklore,/səməj bəɽaː bəlaːwaːn sɛ/,"आज गरीब सै, कल अमीर हो सै — समय बड़ा बलवान सै।","राज बोला, चिंता मत कर — समय बड़ा बलवान सै।","पुराने दिन याद करदे, पर मानदे — समय बड़ा बलवान सै।"
"जहां चाह, वहां राह",Conditional compound clause,Determination leads to success,"If there is will, there is a way",A2,"Education, motivation, daily speech","Inspirational, moralistic",Pan-Indian moral proverb adopted in Mahasu dialect,/d͡ʒəhaːn t͡ʃaːh ʋəhaːn raːh/,"बेटी बोली, मैं करांगी — जहां चाह, वहां राह।","टीचर बोला, मेहनत कर — जहां चाह, वहां राह।","राजू ने कहा, डर क्यो — जहां चाह, वहां राह।"
जो बीजे सो लुणे,"Relative clause, perfective aspect",One reaps what one sows,Your actions determine your outcomes,B1,"Ethics, family, moral talk","Formal, didactic",Agrarian proverb linked to farming wisdom in Himachal,/d͡ʒoː biːd͡ʒeː soː luɳeː/,"बाबा बोला, कर्म अच्छे रख — जो बीजे सो लुणे।","खेत में बीज बोवे, फल उही मिल्यो — जो बीजे सो लुणे।","मां बोली, अच्छा कर बेटा — जो बीजे सो लुणे।"
अंधेरे में दीपक की कीमत पता लगती सै,Subordinate clause expressing contrast,True value is known in difficult times,We realize importance only in need,C1,"Philosophical, reflective, poetic speech","Literary, poetic",Old moral saying from Himachali spiritual poetry,/əndʰeːreː meːn diːpək kiː kiːmət pətaː laɡtiː sɛ/,"मां बोली, मुश्किल में दोस्त याद आवे — अंधेरे में दीपक की कीमत पता लगती सै।",कठिनाई में ही सच्चे साथी दिखदे — अंधेरे में दीपक की कीमत पता लगती सै।,जीवन में जब दुख आवे — अंधेरे में दीपक की कीमत पता लगती सै।
