Idiom (Kumyk),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kumyk)",First Example Sentence,Second Example Sentence,Third Example Sentence
Su üstünden köpük,Nominal phrase; metaphorical construction with genitive relation,Empty talk has no value; words without substance fade away.,Meaningless words do not matter.,B1,"Daily speech, humor, politics","Colloquial, ironic",Derived from traditional Kumyk oral poetry emphasizing brevity and truth.,[su ʊstʉnˈdɛn køˈpyk],Men anıñ sözlerin su üstünden köpük dep oyladım.,"Bu laf su üstünden köpük boldu, heç nerse artında qalmadı.",Olar su üstünden köpük gibi kelip ketti.
Qarnı toq adam aşnı sezmes,Complex clause with contrastive logic,Those who are comfortable cannot understand the suffering of the poor.,Rich people do not feel the pain of the poor.,B2,"Social commentary, ethics, family talk","Colloquial, reflective",Common in rural Dagestan; reflects traditional hospitality ethics.,[qarˈnɯ toq ɑˈdɑm ɑʃˈnɯ sjezˈmes],"Qarnı toq adam aşnı sezmes, deydi ata-analar.","Ol aşnı bilmey, qarnı toq adam aşnı sezmes dedi.",Qarnı toq adam aşnı sezmes – bu her waqıt böyledir.
Tişsiz arslan – zararsız arslan,Comparative clause; nominal predicate,"Without real power or means, strength means nothing.",A powerless person cannot cause harm.,C1,"Leadership, politics, moral discussions","Formal, moralistic",Used in folk tales to describe fallen warriors or powerless nobles.,[tiʃˈsiz ɑrˈslan zɑˈrɑrsɯz ɑrˈslan],"Tişsiz arslan – zararsız arslan, dep ayttı aqsaqal.","Ol hoqqaçı, tişsiz arslanğa oşaydı – qorkutmaydı endi.",Tişsiz arslanğa kim qorqar? – deydi ol.
"Aqıl yaşta emes, başta",Equative clause using metaphorical structure,"Wisdom comes from the mind, not from age.",Being wise does not depend on age.,B2,"Education, mentorship, philosophy","Proverbial, philosophical",Ancient Turkic moral teaching adopted in Kumyk culture.,[ɑˈqɯl jɑʃˈtɑ eˈmes bɑʃˈtɑ],"Aqıl yaşta emes, başta, deydi menim ustazım.","Men anıñ sözlerin eslep, aqıl yaşta emes dep tüsündüm.","Aqıl yaşta emes, başta – bu haq söz."
Eki qoñır bir tayaqqa sığmaz,Negative existential clause with subject-object contrast,Two strong leaders cannot coexist peacefully.,Two dominant people cannot share control.,C1,"Conflict, workplace, leadership","Formal, proverbial",Refers to leadership disputes in historical Kumyk khanates.,[eˈki qoˈɴɯr bir tɑˈjɑqːɑ sɯɣˈmɑz],"Eki qoñır bir tayaqqa sığmaz, olar da uğısqa kelmediler.","İki başlıq bir jerde bolmaz, eki qoñır bir tayaqqa sığmaz.",Eki qoñır bir tayaqqa sığmaz – men bunnan belledim.
Söz qılıçtan keskin,Metaphorical clause with comparative simile,Words can hurt deeper than physical weapons.,Speech can be more harmful than violence.,B1,"Arguments, literature, emotions","Poetic, moral","From early epic poetry, emphasizing the power of rhetoric.",[søz qɯˈlɯʧːtɑn kesˈkin],"Söz qılıçtan keskin, dep yazılğan eski kitapta.","Menim sözüm qılıçtan keskin, aytqanım – haqikat.",Söz qılıçtan keskin – ehtiyatlı bol.
"Qış qattı bolsa, yaz şirin bolur",Conditional clause with temporal contrast,After hardship comes ease.,Difficult times lead to better days.,A2,"Motivational speech, literature, moral lessons","Philosophical, proverbial",Agrarian proverb tied to seasonal cycles and resilience.,[qɯʃ qɑtˈtɯ bɒlˈsɑ jɑz ʃiˈrin bɒˈlʊr],"Qış qattı bolsa, yaz şirin bolur – sabır et, bala.","Sen sabır et, qış qattı bolsa, yaz şirin bolur.","Qış qattı bolsa, yaz şirin bolur, sabır – iyman."
Qara tazğa – altın jabba,Nominal metaphor; ironic evaluative expression,Outward beauty cannot hide inner flaws.,Appearance does not define character.,C2,"Sarcasm, humor, daily speech","Humorous, sarcastic",Used in satirical tales mocking superficiality and vanity.,[qɑˈrɑ tɑzˈʁɑ ɑlˈtɯn ʒɑbˈbɑ],"Qara tazğa – altın jabba, dep kuldılar dostlar.","Ona qara tazğa – altın jabba, heç özgeriş yok.","Qara tazğa – altın jabba, hiç yaramadı."
Elniñ ağızı bir emes,Simple declarative clause with indefinite subject,People’s opinions will always differ.,Everyone has a different opinion.,B1,"Public debate, humor, general conversation","Colloquial, reflective",Folk saying tracing to communal debates in village gatherings.,[elˈniŋ ɑˈʁɯzɯ biˈr eˈmes],"Elniñ ağızı bir emes, şuna da her kim ayırını aytar.","Elniñ ağızı bir emes, deydi xalq, her kim özün aytar.","Elniñ ağızı bir emes, her kim özün bilgenin aytar."
Atın eki başı bar,Clause with dual subject and copular predicate,Every story or conflict has two sides.,There are always two perspectives in every situation.,B2,"Conflict resolution, narrative, storytelling","Neutral, analytical",Common expression in traditional mediation and folk narratives.,[ɑˈtɯn eˈki bɑʃɯ bɑr],"Atın eki başı bar, deydi yaşlılar kelispegen vakıtında.",Atın eki başı bar – qarama-qarşı fikir bar.,"Atın eki başı bar, qarar etmeden söz aytma."
