Idiom (Dangme),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dangme)",First Example Sentence,Second Example Sentence,Third Example Sentence
Atsɛ kɛ he blɔ mli,Verb phrase (V + object + locative complement),To act without wisdom and bring trouble upon oneself.,To behave foolishly and suffer consequences.,B2,"Daily speech, family advice, moral correction","Colloquial, advisory",Reflects Dangme value of prudence in communal decision-making traditions in Ada.,àt͡sɛ́ kɛ́ hɛ́ blɔ̀ mlí,"O atsɛ kɛ he blɔ mli, ni kɛ lɛ he gbɛi.","Mi be he ɔ, kɛ o atsɛ kɛ he blɔ mli.",Ba ko atsɛ kɛ he blɔ mli kɛje he womi.
Ngɛ tsu mli he ngɛ,Clause with subject repetition for emphasis,Truth always reveals itself.,The truth cannot be hidden.,B1,"Conflict resolution, public speech, storytelling","Proverbial, serious",Common in Ada elder discourse during community arbitration.,ŋɛ́ t͡sú mlí hɛ́ ŋɛ́,"Ngɛ tsu mli he ngɛ, lɛ mi he je.","O ko he, ngɛ tsu mli he ngɛ.","Ni tsɛ, ngɛ tsu mli he ngɛ."
Blɔ be he mli nyɛ,Nominal clause with copular structure,Life is unpredictable.,Life changes unexpectedly.,B2,"Reflection, condolence, philosophical talk","Reflective, poetic",Derived from Dangme fishing life where fortunes shift with tides.,blɔ̀ bɛ́ hɛ́ mlí ɲɛ́,"Blɔ be he mli nyɛ, mi ko je kɛ lɛ.","Ni kɛ tsu, blɔ be he mli nyɛ.","O he ngɛ lɛ, blɔ be he mli nyɛ."
He gbɛi kɛ lɛ tsɔ,Imperative-derived metaphorical clause,Be patient before acting.,Wait carefully before making a decision.,B1,"Workplace, leadership advice","Advisory, formal",Linked to Dangme council deliberation customs.,hɛ́ gbɛ̀í kɛ́ lɛ́ t͡sɔ́,He gbɛi kɛ lɛ tsɔ ni kɛ he blɔ.,"Mi he o, he gbɛi kɛ lɛ tsɔ.",Ba he gbɛi kɛ lɛ tsɔ kɛje he womi.
O tsu lɛ he ɔtsɛ,Subject + verb + object metaphor,You are exposing hidden matters.,You are revealing secrets.,C1,"Politics, gossip, satire","Ironic, critical",Used in Ada storytelling traditions when narrators unveil plot twists.,ó t͡sú lɛ́ hɛ́ ɔ̀t͡sɛ́,O tsu lɛ he ɔtsɛ ni mi he je.,Ko tsu lɛ he ɔtsɛ mli he womi.,"Ba he, o tsu lɛ he ɔtsɛ."
Mi he lɛ kɛ blɔ,First-person fixed idiomatic clause,I am enduring hardship quietly.,I am tolerating difficulties.,B2,"Personal struggle, resilience","Emotional, humble",Reflects Dangme stoic endurance culture.,mí hɛ́ lɛ́ kɛ́ blɔ̀,"Mi he lɛ kɛ blɔ, ni mi ko he ngɛ.","O kɛ mi, mi he lɛ kɛ blɔ.",Mi he lɛ kɛ blɔ kɛje he womi.
Lɛ ba tsu ngɛ,Subordinate clause used proverbially,Time will reveal the outcome.,Let time decide.,B1,"Future uncertainty, mediation","Neutral, reflective",Common in Ada mediation meetings.,lɛ́ bà t͡sú ŋɛ́,Lɛ ba tsu ngɛ ni mi he gbɛi.,"O ko he ɔ, lɛ ba tsu ngɛ.","Ba he, lɛ ba tsu ngɛ."
He womi kɛ tsu,Verb-object metaphorical construction,To correct wrongdoing firmly.,To discipline properly.,B2,"Parenting, leadership","Serious, corrective",Connected to Dangme elder authority structures.,hɛ́ wòmí kɛ́ t͡sú,Ba he womi kɛ tsu ni ba ko atsɛ.,Mi he womi kɛ tsu lɛ he.,"O tsu, mi he womi kɛ tsu."
Ngɛ he mi mli,Existential clause used metaphorically,I know the truth within.,I am internally aware of the truth.,B2,"Self-reflection, debate","Reflective, assertive",Used in Dangme debate rhetoric.,ŋɛ́ hɛ́ mí mlí,"Ngɛ he mi mli, mi ko he ɔ.","O kɛ he, ngɛ he mi mli.","Ba he, ngɛ he mi mli."
Blɔ tsɔ lɛ kɛ je,Compound metaphorical clause,Opportunity must be taken quickly.,Act promptly when opportunity arises.,C1,"Business, ambition, politics","Motivational, assertive",Inspired by Dangme fishing timing practices along the Volta estuary.,blɔ̀ t͡sɔ́ lɛ́ kɛ́ jɛ́,Blɔ tsɔ lɛ kɛ je ni o ko he ngɛ.,"Mi he o, blɔ tsɔ lɛ kɛ je.","Ba he, blɔ tsɔ lɛ kɛ je."
