Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Havar la kapo inter la nubi,Fixed verbal phrase (verb + definite noun phrase + prepositional phrase); metaphorical spatial construction,"To be distracted, unrealistic, or lost in impractical dreams",Esar tro sonjemanta o ne realista,B1,"Daily speech, workplace critique, education, humor","Colloquial, mildly ironic",Inspired by early 20th-century European aviation imagery and modernist satire in Ido-speaking circles,/haˈvar la ˈkapo ˈinter la ˈnubi/,"Il sempre havas la kapo inter la nubi dum la reuniono, ed il forgesas la detalji.","Ne havas la kapo inter la nubi, ni bezonas praktika solvo.",La studanto havis la kapo inter la nubi ed ne audis la questiono.
Metar oleo sur la fajro,Transitive verb phrase with direct object + prepositional phrase; causative metaphor,To aggravate a conflict or intensify a problem,Plu intensigar la konflikto,A2,"Politics, family disputes, journalism",Neutral to cautionary,Derived from Mediterranean culinary practices; metaphor adopted into Ido reformist discourse,/meˈtar oˈleo sur la ˈfajro/,Lia komento nur metas oleo sur la fajro.,Ne metas oleo sur la fajro dum la debato.,La gazetisto metis oleo sur la fajro per sensacionala titulo.
Esar inter martelo e amboso,Copular construction with prepositional complement; binary pressure metaphor,To be caught between two opposing pressures,Esar sub du oposanta presuri,B2,"Workplace, politics, ethical dilemmas","Neutral, descriptive",Blacksmith imagery common in European industrial narratives influencing early Ido publications,/eˈsar ˈinter marˈtelo e amˈboso/,Me esas inter martelo e amboso inter mea chefo e la kliento.,Li sentis su inter martelo e amboso dum la negocado.,La ministro esas inter martelo e amboso pro la opoziciono.
Pikar la okuli,Transitive verb phrase; bodily harm metaphor for deception,To deceive someone openly or shamelessly,Trompar evidente,C1,"Satire, political critique, sarcasm","Ironic, critical",Satirical idiom appearing in early Ido reformist pamphlets criticizing manipulation,/piˈkar la oˈkuli/,Vu ne povas pikar mea okuli per tal argumento.,La komercisto pikis la okuli di la turistoj.,Il provas pikar nia okuli per falsi statistiki.
Facar el musho elefanto,Causative verb phrase; hyperbolic transformation metaphor,To exaggerate a minor issue into something huge,Exagerar problemo mikra,A2,"Daily speech, family, humor","Colloquial, humorous",Shared European hyperbole adapted into Ido vernacular usage,/faˈcar el ˈmuʃo eleˈfanto/,Ne facez el musho elefanto pro tal eroro.,Ili facis el musho elefanto dum la diskuto.,La gazetaro facas el musho elefanto por vendigar pluse.
Havar longa denti,Possessive verbal phrase; bodily metaphor,To desire something strongly or feel envious,Esar jelosa o forte desirar,B1,"Humor, social commentary, literature","Playful, ironic",Medieval European imagery of beasts baring teeth symbolizing desire,/haˈvar ˈloŋga ˈdenti/,Me havas longa denti por ta nova auto.,Ili havas longa denti vidante la premii.,La infanti havis longa denti por la dolci.
Perdar la filo,Transitive verb phrase; metaphor of thread continuity,To lose track of reasoning or narrative flow,Perdar la sequenco di penso,B2,"Academic discourse, storytelling, meetings","Neutral, intellectual","Allusion to classical myth of Ariadne’s thread, widely referenced in European education",/perˈdar la ˈfilo/,"Pardonez, me perdis la filo dum mea expliko.",Il ofte perdas la filo en longa paroladi.,Ni ne devas perdar la filo di la argumento.
Dormar sur la lauri,Intransitive verb phrase; classical symbolic metaphor,To become complacent after success,Esar tro kontenta pro pasinta suceso,C1,"Business, sports, politics","Formal, admonitory",Reference to Roman laurel wreaths awarded to victors; adopted in reformist literature,/dorˈmar sur la ˈlauri/,Ne dormez sur la lauri pos vua triumfo.,La kompanio dormis sur la lauri ed perdis merkato.,Politikisti qui dormas sur la lauri riskas elektiona perdo.
Havar la ventro plena,Possessive verbal phrase; satiety metaphor,To be completely satisfied or fed up,Esar satigita o suficante kontenta,B1,"Family, informal complaints, humor",Colloquial,Rooted in agrarian food-centered expressions common across European communities,/haˈvar la ˈventro ˈplena/,Me havas la ventro plena de tua plendi.,"Post la festo, ni havis la ventro plena.",El havas la ventro plena de politika promisi.
Chasar du lepore samtempe,Transitive verb phrase with numeral object; hunting metaphor,To attempt two goals simultaneously and risk failing both,Probar realigar du taski samtempe kun risko di fracaso,B2,"Workplace, productivity advice, literature","Advisory, proverbial",Hunting proverb common in Eastern European folklore influencing Ido speakers,/tʃaˈsar du leˈpore samˈtempe/,"Se tu chasas du lepore samtempe, tu kaptos nulo.",El chasis du lepore samtempe ed perdis ambi oportuni.,Ni ne chasu du lepore samtempe dum la projekto.
