Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
眼红心黑,四字并列结构；形容词性固定短语,表面羡慕，内心嫉妒甚至暗中使坏,嫉妒别人并暗地里使坏,B2,日常口语、职场、人际关系、讽刺,口语、贬义、讽刺,晋中地区常用表达，反映乡土社会对嫉妒心理的批评,iɛn˨˩ xʊŋ˧ ɕin˥ xei˧,他见人家买了新车就眼红心黑，背后净说怪话。,村里谁过得好，总有人眼红心黑地编排人家。,做生意讲良心，莫学那眼红心黑的做派。
嘴甜心苦,对仗式形容词结构；固定短语,说话好听，但内心并不友善,口是心非,B1,家庭、职场、社会评价,口语、批评性,吕梁山区民间常用，强调言行一致的价值观,tsuei˥ tʰiɛn˧ ɕin˥ kʰu˨˩,那人嘴甜心苦，表面夸你，转身就变脸。,做人莫嘴甜心苦，乡亲们都看得清。,她嫌他嘴甜心苦，不愿再来往。
一锅端,动宾结构；动词性固定短语,全部清除或一次性解决,全部解决,B2,政治、执法、日常比喻,中性、新闻语体,源自军事与执法语境，后进入日常表达,i˥ kuɔ˧ tuan˥,这回查账，把那些假账一锅端了。,小偷团伙昨夜被警察一锅端。,咱把这些旧习惯一锅端，重新来过。
心里打鼓,主谓结构；动宾隐喻表达,内心不安或犹豫,心里不安,B1,日常、考试、工作决策,口语、中性,鼓声比喻心跳，晋北民间音乐文化影响表达方式,ɕin˥ li˧ ta˨ ku˨,明儿个面试，我心里打鼓得很。,听见领导叫我，我心里打鼓。,这事没底儿，谁心里不打鼓？
脸上挂不住,动补结构；口语固定表达,感到丢脸或难堪,觉得丢脸,B2,家庭、社交、冲突场景,口语、情绪性,面子文化深植晋商传统社会结构,liɛn˨ ʂaŋ˧ kua˥ pu˨ tʂu˥,当众批评他，他脸上挂不住。,娃娃闹笑话，做娘的脸上挂不住。,输了比赛，他半天脸上挂不住。
磨洋工,动宾结构；贬义动词短语,故意拖延工作效率低下,消极怠工,C1,职场、政治批评,口语、批评性,近代工业语境传入山西煤矿与工厂话语系统,muo˧ iaŋ˧ kuŋ˥,干活别磨洋工，工头盯着呢。,他整天磨洋工，难怪工资涨不上去。,项目紧张，谁敢磨洋工？
说风就是雨,条件句式固定表达；夸张结构,行动迅速或性格急躁,说做就做,B1,家庭、性格描述,口语、中性偏褒,农业社会对天气变化的敏感性转化为比喻,ʂuo˥ fəŋ˧ tɕiu˥ ʂi˥ y˨,他做事说风就是雨，从不拖泥带水。,娃娃脾气急，说风就是雨。,咱村长说风就是雨，事办得快。
铁算盘,名词性比喻结构,精于算计的人,很会算计的人,C1,商业、家庭理财、评价他人,口语、半贬半褒,晋商票号文化中对精明账房先生的称呼,tʰiɛ˥ suan˥ pʰan˧,老王是个铁算盘，钱从不乱花。,做买卖没点铁算盘本事可不行。,她算账快得很，真像个铁算盘。
吃老本,动宾结构；口语表达,依赖过去的成绩或积蓄生活,依赖旧有资源,B2,经济、家庭、职业发展,口语、中性,农业与晋商家庭对积蓄观念的体现,tʂʰɨ˥ lau˨ pən˨,年轻人不能光吃老本。,企业若只吃老本，早晚被淘汰。,他退休后一直吃老本过日子。
翻旧账,动宾结构；比喻性表达,重新提起过去的不愉快事情,提起旧事,B2,家庭争执、政治批评,口语、贬义,账本文化与晋商历史传统相关,fan˥ tɕiu˨ tʂaŋ˥,吵架就爱翻旧账，谁受得了？,领导会上别翻旧账，说解决法子。,夫妻之间总翻旧账，感情难长久。
