Idiom (Samoan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Samoan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ua ta le fuata ma lona lou,"Fixed clause, declarative structure",Every action or decision carries its natural consequence,Actions have consequences,C1,"Philosophical discussions, politics, family advice","Proverbial, formal",Traditional wisdom referring to harvesting and its outcomes,ua ta le ˈfu.a.ta ma ˈlona lou,"Ua ta le fuata ma lona lou, e tatau ona tatou taliaina iuga.","Ua galo ia te ia, ae toe manatu i le upu, 'ua ta le fuata ma lona lou.'","Ua faamanatu mai e le toeaina, 'ua ta le fuata ma lona lou.'"
"E pala le ma‘a, a e le pala upu","Fixed clause, contrastive parallelism",Words and promises endure longer than material things,Words last longer than things,B2,"Family, cultural speeches, church sermons","Formal, proverbial",Ancient Samoan wisdom emphasizing speech’s endurance,e ˈpa.la le ˈmaʔa a e le ˈpa.la ˈupu,"E pala le ma‘a, a e le pala upu na fai i le nu‘u.","Ua ia ta‘ua le faaupuga, 'e pala le ma‘a, a e le pala upu.'","E pala le ma‘a, a e le pala upu o le tautoga."
Ua gase le malie,"Fixed clause, metaphorical subject",The conversation or mood has died down,The mood is gone,B1,"Social conversations, humor, gatherings","Colloquial, humorous","Reference to the shark, symbolic of liveliness and presence",ua ˈŋa.se le maˈlie,Ua gase le malie i le potu ina ua alu le tofa.,Ua fai si gase le malie i le talanoaga.,Ua gase le malie i le taumafataga.
E lele le toloa ae ma‘au i le vai,"Proverbial clause, parallelism",People always return to their origins,Everyone goes back to their roots,C1,"Cultural ceremonies, family reunions","Proverbial, poetic",The duck (toloa) as a metaphor for return,e ˈle.le le toˈlo.a a.e maˈʔau i le ˈvai,E lele le toloa ae ma‘au i le vai o lona nu‘u.,"E lele le toloa, ae e le galo le aiga.","E lele le toloa, ae toe foi pea i le vai."
Ua soli le va tapuia,"Passive voice, idiomatic phrase",A sacred relationship or boundary has been violated,The respect has been broken,C2,"Family, chiefly system, conflict discussions","Formal, sacred",Reference to va tapuia (sacred space) in Samoan culture,ua ˈso.li le va taˈpu.i.a,Ua soli le va tapuia i le va o matai.,"Ua manatu le toeaina, 'ua soli le va tapuia.'","Ua faalogoina le tala, 'ua soli le va tapuia o le aiga.'"
E le tau mamafa le amo a le tagata,Conditional-like clause,Everyone carries their own burdens differently,Each person’s struggles are unique,B2,"Family, moral teaching, workplace","Proverbial, reflective",Amo (carrying pole) symbolizes burden,e le tau maˈma.fa le ˈa.mo a le taˈŋa.ta,"E le tau mamafa le amo a le tagata, ia tatou onosa‘i.","Ua ia fai mai, 'e le tau mamafa le amo a le tagata.'",E le tau mamafa le amo a le tagata i lona olaga.
Ua ola le tautua,Declarative clause,Service or loyalty has been rewarded,Service has borne fruit,C1,"Chiefly titles, cultural events, family discussions","Formal, proverbial","Reflects Samoan chiefly system, tautua (service) is honored",ua ˈo.la le tauˈtu.a,Ua ola le tautua i le tofi ua maua.,"Ua faamanuiaina o ia, 'ua ola le tautua.'","Ua manatu le nu‘u, 'ua ola le tautua.'"
E le mafai ona tautala le isu,Negative declarative clause,Some things are impossible or beyond reach,That’s impossible,A2,"Everyday speech, humor, sarcasm","Colloquial, humorous","Reference to the nose, humorously impossible as speaker",e le maˈfi o.na tauˈta.la le ˈi.su,"E le mafai ona tautala le isu, aua le faamoemoe tele.","Ua ia fai mai, 'e le mafai ona tautala le isu.'","E le mafai ona tautala le isu, e faigofie ona iloa."
Ua le toe fia ai se masima,"Negative clause, idiomatic verb phrase",No longer valued or wanted,It has lost its value,B2,"Family, economics, relationships","Colloquial, ironic",Masima (salt) as metaphor for value in Samoan life,ua le to.e ˈfi.a ai se maˈsi.ma,Ua le toe fia ai se masima i le faigauo.,"Ua fai mai le aiga, 'ua le toe fia ai se masima.'",Ua le toe fia ai se masima i le oloa tuai.
E le sala le upega i le po,Negative declarative clause,Efforts will not be in vain,Hard work pays off,B1,"Workplace, fishing, family advice","Proverbial, colloquial",Fishing net metaphor; patience and timing,e le ˈsa.la le uˈpe.ŋa i le po,"E le sala le upega i le po, e maua pea se i‘a.","Ua fai mai le toeaina, 'e le sala le upega i le po.'",E le sala le upega i le po i galuega.
