Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Blɔ̀ di nà sika kɔ́.,Declarative fixed clause (Subject + Verb + Prepositional Phrase),Wealth attracts attention and influence.,Sika fa animuonyam ba.,B2,"Politics, business, social commentary","Proverbial, neutral-formal",Derived from Baoulé trading traditions in central Côte d’Ivoire where wealth elevated social rank.,[blɔ̀ di nà sika kɔ́],"Ɔ̀ bé sika kɛ́, blɔ̀ di nà sika kɔ́.","Wà hu nɔ̀, blɔ̀ di nà sika kɔ́ anɔ́ ɔ̀.","Blɔ̀ di nà sika kɔ́, nà ɔman bé hu wò."
Anɔ́ kɔ́ nà wura bɔ̀.,Metaphorical clause (Noun + Verb + Prepositional Object),Ambition without preparation leads to failure.,Kɔ́ nà adwuma san srɛ́ nɔ̀.,C1,"Education, mentorship, family advice","Didactic, proverbial",Refers to traditional gold dust (wura) economy where careless handling meant loss.,[anɔ́ kɔ́ nà wura bɔ̀],"Ɔ̀ n kɛ́ adwuma kɛ́, anɔ́ kɔ́ nà wura bɔ̀.","Anɔ́ kɔ́ nà wura bɔ̀, ma wà srɛ́ akɛ́.",Yà hu sɛ́ anɔ́ kɔ́ nà wura bɔ̀.
Su bé yà nà blɔ̀.,Copular structure with abstract subject,Patience reveals truth.,Kɛ́ su ma nokware ba.,B1,"Conflict resolution, family discussions","Calm, reflective",Rooted in elder mediation customs in Bouaké villages.,[su bé jà nà blɔ̀],"Ma su, su bé yà nà blɔ̀.",Su bé yà nà blɔ̀ anɔ́ ɔ̀.,"Ɔ̀ srɛ́ wò, su bé yà nà blɔ̀."
Wà di abɛ́ nà ɔ̀.,Verb phrase metaphor (Eat + Object + Prepositional marker),To accept blame for someone else’s mistake.,Fa mfomso ma wò.,B2,"Workplace, friendship disputes",Colloquial,Food-sharing customs where responsibility was collective.,[wà di abé nà ɔ̀],Mɛ̀ n di abɛ́ nà ɔ̀ bio.,Wà di abɛ́ nà ɔ̀ kɛ́.,Ɔ̀ ma mɛ̀ di abɛ́ nà ɔ̀.
Kɔ́ su nà anɔ́.,Imperative metaphorical clause,Calm down before reacting.,Ma su na kɛ́.,A2,"Daily speech, parenting","Colloquial, advisory",Village dispute practices encouraging cooling tempers.,[kɔ́ su nà anɔ́],"Kɔ́ su nà anɔ́, ma wà diɛ̀.",Ɔ̀ ka sɛ́ kɔ́ su nà anɔ́.,Kɔ́ su nà anɔ́ anɔ́ ɔ̀.
Blɔ̀ bé fa nà wura.,Declarative clause (Subject + Auxiliary + Verb + Object),Truth is more valuable than wealth.,Nokware kɔ́ sen sika.,B2,"Leadership, moral instruction","Formal, moralistic",Traditional council sayings among Baoulé chiefs.,[blɔ̀ bé fa nà wura],Blɔ̀ bé fa nà wura nɔ̀.,Ɔ̀ ka sɛ́ blɔ̀ bé fa nà wura.,Yà hu blɔ̀ bé fa nà wura.
Anɔ́ bé tɔ́ kɔ́ɔ̀ su.,Progressive metaphorical clause,Anger builds gradually.,Anɔ́ yà kakra kakra.,C1,"Psychology, storytelling","Literary, expressive",Oral storytelling imagery likening emotion to flowing water.,[anɔ́ bé tɔ́ kɔ́ɔ̀ su],Ɔ̀ hu sɛ́ anɔ́ bé tɔ́ kɔ́ɔ̀ su.,Anɔ́ bé tɔ́ kɔ́ɔ̀ su nà ɔ̀.,"Ma wà kɛ́, anɔ́ bé tɔ́ kɔ́ɔ̀ su."
Yà di blɔ̀ nà anɔ́.,Compound metaphorical clause,Speak honestly despite fear.,Ka blɔ̀ nokware.,B1,"Family talks, reconciliation",Encouraging,Rooted in elder-youth dialogue traditions.,[jà di blɔ̀ nà anɔ́],Yà di blɔ̀ nà anɔ́ kɛ́.,Ɔ̀ ma mɛ̀ yà di blɔ̀ nà anɔ́.,Yà di blɔ̀ nà anɔ́ anɔ́ ɔ̀.
Su n bé kɔ́ wura.,Negative existential clause,Impatience ruins opportunity.,N su ma akɛ́ kɔ́.,C2,"Entrepreneurship, leadership training","Didactic, formal",Linked to gold mining patience in central Baoulé lands.,[su n bé kɔ́ wura],"Su n bé kɔ́ wura, ma wà su.",Ɔ̀ ka sɛ́ su n bé kɔ́ wura.,Yà hu sɛ́ su n bé kɔ́ wura.
Blɔ̀ kɔ́ nà su fɛ́.,Balanced clause with evaluative adjective,Gentle speech wins hearts.,Ka kasa pa.,A2,"Parenting, public speaking","Poetic, advisory",Common saying in Bouaké market negotiations.,[blɔ̀ kɔ́ nà su fɛ́],Blɔ̀ kɔ́ nà su fɛ́ nɔ̀.,Ɔ̀ ka sɛ́ blɔ̀ kɔ́ nà su fɛ́.,"Ma wà hu, blɔ̀ kɔ́ nà su fɛ́."
