Idiom (Luganda),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Luganda)",First Example Sentence,Second Example Sentence,Third Example Sentence
Akati akagenda empawa kazza muliro,Relative clause construction with subject prefix 'aka-' (class 12 diminutive) + verb in present habitual form,A reckless or provocative action often results in trouble for the one who initiated it.,Omuntu akola eby'obusiru afuna ebizibu.,B2,"Daily speech, moral instruction, family discussions, political commentary","Proverbial, advisory, mildly cautionary",Derived from traditional firewood-gathering imagery in Buganda rural life.,/akatí akagénda empáːwa kazːa mulíːɾo/,"Bw'oyogera ebigambo ebyokunyooma, jjukira nti akati akagenda empawa kazza muliro.",Yasalawo okutabangula banne naye akati akagenda empawa kazza muliro.,"Mu byobufuzi, akati akagenda empawa kazza muliro bwe batandika okusosola."
Enkoko terima ggulu,Negative declarative clause with subject noun (class 9) + verb in present simple,One should act within their limits; not everyone can achieve everything.,Omuntu alina okumanya obusobozi bwe.,B1,"Humor, advice, social commentary","Humorous, proverbial",Based on rural poultry imagery common in Buganda homesteads.,/eŋkóko teɾíma ɡːúlu/,"Oyinza okwagala okubeera omuyimbi, naye enkoko terima ggulu.","Yagezaako emirimu mingi nnyo, naye enkoko terima ggulu.",Bamugamba nti enkoko terima ggulu ng’agezaako ekisukka ku busobozi bwe.
Akamu tekagatta mukono,Negative verb phrase with diminutive noun class 12 subject,Unity and cooperation are necessary to achieve success.,Abantu balina okukolera awamu okutuuka ku buwanguzi.,A2,"Community mobilization, teamwork, education","Motivational, communal",Traditional communal farming culture in Buganda.,/akamú tekaɡátːa mukóno/,"Mu kulima, akamu tekagatta mukono.","Bwe twakolera awamu ne tujja mu maaso, kubanga akamu tekagatta mukono.",Omusomesa yabajjukiza nti akamu tekagatta mukono.
Ow'omukwano gutta omululu,Possessive construction + verb in present simple,Love or kindness overcomes greed and selfishness.,Obugabi businga omululu.,B2,"Family, literature, church sermons","Poetic, moralistic",Rooted in clan-based kinship values in Buganda.,/owomukwáːno ɡutːa omulúːlu/,"Mu maka, ow'omukwano gutta omululu.",Yasobola okusonyiwa kubanga ow'omukwano gutta omululu.,Bajjumbira obuyambi nga bajjukira nti ow'omukwano gutta omululu.
Omwana takulila nju emu,Negative declarative clause with subject class 1 noun,"A child is raised by the whole community, not one household alone.",Okukuza omwana kwekwetaaga abantu bangi.,B1,"Parenting, community meetings","Communal, advisory",Reflects extended family structures in Buganda.,/omwána takulíla ɲdʒu emú/,Abatuuze bagamba nti omwana takulila nju emu.,"Bw’osaba obuyambi ku mwana, jjukira nti omwana takulila nju emu.",Ku kyalo bakolera awamu kubanga omwana takulila nju emu.
Akati k’omugogo tekavaamu kkubo,Genitive construction + negative verb phrase,A person’s inherent nature does not easily change.,Empisa z’omuntu tezisaanuuka mangu.,C1,"Character assessment, satire","Ironic, reflective",Imagery of stubborn tree branches in traditional storytelling.,/akatí komuɡóɡo tekaváːmu kːúbo/,Yaddamu ensobi ze kubanga akati k’omugogo tekavaamu kkubo.,Bamwesiga naye akati k’omugogo tekavaamu kkubo.,"Mu byobufuzi, akati k’omugogo tekavaamu kkubo."
Akamu tekaluma nju,Negative verb phrase with diminutive noun class 12,A small contribution does not harm; even little help matters.,Obuyambi obutono nabwo buyamba.,A2,"Fundraising, charity","Encouraging, communal",Linked to communal contribution traditions.,/akamú tekalúma ɲdʒu/,Leeta ne ssente entono kubanga akamu tekaluma nju.,Yayamba ne ku kitono nti akamu tekaluma nju.,"Mu kusonda ensimbi, akamu tekaluma nju."
Ennyanja terigattibwa mu kibbo,Passive construction with negative verb form,Large tasks cannot be handled with inadequate means.,Ekintu ekinene kyetaaga enkola enene.,B2,"Politics, development discussions","Serious, metaphorical",Fishing culture metaphor in Buganda lakeside communities.,/eɲːáːɲdʒa teɾiɡátːibwá mu kibːó/,"Tosobola kukola pulojekiti nnene nga tolinako nsimbi, kubanga ennyanja terigattibwa mu kibbo.","Mu nteekateeka z’eggwanga, ennyanja terigattibwa mu kibbo.",Yamutegeeza nti ennyanja terigattibwa mu kibbo.
Abalungi tebalwa,Negative plural verb phrase,Good people are too many to count.,Abantu abalungi bangi nnyo.,A2,"Praise, community events","Positive, celebratory",Clan praise expressions in Buganda ceremonies.,/abalúŋɡi tebalwá/,"Mu mukolo, abalungi tebalwa.",Abayambi bangi nnyo; abalungi tebalwa.,Yasiima nti abalungi tebalwa.
Akati akaluma tekawona mulyango,Relative clause + negative verb phrase,A person who causes harm will not escape consequences.,Akola obubi ajja kubuvunaanibwa.,C2,"Conflict resolution, political speech","Serious, cautionary",Traditional justice metaphors in clan courts.,/akatí akalúma tekawóna muljáːŋɡo/,"Bw'okola obubi, jjukira nti akati akaluma tekawona mulyango.","Yalowooza nti ajja kuwona, naye akati akaluma tekawona mulyango.","Mu lukiiko, omukulu yagamba nti akati akaluma tekawona mulyango."
