Idiom (Urdu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Urdu)",First Example Sentence,Second Example Sentence,Third Example Sentence
نیکی کر داریا میں ڈال,فعل امر، مرکب جملہ,کسی سے نیکی کرو اور بدلہ کی توقع نہ رکھو,کسی کے ساتھ بھلا کرو بغیر کسی صلے کے,B1,روزمرہ، اخلاقی تعلیم,ضرب المثل، عام فہم,برصغیر کی صوفی روایات سے,/neːkiː kəɾ daːɾjaː meː ɖaːl/,نیکی کر داریا میں ڈال، وہ خود ہی سمجھ جائے گا۔,ہمیشہ نیکی کر داریا میں ڈال، کسی سے امید نہ رکھ۔,ماں نے کہا: بیٹا، نیکی کر داریا میں ڈال۔
اونٹ کے منہ میں زیرہ,مفعولی جملہ، مجازی تشبیہ,بہت کم چیز کسی بڑے مقصد کے لیے ناکافی ہو,ضرورت سے کم شے دینا,B2,طنز، روزمرہ,طنزیہ، مزاحیہ,وسطی ایشیائی اور ایرانی اثرات,/ʊʈ keː mʊɦ meː zeːɾaː/,اتنی تنخواہ؟ اونٹ کے منہ میں زیرہ ہے!,یہ رقم اونٹ کے منہ میں زیرہ کے برابر ہے۔,اس کے اخراجات دیکھ کر تو اونٹ کے منہ میں زیرہ ہی لگتا ہے۔
آسمان سے گرا کھجور میں اٹکا,مرکب جملہ، فعلی جملہ,ایک مسئلے سے نکل کر دوسرے میں پھنس جانا,ایک مشکل سے نکل کر دوسری میں پھنسنا,C1,تکلیف دہ صورتحال، مزاح,طنزیہ، روزمرہ,پرانے لوک محاورے,/aːsmaːn seː giɾaː kəʰʤuːɾ meː ʌʈkaː/,بجلی گئی، جنریٹر خراب—آسمان سے گرا کھجور میں اٹکا۔,وہ ملازمت چھوڑ کر کاروبار کیا، آسمان سے گرا کھجور میں اٹکا۔,پہلے گرمی، اب بارش—آسمان سے گرا کھجور میں اٹکا۔
چور کی داڑھی میں تنکا,مرکب اسم و کنایہ,کوئی مجرم اپنے عمل سے ظاہر ہو رہا ہو,مجرم کی پریشانی خود اس کا راز کھول دیتی ہے,C2,قانون، طنز,محاوراتی، استعارہ,شہری عدالت و قانون سے وابستہ لوک قصے,/t͡ʃoːɾ kiː daːɽʱiː meː tɪnkaː/,چور کی داڑھی میں تنکا—سب کو شک ہو گیا۔,پولیس آئی اور وہ گھبرا گیا، چور کی داڑھی میں تنکا۔,اس کا چہرہ بتا رہا تھا، چور کی داڑھی میں تنکا ہے۔
اندھیر نگری چوپٹ راجا,مرکب استعارہ، صنفِ کنایہ,جہاں نظام مکمل طور پر بگڑا ہوا ہو,بے ترتیبی اور افراتفری کی حالت,C1,سیاست، طنز,طنزیہ، تاریخی,فولکلور و اخلاقی حکایتیں,/ənd̪ʱeːɾ nəgɾiː t͡ʃoːpaʈ ɾaːd͡ʒaː/,یہ حکومت تو اندھیر نگری چوپٹ راجا ہے۔,محکمے کی حالت دیکھ کر اندھیر نگری چوپٹ راجا یاد آ گیا۔,جب قانون نہ ہو، اندھیر نگری چوپٹ راجا ہوتا ہے۔
نہ نو من تیل ہوگا نہ رادھا ناچے گی,مرکب جملہ، منفی شرطیہ,شرط پوری نہ ہونے پر انجام ممکن نہیں ہوتا,اگر حالات نہ ہوں تو نتیجہ بھی نہیں نکلتا,B2,قصے کہانیاں، طنز,محاوراتی، مزاحیہ,ہندومت اور صوفیانہ قصے,/nə noː mən teːl hoːgaː nə ɾaːdʰaː naːt͡ʃeːgiː/,جب تک سرمایہ نہیں، نہ نو من تیل ہوگا نہ رادھا ناچے گی۔,نہ وقت ہے نہ حالات—نہ نو من تیل ہوگا نہ رادھا ناچے گی۔,یوں ہی خواب دیکھنے سے کیا ہوگا؟ نہ نو من تیل نہ رادھا ناچے۔
بندر کیا جانے ادرک کا ذائقہ,استعاراتی تشبیہ,کوئی شخص کسی نازک یا قیمتی شے کی قدر نہ جانے,جس کو فہم نہ ہو وہ قیمت نہیں پہچانتا,B1,ادب، مذاق,مزاحیہ، استعارہ,قدیم ہندی اخلاقی کہانیاں,/bənd̪əɾ kjaː d͡ʒaːneː əd̪ɾək kaː zaːikaː/,اسے کتاب کا شوق؟ بندر کیا جانے ادرک کا ذائقہ۔,وہ ادب پڑھ رہا ہے؟ بندر کیا جانے ادرک کا ذائقہ۔,اسے شاعری نہ سمجھ آئے، بندر کیا جانے ادرک کا ذائقہ۔
گیدڑ بھبکی,مرکب اسم، ذاتی نعرہ,خالی دھمکی، جس میں طاقت نہ ہو,دھمکی دینا مگر عمل نہ کرنا,A2,سیاسی تقریر، جھگڑا,طنزیہ، عوامی,لوک کہانیوں سے,/giːdəɾ bʰəbkiː/,وہ صرف گیدڑ بھبکی دے رہا ہے، کچھ کرے گا نہیں۔,اس کی باتیں گیدڑ بھبکی ہیں۔,سیاست دان اکثر گیدڑ بھبکیاں دیتے ہیں۔
سانپ بھی مر جائے اور لاٹھی بھی نہ ٹوٹے,شرطیہ جملہ، توازن کی مثال,ایسا حل نکالنا جس میں دونوں طرف نقصان نہ ہو,مسئلہ سلجھانا بغیر کسی کو نقصان پہنچائے,C1,سیاست، حکمت,فصیح، حکیمانہ,مغل دور کے عدالتی محاورے,/saːmpʰ bʰiː məɾ d͡ʒaːeː ɔɾ laːʈʰiː bʰiː nə ʈuːʈeː/,ہم چاہتے ہیں سانپ بھی مر جائے اور لاٹھی بھی نہ ٹوٹے۔,ایسا فیصلہ کیا جو سانپ بھی مر جائے اور لاٹھی بھی نہ ٹوٹے۔,وکیل نے ایسا مشورہ دیا—سانپ بھی مر جائے اور لاٹھی بھی نہ ٹوٹے۔
چراغ تلے اندھیرا,استعارہ، علامتی جملہ,قریب ترین جگہ پر سب سے زیادہ غفلت برتنا,اپنے آس پاس کی چیزوں کو نظر انداز کرنا,B2,ادب، روحانیت، طنز,ادبی، فلسفیانہ,صوفی ادب میں مستعمل,/t͡ʃɪɾaːɣ təleː ənd̪ʱeːɾaː/,خود کو دیکھو، چراغ تلے اندھیرا ہے۔,وہ دوسروں پر تنقید کرتا ہے، چراغ تلے اندھیرا۔,ہمیشہ دوسروں کو دیکھتا ہے، مگر چراغ تلے اندھیرا۔
