Idiom (Yoloxóchitl Mixtec),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Yoloxóchitl Mixtec)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tu¹ú ñu³ú ña³ka¹ sáta³,Fixed clause with verb-object structure,To be completely ignored or dismissed,They acted like you weren’t there,B1,"Family, daily speech",Colloquial,Common among elders in Yoloxóchitl to describe social exclusion,tu˧ʔu˧ ɲu˦ʔu˦ ɲa˦ka˧ sa˦ta˦,Tu¹ú ñu³ú ña³ka¹ sáta³ ti³i ve³e³.,Ña³ka² tu¹ú ñu³ú ña³ka¹ sáta³ ñuu¹ Atoyac.,Ti³i tu¹ú ñu³ú ña³ka¹ sáta³ nu¹ú.
Ka³va⁴ ti³na³ ña¹ka² va³ka³,Clause with subject-verb-object and iterative aspect,To constantly complain about something minor,He keeps whining,B2,"Family, humor, sarcasm","Informal, ironic",Used by youth when mocking overreacting relatives,ka˧βa˦ ti˦na˦ ɲa˦ka˧ βa˦ka˦,Ka³va⁴ ti³na³ ña¹ka² va³ka³ ñuu¹.,Tu¹ú chi³i³ ka³va⁴ ti³na³ ña¹ka² va³ka³.,Ka³va⁴ ti³na³ ña¹ka² va³ka³ yo¹o¹.
Ni¹i³tu⁴ ña¹ka² ñuu¹ chi³iñu²,Causative verb phrase with locative,To stir up trouble in a peaceful place,He caused problems in the community,C1,"Politics, village meetings","Formal, critical",Historical usage during community assemblies,ni˦ʔi˦tu˦ ɲa˦ka˧ ɲu˧˩ tʃi˧ʔi˦ɲu˦,Ni¹i³tu⁴ ña¹ka² ñuu¹ chi³iñu² ñu³ú.,Chi³iñu² ni¹i³tu⁴ ña¹ka² ñuu¹ ka²tu².,Ñu³ú ni¹i³tu⁴ ña¹ka² ñuu¹ chi³iñu² ti³i.
Te²ti² ña¹ka² yo¹o¹ va³ni²,Compound verb with movement clause,To leave in a hurry without proper goodbye,She ran off suddenly,B1,"Daily speech, family farewells","Colloquial, humorous",Tied to regional habits around abrupt departures,te˧ti˧ ɲa˦ka˧ jo˧o˧ βa˦ni˦,Te²ti² ña¹ka² yo¹o¹ va³ni² ni³ni³.,Ka¹vi¹ te²ti² ña¹ka² yo¹o¹ va³ni² ñu¹.,Chi³iñu² te²ti² ña¹ka² yo¹o¹ va³ni² sa³ta³.
Ka³á ñuu¹ ña³ni³ sáta³,Adverbial fixed phrase,To feel overwhelmed or embarrassed,He was really flustered,B2,"Humor, workplace, awkward situations",Informal,Refers to facial expressions during emotional stress,ka˧ʔa˧ ɲu˧˩ ɲa˦ni˦ sa˦ta˦,Ka³á ñuu¹ ña³ni³ sáta³ tu¹ú.,Ti³i ka³á ñuu¹ ña³ni³ sáta³ ñu³ú.,Ka³á ñuu¹ ña³ni³ sáta³ ni³ni³.
Ña³ni³ chi¹ta³ kuíñu³ va³ni²,Verb-object idiomatic clause,To hesitate before speaking truthfully,He was afraid to speak up,C1,"Formal speech, conflict resolution","Formal, poetic",Linked to oratory traditions,ɲa˦ni˦ tʃi˦ta˦ kwi˧ɲu˧ βa˦ni˦,Ña³ni³ chi¹ta³ kuíñu³ va³ni² sa³ta³.,Na³ká ña³ni³ chi¹ta³ kuíñu³ va³ni² ñuu¹.,Tu¹ú ña³ni³ chi¹ta³ kuíñu³ va³ni² ñu³ú.
Chi³i³ va²ni¹ ñuu¹ ña³ka¹ sáta³,Subordinate movement clause,To go somewhere you’re not welcome,He intruded where he shouldn’t,C2,"Politics, gossip",Critical,Used in disputes or conflict talk,tʃi˧ʔi˧ βa˦ni˦ ɲu˧˩ ɲa˦ka˧ sa˦ta˦,Chi³i³ va²ni¹ ñuu¹ ña³ka¹ sáta³ tu¹ú.,Ka¹vi¹ chi³i³ va²ni¹ ñuu¹ ña³ka¹ sáta³.,Na³kú chi³i³ va²ni¹ ñuu¹ ña³ka¹ sáta³ ñu³ú.
Ñu³ú ni³ni³ ña³ka² sa³ki² ti³i,Passive voice with complex modifier,To be praised publicly,They applauded him,B2,"Ceremony, formal speech","Formal, elevated",Seen in award ceremonies or gatherings,ɲu˦ʔu˦ ni˦ni˦ ɲa˦ka˧ sa˦ki˦ ti˦i˦,Ñu³ú ni³ni³ ña³ka² sa³ki² ti³i ñuu¹.,Ka³á ñu³ú ni³ni³ ña³ka² sa³ki² ti³i.,Chi³iñu² ñu³ú ni³ni³ ña³ka² sa³ki² ti³i sa³ta³.
Na¹á ñuu¹ chi³iñu² kuíñu³,Locative idiom with embedded action,To arrive too late,He missed the moment,B1,"Daily life, frustration",Neutral,Common phrase about bad timing,na˧ʔa˧ ɲu˧˩ tʃi˧ʔi˦ɲu˦ kwi˧ɲu˧,Na¹á ñuu¹ chi³iñu² kuíñu³ ñu³ú.,Ka¹vi¹ na¹á ñuu¹ chi³iñu² kuíñu³ sa³ta³.,Na³kú na¹á ñuu¹ chi³iñu² kuíñu³ ti³i.
Ka³va⁴ va¹ka² ñuu¹ yo¹o¹,Clause with movement and destination,To return somewhere reluctantly,He came back dragging his feet,B2,"Workplace, family","Colloquial, ironic",Often used about returning to duties,ka˧βa˦ βa˧ka˧ ɲu˧˩ jo˧o˧,Ka³va⁴ va¹ka² ñuu¹ yo¹o¹ tu¹ú.,Ti³i ka³va⁴ va¹ka² ñuu¹ yo¹o¹ sa³ta³.,Ñu³ú ka³va⁴ va¹ka² ñuu¹ yo¹o¹ ni³ni³.
