Idiom (Nǁng),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Nǁng)",First Example Sentence,Second Example Sentence,Third Example Sentence
ǀGāe ǃhū khoen ǀnâe,Fixed clause with possessive structure,"To hold onto something stubbornly, refusing to let go",Refuse to give up,B1,"Daily speech, workplace, family",Colloquial,"Derived from traditional hunting imagery, where prey clings to life fiercely",/ǀɡaːe ǃhuː kʰoen ǀnaːe/,Ge ǀgāe ǃhū khoen ǀnâe ǀkhūsa ge tsē.,Tsi sa ǀgāe ǃhū khoen ǀnâe tsē khoe ge.,Khoe ge ǀgāe ǃhū khoen ǀnâe ǁnāe.
ǃGōe ǀnâe sa ǀkhūb,Verb phrase with object,To make something worse than it already is,Make a bad situation worse,B2,"Daily speech, politics",Ironic,"Refers to over-salting dried meat in preservation, ruining it",/ǃɡoːe ǀnaːe sa ǀkʰuːb/,Ge ǃgōe ǀnâe sa ǀkhūb khoe ge.,Tsi ǀnâe ge tsē ǃgōe ǀnâe sa ǀkhūb.,ǀNâe ge ǃgōe ǀnâe sa ǀkhūb tsē khoe.
ǀKhūsa ǀnāe ǃgāb,Imperative-based figurative verb phrase,To take decisive action immediately,Act without delay,B1,"Workplace, urgent situations",Colloquial,Based on war councils where delay could cost lives,/ǀkʰuːsa ǀnaːe ǃɡaːb/,"ǀKhūsa ǀnāe ǃgāb, khoe ge tsē.",Tsi sa ǀkhūsa ǀnāe ǃgāb ge.,Khoe ge ǀkhūsa ǀnāe ǃgāb tsē.
ǀKhâi sa ǀgāb ge,Verb phrase with nominal complement,To chase after an impossible goal,Pursue something unattainable,C1,"Literature, philosophy, humor",Poetic,Originates from desert mirage imagery,/ǀkʰaːi sa ǀɡaːb ɡe/,Tsi ge ǀkhâi sa ǀgāb ge tsē.,ǀKhâi sa ǀgāb ge khoe tsē.,Ge tsē tsi ǀkhâi sa ǀgāb ge.
ǁKhāb sa ǀnâe khoen,Fixed nominal expression,To keep secrets tightly guarded,Keep information confidential,B2,"Politics, family, workplace",Formal,Linked to traditions of guarding sacred rites,/ǁkʰaːb sa ǀnaːe kʰoen/,Khoe ge ǁkhāb sa ǀnâe khoen tsē.,Ge tsē ǁkhāb sa ǀnâe khoen.,Tsi ǀnâe ge ǁkhāb sa ǀnâe khoen.
ǀGūsa ǃhū khoen ǀnâe,Verb phrase with object,To bear a heavy responsibility,Carry a burden,B2,"Workplace, politics, personal life",Formal,From traditional leadership roles in tribal councils,/ǀɡuːsa ǃhuː kʰoen ǀnaːe/,Ge ǀgūsa ǃhū khoen ǀnâe ge tsē.,Tsi khoe ge ǀgūsa ǃhū khoen ǀnâe.,Khoe sa ǀgūsa ǃhū khoen ǀnâe tsē.
ǀHūi ǁnāe khoe,Verb-object phrase,To flatter excessively,Overpraise someone,B2,"Politics, workplace, humor",Ironic,Relates to traditional praise songs sung to chiefs,/ǀhuːi ǁnaːe kʰoe/,Tsi ǀhūi ǁnāe khoe ge tsē.,Ge ǀhūi ǁnāe khoe tsē.,Khoe ge tsē ǀhūi ǁnāe.
ǁNāe sa ǀnâe ǃhūb,Verb phrase with aspectual marker,To prepare thoroughly in advance,Be well-prepared,B1,"Daily speech, workplace",Colloquial,Derived from preparing ceremonial feasts well ahead of time,/ǁnaːe sa ǀnaːe ǃhuːb/,Khoe ge ǁnāe sa ǀnâe ǃhūb tsē.,Tsi ǁnāe sa ǀnâe ǃhūb ge.,Ge tsē khoe ǁnāe sa ǀnâe ǃhūb.
ǀGâe ǁnāe khoen,Verb phrase with possessive noun,To take pride in something,Be proud,A2,"Daily speech, literature",Colloquial,Linked to displaying trophies from hunting or competitions,/ǀɡaːe ǁnaːe kʰoen/,Khoe ge ǀgâe ǁnāe khoen tsē.,Ge ǀgâe ǁnāe khoen ge tsē.,Tsi ǀgâe ǁnāe khoen ge.
ǃNâe ǀnâe sa ǀgāb,Negation particle with verb phrase,To abandon hope,Give up,B1,"Daily speech, literature",Colloquial,"Comes from desert survival culture, where persistence is critical",/ǃnaːe ǀnaːe sa ǀɡaːb/,Ge ǃnâe ǀnâe sa ǀgāb ge tsē.,Tsi ǃnâe ǀnâe sa ǀgāb khoe tsē.,Khoe ge tsē ǃnâe ǀnâe sa ǀgāb.
