Idiom (Navajo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Navajo)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tʼáá ákwííjįʼ,Adverbial clause with emphasis particle 'tʼáá' + temporal aspect suffix,Right away; immediately; without delay,Do it immediately,A2,"daily speech, workplace, family",colloquial,Common across regions; used for urgent tasks and obedience; expresses promptness,tʼɑ́ː ʔɑ̀kʷîːtʃĩʔ,Tʼáá ákwííjįʼ hólǫ́ǫ doo.,"Shił bééhózin, tʼáá ákwííjįʼ éí nitsáhákees.",Tʼáá ákwííjįʼ nihá shikaadééł dah naashá.
Baa nitsídí,Postpositional verb phrase with dative prefix + stative verb,He/she is stubborn or hardheaded,That person is stubborn,B1,"daily speech, family, humor","colloquial, humorous",Associated with sheep or livestock; a person who won't move or listen,pàː nɪ̀tsʼítí,"Baa nitsídí, doo yikʼisii da.",Éí baa nitsídí dóó éí háádida hólǫ́.,Náʼáztiinígíí baa nitsídí tʼáá íiyisí.
Áłtsé hastiin bitoodnáádii,Noun phrase with possessive and passive voice marker,Someone who is extremely traditional or old-fashioned,He is very old-fashioned,C1,"sarcasm, politics, literature","sarcastic, poetic",Refers to 'the first man' as conservative figure,ɑ́ːɬtsʰé hɑstìːn bìtʰòːtnæːtíː,"Áłtsé hastiin bitoodnáádii, tʼáá shikaadééł yáhootʼééł.","Tʼáadoo chʼíníłį́įgo, áłtsé hastiin bitoodnáádii nihá ályaa.",Shí éí áłtsé hastiin bitoodnáádii yinishyé.
Tó éí íiyisí,Noun phrase with locative emphasis,Not worth much; insignificant or ineffective,It’s useless,B2,"daily speech, humor, sarcasm","ironic, sarcastic",Refers to dried or dirty water; undesirable and ineffective,tʰôː èː íːjɪsí,"Tó éí íiyisí, doo bá yáhootʼééł da.",Níłchʼi éí tó éí íiyisí yáhootʼééł.,Tó éí íiyisí yáʼátʼééhígíí doo bikááʼ dah naashá da.
Chʼééh doodago,Conditional + adversative conjunction,Even if it’s bitter or unpleasant,Despite hardship,B1,"family, life advice, literature","literary, poetic",Rooted in traditional herbal medicine; metaphor for life’s challenges,tʃʼʰéːh tòːtɑ̀kò,"Chʼééh doodago, nihá shikaadééł yáhootʼééł.","Chʼééh doodago, doo nihá niháʼání da.",Tʼáá íiyisí chʼééh doodago nihá ályaa.
Átʼéego níyol,Adverbial clause + stative verb,You reap what you sow; it’s your own doing,It’s your responsibility or consequence,B2,"life advice, family, moral lessons","reflective, formal",Traditional belief in individual responsibility and agency,ɑ́ːtʼʰéːkò nɪ̀jòɬ,"Átʼéego níyol, tʼáadoo háí baa nitsídii da.",Tʼáá ákótʼéego átʼéego níyol níkaadééł.,Níyol éí átʼéego nihá yáhootʼééł.
Díí bikʼehgo,Demonstrative + instrumental postposition,In this way; that’s how it is,This is the way things go,A2,"daily speech, storytelling, reflection","neutral, reflective",Common idiom for summarizing lessons or facts of life,tìː pɪ̀kʼʰɛ̀xkò,Díí bikʼehgo nihá ályaa.,"Tʼáá íiyisí, díí bikʼehgo éí tʼáá nihíjiʼ.",Díí bikʼehgo tʼáá áníłtso yáhootʼééł.
Shash bichʼįʼ hadidliiʼ,Noun subject + locative possessive + passive verb,To act confused or foolishly (like a bear stung by bees),He’s flustered and not thinking clearly,C1,"humor, daily speech, sarcasm","humorous, informal",Derived from bear behavior after being stung while raiding hives,ʃɑʃ bɪ̀tʃʼʰĩ́ː hàtɪ̀tlìːʔ,Shash bichʼįʼ hadidliiʼ yáhootʼééł.,Éí shash bichʼįʼ hadidliiʼ doo nihá hólǫ́ǫ da.,Shí éí shash bichʼįʼ hadidliiʼ yinishyé.
Náʼástʼéʼ naaznil,Adverbial verb + perfective aspect,It’s all mixed up or disorganized,It’s chaotic or confusing,B2,"daily speech, humor, critique","colloquial, humorous",Refers to tangled yarn or scattered livestock,nɑ́ːʔɑstʼʰéʔ nɑ̀ːznɪ̀ɬ,Náʼástʼéʼ naaznil nihá nihił yáhootʼééł.,Díí bikááʼ náʼástʼéʼ naaznil hólǫ́.,Náʼástʼéʼ naaznil tʼáá ákótʼéego.
Ádahwiinítʼaʼ,Derived noun from reflexive verb stem with future aspect,To face consequences of one's actions,He/she will pay for it,C2,"politics, justice, moral judgment","formal, serious",Deep-rooted in teachings about balance and reciprocity in the cosmos,ʔɑ̀tàhwìːnítʼʰɑ̀ʔ,Ádahwiinítʼaʼ éí baa yáhootʼééł.,"Tʼáá shoodígo, ádahwiinítʼaʼ nihá ályaa.","Ádahwiinítʼaʼ, tʼáá ákótʼéego dooleeł."
