Idiom (Turoyo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Turoyo)",First Example Sentence,Second Example Sentence,Third Example Sentence
Comër baytux / comër baytax,"Optative blessing formula; verb + possessed noun phrase, with masculine/feminine second-person suffix alternation.","A warm thank-you blessing wishing that the addressee’s household remains full, living, and healthy.",Tawdi sagi; Aloho nšor l-baytux b-ḥayye.,B1,"thanks, hospitality, family visits, church service, neighborly help, holidays","colloquial, respectful, affectionate, blessing-like","Rooted in Turabdin house culture, where a full household signals health, continuity, and communal dignity.","/ˈʕomər ˈbajtux, ˈʕomər ˈbajtax/","Bëṯër me d-Saro mʿadrola l-emi bi čaye, emi mërlala: “Comër baytax.”","U qašo šqille i trumo men Yuhanon w mërlēle: “Comër baytux, ḥawro.”","Qam ḥašo du saṯwo, i ganino mlel-le bayto w kulun mërwale: “Comër baytux.”"
Comër u bayto,Fixed optative clause; verb + definite noun phrase functioning as a farewell blessing.,"A holiday or visit-closing farewell wishing life, people, and blessing to remain in the home.",Fušu bë šlomo; Aloho nšor l-bayto b-ṭobo.,A2,"farewells, feast days, house visits, elder speech, family gatherings","colloquial, ceremonial, warm, traditional",Associated with Syriac/Turoyo domestic hospitality and feast-day leave-taking in Turabdin and diaspora homes.,/ˈʕomər u ˈbajto/,"Bë yoma d-Edo, qaḏam d-nāfqu, jëdde mërlan: “Comër u bayto.”","Lawla mërwal “fušu bë šlomo,” bas “comër u bayto” heno m-basimuṯo.","Qam d-nzalin l-Mëḏyaḏ, xalto mḥadralan w mërlan: “Comër u bayto, yalune.”"
Cal ac cayne,"Fixed prepositional phrase; preposition + plural body-part noun, used as a discourse response.","Gladly, with honor, or willingly; the speaker accepts a request with respect.",B-ḥḏo gëd oṯeno; maṣyono w roḥamno d-mʿadranux.,B1,"requests, favors, workplace help, family duties, politeness formulas","colloquial, deferential, courteous, affectionate",A Semitic honor formula based on the eye as a site of respect and readiness; common in regional politeness.,/ʕal aʕ ˈʕajne/,"“Tayto qam šëmšo,” mërlan, w Saro jawbala: “Cal ac cayne.”","I malpanito bʿila d-nqro i risālo, w ono mërli: “Cal ac cayne, moro.”","U šabbo qaryale l-ḥawre d-mʿadriwle, w hane mërle: “Cal ac cayne, qurban.”"
Lo ḥayrët lu qëṣurayḏi,Negative imperative-like politeness formula; negator + verb + prepositional object with first-person possessive suffix.,Forgive me; do not hold my mistake against me.,Sliḥli; ono ġalṭone w baci d-msadqeno.,B2,"apology, hospitality, elder address, clerical address, workplace correction","polite, humble, semi-formal, self-effacing","Reflects a regional etiquette of acknowledging one’s fault before elders, guests, clergy, or respected community members.",/lo ˈħajrət lu qəˈsˤurajði/,"“Lo ḥayrët lu qëṣurayḏi, tawin qliḏo b-bayto,” mërlēle.",I šabre sëmle ḥoṣono b-daftar w mërlēle l-malpan: “Lo ḥayrët lu qëṣurayḏi.”,"Bë šuġlo, Saro mërla: “Lo ḥayrët lu qëṣurayḏi, i waʿdo gëd mḥadrano.”"
Ṭacyono ruḥi,Fixed first-person experiential clause; participial form + reflexive/possessive noun ‘self/soul’.,It slipped my mind; I forgot because I was distracted or flustered.,Tli-li; lo dkar-li.,B1,"apologies, domestic tasks, school, scheduling, errands, storytelling","colloquial, apologetic, gentle, self-deprecating",Uses ruḥo ‘self/soul’ to frame memory failure as a momentary loss of inner attention rather than intentional neglect.,/tˤaʕˈjono ˈruħi/,"“Ṭacyono ruḥi, qam maṯyono u sefer,” mërla Meryam.","Bë sugho, malka mšayele qimo, w u ṭalbo mërle: “Ṭacyono ruḥi.”","Ḥar d-qam wacdo, Quryāqos hzerle l-pumo w mërle: “Ṭacyono ruḥi, ḥawri.”"
Layt qëṭro,"Existential negation; ‘there is not’ + concrete noun ‘knot/problem’, lexicalized as reassurance.",There is no problem; the matter is manageable and should not worry anyone.,Lo yo miškelto; maṣyinan nḥalina.,A2,"appointments, favors, technical support, daily planning, social reassurance","colloquial, calm, reassuring, practical",Built on the image of a knot as a complication; widely transparent in everyday problem-solving speech.,/lajt ˈqətˤro/,"“I kerso daq motor lo ko-mšaqqlo?” “Layt qëṭro, gëd nsaqqlono qam caṣriye.”","“Aḏyawma lo maṣyono d-oṯe,” mērle; Saro jawbala: “Layt qëṭro.”","“I faylo xriwto yo,” mērle u mhandës; “layt qëṭro, kitlan backup.”"
Sëmle märaq,"Light-verb idiom; ‘make/do’ + noun, conjugated for subject and tense.","He became curious, worried, or mentally preoccupied about something.",Sagi tfakkarle; baci d-yodo mën yo.,B2,"storytelling, family news, uncertainty, investigation, gossip, emotional narration","colloquial, narrative, expressive, mildly humorous","A flavorful domestic metaphor: mental stirring is framed through märaq ‘soup/stew’, echoing household imagery.",/ˈsəmle ˈmæraq/,Aḥuni sëmle märaq čunke i ḫabrto lo mṭet-la bi waqt.,"Bëṯër me d-šmeʿle u qalo, u mori sëmle märaq w mšayele mën yo.","I qaḏamto, ḥawroye sëmle märaq cal i paluto d-qarye."
Fušu bë šlomo / fëš bë šlomo,Imperative farewell formula; plural/singular imperative + prepositional phrase ‘in peace’.,"Goodbye; remain safe, settled, and at peace after I leave.",Bay-bay; qam ḥazina ḥreto.,A1,"farewells, lessons, visits, phone calls, community gatherings","neutral, traditional, warm, everyday","Built on šlomo ‘peace’, a central Syriac/Aramaic greeting and farewell concept with religious and communal resonance.","/ˈfuʃu bə ˈʃlomo, feʃ bə ˈʃlomo/","Bë lëlyo, babo mërle l-yale: “Fušu bë šlomo, bāker gëd nḥaze.”","Qam d-tisacn l-bus, i malpanito mërla: “Fušu bë šlomo, la tdbalin.”","“Fëš bë šlomo, Yuhanon,” mērle u ḥawro w šqille tarco."
Zax bë šlomo,First-person plural movement/farewell formula + prepositional phrase ‘in peace’.,Let us go in peace; a courteous departure formula used by the people leaving.,Aḥna gëd nāzlin; qam ḥazina ḥreto.,A2,"departures, guest-leaving, travel, weddings, evening visits","colloquial, courteous, communal, traditional",Complements fëš/fušu bë šlomo by marking the departing group’s side of the farewell exchange.,/zax bə ˈʃlomo/,"Bëṯər qaḥwe, Šmuni qam nfaq w mërlan: “Zax bë šlomo.”",U safrono mërle l-qarye: “Zax bë šlomo; gëd naḏcarno lkulxun.”,"Bë ḥedo d-mëštuṯo, i xalto mërla: “Zax bë šlomo w ḥzo Mëḏyaḏ b-ḥubo.”"
Aloho mbarëx aclux / aclax / aclayye,Blessing formula; divine subject + verb + prepositional object with gender/number suffix.,"May God bless you; an expression of gratitude, approval, or goodwill after help or good news.",Tawdi; ono mfaqqadno ṭobo aclux.,A2,"thanks, charity, family blessing, church, condolence support, elder speech","religious, respectful, affectionate, traditional",Reflects Syriac Christian blessing practice and the role of religious language in everyday Turoyo politeness.,"/aˈloho mbaˈrəx ʕaˈlux, ʕaˈlax, ʕaˈlajje/","U qašo mērle l-faʿole: “Aloho mbarëx aclayye,” qam d-yazli l-paluto.","“Aloho mbarëx aclux,” mērla emi l-ibro d-mʿadrola b-suġo.","Bëṯər trumo, kulan mërlan: “Aloho mbarëx aclux, aw nošo d-ṭobo.”"
