Idiom (Yanomamö),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Yanomamö)",First Example Sentence,Second Example Sentence,Third Example Sentence
Pë ha yama ha pë siha,Fixed clause with postpositional phrase,To deceive softly or playfully,To trick someone lightly,B2,"Humor, daily life",Colloquial,Originates from humorous hunting stories,/pə ha ˈjama ha pə ˈsiha/,"Ya ha pë ha yama ha pë siha ta, yahi wii ha.",Ama ha yama ha pë siha ha no.,Yama ha pë siha no wii ha ta.
Ya ha wa ha hi yahi,Declarative clause with reflexive verb,To lose one’s patience suddenly,To get angry quickly,B1,"Family, argument",Colloquial,Common in family disputes and sibling teasing,/ja ha wa ha hi ˈjahi/,"Ama ha wa ha hi yahi, pë no ha wii.",Yahi ha ha wa ha hi yahi no.,Ama ha hi yahi ha ha mi no.
Ama ha no pë ta wii,Subjunctive conditional construction,To hope for something impossible,To dream of what cannot happen,C1,"Dreams, storytelling",Poetic,Used in old shamanic chants to describe desire,/ama ha no pə ta ˈwiː/,"Pë ha no pë ta wii, ha ha mi no.",Ha ha pë ta wii ha yama ta.,"Wii ha no pë ta wii, yahi ta."
Ha ha yama hi pë to,Passive-like nominal structure,To speak indirectly about someone,To talk behind someone’s back,B2,"Gossip, politics",Ironic,Refers to coded speech in intertribal negotiations,/ha ha ˈjama hi pə to/,"Ha ha yama hi pë to, wii ha yahi.",Pë ha yama hi pë to wii ha.,Ha ha yama hi pë to ha no.
Yahi ha pë ha wa no,Fixed expression with emphatic particle,To act proudly or boastfully,To act arrogantly,B1,"Youth talk, humor",Colloquial,Linked to youth boasting during ceremonies,/ˈjahi ha pə ha wa no/,"Yahi ha pë ha wa no, ama ha ta ha.","Ama ha yahi ha wa no, pë ha ta.",Yahi ha pë ha wa no ha ha.
Ama ha wii yama ta,Simple present declarative with emphasis,To hide one’s true feelings,To pretend to be fine,C2,Personal emotions,Formal,From ritual self-control teaching tales,/ˈama ha wiː ˈjama ta/,"Ama ha wii yama ta, pë no yahi ha.",Wii ha wii yama ta no ha.,Ama ha wii yama ta ha no.
Ya ha pë hi yahi ta,Fixed poetic reflexive clause,To remember something long forgotten,To recall an old memory,B2,"Elders’ speech, ritual",Literary,Part of oral history recounting ancestor memories,/ja ha pə hi ˈjahi ta/,"Ya ha pë hi yahi ta, ha ha mi no.",Ama ha ha pë hi yahi ta.,Ya ha ha pë hi yahi ta wii.
Wii ha ha yama no,Declarative sentence with intensifier,To see through deception,To detect a lie,C1,Conflict resolution,Formal,Used by shamans to describe spiritual perception,/wiː ha ha ˈjama no/,"Wii ha ha yama no, ama ha hi pë.",Ha ha yama no ha wii pë.,Wii ha ha yama no ha ta.
Ha ha pë ta yahi no,Nominal predicate with aspectual marking,To speak wisely beyond one’s years,To say something wise,C2,"Storytelling, teaching",Literary,Common in elder storytelling circles,/ha ha pə ta ˈjahi no/,"Ha ha pë ta yahi no, yama ha ta.",Yahi no ha pë ta yahi ha.,Ha ha pë ta yahi no ha wii.
Ama ha hi wii pë ta,Fixed conditional structure with contrastive tone,To betray a friend for advantage,To be disloyal,B2,"Conflict, betrayal",Ironic,Associated with betrayal myths of twin heroes,/ama ha hi wiː pə ta/,"Ama ha hi wii pë ta, pë no ha yahi.","Pë ha hi wii pë ta, ama ha no.",Ama ha hi wii pë ta ha no.
