Idiom (Bajjika),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Bajjika)",First Example Sentence,Second Example Sentence,Third Example Sentence
नाक ऊँच कर देल,Transitive verbal idiomatic clause (NP + object + perfective verb),To bring honor or prestige to someone or a community.,सम्मान बढ़ा देल,B1,"Family pride, academic success, village achievements","Colloquial, Prideful",Common in Mithila–Tirhut region where honor is metaphorically tied to physical posture.,/naːk uːnt͡ʃ kər del/,तोहर सफलता से पूरा परिवार के नाक ऊँच कर देल।,बेटी के नौकरी लगते गाँव के नाक ऊँच कर देल।,ओकर काम से समाज के नाक ऊँच हो गइल।
कान में तेल डाल के बैठल,Compound participial construction with postpositional phrase,To ignore something deliberately despite warnings.,जान-बूझ के अनदेखी करल,B2,"Politics, family disputes, workplace negligence","Sarcastic, Critical",Oil imagery reflects rural lifestyle where oiling ears implies blocking sound.,/kaːn meː tel ɖaːl ke bɛʈʰəl/,ऊ सब बात सुन के कान में तेल डाल के बैठल रहल।,"हम चिल्लाइत रही, ऊ कान में तेल डाल के बैठल रहल।",प्रशासन कान में तेल डाल के बैठल रहल।
आग में घी डाले जइसन,Simile construction using comparative particle 'जइसन',To worsen an already tense situation.,स्थिति अउरी खराब कर देल,B2,"Arguments, political debate, humor","Figurative, Dramatic",Derived from ritual fire offerings where ghee intensifies flames.,/aːg meː ɡʱiː ɖaːle d͡ʒɛsən/,ओकर टिप्पणी आग में घी डाले जइसन रहल।,तू बीच में बोल के आग में घी डाले जइसन कइल।,मीडिया के खबर आग में घी डाले जइसन साबित भेल।
आसमान टूट पड़ल,Intransitive perfective clause (metaphorical subject),To feel extreme shock or distress.,बहुत बड़ा सदमा लागल,B1,"Personal tragedy, financial loss","Emotional, Hyperbolic",Sky as cosmic protector in agrarian belief; collapse symbolizes catastrophe.,/aːsmaːn ʈuːʈ pəɽəl/,खबर सुनते ओकरा पर आसमान टूट पड़ल।,रिजल्ट देख के हम पर आसमान टूट पड़ल।,कर्ज के बोझ से किसान पर आसमान टूट पड़ल।
दूध के जले छाछो फूँक के पीअइ,Complex proverbial clause with habitual verb form,"Once hurt, one becomes overly cautious.",पहिले अनुभव से डर के सावधान रहना,C1,"Life advice, elder speech, literature","Proverbial, Didactic",Rural dairy culture metaphor tied to livestock economy in North Bihar.,/duːdʱ ke d͡ʒəle t͡ʃʰaːt͡ʃʰo pʰuːŋk ke piəi/,धोखा खा के ऊ अब दूध के जले छाछो फूँक के पीअइ।,व्यापार में घाटा भइल त ऊ दूध के जले छाछो फूँक के पीअइ।,एक बेर गिरल त बच्चा दूध के जले छाछो फूँक के पीअइ।
हाथ के खेल नइखे,Negative copular idiomatic clause,Not an easy task.,बहुत कठिन काम अछि,A2,"Daily speech, work, education",Colloquial,Reflects manual labor traditions of the Cham-speaking agrarian belt.,/haːtʰ ke kʰeːl nəikʰe/,ए परीक्षा हाथ के खेल नइखे।,खेती करना हाथ के खेल नइखे।,नया व्यापार शुरू करना हाथ के खेल नइखे।
"लाठी भी ना टूटल, साँप भी मरल",Coordinated perfective clause with contrastive balance,To solve a problem cleverly without loss.,बिना नुकसान के समस्या हल करल,C1,"Strategy, politics, negotiation","Proverbial, Strategic",Folk imagery from rural snake encounters and self-defense traditions.,/laːʈʰi bʱiː naː ʈuːʈəl saːp bʱiː mərəl/,"ऊ समझदारी से लाठी भी ना टूटल, साँप भी मरल कर देलक।","समझौता ऐसा भइल कि लाठी भी ना टूटल, साँप भी मरल।","नेता के चाल लाठी भी ना टूटल, साँप भी मरल रहल।"
माथा पर चढ़ गइल,Postpositional phrase + perfective verb construction,Someone becoming arrogant due to praise or power.,अहंकारी हो गइल,B1,"Family, workplace, politics","Colloquial, Critical",Hierarchical social imagery common in village authority structures.,/maːtʰaː pər t͡ʃəɽ ɡəil/,थोड़ा नाम मिलते ऊ माथा पर चढ़ गइल।,बच्चा के जादा लाड़ से ऊ माथा पर चढ़ गइल।,पद पाकर अधिकारी माथा पर चढ़ गइल।
पानी-पानी हो गइल,Reduplicated noun + perfective verb idiom,To feel embarrassed or humiliated.,बहुत शर्मिंदा हो गइल,B2,"Public mistakes, humor, gossip","Colloquial, Humorous",Water imagery tied to loss of firmness; metaphor of melting under shame.,/paːni paːni ho ɡəil/,गलती पकड़े जाते ऊ पानी-पानी हो गइल।,सबके सामने डाँट पड़ते हम पानी-पानी हो गइल।,मंच पर अटकते नेता पानी-पानी हो गइल।
दिन-दूना रात-चौगुना बढ़ल,Reduplicative quantitative comparative structure,To grow rapidly and exponentially.,बहुत तेजी से बढ़ल,C2,"Economics, agriculture, business growth","Literary, Emphatic",Agrarian counting expression emphasizing compound growth in rural trade speech.,/din duːnaː raːt t͡ʃɔːɡunaː bəɽʱəl/,व्यापार दिन-दूना रात-चौगुना बढ़ल।,ओकर लोकप्रियता दिन-दूना रात-चौगुना बढ़ल।,खेती के मुनाफा दिन-दूना रात-चौगुना बढ़ल।
