Idiom (Griko),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Griko)",First Example Sentence,Second Example Sentence,Third Example Sentence
Έμεινε με το στόμα ανοιχτό.,"Fixed verbal clause with aorist verb plus prepositional phrase; subject may vary, idiom remains stable.","To be astonished, speechless, or unable to respond because of surprise.",Εθαύμασε πολλά και εν ήξερε τι να πει.,B1,daily speech; family stories; humorous surprise; village gossip,colloquial; expressive; mildly humorous,Shared Mediterranean image of visible astonishment; common in Salento oral storytelling and Greek-influenced phrasing.,/ˈemine me to ˈstoma aˈnixto/,Άκουσε πως ο Πέτρο πήρε τη δουλειά και έμεινε με το στόμα ανοιχτό.,"Όταν η μάνα είδε το σπίτι καθαρό, έμεινε με το στόμα ανοιχτό.",Στην πλατεία όλοι έμειναν με το στόμα ανοιχτό με τα νέα του δημάρχου.
Έχει τη μύτη ψηλά.,Present-tense possessive clause with definite object and spatial adjective; semi-fixed adjectival idiom.,"To behave proudly, arrogantly, or as if one is superior to others.",Κάνει τον περήφανο και δεν μιλά απλά με τους άλλους.,B1,daily speech; social judgment; school; workplace; humor,colloquial; critical; ironic,"Body-position metaphor common in Greek-speaking and Italo-Greek communities, where humility in public life is highly valued.",/ˈexi ti ˈmiti psiˈla/,"Από τότε που αγόρασε καινούριο αμάξι, έχει τη μύτη ψηλά.","Μη μιλάς σαν να έχεις τη μύτη ψηλά, γιατί είμαστε όλοι χωριανοί.","Στο μαγαζί δεν τον αγαπούν, επειδή πάντα έχει τη μύτη ψηλά."
Τρέχει σαν τον άνεμο.,"Present-tense simile with verb of motion and comparative particle; flexible subject, fixed comparison.",To run or move extremely fast; also used for quick action.,Τρέχει πολύ γρήγορα.,A2,daily speech; children; sports; errands; playful praise,colloquial; vivid; positive,Draws on rural Salento imagery of sea winds and open countryside movement.,/ˈtrexi san ton ˈanemo/,Ο μικρός τρέχει σαν τον άνεμο όταν ακούει τη καμπάνα.,Πήγε στο φούρνο και γύρισε σαν τον άνεμο με το ψωμί ζεστό.,Στον αγώνα της γειτονιάς η Μαρία έτρεχε σαν τον άνεμο.
Μη ρίχνεις λάδι στη φωτιά.,"Negative imperative with transitive verb, direct object, and locative prepositional phrase; fixed admonitory formula.","Do not make a conflict, anger, or tense situation worse.",Μη λες πράματα που κάνουν τον καβγά πιο δυνατό.,B2,family disputes; politics; workplace mediation; advice; sarcasm,colloquial; cautionary; moralizing,"Domestic and agricultural metaphor tied to hearth, oil, and fire as everyday substances in southern Italian life.",/mi ˈrixnis ˈlaði sti foˈtja/,"Οι αδερφοί μαλώνουν, μα εσύ μη ρίχνεις λάδι στη φωτιά.",Στη συνέλευση του χωριού ο πρόεδρος είπε να μη ρίχνουμε λάδι στη φωτιά.,Με τέτοια λόγια μόνο ρίχνεις λάδι στη φωτιά και δεν βοηθάς κανένα.
Κάνει την καρδιά πέτρα.,Present-tense causative verb phrase with direct object and predicate noun; metaphorical transformation construction.,"To force oneself to be emotionally strong, hard, or unyielding in a painful situation.",Κρατά τη λύπη μέσα του και δείχνει δυνατός.,C1,mourning; migration; family hardship; literature; intimate speech,poetic; solemn; emotional,"Reflects local experiences of separation, emigration, and endurance, frequent themes in Grecanico and Salentine memory.",/ˈkani tin karˈðja ˈpetra/,"Όταν ο γιος έφυγε για τη Γερμανία, η μάνα έκανε την καρδιά πέτρα.",Έκανε την καρδιά πέτρα και πούλησε το παλιό σπίτι του πατέρα.,Στο γράμμα της έγραφε πως έκανε την καρδιά πέτρα για να μην κλάψει.
Βάζει το χέρι στη καρδιά.,Present-tense verb phrase with definite object and locative complement; ritualized gesture idiom.,"To speak sincerely, honestly, or from deep feeling.",Μιλά με αλήθεια και χωρίς ψέμα.,B2,apologies; promises; family counsel; testimony; emotional dialogue,colloquial to solemn; sincere; intimate,"Gesture-based expression linked to oath, honor, and heartfelt speech in small-community oral culture.",/ˈvazi to ˈxeri sti karˈðja/,Βάζω το χέρι στη καρδιά και σου λέω πως δεν ήξερα τίποτα.,Ο παππούς έβαλε το χέρι στη καρδιά πριν δώσει τη συμβουλή.,Βάλε το χέρι στη καρδιά και πες μου αν έκανες καλά.
Έφαγε τα ψωμιά του.,"Aorist transitive clause with definite plural object; fixed perfective idiom, often with possessive pronoun.","Someone or something has passed its prime, is worn out, or has no future usefulness.",Δεν έχει πια δύναμη ή αξία όπως πρώτα.,C1,aging; tools; politics; work; teasing; critical commentary,colloquial; ironic; sometimes harsh,"Bread as a measure of life and livelihood evokes subsistence, work, and household economy in rural Salento.",/ˈefaje ta psoˈmɲa tu/,Το παλιό τρακτέρ έφαγε τα ψωμιά του και κάθε μέρα χαλά.,Λένε στο καφενείο πως ο βουλευτής έφαγε τα ψωμιά του.,"Μη γελάς με τον γέρο σκύλο· μπορεί να έφαγε τα ψωμιά του, μα ξέρει τον δρόμο."
Κρατά τη γλώσσα του.,"Present-tense transitive clause with body-part object; idiom of restraint, often imperative or advisory.","To keep silent, avoid revealing information, or refrain from speaking unwisely.",Δεν μιλά και δεν λέει μυστικά.,B1,secrets; family matters; politics; workplace discretion; warnings,colloquial; admonitory; pragmatic,"Oral-community ethics value discretion where news travels quickly through piazzas, markets, and kin networks.",/kraˈta ti ˈɣlosa tu/,"Ο Αντώνη ξέρει πολλά, αλλά κρατά τη γλώσσα του.","Στη δουλειά κράτα τη γλώσσα σου, γιατί οι τοίχοι έχουν αυτιά.",Η θεία μου είπε να κρατήσω τη γλώσσα μου ώσπου να περάσει η γιορτή.
Έχει αυτιά σαν λαγός.,Present-tense possessive clause with plural object and comparative simile; humorous descriptive idiom.,"To hear everything, notice hidden talk, or eavesdrop easily.",Ακούει πολύ καλά και πιάνει κάθε λόγο.,B1,humor; children; gossip; family; playful warning,colloquial; playful; teasing,"Animal comparison from rural life, where the hare symbolizes alertness and quick perception.",/ˈexi afˈtja san laˈɣos/,"Μίλα σιγά, γιατί η μικρή έχει αυτιά σαν λαγός.",Ο μπακάλης έχει αυτιά σαν λαγός και ξέρει όλα τα μυστικά.,"Δεν είπα το όνομα, μα εκείνος έχει αυτιά σαν λαγός και κατάλαβε."
Κάθεται σε δυο καρέκλες.,Present-tense intransitive clause with locative complement and numeral noun phrase; political-social metaphor.,To try to support two opposing sides or maintain two incompatible positions.,Δεν διαλέγει καθαρά πλευρά και θέλει να είναι με όλους.,C2,politics; workplace alliances; family disputes; irony; analytical commentary,colloquial to formal; ironic; critical,"A civic metaphor suited to village councils, family negotiations, and political balancing in small communities.",/ˈkaθete se ðʝo kaˈrekles/,Ο σύμβουλος κάθεται σε δυο καρέκλες και κανείς δεν τον πιστεύει.,Στον καβγά των ξαδέρφων μην κάθεσαι σε δυο καρέκλες.,"Η εταιρεία κάθεται σε δυο καρέκλες, λέει πως σέβεται το χωριό μα ζητά πιο πολλά κέρδη."
