Idiom (Sasak),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1-C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sasak)",First Example Sentence,Second Example Sentence,Third Example Sentence
Bau angin,Frase verbal tetap; predikat idiomatik tanpa objek wajib.,"Nyium tanda-tanda leq gen becik araq masalah, kabar, utang, utawi tipu daya meski bukti ne endeq pade jelas.",Merasaq ada tanda; curigaq; mulai sadar ada masalah.,B1,"Obrolan sopan santai, keluarga, politik lokal, urusan kampung.","Kolokial, sindiran halus, waspada.",Metafora dari kemampuan nyium angin sebelum ujan datang; dipake leq Lombok untuk nyebut kepekaan membaca keadaan sosial.,/bau aŋin/,"Saq due bau angin, sebelum rapat mulai iaq wah nebak araq sengketa tanah.","Inaq tiang bau angin lekang, makanya iaq nyuruh tiang jangan gampang percaye.","Wartawan desa niku bau angin, baru denger sedikit langsung paham arah cerite."
Panas ati,Frase adjektival tetap; inti adjektiva metaforis.,"Rase jengkel, iri, atau tersinggung sampe emosi ne naik.",Kesel banget; iri hati; marah dalam hati.,A2,"Keluarga, pertemanan, kerja, komentar sosial.","Kolokial, emosional, kadang sarkastik.",Panas dipake sebagai lambang emosi tinggi; sejalan dengan cara masyarakat ngaitang tubuh jeung perasaan.,/panas ati/,Ia panas ati pas ningali adiqne dipuji terus sedengne endeq pernah disebut.,"Jangan panas ati leq komentar orang, luwih becik side tunjukang hasil.","Waktu proyek ne dialihang, beberapa anggota tim langsung panas ati."
Ringan tangan,Frase adjektival tetap; konstruksi sifat dengan nomina tubuh.,"Cepat nulung, mudah bergerak bantu orang lain, endeq pelit tenaga.",Suka membantu; sigap menolong.,A2,"Keluarga, gotong royong, sekolah, kegiatan adat.","Kolokial positif, pujian.",Tangan melambangkan tindakan nyata; idiom niki kuat leq budaya gotong royong Sasak.,/riŋan taŋan/,"Pak guru niku ringan tangan, setiap murid bingung iaq langsung datang nulung.",Tetangga baru niku cepat diterima sebab iaq ringan tangan leq gawe banjar.,Side pasti disenangi masyarakat lamun tetap ringan tangan saat ada acara adat.
Berat tangan,Frase adjektival tetap; kebalikan antonimik dari frase sifat.,"Malas bergerak, enggan nulung, atau lamban bertindak padahal bisa.",Malas membantu; lambat bertindak.,A2,"Rumah tangga, kerja kelompok, kritik sosial.","Kolokial, kritik, kadang menyindir.",Lahir dari oposisi makna dengan ringan tangan; dipake luas untuk menilai etos bantu-membantu.,/bə.rat taŋan/,"Jangan berat tangan, gawe kecil begini pade harus dikerjakang bareng.",Anak muda saq berat tangan biasanya cepat ditegur amaqne.,Tim ne telat selesai karena dua anggota terlalu berat tangan.
Tutup mata,Frase verbal tetap; verba imperatif atau deklaratif dengan objek tubuh.,"Sengaja endeq peduli, pura-pura endeq tau, atau memilih diam leq kesalahan saq jelas.",Mengabaikan; pura-pura tidak tahu.,B1,"Politik lokal, sekolah, keluarga, kritik etika.","Kolokial sampai formal, kritis, tajam.",Metafora universal menutup penglihatan untuk menolak kenyataan; leq Sasak sering dipake saat membahas keadilan sosial.,/tutup mata/,Pemimpin niku endeq patut tutup mata lamun dana bantuan salah pakai.,"Inaq ne sakit, jangan tutup mata, side harus ikut tanggung jawab.",Guru baik endeq pernah tutup mata leq murid saq terus dibuli.
Buka mata,Frase verbal tetap; pasangan antonim idiomatik dari tutup mata.,"Mulai sadar, paham kenyataan, atau mengerti keadaan saq selama niki endeq dipikirang.",Menjadi sadar; memahami keadaan sebenarnya.,A2,"Nasihat, pendidikan, pengalaman hidup, refleksi pribadi.","Kolokial positif, reflektif.",Berpasangan secara semantik dengan tutup mata; kuat leq petuah keluarga dan pendidikan moral.,/buka mata/,Perjalanan leq desa terpencil niku buka mata tiang tentang susahne akses sekolah.,"Setelah baca laporan niku, dewan mulai buka mata soal kebutuhan petani.",Kadang-kadang kegagalan justru buka mata dan ngajari jalur saq benar.
"Mate raga, urip rasa",Klausa paralel puitis; dua bagian seimbang tanpa penanda subordinasi.,"Walau orang ne endeq araq lagi secara fisik, pengaruh, kenangan, dan ajaranne masih hidup leq ati masyarakat.",Jasane tetap dikenang; kenangan dan pengaruhnya tetap hidup.,C1,"Pidato adat, sastra, keluarga, peringatan tokoh.","Puitis, khidmat, emosional.","Bentuk paralel niki sering terasa leq ungkapan duka dan penghormatan leq Lombok; menonjolkan hubungan raga, rasa, dan memori kolektif.",/mate raɡa uriʔ rasa/,"Guru tuan niku mate raga, urip rasa, sebab petuahne masih diingat sampe sak menaq.","Leq haul kiai niku, jamaah pade bilang mate raga, urip rasa.","Bagi keluarga pejuang desa, amaqne mate raga, urip rasa leq setiap kerja sosial."
Leq ate segare,Frase preposisional-idiomatik; keterangan keadaan batin.,"Batin saq tenang, lapang, dan endeq gampang kebakar emosi walau keadaan rame.",Tenang hati; adem pikiran.,B1,"Nasihat keluarga, mediasi, pendidikan karakter, religi.","Kolokial lembut, menenangkan, reflektif.",Segare atau seger menggambar kesejukan; idiom tubuh-batin seperti niki umum leq cara Sasak membahas emosi.,/ləʔ ate sə.ɡa.re/,"Sebelum jawab komentar kasar, lebih becik side diam sikut dan tetap leq ate segare.",Tokoh adat saq leq ate segare biasane paling didengar saat ada perselisihan.,"Meski hasil lomba endeq sesuai harapan, ia tetap leq ate segare dan nyemangati kawan-kawanne."
Ngeliq aiq,Frase verbal idiomatik; verba dasar dengan nomina alam.,Mencoba menyesuaikan diri dengan keadaan saq sulit sambil cari jalan supaya tetap selamat dan bergerak maju.,Beradaptasi dengan keadaan; mencari cara bertahan.,B2,"Ekonomi rumah tangga, migrasi kerja, musim paceklik, obrolan keseharian.","Kolokial, realistis, kadang getir.",Aiq penting banget leq kehidupan Lombok; metafora air dipake untuk membaca aliran keadaan dan cara bertahan hidup.,/ŋəliʔ aiʔ/,"Pas harga cabai naik terus, pedagang kecil harus pinter ngeliq aiq supaya modal endeq habis.","Mahasiswa rantau niku cepat ngeliq aiq, makanya iaq gampang nyambung leq lingkungan baru.",Nelayan saq lama melaut biasanya pandai ngeliq aiq waktu cuaca berubah cepat.
Kena panas,Frase verbal pasif tetap; bentuk pasif idiomatik.,Kena akibat buruk dari perkara saq sebenarnya endeq dibuat sendiri; ikut terseret masalah orang lain.,Ikut terkena dampak; menjadi korban imbas.,B1,"Kerja, politik, keluarga besar, konflik kampung.","Kolokial, keluhan, kritik.",Berangkat dari pengalaman harian tentang panas sebagai rasa tidak nyaman; lalu meluas jadi metafora terkena dampak.,/kə.na panas/,"Tiang endeq salah ape-ape, tapi gara-gara kelompok niku ribut, tiang ikut kena panas.",Warga kecil sering kena panas waktu elit kampung rebut jabatan.,Anak buah niku kena panas setelah keputusan bosne diprotes pelanggan.
