Idiom (Kituba),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kituba)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kuna ntima na muntu me tula ve,Fixed clause with negative verb phrase,Someone is restless or worried inside; not at peace.,That person is anxious.,B1,"Daily speech, family, emotional expression","Colloquial, empathetic",Common Congo-Brazzaville saying describing emotional unrest.,[kù.ná ntí.má ná mùn.tù mè tú.là βé],"Beno mona ve, kuna ntima na yandi me tula ve banda yandi tangaka nsango yango.","Ntangu mpangi na yandi me zanga, kuna ntima na yandi me tula ve.",Kuna ntima na mwana me tula ve mpo na mayele ya ndoki.
Kota na ntima ya ngomba,Verb phrase with locative complement,To face a serious challenge or danger.,To encounter a big problem.,B2,"Daily speech, workplace, storytelling","Colloquial, cautionary",Comes from imagery of venturing into the heart of a mountain—traditional metaphor for difficulty.,[kò.tà nà ntí.mà já ŋgó.mà],Beto kota na ntima ya ngomba ntangu to salaka kisalu ya mbongo.,"Ntangu ndenge to zaba ve solution, to kota na ntima ya ngomba.",Yandi me kota na ntima ya ngomba na makambu ya ndima.
Sosa mbwa na nse ya mesa,Verb phrase with locative and object complement,To search in the wrong place; a futile effort.,To look where there is nothing to find.,B1,"Humor, sarcasm, daily speech","Colloquial, ironic",Derived from everyday imagery—searching for a dog under the table where it never stays.,[só.sà mbwà nà nsé yà mè.sà],Yandi ke sosa mbwa na nse ya mesa na kisalu ya mbongo.,Beno sala ve ndenge ya sosa mbwa na nse ya mesa na makambu ya lufua.,"Yandi sosa mbwa na nse ya mesa, ata yina ntoto me lomba."
"Ntangu ke bima, mpunda ke zinga",Complex clause with temporal marker,Every event has its right moment; patience pays.,Be patient; time will reveal all.,A2,"Proverbs, teaching, advice","Proverbial, moralistic",Common proverb in rural Congo; reflects patience and faith in timing.,"[ntá.ŋgù ké bí.mà, m̀.pún.dà ké zí.ŋgà]","Ntangu ke bima, mpunda ke zinga; beno vanda mpasi ve.","Beno baka ntangu, mpunda ke zinga sambu na bantu ya makasi.","Ntangu ke bima, mpunda ke zinga; Nzambe ke sala na ntangu na yandi."
Tala na meso ya nkaka,Verb phrase with prepositional complement,To see things from another perspective.,To consider someone else’s point of view.,B2,"Education, psychology, advice, peacebuilding","Formal, reflective",Encourages empathy; common in educational and moral contexts.,[tà.là nà mè.só yà ŋ.ká.kà],"Ntangu yo ke tula mambu, tala na meso ya nkaka.",Beno longa bana na bino tala na meso ya nkaka.,"Tala na meso ya nkaka, yina nde kimia ke vandaka."
Muntu ya zulu me wa na nse,Clause with subject and locative inversion,A powerful person has fallen from grace.,A person lost their status or position.,C1,"Politics, social commentary, humor","Ironic, poetic",Refers to downfall imagery; popular in postcolonial political satire.,[mùn.tù yà zù.lù mè wà nà nsé],Muntu ya zulu me wa na nse na ndenge ya mpamba.,"Yandi vandaka ntoma, kasi sikoyo muntu ya zulu me wa na nse.","Tala ndenge ya ngambo, muntu ya zulu me wa na nse."
Baka mbwa na lufu,Verb phrase with object complement,To blame the wrong person for something.,To accuse an innocent person.,B1,"Politics, humor, workplace","Ironic, sarcastic",Comes from village justice imagery where dogs are often scapegoated for missing food.,[bà.kà mbwà nà lú.fù],Beno baka mbwa na lufu na makambu ya kisika ya yo ve.,"Ntangu lenda ve zaba muntu ya sala, bango baka mbwa na lufu.","Kima ve ndenge ya baka mbwa na lufu, tala mbala mbote."
Leka na mbata ya nkento,Verb phrase with instrumental complement,To underestimate a woman’s power.,Do not underestimate women.,B2,"Social commentary, gender, wisdom sayings","Proverbial, feminist, cautionary",Originates from Kongo matriarchal oral traditions.,[lé.kà nà mbá.tà yà ŋ.ké.ntó],"Beno leka ve na mbata ya nkento, yandi ke zaba ndenge ya mbote.","Ntangu yandi pesa maboko, tala—leka na mbata ya nkento te.","Beno tanga bana ya nkento mpasi ve, leka na mbata ya nkento."
Kata lufu na meso,Verb phrase with direct object,To end a relationship or connection abruptly.,To break ties suddenly.,B1,"Relationships, friendship, emotion","Colloquial, emotional","Metaphor for severing ties visibly, often in interpersonal contexts.",[ká.tà lú.fù nà mè.só],Yandi kata lufu na meso banda na ntangu ya malanda.,"Ntangu mambu ya ve salama, bango kata lufu na meso.","Yo kata lufu na meso na yandi, kasi ntima ke bola."
Banda na ntangu ya mvuanda,Temporal phrase with genitive complement,Since ancient times; from long ago.,A long time ago.,A2,"Storytelling, oral history, education","Literary, historical",Traditional phrase evoking ancestral memory and oral tradition.,[bàn.dà nà ntá.ŋgù yà mvwá.ndà],"Banda na ntangu ya mvuanda, bantu me baka mbote na ndinga.",Nsango oyo me vandaka banda na ntangu ya mvuanda.,"Banda na ntangu ya mvuanda, bantu me yindula ndenge ya kiese."
