Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
שַׁפִּיר עֲבִיד,Fixed clause; verb phrase,Well done; good job,You did well,A2,"daily speech, workplace","colloquial, positive",Common in Talmudic discussions to approve legal reasoning,ʃaˈfiːr ʕaˈvid,שַׁפִּיר עֲבִיד אַנָּא שְׁכַח לֵה,שַׁפִּיר עֲבִיד רַב יְהוּדָה בְּדִין הַדָּא,שַׁפִּיר עֲבִיד דְּשָׁאֵל וְלָא אַפֵּיק
נַפְשֵׁיה שָׁדֵי,Reflexive verb phrase,He put himself in danger,He risked his life,B2,"daily speech, literature, historical","literary, solemn",Commonly used in martyrdom stories or rabbinic sacrifices,nafˈʃeː ʃaˈdeː,רַב עֲבָּא נַפְשֵׁיה שָׁדֵי לְמִצְוָה,שָׁדֵי נַפְשֵׁיה בַּהַדֵי גִּסְסֵי,כָּל מַאן דְּשָׁדֵי נַפְשֵׁיה בְּסִכּוּנָא – צָרִיך לְהוֹדָאָה
בֵּין עֵינִיה כְּתִיבָא,Fixed clause with passive verb,Obvious; plain as day,It is clear,B1,"sarcasm, family, daily speech","ironic, humorous",Reference to Torah phrases like tefillin,beːn ʕeˈniːhaː kəˈtiːvaː,בֵּין עֵינִיה כְּתִיבָא – וְהִיא אִישְׁתָּקָא לָא חָזְיָא,שׁוֹטֵה – כְּתִיבָא בֵּין עֵינִיה וְלָא קָרֵי,כְּתִיבָא בֵּין עֵינִיה דְּרַבֵי בְּשַׁבָּא
דָּלֵק אַחֲרֵי שִׁיטָה דְשַקְרָא,Subordinate clause; verbal phrase,Chasing a false narrative,Believing in lies,C1,"politics, sarcasm, literature","poetic, ironic",Aramaic commentary on false prophecy,daˈleːq aχaˈreː ʃiˈtaː dəʃaqˈraː,דָּלֵק אַחֲרֵי שִׁיטָה דְשַקְרָא וְעָבַד לֵיה כַּהֲלָכָה,דָּלֵק אַחֲרֵי אִשָּׁה דְכֻּלֵּי שִטָה שֶׁקֶר,לֵית לֵיה רַחֲמֵי – דָּלֵק בִּשִׁקְרֵי
כּוּלֵּי עָלְמָא לָא פְלִיגִי,Fixed clause; negative polarity,Everyone agrees; universally accepted,There is no disagreement,B2,"Talmudic analysis, formal debate","formal, legalistic",A classic phrase from halakhic dispute framing in the Talmud,kulleː ʕolˈmaː laː pʰliːˈɡiː,כּוּלֵּי עָלְמָא לָא פְלִיגִי דְּבֵּית הִלֵּל קָדְמוּ,כּוּלֵּי עָלְמָא לָא פְלִיגִי דְּכַּשְׁיָא רַבָּה הַוְיָא,בְּהַאי תַּנְיָא – כּוּלֵּי עָלְמָא לָא פְלִיגִי דְּשַפִּיר עֲבִיד
קָם בְּגַּוֵיהּ,Verb + preposition; reflexive,He turned against him,He opposed him,B1,"politics, personal conflict, literature","colloquial, tense",Common expression for betrayal in aggadic narrative,qaːm bəɡaːˈveːh,רֵיש גָּלוּתָא קָם בְּגַּוֵיהּ דְּרַב יוֹסֵף,לֵית בֵיה שָׁלוֹם – קָם בְּגַּוֵיהּ בִּצְנָעָא,בְּשוּקָא – קָם בְּגַּוֵיהּ וּפָרַע מִמֵּנֵיה
מִלָּה בְּעֵינָה קָיְמָא,Clause with copula,The statement stands; the matter holds true,The statement is valid,C1,"legal discourse, philosophy, Talmud","formal, analytic",Used in Talmudic sugyot to reaffirm logic,milˈlaː bəʕeːˈnaː qaːjˈmaː,מִלָּה בְּעֵינָה קָיְמָא – לֵית ﬠָלֵיהָ תְּיוּבְתָא,דִּבְרֵי חֲכָמִים – מִלָּה בְּעֵינָה קָיְמָא לְﬠוֹלָם,שִׁיטָה דְרַב אַשֵׁי – מִלָּה קָיְמָא כְּמַרֵי
אִנְשָׁא קָטִיל לֵהּ,Past tense verb phrase; transitive,He was ruined/done in,He was defeated,B2,"sarcasm, street language, historical storytelling","ironic, vulgar",Slangy usage in Amoraic conflict or dramatic scenes,ʔinʃaː qaːˈtˤil leːh,בֵּיה מִשְׁפָּחָא – אִנְשָׁא קָטִיל לֵהּ וְסָלֵיק,הֲוָה גַּבְרָא רַבָּה – אִנְשָׁא קָטִיל לֵהּ בְּדִין,אִנְשָׁא קָטִיל לֵהּ עַל מִלָּה דְשִׁקְרָא
אִית לֵיה קַרְנֵי בְּרֵישֵׁיה,Clause; metaphorical possession,He is arrogant/showing off,He acts superior,C1,"sarcasm, humor, family, community talk","sarcastic, humorous",Visual metaphor from Biblical symbols of power,ʔit leː kaːrˈneːj bəˈreːʃeːh,אִית לֵיה קַרְנֵי בְּרֵישֵׁיה – לֵית לֵיה מִלָּה,לֵאשָׁא דָּהֲוָה סַבְרָא נַפְשָׁהּ – אִית לֵיה קַרְנֵי,גַּבְרָא רֵיקָא – קַרְנֵי בְּרֵישֵׁיה מִסְבַּר נַפְשֵׁיה
יָשִׁיב מִלָּה עַל שִׁלֵּה,Clause with prepositional object,He gave a proper response,He answered appropriately,B2,"debate, daily speech, formal speech","formal, poetic",From Talmudic phrasing on logical response,jaːˈʃiv milˈlaː ʕal ʃilˈleːh,יָשִׁיב מִלָּה עַל שִׁלֵּה – לָא נִשְׁתַּקֵּי,כִּי יָשִׁיב – עַל שִׁלֵּה קָא מֵיתֵיב,יָשִׁיב מִלָּה לְעֵינֵיהוֹן וְנִשְׁתְּבַּח
