Idiom (Saraiki),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Saraiki)",First Example Sentence,Second Example Sentence,Third Example Sentence
اونٹ پہاڑ ھيٺ آ گیا,Fixed clause; past tense idiomatic expression,A proud or arrogant person finally humbled by circumstance,He has been brought down to reality,C1,"Humor, daily speech, morality tales","Colloquial, ironic",Common across Multan and Bahawalpur; derived from desert trade imagery,/ũːʈ pəɦaːɽ hiʈ aː gəjɑː/,پہلیں اوہ بہت اکڑدا سی، ہݨ اونٹ پہاڑ ھيٺ آ گیا۔,وقت ایں طرح دا آیا کہ اونٹ پہاڑ ھيٺ آ گیا۔,اوہنوں سزا ملی، تے لگدا ہے اونٹ پہاڑ ھيٺ آ گیا۔
چور دے دل وچ چھری,Possessive structure; fixed metaphorical phrase,A guilty person feels uneasy even without accusation,The guilty conscience fears exposure,B2,"Family, workplace, morality lessons","Colloquial, ironic",Rural Saraiki idiom related to honesty and self-conscious guilt,/tʃoːɾ de dɪl wɪtʃ tʃʰʊɾiː/,کسی کجھ نئیں آکھیا، پر چور دے دل وچ چھری۔,جے اوہ نئیں ڈرندا، تے ایویں کیوں گھبرا گیا؟ چور دے دل وچ چھری۔,سچ نئیں بولیا تے چور دے دل وچ چھری نِکل آئی۔
اکھ دا انڌا، کان دا بہرا,Compound descriptive clause; coordinated structure,A person deliberately ignoring truth and reason,Someone pretending not to know what's happening,C1,"Politics, criticism, sarcasm","Ironic, sarcastic",Used regionally for oblivious or corrupt authority figures,/əkʰ daː ənd̪ʱaː kaːn daː bəɦɾaː/,اوہ ظلم دیکھ کے وی اکھ دا انڌا، کان دا بہرا بن ڳِئِا۔,حکومت اکھ دا انڌا، کان دا بہرا بن گئی۔,سچ سامنے سی، پر اوہ اکھ دا انڌا تے کان دا بہرا۔
پھلدار درخت ہمیشہ جھکدا ہے,Declarative sentence; metaphorical comparison,Truly wise or virtuous people are humble,"The more a person knows, the humbler they are",B2,"Education, ethics, literature","Poetic, moral","Agrarian wisdom from South Punjab, symbolic of humility",/pʰəl-daːɾ d̪əɾəkʰt̪ həmeːʃaː dʒʱəkdaː heː/,عالم دی نشانی ایں اے، پھلدار درخت ہمیشہ جھکدا ہے۔,غرور چھڈ، پھلدار درخت ہمیشہ جھکدا ہے۔,ایہہ مثال یاد رکھ، پھلدار درخت ہمیشہ جھکدا ہے۔
ہتھ وچوں مچھلی نکل گئی,Past tense; metaphorical predicate,A valuable opportunity has been lost,The chance slipped away,B1,"Business, relationships, regret","Colloquial, emotional",Derived from riverine life of South Punjab,/həʈʰ wɪtʃoː mətʃʰliː nɪkəl gəjɪː/,اوہ موقعہ ضائع کر بیٹھا، ہتھ وچوں مچھلی نکل گئی۔,وقت نکل ڳِئِا، ہتھ وچوں مچھلی نکل گئی۔,جے تُوں وی دیر کریس، تے ہتھ وچوں مچھلی نکل ویسی۔
جھوٹ دی ٹانگ لمی نئیں ہوندی,Negative declarative; fixed proverb,Lies are short-lived and soon exposed,Lies don’t last long,A2,"Moral lessons, education, family","Moral, colloquial",Common moral idiom in Saraiki households,/dʒʱuːʈ diː ʈaːŋ ləmiː nəĩ hoːndiː/,ہمیشہ سچ بول، جھوٹ دی ٹانگ لمی نئیں ہوندی۔,اوہ دا فریب پکڑا ڳِئِا، جھوٹ دی ٹانگ لمی نئیں ہوندی۔,ماں ہمیشہ آکھدی، پتر جھوٹ دی ٹانگ لمی نئیں ہوندی۔
پٹھا وی شیر بن جے,Conditional fixed clause,Even a weak person feels strong with support,Support gives confidence to the weak,B1,"Politics, humor, daily talk","Colloquial, humorous","Folk idiom about strength in numbers, from Multani humor",/pʰʈʰaː wiː ʃeːɾ bən dʒeː/,جے جماعت نال ہوئے، تے پٹھا وی شیر بن جے۔,اوہ دا حوصلہ ودھ گیا، پٹھا وی شیر بن جے۔,دوست نال ہوندا ہے تے پٹھا وی شیر بن جے۔
اِک ہاتھ نال تالِی نئیں بجدی,Negative declarative; balanced metaphorical clause,Conflict or cooperation needs both sides’ involvement,It takes two to make or break a situation,B2,"Family, social advice, negotiation","Colloquial, didactic",Popular in folk wisdom of Derajat region,/ɪk ɦaːʈʰ naːl taːliː nəĩ bədʒdiː/,جھگڑا دوہاں پاسیاں دا ہوندا ہے، اِک ہاتھ نال تالِی نئیں بجدی۔,محبت دا معاملہ اے، اِک ہاتھ نال تالِی نئیں بجدی۔,اوہ وی قصوروار ہے، اِک ہاتھ نال تالِی نئیں بجدی۔
وقت تلوار وانگر ہے,Comparative clause,Time is precious and should not be wasted,Use time wisely,A2,"Education, moral advice, motivation","Formal, instructive",Derived from classical Islamic aphorisms used in Saraiki literature,/ʋəqt̪ t̪əlwaːɾ ʋaːnɡəɾ heː/,پتر، وقت تلوار وانگر ہے، ضائع نئیں کر۔,اوہ استاد ہمیشہ آکھدا، وقت تلوار وانگر ہے۔,وقت ضائع کرن والا ہمیشہ پچھتاندے۔
جیڑا بووے اوہو کٹھی,Conditional statement; proverb,One reaps what one sows,Your actions determine your outcomes,B1,"Religion, ethics, education","Moral, poetic",Traditional agricultural metaphor from South Punjab,/dʒiːɽaː boːʋe oːhoː kəʈʈʰiː/,نیکی کر، جیڑا بووے اوہو کٹھی۔,اوہ ظلم کیتا، ہݨ جیڑا بووے اوہو کٹھی۔,زندگی دا اصول اے، جیڑا بووے اوہو کٹھی۔
