Idiom (Yaitepec Chatino),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Yaitepec Chatino)",First Example Sentence,Second Example Sentence,Third Example Sentence
Yeeꞌ chaꞌa lyoꞌo chii,Fixed clause; verb–object construction,To waste time or effort; to chase something pointless.,To do something without results.,B2,"Daily speech, humor","Colloquial, humorous","From a local story of chasing a shadow, symbolizing fruitless work.",[jèːʔ tʃàʔà ʎòʔò tʃìː],Náa yeeꞌ chaꞌa lyoꞌo chii káꞌa niꞌi tóꞌo.,Tóꞌo yeeꞌ chaꞌa lyoꞌo chii yuꞌu náa níi.,Yuꞌu yeeꞌ chaꞌa lyoꞌo chii náa níi tóꞌo.
Náa niꞌi tóꞌo chaꞌa yáa,Fixed phrase; subjunctive mood,To reveal someone’s secret or speak too much.,To share confidential information.,C1,"Daily speech, gossip, workplace","Informal, ironic",Originates from the metaphor of spilling one’s heart (chaꞌa yáa).,[nàː nìʔì tòʔò tʃàʔà jáː],Náa niꞌi tóꞌo chaꞌa yáa káꞌa níi yuꞌu.,Tóꞌo náa niꞌi chaꞌa yáa níi chii.,Yuꞌu chaꞌa yáa náa níi tóꞌo.
Chaꞌa náa yuꞌu níi kueꞌe,Verb phrase; reflexive structure,To take pride or feel self-satisfied.,To feel proud.,B1,"Family, work, education","Positive, colloquial",Represents the cultural value of humility even in pride.,[tʃàʔà nàː júʔù nìː kwèʔè],Chaꞌa náa yuꞌu níi kueꞌe tóꞌo chii.,Yuꞌu chaꞌa náa níi kueꞌe káꞌa tóꞌo.,Náa yuꞌu chaꞌa níi kueꞌe chii tóꞌo.
Yeeꞌ káꞌa chii náa kuꞌu,Fixed expression; declarative clause,To act too late or miss an opportunity.,To arrive after the moment has passed.,B2,"Daily speech, humor, advice","Colloquial, ironic","Comes from farming, referring to missing the rain season.",[jèːʔ káʔà tʃìː nàː kúʔù],Náa yeeꞌ káꞌa chii náa kuꞌu tóꞌo.,Yuꞌu yeeꞌ káꞌa chii náa kuꞌu níi.,Tóꞌo yeeꞌ káꞌa chii náa kuꞌu chii.
Niꞌi yuꞌu tóꞌo xuaꞌa,Verb-object phrase; transitive structure,To act without thinking; to rush into something.,To do something impulsively.,B1,"Daily life, humor, cautionary advice",Colloquial,Likens rash action to jumping into water without testing depth.,[nìʔì júʔù tòʔò ʃùàʔà],Niꞌi yuꞌu tóꞌo xuaꞌa náa níi.,Tóꞌo niꞌi yuꞌu xuaꞌa níi káꞌa.,Yuꞌu niꞌi tóꞌo xuaꞌa náa níi.
Chaꞌa níi tóꞌo naaꞌa,Fixed phrase; progressive verb form,To be lazy or avoid work.,To rest or do nothing.,A2,"Family, humor, daily talk","Colloquial, teasing",A playful expression from farming days mocking idle workers.,[tʃàʔà nìː tòʔò nàːʔà],Chaꞌa níi tóꞌo naaꞌa yuꞌu náa.,Yuꞌu chaꞌa níi tóꞌo naaꞌa chii.,Náa chaꞌa níi tóꞌo naaꞌa yuꞌu.
Yuꞌu náa kueꞌe nchaꞌa,Clause; object-fronted focus,To talk nonsense or speak without meaning.,To say foolish things.,B2,"Humor, family, arguments","Colloquial, humorous",Used in family banter; literally ‘words without roots’.,[júʔù nàː kwèʔè ntʃàʔà],Yuꞌu náa kueꞌe nchaꞌa tóꞌo níi.,Náa yuꞌu kueꞌe nchaꞌa chii tóꞌo.,Tóꞌo yuꞌu kueꞌe nchaꞌa náa níi.
Niꞌi náa yuꞌu cheꞌe,Verb-object phrase; subjunctive tone,To be very hungry or poor.,To lack food or resources.,A2,"Daily speech, humor, poverty discussion","Colloquial, sympathetic",Reflects subsistence culture and respect for scarcity.,[nìʔì nàː júʔù tʃèʔè],Niꞌi náa yuꞌu cheꞌe tóꞌo níi.,Yuꞌu niꞌi náa cheꞌe chii tóꞌo.,Tóꞌo niꞌi náa yuꞌu cheꞌe níi.
Tóꞌo chaꞌa níi chiꞌi yée,Fixed sentence; resultative construction,To regret something deeply.,To feel sorry for an action.,C1,"Apologies, reflection, storytelling","Formal, literary",Derived from oral stories teaching humility.,[tòʔò tʃàʔà nìː tʃìʔì jèː],Tóꞌo chaꞌa níi chiꞌi yée yuꞌu náa.,Náa chaꞌa níi chiꞌi yée tóꞌo chii.,Yuꞌu chaꞌa níi chiꞌi yée náa tóꞌo.
Káꞌa yuꞌu naaꞌa yéꞌe,Verb phrase; idiomatic expression,To overthink or worry excessively.,To worry too much.,B1,"Family, advice, mental health","Colloquial, gentle",Represents Chatino wisdom advising calmness in adversity.,[káʔà júʔù nàːʔà jéʔè],Káꞌa yuꞌu naaꞌa yéꞌe tóꞌo níi.,Yuꞌu káꞌa naaꞌa yéꞌe náa chii.,Náa yuꞌu káꞌa naaꞌa yéꞌe tóꞌo.
