Idiom (Karachay-Balkar),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Karachay-Balkar)",First Example Sentence,Second Example Sentence,Third Example Sentence
Сабыр эткен ташты тесер,"Фиксленген жёклеме, этишлик тутулгъан формасы","Сабыр этсең, къыйын иш да ийгиликке жетер.","Сабырлы болсан, ийгиликке жетерсең.",B1,"Сабыр, жашоолукъ, акъыл насаат","Насаатчы, поэтикалыкъ","Эл сёзю, сабыр жана ишеним тюбюнде чыккан.",[sɑˈbɯr etˈken tɑʃtɯ teˈser],"Сен ашыкпа, сабыр эткен ташты тесер.",Ол сабыр этти — сабыр эткен ташты тесер дегени чын болду.,"Сабыр эт, уулум, сабыр эткен ташты тесер."
Балыкъ башынан чирий,"Фиксленген жёклеме, пассивлик формасы","Башчы начар болсо, бар иш бузулур.","Башчы жаман болсо, бар иш бузулар.",C1,"Саясат, коом, жетекчилик сынчы","Формал, сынчы",Тарихта жаман жетекчилерге каршы эл сёзю.,[bɑˈlɯq bɑʃɯnɑn t͡ʃiˈrij],"Эгер жетекчи туура эмес болсо, балыкъ башынан чирий.","Башчы начар болсо, балыкъ башынан чирий дегендей.","Башчы адил болмаса, балыкъ башынан чирий."
Атсыз ерге бармассың,"Шартлы жёклеме, келечек этишлик формасы",Куралсыз же жардамсыз макъсатка жетмек къыйын.,Жардамсыз макъсатка жетмек къыйын.,A2,"Жашоолукъ, эмгек, мотивация","Къалкълыкъ, практикалыкъ",Къарачай эл арасында эмгек тууралуу насаат.,[ɑtˈsɯz jerɡe bɑrˈmɑsːɯn],"Жаракъсыз адам макъсатына жетмей, атсыз ерге бармассың.","Эшик ачылмаса, сен да бармассың — атсыз ерге бармассың.",Къуралсыз бармакъ — атсыз ерге бармассың деген сёз бар.
Къолда барны къадирле,"Императивлик жёклеме, этишлик формасы",Бар затны барында баала.,Бар затны барында къадирле.,B1,"Къалкъ арасы, йигит насааты","Насаатчы, жумшакъ",Эл арасында къол эмгегине урмат билдирген.,[qʰoɫˈdɑ bɑrnɯ qɑˈdirle],"Къолда барны къадирле, кийин афсус этмес бол.","Къолда бар затны къадирле, жокъ болгъанда кеч болур.",Къолда барны къадирле — эл сёзю бекер айтылмай.
Къуртсуз эт болмай,"Парышлык жёклеме, болумсуз формасы",Кемчилик ар нерседе болур.,Ар бир затта кемчилик бар.,B2,"Тамаша, эл сёзю","Юморлыкъ, элдик",Эт бышыруудан алынган эл юморы.,[qʊrtˈsʊz et bolˈmɑj],"Къуртсуз эт болмай, ар иштин кемчилиги болур.","Эт жакшы, амма къуртсуз болмай деген сёз бекер эмес.",Къуртсуз эт болмай — эл сёзю юмормен айтылгъан.
Эмгексиз нан болмай,"Парышлык жёклеме, болумсуз формасы","Эмгек этмейин, натыйжа чыкмас.",Эмгексиз ийгилик болмай.,A2,"Эмгек, мектеп, къызмет","Формал, билимдик",Эл оозеки чыгъармасында къолланылат.,[emˈɡeksɯz nɑn bolˈmɑj],"Эмгексиз нан болмай, балам.","Эмгексиз нан болмай, иш этпей турбаган адам ач къалыр.","Эмгексиз нан болмай, буны ата-бабалар да айткан."
"Таш атса, башыма тийер","Этишлик жёклеме, шартлы мааниде","Ким бирине жаман этсе, жаманлыкъ озюне кайта.","Жаманлыкъ этсең, жаманлыкъ озюне къайта.",C1,"Адилетлик, философия, жашоолукъ","Ироникалыкъ, философик",Эл философиясында адилетлик символы.,[tɑʃ ɑtˈsɑ bɑʃɯmɑ tiˈjer],"Таш атса, башыма тийер деп айтышты.","Жаманлыкъ этсе, таш атса, башыма тийер.","Таш атса, башыма тийер деген къуркъу озю жаманлыкътан сакълай."
Къарачагъан къызга сагъыныш болмай,"Фиксленген жёклеме, болумсуз формасы",Къайгъысыз адам сага кереги жёк.,Сени сагъынмаган адам сени эстемей.,B2,"Сарказм, юмор, махъабат","Сарказмлыкъ, элдик",Махъабат жёнюнде сарказм менен айтылгъан.,[qɑrɑt͡ʃɑˈʁɑn qɯzɡɑ sɑʁɯnɯʃ bolˈmɑj],"Къарачагъан къызга сагъыныш болмай, деди ол.",Ол къызды эстеме — къарачагъан къызга сагъыныш болмай.,Къарачагъан къызга сагъыныш болмай — бу юморлы сёз.
Жаман достан яман душман жакшы,"Салыштырмалы жёклеме, этишлик формасы","Жаман достан сакъ бол, ол душманнан да яман.",Жаман достан сакълан.,C1,"Этикет, достукъ, сакълыкъ","Насаатчы, сынчы",Эл достукъ жана сакълыкъ тууралуу айткан.,[ʒɑmɑn dosˈtɑn ʒɑmɑn duʃˈmɑn ʒɑqˈʃɯ],"Жаман достан яман душман жакшы, эстеп кой.",Дуслары яман чыкъты — жаман достан яман душман жакшы.,Жаман достан яман душман жакшы — эл да билер.
"Суу агъса да, изи къалыр","Метафорлык жёклеме, өткён этишлик формасы","Этилген иш къайта эскерилер, изи къалар.",Ишнин натыйжасы къалыр.,B2,"Эс алуу, тарих, эл насааты","Поэтикалыкъ, философик",Эл тарихында иштин изин калдыруу мааниде.,[suː ɑʁˈsɑ dɑ izi qɑˈlɯr],"Суу агъса да, изи къалыр, адам да изин къалдырмакъ керек.","Суу агъса да, изи къалыр, дүньяда ар ишнин изи болур.","Суу агъса да, изи къалыр, адам да ишнин изин къалдырмакъ керек."
